Запрос;Паттерн;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
азотная установка цена;paste_from_serp;category_not_found;0;webmaster;0;генераторы газов (азотные установки) заявлены в ассортименте, поиск возвращает пусто;
компрессор для лазерного станка купить;paste_from_serp;wrong_top;1;webmaster;20;"Показаны тяжёлые промышленные винтовые 15–37 кВт; для лазерного станка нужны малые малошумные или безмасляные компрессоры — они должны быть в топе";Компрессор винтовой ZEGA SEL 15-16 | Компрессор винтовой ZEGA SEL 22-16 | Компрессор винтовой ZEGA SEGV15S-16 IP65
осушитель рефрижераторного типа купить;paste_from_serp;wrong_top;0;webmaster;20;те же компрессоры со встроенным осушителем — отдельные рефрижераторные осушители (есть в каталоге под запросом «рефрижераторные осушители») не всплывают;Винтовой компрессор Kraftmann APOLLO 15 PLUS  | Винтовой компрессор Kraftmann APOLLO 22 PLUS  | Винтовой компрессор Kraftmann APOLLO 30 PLUS 
ресивер для компрессора купить;paste_from_serp;wrong_top;0;webmaster;20;Топ заполнен компрессорами (Hansmann, ATLAS COPCO) вместо ресиверов;Винтовой компрессор Hansmann RSA 11 16 бар | Винтовой компрессор ARIACOM NT15 V DF 15 бар | Винтовой компрессор ATLAS COPCO GA 90+
купить компрессор берг;paste_from_serp;wrong_top;1;webmaster;20;Топ смещён в дизельные BERG, тогда как основной ассортимент бренда — винтовые;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
берг компрессор купить;paste_from_serp;wrong_top;1;webmaster;20;Идентично запросу «купить компрессор берг»: топ занят только дизельными BERG;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
безмаслянный компрессор купить;paste_from_serp;wrong_top;1;webmaster;20;Масляные ALMiG FLEX занимают топ, безмасляные (-O) варианты есть в выдаче, но не приоритизированы;Винтовой компрессор ALMiG FLEX-11/10 | Винтовой компрессор ALMiG FLEX-11/10 PLUS | Винтовой компрессор ALMiG FLEX-11/10 R
конденсатоотводчик купить;paste_from_serp;wrong_top;0;webmaster;20;Вместо конденсатоотводчиков — безмасляные компрессоры ЗИФ-СВЭ-БМ;Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-11 | Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-12 | Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-14
адсорбционный осушитель сжатого воздуха для компрессора;paste_from_serp;wrong_top;0;webmaster;20;Слово «для компрессора» сломало поиск: вместо осушителей выдаются компрессоры Atlas Copco со встроенным осушителем;Винтовой компрессор двухступенчатого сжатия A | Винтовой компрессор Atlas Copco GA18 VSD+13FF | Винтовой компрессор Atlas Copco GA22 VSD+13FF
купить рефрижераторный осушитель;paste_from_serp;wrong_top;0;webmaster;20;Весь топ занят винтовыми компрессорами ABAC, рефрижераторные осушители не показаны;Винтовой компрессор ABAC FORMULA ME30-10 | Винтовой компрессор ABAC FORMULA ME30-13 | Винтовой компрессор ABAC FORMULA ME30-7.5
промышленные компрессоры воздушные винтовые;paste_from_serp;wrong_top;1;webmaster;20;Топ занят только безмасляными моделями, масляные винтовые компрессоры не представлены;Винтовой безмасляный компрессор ET SOF WL 11  | Винтовой безмасляный компрессор ET SOF WL 15  | Винтовой безмасляный компрессор ET SOF WL 22 
винтовые компрессоры цена;paste_from_serp;wrong_top;1;webmaster;20;Топ перекошен в крупные/дорогие модели, нет ценовой сортировки и разброса по мощности;Винтовой компрессор DAS DPK 5200 D | Дизельный винтовой компрессор DAS DPK 7200 D  | Винтовой компрессор DAS DPK 9000 D
осушитель для компрессора купить;paste_from_serp;wrong_top;0;webmaster;20;"Вместо осушителей выдаются безмасляные компрессоры EKOMAK; осушители вассортименте есть";Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS25V
компрессор винтовой цена;paste_from_serp;wrong_top;1;webmaster;20;Монотонная выдача только ABAC FORMULA без ценовой сортировки и разнообразия брендов;Винтовой компрессор ABAC FORMULA 11-10 | Винтовой компрессор ABAC FORMULA 11-13 | Винтовой компрессор ABAC FORMULA 11-8
компрессор купить;paste_from_serp;wrong_top;1;webmaster;20;широкий запрос возвращает только серию «1А», нет разнообразия типов и брендов;Компрессор 1А 21-30-2А | Компрессор 1А 21-30-4А | Компрессор 1А 21-50-2А
компрессор поршневой воздушный купить;paste_from_serp;wrong_top;1;webmaster;20;в топ попали бустер (ET PB) и PET-компрессоры (DALGAKIRAN PET-PLUS), не релевантные общему запросу;Поршневой компрессор REMEZA KM-8. OLD10HK | Компрессор поршневой дожимной (бустер) ET PB  | Компрессор поршневой DALGAKIRAN PET-PLUS 40 4
купить азотную установку;paste_from_serp;empty_but_should;0;webmaster;0;генераторы азота ENGER есть в каталоге, но поиск по «азотная установка» возвращает 0 результатов;
компрессор промышленный купить;paste_from_serp;wrong_top;1;webmaster;20;Топ смещён только в сторону дизельных MASTER BLAST, широкий запрос требует разнообразия типов;Компрессор винтовой дизельный MASTER BLAST BP | Компрессор винтовой дизельный MASTER BLAST BP | Компрессор винтовой дизельный MASTER BLAST BP
адсорбционный осушитель цена;paste_from_serp;wrong_top;1;webmaster;20;Первая позиция — винтовой компрессор Kraftmann POLARIS 45 W, не осушитель;"Винтовой компрессор Kraftmann POLARIS 45 W | Осушитель адсорбционный &quot;Airrus&quot; ОА | Осушитель адсорбционный &quot;Airrus&quot; ОА"
винтовой компрессор фото;paste_from_serp;out_of_scope;1;webmaster;20;"Информационный запрос за фото; поиск игнорирует слово «фото» и отдаёт случайную выборку без логики";Винтовой компрессор BERG ВК-22EO-500 10 бар | Винтовой компрессор Enger BS-22DTR-450 8 | Винтовой компрессор Enger HB-15DFR-400 7
рефрижераторный осушитель сжатого воздуха купить;paste_from_serp;wrong_top;0;webmaster;20;Выдаёт компрессоры ALMiG V-DRIVE вместо рефрижераторных осушителей;Винтовой компрессор ALMiG V-DRIVE 30/10 | Винтовой компрессор ALMiG V-DRIVE 30/13 | Винтовой компрессор ALMiG V-DRIVE 30/6
модульная компрессорная станция сжатого воздуха;paste_from_serp;wrong_top;0;webmaster;20;Совпадение по слову «модульный» (MDL) выдаёт генераторы азота вместо модульных компрессорных станций;Генератор азота ENGER GN3-59MDL | Генератор азота ENGER GN5-49MDL | Генератор азота ENGER GN5-59MDL
винтовой компрессор для пескоструя купить;paste_from_serp;empty_but_should;0;webmaster;0;валидный сценарий применения, поиск по use-case не работает;
циклонный сепаратор купить;paste_from_serp;out_of_scope;0;webmaster;20;"циклонный сепаратор вне профильного ассортимента; поиск вернул нерелевантные компрессоры Atlas Copco";Винтовой компрессор Atlas Copco GA 30+ 10FF/4 | Винтовой компрессор Atlas Copco GA 30+ 10P/40 | Винтовой компрессор Atlas Copco GA 30+ 13FF/4
винтовые компрессоры купить цена;paste_from_serp;wrong_top;1;webmaster;20;топ открывается нишевыми дизельными DAS и безмасляными Atlas Copco — нелогично для общего коммерческого запроса;Винтовой компрессор DAS DPK 5200 D | Дизельный винтовой компрессор DAS DPK 7200 D  | Винтовой компрессор DAS DPK 9000 D
кислородный генератор купить;paste_from_serp;empty_but_should;0;webmaster;0;категория'генераторы газов' заявлена в ассортименте, кислород — ноль результатов;
купить винтовой компрессор с ресивером;paste_from_serp;wrong_top;1;webmaster;20;Весь топ — модели с ресивером+осушителем (500Д), варианты только с ресивером без осушителя не показаны;Винтовой компрессор REMEZA ВК7Е-8-500Д (с осу | Винтовой компрессор REMEZA ВК10Е-8-500Д (с ос | Винтовой компрессор REMEZA ВК15Е-8-500Д (с ос
компрессор атлас копко цена;paste_from_serp;wrong_top;1;webmaster;20;топ захвачен нишевыми водозаполненными AQ-моделями вместо массовых GA/GX;Винтовой компрессор Atlas Copco AQ 30 AC/10 W | Винтовой компрессор Atlas Copco AQ 30 AC/13 W | Винтовой компрессор Atlas Copco AQ 30 AC/7,5 
купить компрессор 8 бар;paste_from_serp;wrong_top;1;webmaster;20;Топ монобрендовый (только MIG), поршневые компрессоры на 8 бар отсутствуют;Винтовой компрессор MIG 11 8 бар | Винтовой компрессор MIG К 15 8 бар | Винтовой компрессор MIG 15 8 бар
продажа компрессорного оборудования;paste_from_serp;empty_but_should;0;webmaster;0;Пустая выдача по широкому коммерческому запросу — критический провал;
азотные станции цена;paste_from_serp;empty_but_should;0;webmaster;0;Генераторы азота есть в каталоге, поиск не распознаёт синоним «азотные станции»;
промышленное компрессорное оборудование;paste_from_serp;wrong_top;1;webmaster;20;"Топ полностью заполнен генераторами азота ENGER; ожидается смешанный ассортимент компрессоров";Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
винтовые воздушные компрессоры цена;paste_from_serp;wrong_top;1;webmaster;20;Идентичная проблема запросу без «цена»: топ перекошен в дизельные/мобильные модели;Винтовой компрессор DAS DPK 5200 D | Дизельный винтовой компрессор DAS DPK 7200 D  | Винтовой компрессор DAS DPK 9000 D
рефрижераторный осушитель цена;paste_from_serp;wrong_top;0;webmaster;20;Выдаются компрессоры ABAC FORMULA — рефрижераторные осушители полностью вытеснены из топа;Винтовой компрессор ABAC FORMULA ME30-10 | Винтовой компрессор ABAC FORMULA ME30-13 | Винтовой компрессор ABAC FORMULA ME30-7.5
осушитель рефрижераторный цены;paste_from_serp;wrong_top;0;webmaster;20;Показаны компрессоры Cross Air с суффиксом DRY, а не отдельные рефрижераторные осушители;Винтовой компрессор Cross Air CA11-10RA-500DR | Винтовой компрессор Cross Air CA11-10RA-500DR | Винтовой компрессор Cross Air CA11-8GA-500DRY
atlas copco компрессор цена;paste_from_serp;wrong_top;1;webmaster;20;Топ занят нишевой серией AQ (водяное охлаждение) вместо массовых серий GA/G;Винтовой компрессор Atlas Copco AQ 30 AC/10 W | Винтовой компрессор Atlas Copco AQ 30 AC/13 W | Винтовой компрессор Atlas Copco AQ 30 AC/7,5 
продажа компрессоров;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача на ключевой коммерческий запрос;
компрессоры винтовые промышленные купить;paste_from_serp;wrong_top;1;webmaster;20;Топ-8 полностью занят безмасляными моделями при широком общем запросе;Винтовой безмасляный компрессор ET SOF WL 11  | Винтовой безмасляный компрессор ET SOF WL 15  | Винтовой безмасляный компрессор ET SOF WL 22 
компрессор промышленный цена;paste_from_serp;wrong_top;1;webmaster;20;"Топ монополизирован одним брендом дизельных; широкий запрос требует микса типов и брендов";Компрессор винтовой дизельный MASTER BLAST BP | Компрессор винтовой дизельный MASTER BLAST BP | Компрессор винтовой дизельный MASTER BLAST BP
кислородная станция купить;paste_from_serp;wrong_top;0;webmaster;20;Генераторы азота подменяют кислородные станции — принципиально разные продукты;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
азотные станции и установки;paste_from_serp;empty_but_should;0;webmaster;0;Пусто, хотя генераторы азота ENGER явно есть в ассортименте;
продажа винтовых компрессоров;paste_from_serp;empty_but_should;0;webmaster;0;Пустая выдача по одному из ключевых запросов всей категории;
осушитель для компрессора рефрижераторный купить;paste_from_serp;wrong_top;0;webmaster;20;топ — компрессоры ABAC FORMULA, а не рефрижераторные осушители;Винтовой компрессор ABAC FORMULA ME30-10 | Винтовой компрессор ABAC FORMULA ME30-13 | Винтовой компрессор ABAC FORMULA ME30-7.5
купить промышленный компрессор;paste_from_serp;wrong_top;1;webmaster;20;"широкий запрос, но топ — только дизельные MASTER BLAST; электрические и поршневые отсутствуют";Компрессор винтовой дизельный MASTER BLAST BP | Компрессор винтовой дизельный MASTER BLAST BP | Компрессор винтовой дизельный MASTER BLAST BP
цена дизельный винтовой компрессор;paste_from_serp;wrong_top;1;webmaster;20;категория верная, но топ монобрендовый (Dalgakiran) — дляценового запроса нужна мультибрендовая выдача;Винтовой компрессор дизельный Dalgakiran PDC  | Винтовой компрессор дизельный Dalgakiran PDC  | Винтовой компрессор дизельный Dalgakiran PDC 
купить компрессор dali;paste_from_serp;wrong_top;1;webmaster;20;Топ содержит только DALI низкого давления, обычные винтовые DALI (DL-серия) вытеснены из выдачи;Компрессор низкого давления DALI DLVF-132/3 | Компрессор низкого давления DALI DLVF-200/3 | Компрессор низкого давления DALI DLVF-37/3
кислородная установка купить;paste_from_serp;wrong_top;0;webmaster;20;показаны генераторы азота вместо кислородных установок/генераторов кислорода;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
винтовых компрессоров;paste_from_serp;wrong_top;1;webmaster;20;топ целиком из безмасляных моделей при общем запросе без уточнения типа;Винтовой безмасляный компрессор Dali VFW110-1 | Винтовой безмасляный компрессор Dali VFW110-1 | Винтовой безмасляный компрессор Dali VFW110-8
генератор кислорода цена;paste_from_serp;wrong_top;0;webmaster;20;показывает азотные генераторы вместо кислородных — подмена категории;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
купить кислородную станцию для производства кислорода;paste_from_serp;wrong_top;0;webmaster;20;явный интент на кислород, выдача полностью азотные генераторы;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
кислородная станция для производства кислорода;paste_from_serp;wrong_top;0;webmaster;20;Показаны генераторы азота вместо кислорода;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
магистральные фильтры для очистки сжатого воздуха;paste_from_serp;wrong_top;0;webmaster;20;Запрос на фильтры, выдача — винтовые компрессоры;Винтовой компрессор Kraftmann POLARIS 45 W | Винтовой компрессор Atlas Copco GA11 10FF/400 | Винтовой компрессор Atlas Copco GA11 10FF/400
кислородная станция цена;paste_from_serp;out_of_scope;0;webmaster;20;"в ассортименте только генераторы азота; кислородные установки вне тематики магазина";Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
купить ресивер для компрессора;paste_from_serp;wrong_top;0;webmaster;20;вместо ресиверов показаны винтовые компрессоры;Винтовой компрессор Hansmann RSA 11 16 бар | Винтовой компрессор ARIACOM NT15 V DF 15 бар | Винтовой компрессор ATLAS COPCO GA 90+
кислородная установка цена;paste_from_serp;out_of_scope;0;webmaster;20;"в ассортименте только генераторы азота; кислородные установки вне тематики магазина";Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
купить осушитель воздуха для компрессора;paste_from_serp;wrong_top;0;webmaster;20;"вместо осушителей — безмасляные компрессоры EKOMAK; категория осушителей вассортименте есть";Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS25V
осушитель воздуха для компрессора купить;paste_from_serp;wrong_top;0;webmaster;20;Вместо осушителей выдаются безмасляные компрессоры EKOMAK;Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS25V
рефрижераторный осушитель воздуха для компрессора купить;paste_from_serp;wrong_top;0;webmaster;20;Вместо рефрижераторных осушителей — винтовые компрессоры ABAC;Винтовой компрессор ABAC FORMULA ME30-10 | Винтовой компрессор ABAC FORMULA ME30-13 | Винтовой компрессор ABAC FORMULA ME30-7.5
осушитель сжатого воздуха для компрессора купить;paste_from_serp;wrong_top;0;webmaster;20;Вместо осушителей сжатого воздуха — винтовые компрессоры ABAC;Винтовой компрессор ABAC GENESIS 15-13-500 | Винтовой компрессор ABAC MICRON.E 11-10-270 | Винтовой компрессор ABAC MICRON.E 11-10-500
азотный генератор купить;paste_from_serp;empty_but_should;0;webmaster;0;Нет результатов, хотя генераторы газов заявлены в ассортименте магазина;
ресивер воздушный купить;paste_from_serp;wrong_top;1;webmaster;20;показаны компрессоры на ресивере, а не отдельные ресиверы как товар;Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти
купить компрессор с ресивером;paste_from_serp;wrong_top;1;webmaster;20;в топе только версии с ресивером+осушителем (500Д), чистые с ресивером не выведены;Винтовой компрессор REMEZA ВК7Е-8-500Д (с осу | Винтовой компрессор REMEZA ВК10Е-8-500Д (с ос | Винтовой компрессор REMEZA ВК15Е-8-500Д (с ос
купить азотную станцию для производства азота;paste_from_serp;empty_but_should;0;webmaster;0;нет результатов, хотя генераторы газов заявлены в ассортименте магазина;
купить осушитель сжатого воздуха;paste_from_serp;wrong_top;0;webmaster;20;показаны безмасляные компрессоры ЗИФ вместо осушителей сжатого воздуха;Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-11 | Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-12 | Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-14
купить винтовой компрессор недорого;paste_from_serp;wrong_top;1;webmaster;20;Вся выдача — вариации одной модели BERG ВК-11 по давлению, нет сравнения брендов/ценовых сегментов;Винтовой компрессор BERG ВК-11 10 бар | Винтовой компрессор BERG ВК-11 12 бар | Винтовой компрессор BERG ВК-11 16 бар, IP54
компрессор воздушный электрический винтовой цена;paste_from_serp;wrong_top;1;webmaster;20;Широкий запрос возвращает только крупные ZEGA ASED (160–315 кВт), нет разброса по мощности и бренду;Компрессор винтовой ZEGA ASED 160 8 | Компрессор винтовой ZEGA ASED 185 8 | Компрессор винтовой ZEGA ASED 200 8
воздушный винтовой компрессор цена;paste_from_serp;wrong_top;1;webmaster;20;Широкий запрос, весь топ — один бренд (ABAC) и одна мощность (11 кВт), ассортимент не раскрыт;Винтовой компрессор ABAC SPINN 11-10 FM | Винтовой компрессор ABAC SPINN 11-10-TM270 | Винтовой компрессор ABAC SPINN 11-10-TM500
купить безмасляный поршневой компрессор;paste_from_serp;wrong_top;1;webmaster;20;"Топ — только промышленные бустеры высокого давления (40 бар); стандартные безмасляные поршневые компрессоры в выдаче отсутствуют";Поршневой безмасляный компрессор (бустер) Lup | Поршневой безмасляный компрессор (бустер) Lup | Поршневой безмасляный компрессор (бустер) Lup
поршневые компрессоры купить;paste_from_serp;wrong_top;1;webmaster;20;Топ занят PET-PLUS (35–40 бар, дляПЭТ-производства), обычные промышленные поршневые не показаны;Компрессор поршневой DALGAKIRAN PET-PLUS 25 3 | Компрессор поршневой DALGAKIRAN PET-PLUS 25 4 | Компрессор поршневой DALGAKIRAN PET-PLUS 40 4
купить винтовой воздушный компрессор;paste_from_serp;wrong_top;1;webmaster;20;весь топ — одна серия ABAC SPINN 11 кВт, нет разнообразия мощностей и брендов для общего запроса;Винтовой компрессор ABAC SPINN 11-10 FM | Винтовой компрессор ABAC SPINN 11-10-TM270 | Винтовой компрессор ABAC SPINN 11-10-TM500
компрессор воздушный электрический;paste_from_serp;wrong_top;1;webmaster;20;топ занят только передвижными Enger, стационарные электрические компрессоры не представлены;Компрессор электрический передвижной Enger EC | Компрессор электрический передвижной Enger EC | Компрессор электрический передвижной Enger EC
компрессор воздушный винтовой цена;paste_from_serp;wrong_top;1;webmaster;20;весь топ — одна серия ABAC SPINN 11 кВт, нет ценового диапазона и выбора брендов;Винтовой компрессор ABAC SPINN 11-10 FM | Винтовой компрессор ABAC SPINN 11-10-TM270 | Винтовой компрессор ABAC SPINN 11-10-TM500
купить воздушный винтовой компрессор;paste_from_serp;wrong_top;1;webmaster;20;весь топ — ABAC SPINN 11 кВт, нет разнообразия по мощности и брендам для категорийного запроса;Винтовой компрессор ABAC SPINN 11-10 FM | Винтовой компрессор ABAC SPINN 11-10-TM270 | Винтовой компрессор ABAC SPINN 11-10-TM500
воздушный компрессор дизельный;paste_from_serp;wrong_top;1;webmaster;20;весь топ — только Sullair, нет разнообразия брендов для широкого категорийного запроса;Дизельный винтовой компрессор Sullair PTO 10X | Дизельный винтовой компрессор Sullair DLQ 600 | Дизельный винтовой компрессор Sullair DPQ 750
купить компрессор промышленный;paste_from_serp;wrong_top;1;webmaster;20;Топ монополизирован одним брендом дизельных компрессоров, нет электрических и поршневых;Компрессор винтовой дизельный MASTER BLAST BP | Компрессор винтовой дизельный MASTER BLAST BP | Компрессор винтовой дизельный MASTER BLAST BP
купить компрессор дали;paste_from_serp;wrong_top;1;webmaster;20;Топ занят нишевыми компрессорами низкого давления вместо основных винтовых серий Dali;Компрессор низкого давления DALI DLVF-132/3 | Компрессор низкого давления DALI DLVF-200/3 | Компрессор низкого давления DALI DLVF-37/3
компрессор 5000 л мин цена;paste_from_serp;wrong_top;1;webmaster;20;"топ показывает бустеры до 1200 л/мин; компрессоры ~5000 л/мин (≈5 м³/мин) в выдаче не видны";Винтовой компрессор ММЗ ПВ 3,5/0,7 (на шасси  | Компрессор поршневой дожимной (бустер) KRAFTM | Компрессор поршневой дожимной (бустер) KRAFTM
продажа промышленных компрессоров;paste_from_serp;empty_but_should;0;webmaster;0;критично:ключевой коммерческий запрос —ноль результатов на профильном сайте;
винтовой компрессор воздушный купить;paste_from_serp;wrong_top;1;webmaster;20;топ мономарочный — только ABAC SPINN 11 кВт, нет разнообразия брендов и мощностей для общего запроса;Винтовой компрессор ABAC SPINN 11-10 FM | Винтовой компрессор ABAC SPINN 11-10-TM270 | Винтовой компрессор ABAC SPINN 11-10-TM500
компрессоры винтовые купить;paste_from_serp;wrong_top;1;webmaster;20;топ смещён в крупные и нишевые модели (DAS DPK, безмасляные Atlas Copco ZR), нет базовых 7–37 кВт;Винтовой компрессор DAS DPK 5200 D | Дизельный винтовой компрессор DAS DPK 7200 D  | Винтовой компрессор DAS DPK 9000 D
купить винтовой компрессор воздушный;paste_from_serp;wrong_top;1;webmaster;20;"Весь топ — только ABAC SPINN 11 кВт; широкий запрос требует разнообразия брендов и мощностей";Винтовой компрессор ABAC SPINN 11-10 FM | Винтовой компрессор ABAC SPINN 11-10-TM270 | Винтовой компрессор ABAC SPINN 11-10-TM500
