inn;predpriyatie;sayt;mesto
7708117908;"АО ""ЦЕМРОС""";https://cemros.ru;205
6439010045;"АО ""РЕЗИНОТЕХНИКА""";https://salnik.ru;209
6664014650;"АО ""УРАЛЭЛАСТОТЕХНИКА""";https://elastika.ru;211
5408100057;ИФП СО РАН;https://isp.nsc.ru;212
6623039575;"ООО ""УРАЛЬСКИЙ ЗАВОД ПЛАСТИФИКАТОРОВ""";https://uralzp.ru;214
2463077325;"АО ""ГОРНЫЕ МАШИНЫ""";https://aogm.ru;215
7802475153;"ООО ""Р.О.С.АЛЬЯНС""";https://tk-ra.ru;216
4246018534;"ООО ""КДВ ЯШКИНСКАЯ МЕЛЬНИЦА""";https://kdv-group.com;217
6660091703;"ООО ""НПФ""БИТЕК""";https://bitek-e.ru;218
6629012040;"ООО ""ЗАВОД МЕДСИНТЕЗ""";https://medsintez.com;219
8602166294;"ООО ""АЛТАЙ-СИБ""";https://sat-altai.ru;220
6608001915;"МУП ""ВОДОКАНАЛ""";https://vodokanalekb.ru;221
6626002291;"АО ""СТЗ""";https://stz.tmk-group.ru;224
4220040912;"ООО ""СЗМК""";https://szmk-nk.com;225
7704781586;"ООО ""ТУРБОСЕРВИС РУС""";https://seturbo.ru;226
5011020537;"ООО ""СЕН-ГОБЕН СТРОИТЕЛЬНАЯ ПРОДУКЦИЯ РУС""";https://saint-gobain.ru;228
4501024105;"ООО ""ЗАУРАЛЬСКИЕ НАПИТКИ""";https://znapitki.ru;231
6605001321;"БОГДАНОВИЧСКОЕ ОАО ""ОГНЕУПОРЫ""";https://ogneupory.ru;232
7724053916;АО ЦВ ПРОТЕК;https://protek.ru;233
5020037784;"АО ""АБ ИНБЕВ ЭФЕС""";https://redfinchnonalco.ru;234
665812103395;КРИВОЩЕКОВ АЛЕКСАНДР ИВАНОВИЧ;https://eb.archive.org;235
6658019241;"ПАО ""ВИЗ""";https://viz.ru;237
6625021894;"ООО ""ПОЛИПЛАСТ-УРАЛСИБ""";https://pervouralsk.polyplast-un.ru;238
9702044125;"ООО ""ЮНИМОЛ""";https://unimol.ru;239
5402054076;"ООО ""АЛЮТЕХ-НОВОСИБИРСК""";https://alutech-group.com;242
7203109158;"ООО ""РЕСУРС КОМПЛЕКТ""";https://resurs-complect.ru;244
2420008503;"ООО ""АНГАРА ЛЕС""";https://angarales.com;245
5405172920;"ООО ""ТЕРМООПТИМА""";https://thermooptima.ru;246
0261003648;"АО ""ИНМАН""";https://inman.ru;248
7704219345;"ООО ""ЭСАБ""";https://esab.ru;249
7224006227;"ЗАО ""ПТИЦЕФАБРИКА ""ПЫШМИНСКАЯ""";https://pishma.ru;250
7203162698;"ПАО ""ФОРВАРД ЭНЕРГО""";https://frwd.energy;251
6661044752;"ООО ""ПРЕДПРИЯТИЕ""ТРУБОПЛАСТ""";https://tmk-ngs.tmk-group.ru;253
6660000400;"АО ""УПЗ"", АО ""УРАЛЬСКИЙ ПРИБОРОСТРОИТЕЛЬНЫЙ ЗАВОД""";https://upz.ru;254
8607004145;"ООО ""ЛАНГЕПАССКО-ПОКАЧЁВСКОЕ НПО-СЕРВИС""";https://nposervis.ru;255
5405200166;"ООО ""СПК""";https://elicatesse.ru;256
0814118403;"АО ""ССК""";https://sibserv.com;257
2465043748;"ООО ""КРАМЗ""";https://kramz-trade.ru;262
6686062263;"ООО ""ТРАПЕЗА""";https://trapeza.ru;263
5606001611;"ООО ""ММСК""";https://56orb.ru;264
5902181202;"АО ""ПЕРМАЛКО""";https://permalko.ru;266
4212014972;"ЗАО ""КАРБО-ЦАКК""";https://carbo-zakk.ru;267
2225123485;"ООО ""ЭССИБ""";https://essib.ru;268
6672315362;"АО ""ПО ""УОМЗ""";https://uomz.com;269
7817332133;"ООО ""А-МИКРОН""";https://a-mikron.ru;271
4508004235;"ООО ""ЗАВОД КЕРАМИЧЕСКИХ МАТЕРИАЛОВ""";https://zkm45.ru;272
5405108940;"ЗАО ШОКОЛАДНАЯ ФАБРИКА ""НОВОСИБИРСКАЯ""";https://saharin-nsk.ru;275
6673130639;"ООО ""БЗМП""";https://minplita-izba.ru;278
1645018033;"ООО ""ПЛАЗМА""";https://plazma.ltd;279
4506000010;"ОАО ""ЗАВОД СТАРТ""";https://zavod-start.ru;281
1832109347;"ООО НПО ""КОМПАНИЯ ""АВИС""";https://avis-izh.ru;282
7415075158;"ООО НПК ""КАЛИБР""";https://npkkalibr.ru;283
5626008809;"СПК ""ПТИЦЕФАБРИКА ГАЙСКАЯ""";https://gayfa.ru;284
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";https://pnos.lukoil.ru;286
5902152547;"ООО ""АКС""";https://acs.perm.ru;287
5904007312;"АО ""ОДК-ПМ""";https://perm-motors.ru;288
5613000880;"АО ""ОРСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД""";https://tmk-group.ru;290
6658078007;"ЗАО ""ЗАВОД ЭМА""";https://emauslugi.ru;292
3321027747;"АО ""ГЕНЕРИУМ""";https://generium.ru;293
5410079229;"АО ""ПО ""СЕВЕР""";https://posever.ru;295
4229004316;"ООО ""ТОПКИНСКИЙ ЦЕМЕНТ""";https://topkinsky.sibcem.ru;296
3124011000;"АО ""БМК""";https://parmalat.ru;297
5911013211;"АО ""МЕАКИР""";https://meakir.ru;299
7204003683;"АО ""ТЮМЕНСКИИ КХП""";https://tmnkhp.ru;301
5408156204;"ООО ""ГЕРКУЛЕС-СИБИРЬ""";https://gerkules.com;303
6678093250;"ООО ""ЖЕЛЕЗНЫЙ АРГУМЕНТ""";https://ironargument.com;304
6439000706;"АО ""ПИВКОМБИНАТ ""БАЛАКОВСКИЙ""";https://balakovgroupp.ru;306
5003022562;"ООО ""ИЗВАРИНО ФАРМА""";https://ildiglip.ru;307
3814018958;"ООО ""СГБ""";https://silex.ru;309
7719465590;"ООО ""ВМИК""";https://bmandc.ru;310
4253002711;"ООО ""СИБИРЬ-ЭНЕРГО""";https://sibir-energo.com;311
6623049453;"АО ""УКБТМ""";https://uralfm.ru;312
1650371043;"ООО ""ХАИР""";https://haieronline.ru;313
6664002550;"ПАО ""УРАЛЬСКИЙ ЗАВОД РТИ""";https://uralrti.ru;314
8602303769;"ООО ""ТД НОРД БИР""";https://nordbear.su;315
5401365544;"ООО ""РЫБНЫЙ ХИТ""";https://fish-express.ru;320
6671317254;"ООО ""УЗМК""";https://uzmk.org;321
6659059688;"ООО ""ХЛАДОКОМБИНАТ № 3""";https://xk3.ru;322
3528215377;"ООО ""МЕХАНИК""";https://mehanik35.ru;326
6674368458;"ООО ""ДОБРОГОСТ""";https://dobrogost-mpz.ru;328
7816017139;"АО ""ФОРМИК""";https://formic.ru;329
6671136956;"ООО ""РЕМКОМ-СЕРВИС""";https://remkom-service.ru;331
7842000607;"ООО ""ДЕЛЬФИН ГРУПП""";https://delfoodgroup.com;332
6670503272;"ООО ""ГРАНДИОС""";https://grandios.ru;334
7816377614;"ООО ""КГ СТРОЙ СИСТЕМЫ""";https://danogips.ru;335
7224008030;"АО ""ПТИЦЕФАБРИКА ""БОРОВСКАЯ""";https://borfab.ru;336
6679100694;"ООО ""ПКФ ""ЭКО-ПРОЦЕССИНГ""";https://ekoprozess.ru;337
6685084514;"АО ""АГЕНТСТВО ПО РАЗВИТИЮ РЫНКА ПРОДОВОЛЬСТВИЯ""";https://glavxleb.ru;338
7203372409;"ООО ""АБСОЛЮТ-АГРО""";https://absolutagro.com;342
6432009756;"ООО ""КОРОЛЬ ДИВАНОВ""";https://kingsofa.ru;343
6662001134;"ОАО ""СКХП""";https://skhp-ural.ru;344
6681004250;"ООО ""МОЛОЧНАЯ БЛАГОДАТЬ""";https://oaomb.ru;346
5506200910;"ООО ""СТРОЙМОНТАЖ-5""";https://sm-5.ru;347
6633021880;"ООО ""ТАЛИЦКОЕ МОЛОКО""";https://talmoloko.ru;348
7401000191;"ПАО ""АГРЕГАТ""";https://agregat-avia.ru;349
6664012780;"ООО ""МЕПОС""";https://meposgroup.ru;350
5406305355;"ООО ""СИБСТЕКЛО""";https://sibstek.ru;351
4221011880;"ООО ""СИБЭЛЕКТРО""";https://sibelectro.com;353
4505200979;"АО ""ВАРГАШИНСКОЕ ДРСП""";https://drspv.ru;355
5440102612;"ГБУЗ НСО ""ЧЕРЕПАНОВСКАЯ ЦРБ""";https://chrcrb.mznso.ru;356
1646020116;"АО ""ПОЛИМАТИЗ""";https://baustill.ru;358
2221239841;"ООО ""РУСПРОМ""";https://prokompressor.ru;359
6382049214;"ООО ""ЗИП""";https://zip.ru;362
6664025331;"АО ""НПФ ""ЮВЭНК""";https://uvenk.com;364
6672162236;"ООО ""ТПГ ""СОЛИД""";https://solidgroup.ru;365
6661010721;"АО ""НПО ""ИНТРОТЕСТ""";https://introtest.com;366
6633017549;"АО ""БГМЗ""";https://milky-kit.ru;367
1833026870;"ООО ""ИРЗ""";https://irz.ru;369
6652002273;"АО ""КЗФ""";https://kzf.ru;370
5903003690;"АО ""ПЕРМСКИЙ МУКОМОЛЬНЫЙ ЗАВОД""";https://permill.ru;371
2463086538;"ООО""ИММЕРТЕХНИК""";https://immertechnik.ru;372
6685026960;"ООО ""ПНЕВМОПРОЕКТ""";https://pnevmoproekt.ru;374
5916031750;"ООО ""КАМА""";https://cbk-kama.com;376
3618003426;"ЗАО ""АВС ФАРБЕН""";https://abcfarben.ru;377
5406244208;"ООО ""ПОЛИМЕРПАК""";https://polimer-pak.ru;378
7730248021;"ООО ""ИСО""";https://isoserv.ru;379
0572032218;"ООО ""КАСПИЙСКИЙ НПЗ""";https://caspianoilandgas.com;380
5506202219;"АО ""ЦКБА""";https://ckba.net;381
4501083781;"АО ""КУРГАНСКИЕ ПРИЦЕПЫ""";https://pricep45.ru;382
6670078934;"АО ""ИПП ""УРАЛЬСКИЙ РАБОЧИЙ""";https://uralprint.ru;383
6633028244;"ООО ""СЛК ЦЕМЕНТ""";https://slk-cement.com;384
5612030402;"ООО ""ОРЕНБУРГСКИЙ РАДИАТОР""";https://orenrad.ru;385
6452046139;"ООО ""ДИКОМП-КЛАССИК""";https://raduga-bottlers.ru;386
5911083593;"ООО ""АВИСМА""";https://vsmpo.ru;388
5408106299;"АО ""ИПФ""";https://ipfn.ru;390
6672212127;"ООО ""547 МЕХАНИЧЕСКИЙ ЗАВОД""";https://547zavod.ru;392
1650331731;"ООО ""ПОЛИХИМ СИСТЕМС""";https://polychem-systems.ru;394
6685124044;"ООО ""МЦС""";https://icert.su;395
6685100188;"ООО ""ШИНА-СТАНДАРТ""";https://shina-standart.ru;398
6679044016;"ООО ""ЭКОПРОСТ""";https://eco-prost.ru;400
6325000660;"АО ""ТЯЖМАШ""";https://tyazhmash.com;401
6679089063;"ООО ИПК ""ЛАЗУРЬ""";https://lazurprint.ru;402
7414001724;"АО ""МКХП-СИТНО""";https://sitno.ru;403
7811438750;"ООО ГК ""ЛИМАН""";https://liman-group.ru;405
6659042028;"ЗАО "" РЦЛТ""";https://uraltechnopark.ru;407
6685218398;"ООО ""АТЛАС УРАЛ""";https://atlasural.ru;410
7203556170;"ООО ""ЭЛЬБРУС ДРИЛЛИНГ""";https://elbrusdrilling.com;411
6608002732;"ЕМУП ""ГОРТРАНС""";https://ekatgortrans.ru;412
6673197337;"АО ""УЭТМ""";https://uetm.ru;413
5404148844;"ООО ""СИБКОР-Н""";https://gotovo.shop;414
4715011103;"ООО ""ЛУЗАЛЕС-ТИХВИН""";https://luzales.ru;417
7813252159;"АО ""ГОЗНАК""";https://goznak.ru;418
7203557826;"ООО ""КЕНЕРА""";https://kenera.ru;421
5615002700;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";https://ornpz.ru;422
4501221030;"ООО ""ХЛЕБОКОМБИНАТ №1""";https://kurganhk1.ru;423
4501169460;"ООО ""РЕМСТРОЙМАШ""";https://npommz.ru;425
8602242925;"ООО МЯСОКОМБИНАТ ""СУРГУТСКИЙ""";https://mksurgut.ru;426
0276908600;"ООО ""АВЕРС ТЕХНО""";https://generator-ufa.ru;427
7709787790;"ООО ""ВЕЛЕССТРОЙ""";https://shome-house.ru;428
6670274287;"ООО  ""ИНОТЕКС""";https://inoteks.net;431
6673105167;"ООО ""УДМЗ""";https://sinaratm.ru;433
3906134785;"ООО ""БЕНТЕК""";https://bentec.com;435
5433150823;"АО ""ВЕКТОР-БИАЛЬГАМ""";https://bialgam.ru;438
5603035933;"ООО ""РЦСУ""";https://rcsu.bz;440
6345012488;"АО ""ГИДРОРЕМОНТ-ВКК""";https://hvkk.rushydro.ru;441
8603118208;"АО""СНПХ""";https://snph.biz;443
6672305484;"ООО ""ШТОРМ""";https://shtorm-its.ru;444
1841032147;"ООО ""ТДС""";https://tds-udm.ru;445
7709014944;"АО ""ГАЗПРОМ БЫТОВЫЕ СИСТЕМЫ""";https://darina.su;448
6659162847;"ООО ""ХИМЭНЕРГО""";https://himenergo.ru;451
1650211040;"ООО ""ПКФ ""АВТОКОМПОНЕНТЫ-ТРЕЙД""";https://avtokomponenti-treid.pulscen.ru;452
3849070878;"ООО ""НОВЫЙ БЕТОН""";https://beton-irkutsk.com;458
4221017793;"ООО ""КАМСС-СЕРВИС""";https://kamss.ru;459
7811518357;"ООО ""КОМАИР СПБ""";https://ingersollrandrus.com;460
6626019584;"ООО ""ЦЕНТР - ОЙЛ""";https://centr-oil.com;461
6672267630;"ООО ""ПРОМСЫРЬЕ""";https://promsyrie.ru;464
7448025642;"АО ""ГК ""РОСМОЛ""";https://rossmol.ru;465
6670225868;"ООО ""НПП ""ТСП""";https://npptsp.ru;467
3807000276;"МУП ""ВОДОКАНАЛ"" Г.ИРКУТСКА";https://irkvkx.ru;472
5905011590;"ООО ""ИНТРАСТ""";https://1ets.ru;473
6669002747;"АО ""СА""";https://sa-nt.ru;476
6150040275;"ООО ""СИНТЕЗ-ДОН""";https://sintezdon.ru;478
7727159340;"ООО ""НОРГАУ РУССЛАНД""";https://norgau.com;479
2222849374;"ООО ""НОВОСИБИРСКИЙ МЕЛЬКОМБИНАТ № 1""";https://zernonmk.com;480
662104669362;ФОМИНЫХ ЮРИЙ ВЛАДИМИРОВИЧ;https://dissercat.com;483
7017156263;"ООО ""ГАЗПРОМ МЕТАНОЛ""";https://smd-chem.ru;487
6671098732;"ООО ""ГОРЫ УРАЛА""";https://ezhovaya.ural.ski;488
7802762006;"ООО ""ПРОМЫШЛЕННЫЕ СИСТЕМЫ""";https://promsystem.su;489
3123216598;"ООО ""ФАБРИКА КОМПРЕССОРОВ""";https://fabrika-kv.ru;491
