inn;predpriyatie;pometka;tipy_mashin;sreda;marki;sostoyaniy;vyvod_ekspertizy;data_zakluchenia;vyruchka_rub;chistaya_pribyl;ssch;ball_prioriteta;okved;oborudovanie_po_okved;region;adres;status_egrul;direktor;sayt;pochta;telefony_iz_bazy;telefony_predpriyatiya;lyudej_v_baze;tehnicheskih;lyudej_iz_faylov;tehnicheskie_lyudi;lyudi_iz_faylov;proverok_nadzora;v_baze_obzvona;segment;novost;novost_ssylka;chego_ne_hvataet;faktov_centrobezhnyh;sostoyaniya_po_faktam;ssylki_na_istochniki;citaty_dokazatelstv;daty_faktov;marki_iz_faktov;sreda_po_faktam;moy_prioritet;vazhnost_pokupki;dostupnost_kontakta;prioritet_pochemu;lyudi_moi_vsego;lyudi_moi_podrobno
7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";покупали ранее;центробежная | поршневая или винтовая | тип не установлен | не установлен | паро;воздух;100ММ 21А | 2M 0 | 380В 112КГ | 380В 40КГ | 50ММ 32ММ | 5ММ 5.9КГ | 80М 100ММ | 8А 220В;3;не в полной мере | соответствует;31.10.2016;293900000000;;;;35.11.1;;Москва;;;;irao-generation.ru;zachesa_ab@interrao.ru;+74012690453 | +74945372648 | +74956648840 доб. 3242 | +79632929980;"[""+7 (495) 664-76-80 (центральный)"", ""+7 (495) 664-76-84 (факс)""]";17;0;3;;Фастивец Марк Васильевич (начальник отдела охраны труда и промышленной безопасности) | Сундуков Сергей Николаевич (заместитель главного инженера по ремонту) | Сундуков Сергей Николаевич (заместитель главного инженера по ремонту);143;нет;новостные;;;технический человек;110;есть | есть на площадке | планировал | планирует | покупает;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-06282-2017 | https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-24624-2022 | https://www.tektorg.ru/market/procedures/13646985 | https://www.tektorg.ru/inter_rao/procedures/12131973 | https://www.tektorg.ru/market/procedures/10831367 | https://www.tektorg.ru/market/procedures/10443326 | https://www.tektorg.ru/market/procedures/9622975 | https://www.tektorg.ru/market/procedures/7123567 | https://www.tektorg.ru/market/procedures/2973989 | https://www.tektorg.ru/inter_rao/procedures/1270988 | https://www.tektorg.ru/inter_rao/procedures/631715 | https;"заключение ЭПБ № 54-ТУ-06282-2017 ;; заключение ЭПБ № 54-ТУ-24624-2022 ;; ТЭК-Торг: организация в выгрузке по нашему предмету ;; ТЭК-Торг, контакты: организация в выгрузке по нашему предмету ;; план 2210540387 позиция 1089, сумма 7 003 100,01 ₽ ;; план 2210540387 позиция 545, сумма 2 790 900,00 ₽ ;; план 2230713387 позиция 3546, сумма 1 622 222,22 ₽ ;; план 2240778442 позиция 746, сумма 1 000 457,12 ₽ ;; план 2230713387 позиция 4046, сумма 1 000 457,12 ₽ ;; план 2240778442 позиция 135, сумма 3 4";01.2024 | 01.2025 | 01.2026 | 02.2025 | 03.2023 | 04.2024 | 04.2026 | 05.2024 | 05.2025 | 06.2024 | 06.2025 | 07.2024 | ;ТК23С-01 | ОТМ-5000 | ТВ-80-1,6М-01 | К-200 | К-300-240 | К-215-130ЛМЗ | К-210-130 | К-225-12,8-4Р | К-1200-240 | К-300-240 | К-330-23,5-8МР | К-1200-240ЛМЗ | К-215-130 | ПТ-20 | К-110-6,5 | ТТК-110 |;воздух | среда не названа;735;70;35;важность:планируют покупать +35 | важность:воздух +25 | важность:доказательство свежее +10 | доступность:техническая роль +25 | доступность:должность ;3;"Фастивец Марк Васильевич | начальник отдела охраны труда и промышле |  | техническая | ЕРКНМ ;; Сундуков Сергей Николаевич | заместитель главного инженера по ремонту |  | техническая | ЕРКНМ ;; Сундуков Сергей Николаевич | заместитель главного инженера по ремонту |  | техническая | ЕРКНМ"
4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";имеют;центробежная | поршневая или винтовая | тип не установлен | не установлен;воздух;HDL 603LW | T891 | АУ200 | АУУ400 | ВЦ-701/1, | ВЦ-701/2, | ДАО-550 | ДАО-750;2;не в полной мере | соответствует;31.01.2019;11600000000.0;1,1 млрд руб.;;66;20.13 Производство прочих основных неорганических химических веществ;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Генераторы азота | Гене;Кировская область;613040, Кировская область, г. Кирово-Чепецк, пер. Пожарный, д. 2;Действующая компания;;halopolymer.ru;info@halopolymer.com;+7 (342) 250-61-80 | +7 (342) 254-05-90 | +7 833 616-91-92 | +7 833 616-94-51 | +7 891 282-96-04 | +7 912 829-60-43;+7 919 514-16-05 | +7 833 616-94-51 | +7 833 616-91-92 | +7 912 829-60;0;0;0;;;31;1;;;;технический человек;8;есть | покупает;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-748361-2026 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-86211-2025 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-86218-2025 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-86537-2025 | https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-02601-2025 | https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-02604-2025 | https://zakupki.mos.ru/need/3840214 | https://www.roseltorg.ru/procedure/B0111211244352/1;"заключение ЭПБ № 43-ТУ-748361-2026 ;; заключение ЭПБ № 43-ТУ-86211-2025 ;; заключение ЭПБ № 43-ТУ-86218-2025 ;; заключение ЭПБ № 43-ТУ-86537-2025 ;; заключение ЭПБ № 47-ТУ-02601-2025 ;; заключение ЭПБ № 47-ТУ-02604-2025 ;; процедура 3840214 ;; процедура B0111211244352";01.11.2021 | 17.01.2025 | 19.03.2026 | 19.08.2025 | 30.11.2021 16:00;ЦК 135/8 | К031 | ТВ-200-1,4-01.У3 | ВЦ-701/1, | ТВ-200-1,4-01.У3 | ВЦ-701/2, | ЦК-201;воздух | среда не названа;710;71;0;важность:покупают +40 | важность:воздух +25 | важность:крупное предприятие +6;0;
5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";имеют;центробежная | центробежная по серии | не установлен;воздух;А-8-1. | А-8-1М | АП 104 | АП 105 | АП 304 | АП 305 | АП 306 | АП 309;2;соответствует;31.10.2017;1200000000.0;321 млн руб.;82 человека +3;40;20.11 Производство промышленных газов;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода;Санкт-Петербург;196650, г. Санкт-Петербург, вн. тер. г. город Колпино, тер. Ижорский Завод, д. 112, литера;Действующая компания;;cryo-gas.ru;seb@sinara-group.com;+7 343 221 61 10 | +7 382 270-30-23 | +7 3822 289 661 | +7 4872 250 144 | +7 495 521-52-47 | +7 800 333-88-00;+7 911 282-43-00 | +7 812 322-88-56 | +7 382 270-30-23 | +7 812 322-89;1;0;0;;;2;1;;;;технический человек;18;есть | покупает;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-03682-2016 | https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-23345-2015 | https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-23369-2015 | https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-23388-2015 | https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-08907-2014 | https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-23381-2015 | https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-23383-2015 | https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-27156-2022 | https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-27157-2022 | https://monitor-pb.ru/conclusion/62-%D0%A2;"заключение ЭПБ № 62-ТУ-03682-2016 ;; заключение ЭПБ № 62-ТУ-23345-2015 ;; заключение ЭПБ № 62-ТУ-23369-2015 ;; заключение ЭПБ № 62-ТУ-23388-2015 ;; заключение ЭПБ № 62-ТУ-08907-2014 ;; заключение ЭПБ № 62-ТУ-23381-2015 ;; заключение ЭПБ № 62-ТУ-23383-2015 ;; заключение ЭПБ № 62-ТУ-27156-2022 ;; заключение ЭПБ № 62-ТУ-27157-2022 ;; заключение ЭПБ № 62-ТУ-27159-2022 ;; заключение ЭПБ № 62-ТУ-28032-2019 ;; заключение ЭПБ № 62-ТУ-27232-2020 ;; заключение ЭПБ № 62-ТУ-27155-2022 ;; заключение ЭПБ № 62";01.12.2015 | 06.11.2020 | 07.11.2019 | 16.08.2022 | 2020-10-23 | 2021-06-02 | 25.02.2016 | 27.05.2014;К-250-61-5 | К-500-61-1 | К-500-61-1, | К-500-61-1.;воздух | среда не названа;710;71;0;важность:покупают +40 | важность:воздух +25 | важность:крупное предприятие +6;0;
5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";имеют;центробежная | поршневая или винтовая | тип не установлен | не установлен;воздух;30ТХМВ-4000-2, | 3ВКЛ-155/2,5М | 3ВКЛ-155/2.5, | 3НКЛ-155/2,5М | 3НКЛ-155/2.5 | 6МК-12/64-М2, | А-801-3 | АТКФ-348;2;соответствует;30.10.2024;5100000000.0;446,5 млн руб.;;27;20.13 Производство прочих основных неорганических химических веществ;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода ;Пермский край;614042, Пермский край, г. Пермь, ул. Ласьвинская, зд. 98;Действующая компания;;halopolymer.ru;u.levitskaya@halopolymer-perm.com;+7 (342) 250-61-80 | +7 (342) 250-64-75 | +7 (342) 254-05-90 | +7 (495) 725-44-00 | +7 (495) 725-44-00 доб.3119 | +7 (83361) 6-91-30;+7 342 250-62-89 | +7 342 250-62-57 | +7 342 250-61-44 | +7 342 250-62;0;0;0;;;12;1;;;;технический человек;25;есть | покупает;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-56453-2022 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-492715-2025 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-492727-2025 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-591983-2025 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-805456-2026 | https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-07745-2021 | https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-55380-2020 | https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-56266-2020 | https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-56438-2020 | https://monitor-pb.ru/conclusion/48-%D;"заключение ЭПБ № 48-ТУ-56453-2022 ;; заключение ЭПБ № 59-ТУ-492715-2025 ;; заключение ЭПБ № 59-ТУ-492727-2025 ;; заключение ЭПБ № 59-ТУ-591983-2025 ;; заключение ЭПБ № 59-ТУ-805456-2026 ;; заключение ЭПБ № 48-ТУ-07745-2021 ;; заключение ЭПБ № 48-ТУ-55380-2020 ;; заключение ЭПБ № 48-ТУ-56266-2020 ;; заключение ЭПБ № 48-ТУ-56438-2020 ;; заключение ЭПБ № 48-ТУ-19454-2019 ;; заключение ЭПБ № 48-ТУ-29254-2018 ;; заключение ЭПБ № 48-ТУ-10215-2020 ;; заключение ЭПБ № 48-ТУ-02739-2020 ;; заключение ЭПБ ";05.02.2019 | 08.10.2021 | 09.12.2020 | 10.08.2018 | 12.02.2021 | 14.08.2025 | 14.12.2020 | 15.06.2018 | 17.02.2021 | 18.;ХТМФ-348-4000-1 | БП59-ТУ-01/503 | ХТМФ-348-4000 | АТКФ-348 | БП59-ТУ-01/505 | ХТМФ-348-4000 | АТКФ-348 | БП59-ТУ-01/506 | ХТМФ-348-4000 | АТКФ-348 | БП59-ТУ-01/504 | ХТМФ-348-4000 | АТКФ-348 | ЦК-135;воздух | среда не названа;710;71;0;важность:покупают +40 | важность:воздух +25 | важность:крупное предприятие +6;0;
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";покупали ранее;центробежная | не установлен | центробежный насос, не компрессор;воздух;;1;;;52100000000.0;4 млрд руб.;;31;37.00 Сбор и обработка сточных вод;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода ;Санкт-Петербург;191015, г. Санкт-Петербург, ул. Кавалергардская, д. 42;Действующая компания;;водоканал-спб.рф;kolesnikova_vm@vodokanal.spb.ru;+7 812 117-18-14 | +7 812 117-34-06 | +7 812 310-61-75 | +7 812 314-67-89 | +7 812 438-44-21 | +7 812 448-04-00;+7 812 117-18-14 | +7 812 117-34-06 | +7 812 310-61-75 | +7 812 448-04;0;0;0;;;;1;;;;телефон технического человека;20;планировал | покупает;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=6831fc44-d143-4972-b5bb-bf52d79962b5_c71de14a-3402-4790-8924-f4f66bd91c35&infoGuid=6831fc44-d143-4972-b5bb-bf52d79962b5 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=6831fc44-d143-4972-b5bb-bf52d79962b5_6303411d-61e3-4f0a-8a1d-ddd078a50fb2&infoGuid=6831fc44-d143-4972-b5bb-bf52d79962b5 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=ca19d7ca-c118-489b-9e7a-bd6df6b10c48_3d4e1fda-91b8-42ad-a19f-a56b2a674e4e&infoGuid=ca19d7ca-c118-489b-9e7a-bd6df6b10c48 | https://zakupki;"план 2190420930 позиция 34, сумма 631 546,68 ₽ ;; план 2190420930 позиция 808, сумма 638 500,00 ₽ ;; план 2200498383 позиция 58, сумма 638 500,00 ₽ ;; план 2190420930 позиция 2197, сумма 638 500,00 ₽ ;; план 2200498383 позиция 566, сумма 638 500,00 ₽ ;; план 2220640727 позиция 474, сумма 300 000,00 ₽ ;; план 2210570413 позиция 1152, сумма 300 000,00 ₽ ;; план 2230725408 позиция 666, сумма 500 000,00 ₽ ;; план 2220640727 позиция 1110, сумма 500 000,00 ₽ ;; план 2230725408 позиция 594, сумма 6 873";01.2020 | 03.05.2023 10:00 | 03.2024 | 04.2022 | 04.2023 | 09.2024 | 10.2025 | 11.2023 | 11.2024 | 12.2018 | 12.2020;;воздух | среда не названа;710;71;0;важность:покупают +40 | важность:воздух +25 | важность:крупное предприятие +6;0;
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";покупали ранее;центробежная | не установлен;воздух;TB-300-1,6 | ТВ-175-1,6-01.У3.;1;;;3000000000.0;13 млн руб.;;21;37.00 Сбор и обработка сточных вод;Промышленные компрессоры от 200 000 ₽ | Рентген-детекторы и рентген-инспекционны;Ханты-Мансийский автономный округ - Югра;628422, Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Аэрофлотская, д. 4;Действующая компания;Бондаренко Григорий Анатольевич;gvk86.ru;info@gvk86.ru;+7 345 255-04-41 | +7 346 224-43-54 | +7 346 252-04-41 | +7 346 253-32-80 | +7 346 255-04-21 | +7 346 255-04-41;+7 346 255-04-41 | +7 345 255-04-41 | +7 346 252-04-41 | +7 346 224-43;0;0;0;;;;1;;;;сайт, телефон технического человека;6;планировал | покупает;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e1bacc84-6d8a-41b3-ac68-37c352110557_0f5c9af3-a415-4e19-bb60-88102fcde1db&infoGuid=e1bacc84-6d8a-41b3-ac68-37c352110557 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=cc11c34c-656b-4092-9883-38ef6a016ea7_c6aa47c9-2019-4ad7-b3dd-bce38b19edb3&infoGuid=cc11c34c-656b-4092-9883-38ef6a016ea7 | https://www.roseltorg.ru/procedure/32009418144/1 | https://www.roseltorg.ru/procedure/32009376824/1 | https://www.roseltorg.ru/procedure/32515048587/1 | https://www.roseltorg.ru/procedure/32413490281/1;"план 2230714700 позиция 209, сумма 1 766 791,67 ₽ ;; план 2240787920 позиция 215, сумма 9 794 333,33 ₽ ;; процедура 32009418144 ;; процедура 32009376824 ;; процедура 32515048587 ;; процедура 32413490281";04.2024 | 07.2025 | 17.08.2020 09:00 | 18.04.2024 09:00 | 28.07.2025 08:00 | 31.08.2020 09:00;ТВ-175-1,6-01.У3. | TB-300-1,6;воздух | среда не названа;710;71;0;важность:покупают +40 | важность:воздух +25 | важность:крупное предприятие +6;0;
0266008329;"ОАО ""Газпром нефтехим Салават""";имеют;центробежная | центробежная по серии | поршневая или винтовая | тип не установле;воздух;1ЦГ-100/32-К-11 | 2К-20/30, | 32ВЦ-100/9, | 3К-6У | 5ВП42 | 5ВП44 | 5ВП45 | 5К345.01;1;не в полной мере | соответствует;31.05.2016;;;;;;;;;;;salavat-neftekhim.gazprom.ru;marketing@snos.ru;;;0;0;0;;;;нет;;;;телефон предприятия, сайт, телефон технического человека, реквизиты (ИНН нет в б;71;есть;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34837-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34847-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34832-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34828-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34835-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34865-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34868-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34853-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34859-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2;"заключение ЭПБ № 41-ТУ-34837-2015 ;; заключение ЭПБ № 41-ТУ-34847-2015 ;; заключение ЭПБ № 41-ТУ-34832-2015 ;; заключение ЭПБ № 41-ТУ-34828-2015 ;; заключение ЭПБ № 41-ТУ-34835-2015 ;; заключение ЭПБ № 41-ТУ-34865-2015 ;; заключение ЭПБ № 41-ТУ-34868-2015 ;; заключение ЭПБ № 41-ТУ-34853-2015 ;; заключение ЭПБ № 41-ТУ-34859-2015 ;; заключение ЭПБ № 41-ТУ-34863-2015 ;; заключение ЭПБ № 41-ТУ-34850-2015 ;; заключение ЭПБ № 41-ТУ-34855-2015 ;; заключение ЭПБ № 41-ТУ-34858-2015 ;; заключение ЭПБ № 41";04.12.2015 | 08.07.2015 | 10.10.2016 | 11.02.2016 | 11.07.2016 | 16.03.2016 | 16.09.2015 | 17.09.2015 | 18.09.2015 | 18.;К-1500-62-2 | ВОТ-380 | К-1500-62-2 | К-345-92-1 | ВОТ-115 | К-345-92-1 | К-500-61-1 | К-905-61-1 | ВОТ-120 | К-905-61-1 | К-905-61-1 | 5К905.1 | К-905-61-1, | 5К905.1 | К-905-61-1, | К905.1 | К-905-6;воздух | газ или иная среда | среда не названа;700;70;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15;0;
0268036071;"ОАО ""Синтез-Каучук""";имеют;центробежная | центробежная по серии | не установлен;воздух;БЭН 443/3-ОС | Ж-8-9 | И-11 | И-3-4-5 | И-3/1 | И-3/1, | И-3/4 | И-3/I,;1;не в полной мере | соответствует;30.11.2017;;;;;;;;;;;snhz.ru;info.snhz@ruschem.ru;;;0;0;0;;;;нет;;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владел;52;есть;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-38267-2022 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-02925-2019 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-39734-2022 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-19968-2016 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-41810-2021 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-45939-2021 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-24686-2022 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-26677-2022 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-29640-2021 | https://monitor-pb.ru/conclusion/41-%D0%A2;"заключение ЭПБ № 41-ТУ-38267-2022 ;; заключение ЭПБ № 41-ТУ-02925-2019 ;; заключение ЭПБ № 41-ТУ-39734-2022 ;; заключение ЭПБ № 41-ТУ-19968-2016 ;; заключение ЭПБ № 41-ТУ-41810-2021 ;; заключение ЭПБ № 41-ТУ-45939-2021 ;; заключение ЭПБ № 41-ТУ-24686-2022 ;; заключение ЭПБ № 41-ТУ-26677-2022 ;; заключение ЭПБ № 41-ТУ-29640-2021 ;; заключение ЭПБ № 41-ТУ-39274-2021 ;; заключение ЭПБ № 41-ТУ-20887-2014 ;; заключение ЭПБ № 41-ТУ-27961-2016 ;; заключение ЭПБ № 41-ТУ-16222-2017 ;; заключение ЭПБ № 41";03.07.2014 | 03.07.2017 | 04.09.2014 | 05.05.2022 | 08.06.2016 | 08.07.2016 | 08.11.2021 | 10.09.2021 | 12.08.2021 | 14.;К-250-61-1 | М-2/2, | Р-10/1, | К-250-61-1 | М-2/2, | К-250-61-2 | М-2/3, | Р-10/1, | К 400-51-1 | К-400-51-2 | ИП-3-4-5, | К-400-51-1 | К-400-51-2, | ИП-3-4-5, | ИП-3-5 | К-400-51-2, | И-3-4-5 | ИП-3;воздух | среда не названа;700;70;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15;0;
0269034133;"ООО ""Туймазинское ГПП""";имеют;центробежная | поршневая или винтовая | тип не установлен | не установлен;воздух;1Г21-50-4В, | VDV 1-3-42-74 | В-501/2 | Е-113 | Н-49 | С-101 | Т-120;1;соответствует;31.08.2020;;;;;;;;;;;;gallyamovra1@bashneft.ru;;;0;0;0;;;;нет;;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владел;1;есть;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-64347-2021;заключение ЭПБ № 41-ТУ-64347-2021;07.12.2021;1Г21-50-4В, | В-501/2;воздух;700;70;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15;0;
0275075378;"ООО ""Башнефть-Сервис НПЗ""";имеют;центробежная | не установлен;воздух;СЭ 800-100-11, | ТВ-80-1,6 | ТВ-80-1,6,;1;соответствует;27.12.2016;;;;;;;;;;;;bnsnpz@bn.rosneft.ru;;;0;0;0;;;3;нет;;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владел;3;есть;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-37611-2018 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-37621-2018 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-46011-2016;"заключение ЭПБ № 41-ТУ-37611-2018 ;; заключение ЭПБ № 41-ТУ-37621-2018 ;; заключение ЭПБ № 41-ТУ-46011-2016";05.10.2018 | 27.12.2016;ТВ-80-1,6 | ТВ-80-1,6,;воздух;700;70;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15;0;
1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";имеют;центробежная | поршневая или винтовая | тип не установлен | не установлен | вент;воздух;04С401 | 05С401 | 06С-401 | 07В-2 | 08В-2 | 100В01 | 10FV002 | 10FV002В;2;не в полной мере | не соответствует | соответствует;31.10.2025;262899999999;;;;19.20.2;;Санкт-Петербург;;;;pererabotka.gazprom.ru;oapb@gpp.gazprom.ru;;"[""+7 (812) 455-19-14; пн-пт 09:00-18:00 (приёмная)"", ""+7 (812) 609-88-";0;0;0;;;111;нет;новостные;"Газпром переработка: Машинист технологических компрессоров; Слесарь по ремонту т";https://hh.ru/search/vacancy?text=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82%20%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%B;технический человек;116;есть;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-880401-2026 | https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-85375-2022 | https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-55486-2020 | https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-55487-2020 | https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-62672-2021 | https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-47668-2020 | https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-47673-2020 | https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-47675-2020 | https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-439310-2025 | https://monitor-pb.ru/conclusion/56-%D0%;"заключение ЭПБ № 30-ТУ-880401-2026 ;; заключение ЭПБ № 49-ТУ-85375-2022 ;; заключение ЭПБ № 58-ТУ-55486-2020 ;; заключение ЭПБ № 58-ТУ-55487-2020 ;; заключение ЭПБ № 49-ТУ-62672-2021 ;; заключение ЭПБ № 58-ТУ-47668-2020 ;; заключение ЭПБ № 58-ТУ-47673-2020 ;; заключение ЭПБ № 58-ТУ-47675-2020 ;; заключение ЭПБ № 56-ТУ-439310-2025 ;; заключение ЭПБ № 56-ТУ-750381-2026 ;; заключение ЭПБ № 56-ТУ-517950-2025 ;; заключение ЭПБ № 49-ТУ-02292-2022 ;; заключение ЭПБ № 49-ТУ-12075-2025 ;; заключение ЭПБ ";01.10.2025 | 01.12.2021 | 01.12.2023 | 02.04.2019 | 02.06.2022 | 02.10.2025 | 02.12.2024 | 02.12.2025 | 03.02.2020 | 03.;5RSA39 | ЦК-201 | ЦК-135/8 | 171ГПА-2 | УОР-401У-03 | 1Н-203 | ЦК-101/1 | УОР-401У-03 | 2Н-203 | ЦК-101/2 | ЦК-135/8 | 171ГПА-1 | 1Н-201 | ЦК-101/1 | 1Н-202 | ЦК-101/1 | 2Н-201 | ЦК-101/2 | ЦК-135/8, ;воздух | газ или иная среда | среда не названа;700;70;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15;0;
1102057865;"ООО  ""ЛУКОЙЛ-УНП""";имеют;центробежная | не установлен | центробежный насос, не компрессор;воздух;4VRM-200/490 | 4VRM-200/490, | BL-111A | BL-111AB | L-205/02, | VRM-200/490, | В-201 | В-301;1;не в полной мере | соответствует;31.01.2025;;;;;;;;;;;unp.lukoil.ru;Artem.V.Vitovich@lukoil.com;;;0;0;0;;;71;нет;;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владел;7;есть;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-06324-2023 | https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-02757-2016 | https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-02602-2020 | https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-07786-2023 | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-878370-2026 | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-878387-2026 | https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-00425-2022;"заключение ЭПБ № 25-ТУ-06324-2023 ;; заключение ЭПБ № 25-ТУ-02757-2016 ;; заключение ЭПБ № 25-ТУ-02602-2020 ;; заключение ЭПБ № 25-ТУ-07786-2023 ;; заключение ЭПБ № 11-ТУ-878370-2026 ;; заключение ЭПБ № 11-ТУ-878387-2026 ;; заключение ЭПБ № 25-ТУ-00425-2022";16.06.2026 | 17.07.2020 | 27.01.2022 | 27.11.2023 | 29.12.2023 | 30.07.2016;4VRM-200/490, | 4VRM-200/490 | VRM-200/490, | BL-111A | BL-111AB | В-301 | В-302 | ВДН-17 | В-201;воздух | газ или иная среда | среда не названа;700;70;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15;0;
