inn;kpp;predpriyatie;vzyato;pochemu
5905018998;590501001;"АО ""СИБУР-ХИМПРОМ""";0;нет страницы по КПП 590501001 — предприятия на площадке нет
2434000335;243401001;"АО ""ПОЛЮС КРАСНОЯРСК""";0;нет страницы по КПП 243401001 — предприятия на площадке нет
5615002700;561401001;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";0;нет страницы по КПП 561401001 — предприятия на площадке нет
7705739450;770501001;"ООО ""НЕСТЛЕ РОССИЯ""";0;нет страницы по КПП 770501001 — предприятия на площадке нет
5606001611;560601001;"ООО ""ММСК""";0;нет страницы по КПП 560601001 — предприятия на площадке нет
6663005798;668601001;"ПАО ""УРАЛМАШЗАВОД""";0;нет страницы по КПП 668601001 — предприятия на площадке нет
5916031750;591601001;"ООО ""КАМА""";0;нет страницы по КПП 591601001 — предприятия на площадке нет
6230043899;623001001;"ООО ""ЗАВОД ТЕХНОПЛЕКС""";0;нет страницы по КПП 623001001 — предприятия на площадке нет
6633028244;663301001;"ООО ""СЛК ЦЕМЕНТ""";0;нет страницы по КПП 663301001 — предприятия на площадке нет
2623026057;262301001;"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""";0;нет страницы по КПП 262301001 — предприятия на площадке нет
4501129676;450101001;"АО "" НПО ""КУРГАНПРИБОР""";0;нет страницы по КПП 450101001 — предприятия на площадке нет
1658152572;165801001;"ООО ""МОНАТ ГРУПП""";0;нет страницы по КПП 165801001 — предприятия на площадке нет
7708619320;770501001;"ПАО ""ОАК""";0;обойдено
7406002523;741301001;"АО ""КАРАБАШМЕДЬ""";0;нет страницы по КПП 741301001 — предприятия на площадке нет
7202116628;860301001;"АО ""СИБУРТЮМЕНЬГАЗ""";0;нет страницы по КПП 860301001 — предприятия на площадке нет
7713085659;771301001;"АО ""ВБД""";0;нет страницы по КПП 771301001 — предприятия на площадке нет
8703009509;870301001;"АО ""РУДНИК КАРАЛЬВЕЕМ""";0;нет страницы по КПП 870301001 — предприятия на площадке нет
5607015014;560701001;"ООО ""АККЕРМАНН ЦЕМЕНТ""";0;нет страницы по КПП 560701001 — предприятия на площадке нет
6607000556;662301001-deleted;"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""";0;нет страницы по КПП 662301001-deleted — предприятия на площадке нет
7702691545;770201001;"ООО ""ЛАБ ИНДАСТРИЗ""";0;нет страницы по КПП 770201001 — предприятия на площадке нет
7802849641;780201001;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";0;нет страницы по КПП 780201001 — предприятия на площадке нет
5607011852;560701001;"ООО ""МЕТАЛЕКС""";0;нет страницы по КПП 560701001 — предприятия на площадке нет
3123342289;312301001;"ООО ""ТЕХНО ЭНЕРДЖИ""";0;нет страницы по КПП 312301001 — предприятия на площадке нет
5433188577;543301001;"ООО ""ЗТИ СИБИРЬ""";0;нет страницы по КПП 543301001 — предприятия на площадке нет
3321005528;332101001;"АО ""ЛЕККО""";0;нет страницы по КПП 332101001 — предприятия на площадке нет
6673092045;668601001;"АО ""ОКБ ""НОВАТОР""";0;обойдено
4216001565;422101001;"АО ""КФ""";0;нет страницы по КПП 422101001 — предприятия на площадке нет
4631002737;463201001;"ОАО  ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""";0;нет страницы по КПП 463201001 — предприятия на площадке нет
6632001031;668001001;"АО ""СЗФ""";0;нет страницы по КПП 668001001 — предприятия на площадке нет
6672326854;668501001;"ООО ""СЖАТЫЙ ВОЗДУХ""";0;нет страницы по КПП 668501001 — предприятия на площадке нет
2536314387;253601001;"ООО ""ГЛОБАЛ ИНЖИНИРИНГ ГРУПП""";0;нет страницы по КПП 253601001 — предприятия на площадке нет
6612001971;660850001;"ФГУП ""ПО ""ОКТЯБРЬ""";0;обойдено
7448000013;744801001;"АО ""ЧЦЗ""";0;нет страницы по КПП 744801001 — предприятия на площадке нет
5838013374;583843002;"АО ""ФНПЦ ""ПО ""СТАРТ"" ИМ. М.В. ПРОЦЕНКО""";0;обойдено
1650157635;168150001;"ООО ""КАМАЗ-ЭНЕРГО""";0;нет страницы по КПП 168150001 — предприятия на площадке нет
7702583250;770501001;"ООО ""ЛЛК-ИНТЕРНЕШНЛ""";0;нет страницы по КПП 770501001 — предприятия на площадке нет
7724729390;325243001;"ФБУ ""ФУ БХУХО""";0;нет страницы по КПП 325243001 — предприятия на площадке нет
4221000630;422101001;"АО ""ОРГАНИКА""";0;нет страницы по КПП 422101001 — предприятия на площадке нет
5918218070;591801001;"ООО ""ГОРНОЗАВОДСКЦЕМЕНТ""";0;нет страницы по КПП 591801001 — предприятия на площадке нет
5916015580;591601001;"ООО ""МАСЛОЗАВОД НЫТВЕНСКИЙ""";0;нет страницы по КПП 591601001 — предприятия на площадке нет
6671156423;667101001;"ПАО ""ЭЛ5-ЭНЕРГО""";5;обойдено
4715026815;472701001;"ООО ""РСХ""";0;нет страницы по КПП 472701001 — предприятия на площадке нет
6606003385;668601001;"АО ""УРАЛЭЛЕКТРОМЕДЬ""";0;нет страницы по КПП 668601001 — предприятия на площадке нет
7743696750;772701001;"АО ""ГРАСИС""";0;нет страницы по КПП 772701001 — предприятия на площадке нет
8901030855;890101001;"АО ""САЛЕХАРДЭНЕРГО""";2;обойдено
6623005777;662301001;"ПАО ""УХП""";0;нет страницы по КПП 662301001 — предприятия на площадке нет
1651057721;165101001;"ООО ""АЙ-ПЛАСТ""";0;нет страницы по КПП 165101001 — предприятия на площадке нет
7413000630;741301001;"АО ""КМЭЗ""";0;нет страницы по КПП 741301001 — предприятия на площадке нет
6820018800;682001001;"ООО ""АГРОСОЮЗ""";0;нет страницы по КПП 682001001 — предприятия на площадке нет
9705101614;770501001;"ПАО ""ЛК ""ЕВРОПЛАН""";0;нет страницы по КПП 770501001 — предприятия на площадке нет
5507066537;550301001;"ООО ""ЯСТРО-ПЕРЕРАБОТКА""";0;нет страницы по КПП 550301001 — предприятия на площадке нет
6229047842;622901001;"ООО ""ЭЛЛАДА""";0;нет страницы по КПП 622901001 — предприятия на площадке нет
4205064482;420501001;"ООО ПО ""ТОКЕМ""";0;нет страницы по КПП 420501001 — предприятия на площадке нет
4220039723;425301001;"ООО ""ХЛЕБ""";0;нет страницы по КПП 425301001 — предприятия на площадке нет
5606000223;560601001;"АО ""МЭЗ ""УРАЛЭЛЕКТРО""";0;нет страницы по КПП 560601001 — предприятия на площадке нет
6315526630;631501001;"АО ""ЖИГУЛЕВСКОЕ ПИВО""";0;нет страницы по КПП 631501001 — предприятия на площадке нет
4501010984;450101001;"АО ""КЗЭМИ""";0;нет страницы по КПП 450101001 — предприятия на площадке нет
6450087041;645001001;"ООО ""КОМПАНИЯ КЛАСС""";0;нет страницы по КПП 645001001 — предприятия на площадке нет
2464010490;246401001;"ПАО ""КРАСФАРМА""";0;нет страницы по КПП 246401001 — предприятия на площадке нет
6674239607;667901001;"ООО ""СВЭЛ-СИЛОВЫЕ ТРАНСФОРМАТОРЫ""";0;нет страницы по КПП 667901001 — предприятия на площадке нет
5404271661;540401001;"ООО ""ПРОМТЕХСЕРВИС""";0;нет страницы по КПП 540401001 — предприятия на площадке нет
1648022038;162443001;"ООО ""ПТИЦЕВОДЧЕСКИЙ КОМПЛЕКС ""АК БАРС""";0;нет страницы по КПП 162443001 — предприятия на площадке нет
1327000226;132701001;"ООО ""ВКМ - СТАЛЬ""";0;нет страницы по КПП 132701001 — предприятия на площадке нет
7459004027;745901001;"ООО ""ОРАНЖСТИЛ""";0;нет страницы по КПП 745901001 — предприятия на площадке нет
1623012101;161601001;"СПССК ""ЕЛМАЙ""";0;нет страницы по КПП 161601001 — предприятия на площадке нет
6674116330;668601001;"АО ""ППЭА ""СИВАР""";0;нет страницы по КПП 668601001 — предприятия на площадке нет
6664013880;667901001;"АО ""УРАЛХИММАШ""";0;нет страницы по КПП 667901001 — предприятия на площадке нет
6652011944;668501001;"АО ""АЗПТ""";0;нет страницы по КПП 668501001 — предприятия на площадке нет
5921002018;592101001;"АО ""ЧМЗ""";0;нет страницы по КПП 592101001 — предприятия на площадке нет
7014038550;701401001;"АО ""ТГОК ""ИЛЬМЕНИТ""";0;нет страницы по КПП 701401001 — предприятия на площадке нет
6621010115;668201001;"ООО ""БЕРГАУФ НЕВЬЯНСК""";0;нет страницы по КПП 668201001 — предприятия на площадке нет
5904199692;590401001;"ООО ""ИНКАБ""";0;нет страницы по КПП 590401001 — предприятия на площадке нет
6686054167;668601001;"ООО ""АМЕРТЕНД""";0;нет страницы по КПП 668601001 — предприятия на площадке нет
6652028306;668501001;"АО ""УГМ""";0;нет страницы по КПП 668501001 — предприятия на площадке нет
7420005460;741501001;"АО ""ЧЕБАРКУЛЬСКОЕ МОЛОКО""";0;нет страницы по КПП 741501001 — предприятия на площадке нет
5410039642;541001001;"АО ""НМЗ ""ИСКРА""";0;обойдено
2454003302;245401001;"АО ""ЛЕСОСИБИРСКИЙ ЛДК № 1""";0;нет страницы по КПП 245401001 — предприятия на площадке нет
6679069719;667901001;"ООО ТЗК ""РАЙВАЛ""";0;нет страницы по КПП 667901001 — предприятия на площадке нет
4210000050;420501001;"ОАО ""ПОЛИМЕР""";0;нет страницы по КПП 420501001 — предприятия на площадке нет
7716744564;772701001;"ООО ""ГАЗТУРБОТЭК""";0;нет страницы по КПП 772701001 — предприятия на площадке нет
5408100057;550602001;ИФП СО РАН;0;нет страницы по КПП 550602001 — предприятия на площадке нет
6501178885;650101001;"ООО ""СЕРВИС КОМПАНИ""";0;нет страницы по КПП 650101001 — предприятия на площадке нет
2463077325;770401001;"АО ""ГОРНЫЕ МАШИНЫ""";0;нет страницы по КПП 770401001 — предприятия на площадке нет
7802475153;780101001;"ООО ""Р.О.С.АЛЬЯНС""";0;нет страницы по КПП 780101001 — предприятия на площадке нет
6660091703;667001001;"ООО ""НПФ""БИТЕК""";0;нет страницы по КПП 667001001 — предприятия на площадке нет
6629012040;665801001;"ООО ""ЗАВОД МЕДСИНТЕЗ""";0;нет страницы по КПП 665801001 — предприятия на площадке нет
6674373867;667901001;"ООО ""АЛЬФАТРАНС""";0;нет страницы по КПП 667901001 — предприятия на площадке нет
4501024105;450101001;"ООО ""ЗАУРАЛЬСКИЕ НАПИТКИ""";0;нет страницы по КПП 450101001 — предприятия на площадке нет
6605001321;663301001;"БОГДАНОВИЧСКОЕ ОАО ""ОГНЕУПОРЫ""";0;нет страницы по КПП 663301001 — предприятия на площадке нет
7724053916;772401001;АО ЦВ ПРОТЕК;0;нет страницы по КПП 772401001 — предприятия на площадке нет
6625021894;668401001;"ООО ""ПОЛИПЛАСТ-УРАЛСИБ""";0;нет страницы по КПП 668401001 — предприятия на площадке нет
7203109158;772401001;"ООО ""РЕСУРС КОМПЛЕКТ""";0;нет страницы по КПП 772401001 — предприятия на площадке нет
2420008503;242001001;"ООО ""АНГАРА ЛЕС""";0;нет страницы по КПП 242001001 — предприятия на площадке нет
5405172920;540501001;"ООО ""ТЕРМООПТИМА""";0;нет страницы по КПП 540501001 — предприятия на площадке нет
3808197064;380801001;"ООО ""МС-ОФИСПРО""";0;нет страницы по КПП 380801001 — предприятия на площадке нет
7224006227;722401001;"ЗАО ""ПТИЦЕФАБРИКА ""ПЫШМИНСКАЯ""";0;нет страницы по КПП 722401001 — предприятия на площадке нет
6660000400;668501001;"АО ""УПЗ"", АО ""УРАЛЬСКИЙ ПРИБОРОСТРОИТЕЛЬНЫЙ ЗАВОД""";0;обойдено
0814118403;771401001;"АО ""ССК""";0;нет страницы по КПП 771401001 — предприятия на площадке нет
2222062530;222201001;"ООО ""КОНДИТЕРСКАЯ ФИРМА ""АЛТАЙ""";0;нет страницы по КПП 222201001 — предприятия на площадке нет
7453279402;744701001;"ООО ""ПАРТНЁРУРАЛ ПЛЮС""";0;нет страницы по КПП 744701001 — предприятия на площадке нет
6686062263;668601001;"ООО ""ТРАПЕЗА""";0;нет страницы по КПП 668601001 — предприятия на площадке нет
2225123485;222501001;"ООО ""ЭССИБ""";0;нет страницы по КПП 222501001 — предприятия на площадке нет
6672315362;667201001;"АО ""ПО ""УОМЗ""";0;нет страницы по КПП 667201001 — предприятия на площадке нет
7401016314;745701001;"ООО ""КЛЗ""";0;нет страницы по КПП 745701001 — предприятия на площадке нет
7817332133;781001001;"ООО ""А-МИКРОН""";0;нет страницы по КПП 781001001 — предприятия на площадке нет
4508004235;450801001;"ООО ""ЗАВОД КЕРАМИЧЕСКИХ МАТЕРИАЛОВ""";0;обойдено
6671390293;665801001;"ООО ""ДИДЖИТ КОНТРОЛЬ""";0;нет страницы по КПП 665801001 — предприятия на площадке нет
4506000010;450601001;"ОАО ""ЗАВОД СТАРТ""";0;нет страницы по КПП 450601001 — предприятия на площадке нет
1832109347;183201001;"ООО НПО ""КОМПАНИЯ ""АВИС""";0;нет страницы по КПП 183201001 — предприятия на площадке нет
7415075158;741501001;"ООО НПК ""КАЛИБР""";0;нет страницы по КПП 741501001 — предприятия на площадке нет
5626008809;562601001;"СПК ""ПТИЦЕФАБРИКА ГАЙСКАЯ""";0;нет страницы по КПП 562601001 — предприятия на площадке нет
5904007312;590401001;"АО ""ОДК-ПМ""";0;обойдено
0245960382;024501001;"ООО ""АТ""";0;нет страницы по КПП 024501001 — предприятия на площадке нет
5410079229;541001001;"АО ""ПО ""СЕВЕР""";0;обойдено
6678093250;667801001;"ООО ""ЖЕЛЕЗНЫЙ АРГУМЕНТ""";0;нет страницы по КПП 667801001 — предприятия на площадке нет
6658286617;665801001;"ООО ""УРАЛЬСКИЙ СТЕКОЛЬНЫЙ ЗАВОД""";0;нет страницы по КПП 665801001 — предприятия на площадке нет
6439000706;643901001;"АО ""ПИВКОМБИНАТ ""БАЛАКОВСКИЙ""";0;нет страницы по КПП 643901001 — предприятия на площадке нет
7719465590;771901001;"ООО ""ВМИК""";0;нет страницы по КПП 771901001 — предприятия на площадке нет
6623049453;662301001;"АО ""УКБТМ""";0;обойдено
6664002550;667401001;"ПАО ""УРАЛЬСКИЙ ЗАВОД РТИ""";0;нет страницы по КПП 667401001 — предприятия на площадке нет
6670207499;667001001;"ООО ""ЭНЕРГОЛИДЕР""";0;нет страницы по КПП 667001001 — предприятия на площадке нет
6659059688;667801001;"ООО ""ХЛАДОКОМБИНАТ № 3""";0;нет страницы по КПП 667801001 — предприятия на площадке нет
6674368458;667901001;"ООО ""ДОБРОГОСТ""";0;нет страницы по КПП 667901001 — предприятия на площадке нет
7816017139;781101001;"АО ""ФОРМИК""";0;нет страницы по КПП 781101001 — предприятия на площадке нет
6671136956;667101001;"ООО ""РЕМКОМ-СЕРВИС""";0;нет страницы по КПП 667101001 — предприятия на площадке нет
6670503272;667001001;"ООО ""ГРАНДИОС""";0;нет страницы по КПП 667001001 — предприятия на площадке нет
7224008030;722401001;"АО ""ПТИЦЕФАБРИКА ""БОРОВСКАЯ""";4;обойдено
6679100694;667001001;"ООО ""ПКФ ""ЭКО-ПРОЦЕССИНГ""";0;нет страницы по КПП 667001001 — предприятия на площадке нет
6685084514;668501001;"АО ""АГЕНТСТВО ПО РАЗВИТИЮ РЫНКА ПРОДОВОЛЬСТВИЯ""";0;обойдено
7203372409;722001001;"ООО ""АБСОЛЮТ-АГРО""";0;нет страницы по КПП 722001001 — предприятия на площадке нет
