razdel;adres;centrobezhnost_dokazana;chego_ne_hvataet;chelovek;chem_dokazano;chto_za_data;chto_za_data_cheloveka;data;data_dokazatelstva;data_sobytiya_cheloveka;data_zakluchenia;data_zakupki;direktor;dolzhnost;dostupnost_kontakta;dozvon_est;est;inn;istochnik;istochnik_cheloveka;istochnik_kontakta;kogda_planiruet;kontakt_bez_imeni;kontaktov_vsego;kto;kto_vnes;luchshaya_pochta;lyudej_s_telefonom;lyudej_tehnicheskih;lyudej_vsego;lyudi_podrobno;marki;mashina_dokazana;na_ploshchadke;napravlenie;novost;novost_ssylka;obekt;oborudovanie_iz_bazy;okved;osnovanie_cheloveka;otkuda_rekvizity;planiruet;pochta_cheloveka;pochta_predpriyatiya;pokupaet;pometka;pometki_vse;predpriyatie;prioritet;prioritet_pochemu;proverok_nadzora;proverok_nadzora_2025_2026;region;rol_cheloveka;s_telefonom;sayt;segment;sostoyanie;sostoyaniy;sreda;sreda_dokazana;sreda_mashiny;srok_sluzhby;ssylka;ssylka_na_cheloveka;ssylka_na_istochnik;ssylka_na_kontakt;status_egrul;tehnicheskih_lyudey;tekst;telefon_cheloveka;telefon_predpriyatiya;telefony_predpriyatiya;tip_mashiny;tipy_mashin;v_baze_obzvona;vakansii;vazhnost_pokupki;vid_kontakta;vid_nomera;vnutrenniy_nomer;vodokanal;vodokanal_segment;vyruchka_rub;vyruchka_vodokanala;vyvod_ekspertizy
ФАКТ;;;;;план 2220627918 позиция 33, сумма 280 000,00 ₽;когда планируют разместить закупку;;02.2023;;;;;;;;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;;;;планировал;;;;среда не названа;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=daffeaf9-8be9-427d-b02a-9e8b652a7ad7_8dc4a3a0-7db2-421a-b0eb-bda20b9102a5&infoGuid=daffeaf9-8be9-427d-b02a-9e8b652a7ad7;;;;;;поставка рабочего колеса к турбокомпрессору;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2220627918 позиция 45, сумма 150 969,65 ₽;когда планируют разместить закупку;;04.2023;;;;;;;;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;;;;планировал;;;;среда не названа;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=daffeaf9-8be9-427d-b02a-9e8b652a7ad7_67ade181-ab8f-4ae9-9871-ea260fb92ec0&infoGuid=daffeaf9-8be9-427d-b02a-9e8b652a7ad7;;;;;;ремонт ротора турбокомпрессора ТВ -80-1,6;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2230716420 позиция 59, сумма 1 236 000,00 ₽;когда планируют разместить закупку;;05.2024;;;;;;;;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;ТВ-80/1,6;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;;;;планировал;;;;среда не названа;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=7fe2349f-f1c0-49f4-ab30-f7046ab11d7d_7ca41806-21b3-4922-a982-b142b8d975d5&infoGuid=7fe2349f-f1c0-49f4-ab30-f7046ab11d7d;;;;;;поставка турбокомпрессора ТВ-80/1,6 без электродвигателя многоступенчатый ГОСТ 5.2050-73;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2240784260 позиция 5, сумма 223 888,21 ₽;когда планируют разместить закупку;;11.2024;;;;;;;;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;;;;планировал;;;;среда не названа;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=6924fd91-de0d-4a8b-859e-c3009bd146e0_b87d52f3-d6b5-4e36-b5b0-d61cc143f67c&infoGuid=6924fd91-de0d-4a8b-859e-c3009bd146e0;;;;;;ремонт турбокомпрессора;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2230716420 позиция 66, сумма 223 888,21 ₽;когда планируют разместить закупку;;11.2024;;;;;;;;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;;;;планировал;;;;среда не названа;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=7fe2349f-f1c0-49f4-ab30-f7046ab11d7d_8552d1fc-eda3-40ac-84a1-39e9b956dfe8&infoGuid=7fe2349f-f1c0-49f4-ab30-f7046ab11d7d;;;;;;ремонт турбокомпрессора;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2240784260 позиция 40, сумма 6 728 000,00 ₽;когда планируют разместить закупку;;09.2025;;;;;;;;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;;;;планировал;;;;воздух;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=6924fd91-de0d-4a8b-859e-c3009bd146e0_2b2a9f85-0ab8-4739-b9d7-a0ecbd3e0f26&infoGuid=6924fd91-de0d-4a8b-859e-c3009bd146e0;;;;;;поставка турбовоздуходувки RAETTS;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2250840369 позиция 27, сумма 8 858 910,00 ₽;когда планируют разместить закупку;;02.2026;;;;;;;;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;EXPL200-06KRFS;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;;;;планировал;;;;среда не названа;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e567e0f2-839f-420f-89ad-1e82399eb7cc_5378d39b-68f9-45b1-89ef-79ef3c756f2e&infoGuid=e567e0f2-839f-420f-89ad-1e82399eb7cc;;;;;;Приобретение турбокомпрессора RAETTS EXPL200-06KRFS;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2250840369 позиция 33, сумма 7 064 400,00 ₽;когда планируют разместить закупку;;06.2026;;;;;;;;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;EXPL200-06KRFS;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;;;;планировал;;;;воздух;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e567e0f2-839f-420f-89ad-1e82399eb7cc_813860ce-04a4-4c56-b11f-f3f39e2a288e&infoGuid=e567e0f2-839f-420f-89ad-1e82399eb7cc;;;;;;поставка турбовоздуходувки RAETTS EXPL200-06KRFS с комплектом воздушных фильтров на 2 года эксплуатации;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2250840369 позиция 38, сумма 7 064 400,00 ₽;когда планируют разместить закупку;;07.2026;;;;;;;;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;EXPL200-06KRFS;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;;;;планирует;;;;воздух;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e567e0f2-839f-420f-89ad-1e82399eb7cc_6f917649-0181-42ae-bc8c-d60851812792&infoGuid=e567e0f2-839f-420f-89ad-1e82399eb7cc;;;;;;Поставка турбовоздуходувки RAETTS EXPL200-06KRFS с комплектом воздушных фильтров на 2 года эксплуатации;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2250873472 позиция 65, сумма 121 790,00 ₽;когда планируют разместить закупку;;07.2026;;;;;;;;;;5027035970;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;;;;;;;машина;;;;;;;;;;;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ СПОРТИВНАЯ ШКОЛА ""КОТЕЛЬНИКИ""";;;;;;;;;;планирует;;;;воздух;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a2534eb1-69e3-4cab-8239-f4967b269f09_49a91cd0-86c2-425a-9161-3d49c2060015&infoGuid=a2534eb1-69e3-4cab-8239-f4967b269f09;;;;;;Поставка уборочной техники (воздуходувка и снегоуборщика) для содержания территории Кузьминского леса;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;процедура 6144715;дата процедуры;;16.07.2026;;;;;;;;;;5027035970;Портал поставщиков Москвы;;;;;;;;;;;;;;;;;;;машина;;;;;;;;;;;"Муниципальное бюджетное учреждение дополнительного образования детско-юношеская спортивная школа ""Котельники""";;;;;;;;;;покупает;;;;воздух;;https://zakupki.mos.ru/need/6144715;;;;;;Поставка уборочной техники (воздуходувка и снегоуборщика) для содержания территории Кузьминского леса;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2160161997 позиция 21, сумма 410 000,00 ₽;когда планируют разместить закупку;;06.2016;;;;;;;;;;6633022676;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;RBS 126/F;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОГДАНОВИЧСКИЕ ОЧИСТНЫЕ СООРУЖЕНИЯ""";;;;;;;;;;планировал;;;;воздух;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=d181c2c3-d2a6-4d2f-a28a-32731be042dd_6126d4d3-c63e-4afa-bd58-2b20b41f126f&infoGuid=d181c2c3-d2a6-4d2f-a28a-32731be042dd;;;;;;Турбовоздуходувка ROBUSCHI RBS 126/F DN 300 (Электродвигатель мощностью 110 кВт).;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2260883859 позиция 12, сумма 800 000,00 ₽;когда планируют разместить закупку;;07.2026;;;;;;;;;;6633022676;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОГДАНОВИЧСКИЕ ОЧИСТНЫЕ СООРУЖЕНИЯ""";;;;;;;;;;планирует;;;;воздух;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=4a6ff553-3975-49bd-82c8-e76070301ed6_7d86f7bf-7b0d-48b4-9c8f-2f402d977466&infoGuid=4a6ff553-3975-49bd-82c8-e76070301ed6;;;;;;Блок роторной воздуходувки;;;;центробежная;;;;;;;;;;;;
СВОДКА;;1;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца);;;;;;;;;28.08.2023 07:00;;;;;;0268000188;;;;07.2026;;;;;;0;0;0;;КВ-3/8 | ТВ 80-1,6 | ТВ80-1,6;1;1;;;;;;;;;1;;;1;;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;;;;;0;;;;2;;воздух;;;;;;;;0;;;;;;центробежная | тип не установлен | не установлен;;;;;;;;;;;
СВОДКА;;1;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца);;;;;;;;;16.07.2026;;;;;;5027035970;;;;07.2026;;;;;;0;0;0;;;1;;;;;;;;;;1;;;1;;;"Муниципальное бюджетное учреждение дополнительного образования детско-юношеская спортивная школа ""Котельники""";;;;;;;0;;;;2;;воздух;;;;;;;;0;;;;;;центробежная;;;;;;;;;;;
СВОДКА;;1;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца);;;;;;;;;;;;;;;2204079002;;;;07.2026;;;;;;0;0;0;;EXPL200-06KRFS | ТВ 80-1.6-01.УЗ | ТВ-80/1,6;1;;;;;;;;;;1;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;0;;;;1;;воздух;;;;;;;;0;;;;;;центробежная;;;;;;;;;;;
СВОДКА;623530, Свердловская область, Богдановичский район, г. Богданович, ул. Мира, д. 11;1;телефон предприятия, сайт, технический человек;;;;;;;;;;Пивоваров Михаил Юрьевич;;;;;6633022676;;;;07.2026;;;;;;0;0;0;;RBS 126/F;1;;;;;;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции;;;master-base.sqlite;1;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОГДАНОВИЧСКИЕ ОЧИСТНЫЕ СООРУЖЕНИЯ""";;;;;;;0;;;;1;;воздух;;;;;;;Действующая компания;0;;;;;;центробежная;1;;;;;;;;114200000.0;;
СВОДНАЯ;;;человек, телефон предприятия, сайт;;план 2250838295 позиция 58, сумма 11 667 490,00 ₽;;;;07.2026;;;;;;0;;;0268000188;план закупки 223-ФЗ, ЕИС;;;;;0;;ZHURNAL-2 (ветка claude/read-intro-section-hrstzj);;;;0;;ТВ80-1,6;;;;;;;;;;;;;;;планируют покупать;планируют покупать | покупают | покупали ранее;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";700;важность:планируют покупать +35 | важность:воздух +25 | важность:доказательство свежее +10;;;;;;;;;;воздух;;;;;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=c0a62d22-68a8-4d9a-9e76-316763e04839_f757d3f0-9294-45a1-a507-a35138ea8abe&infoGuid=c0a62d22-68a8-4d9a-9e76-316763e04839;;;;;;;;центробежная | тип не установлен | не установлен;;;;70;;;;;;;;
СВОДНАЯ;;;человек, телефон предприятия, сайт;;план 2250840369 позиция 38, сумма 7 064 400,00 ₽;;;;07.2026;;;;;;0;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;0;;ZHURNAL-2 (ветка claude/read-intro-section-hrstzj);;;;0;;EXPL200-06KRFS;;;;;;;;;;;;;;;планируют покупать;планируют покупать | покупали ранее;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";700;важность:планируют покупать +35 | важность:воздух +25 | важность:доказательство свежее +10;;;;;;;;;;воздух;;;;;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e567e0f2-839f-420f-89ad-1e82399eb7cc_6f917649-0181-42ae-bc8c-d60851812792&infoGuid=e567e0f2-839f-420f-89ad-1e82399eb7cc;;;;;;;;центробежная;;;;70;;;;;;;;
СВОДНАЯ;;;человек, телефон предприятия, сайт;;план 2250873472 позиция 65, сумма 121 790,00 ₽;;;;07.2026;;;;;;0;;;5027035970;план закупки 223-ФЗ, ЕИС;;;;;0;;ZHURNAL-2 (ветка claude/read-intro-section-hrstzj);;;;0;;;;;;;;;;;;;;;;;планируют покупать;планируют покупать | покупают;"Муниципальное бюджетное учреждение дополнительного образования детско-юношеская спортивная школа ""Котельники""";700;важность:планируют покупать +35 | важность:воздух +25 | важность:доказательство свежее +10;;;;;;;;;;воздух;;;;;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a2534eb1-69e3-4cab-8239-f4967b269f09_49a91cd0-86c2-425a-9161-3d49c2060015&infoGuid=a2534eb1-69e3-4cab-8239-f4967b269f09;;;;;;;;центробежная;;;;70;;;;;;;;
СВОДНАЯ;623530, Свердловская область, Богдановичский район, г. Богданович, ул. Мира, д. 11;;человек, телефон предприятия, сайт;;план 2260883859 позиция 12, сумма 800 000,00 ₽;;;;07.2026;;;;Пивоваров Михаил Юрьевич;;0;;;6633022676;план закупки 223-ФЗ, ЕИС;;;;;0;;ZHURNAL-2 (ветка claude/read-intro-section-hrstzj);;;;0;;;;;;;;;;;;;;;;;планируют покупать;планируют покупать | покупали ранее;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОГДАНОВИЧСКИЕ ОЧИСТНЫЕ СООРУЖЕНИЯ""";700;важность:планируют покупать +35 | важность:воздух +25 | важность:доказательство свежее +10;;;;;;;;;;воздух;;;;;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=4a6ff553-3975-49bd-82c8-e76070301ed6_7d86f7bf-7b0d-48b4-9c8f-2f402d977466&infoGuid=4a6ff553-3975-49bd-82c8-e76070301ed6;;Действующая компания;;;;;;центробежная;;;;70;;;;;;114200000.0;;
