inn;predpriyatie;nazvanie_na_karte;adres;telefony;sayt_iz_kartochki;ssylka_kartochki;organizaciy_naydeno;prinadlezhnost;chem_proverena
6607000556;"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""";Ависма;Пермский край, Березники;+7 (3424) 29-36-66;http://vsmpo.ru/;https://yandex.ru/maps/org/avisma/1108206611/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Свердловская область, адрес «Пермский край, Березники»)
6626002037;"АО ""УРАЛГИДРОМЕДЬ""";Уралгидромедь;Полевской, территория Западный Промышленный Район, 2/2;+7 (34350) 4-00-88;https://ural-gm.ru/;https://yandex.com/maps/org/uralgidromed/101665491426/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Свердловская область, адрес «Полевской, территория Западный Промышленный Район,»)
7447141540;"ООО  ""КНАУФ ГИПС ЧЕЛЯБИНСК""";Кнауф Гипс Челябинск;Валдайская ул., 15В, Челябинск;;;https://yandex.com/maps/org/ooo_knauf_gips_chelyabinsk/234271858614/;3;подтверждена;регион адреса совпал с регионом по ИНН (Челябинская область)
6310000160;"АО ""СМЗ""";Поиск;Алма-Атинская ул., 29к33/34, Самара;+7 (846) 278-34-35;https://samara-metallurg.ru/;https://yandex.ru/maps/org/samarskiy_metallurgicheskiy_zavod/1052201593/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Самарская область, адрес «Алма-Атинская ул., 29к33/34, Самара»)
7702691545;"ООО ""ЛАБ ИНДАСТРИЗ""";Поиск;городской округ Пермь, Кировский район;+7 (495) 745-55-88;http://lab-industries.ru/;https://yandex.ru/maps/org/lab_indastriz/1113391786/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Москва, адрес «городской округ Пермь, Кировский район»)
2706028675;"ООО ""АГМК""";АГМК;ул. Амира Темура, 53А, Алмалык;;;https://yandex.ru/maps/org/almalykskiy_gmk/1324974971/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Хабаровский край, адрес «ул. Амира Темура, 53А, Алмалык»)
2434000335;"АО ""ПОЛЮС КРАСНОЯРСК""";;;;;https://yandex.ru/maps/org/polyus/1114317377/;2;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Красноярский край, адрес «»)
6230051360;"ООО ""ЗАВОД ТЕХНО""";Машиностроительный завод;Тракторная ул., 1, городской посёлок Рощино;+7 (812) 240-24-04;http://tractor-pmz.ru/;https://yandex.ru/maps/org/peterburgskiy_mashinostroitelny_zavod/1479708229/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Рязанская область, адрес «Тракторная ул., 1, городской посёлок Рощино»)
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";Нижнекамскнефтехим;Соболековская ул., 23, Нижнекамск;+7 (8555) 37-70-09;https://www.nknh.ru/;https://yandex.ru/maps/org/nizhnekamskneftekhim/1043171165/;2;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Республика Татарстан, адрес «Соболековская ул., 23, Нижнекамск»)
4704052309;"ООО ""РОКВУЛ-СЕВЕР""";This site can’t be reached;This site can’t be reached;;;https://yandex.ru/maps/org/rockwool/1016104296/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Ленинградская область, адрес «This site can’t be reached»)
7706613770;"ООО ""РН-БУРЕНИЕ""";This site can’t be reached;This site can’t be reached;;;https://yandex.ru/maps/org/rn_bureniye/135561177708/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Москва, адрес «This site can’t be reached»)
6646009256;"АО ""ПРОМСОРТ-УРАЛ""";This site can’t be reached;This site can’t be reached;;;https://yandex.ru/maps/org/promsort_ural/152170648782/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Свердловская область, адрес «This site can’t be reached»)
4725001168;"ООО ""ЯКОБС ДАУ ЭГБЕРТС РУС""";Jacobs Douwe Egberts Rus;Ленинградская область, Ломоносовский район, Виллозское городское поселение, территория Северная часть производственной з;8 (800) 333-22-55;https://www.jacobsdouweegberts.com/;https://yandex.ru/maps/org/jacobs_douwe_egberts_rus/14285998064/;3;подтверждена;регион адреса совпал с регионом по ИНН (Ленинградская область)
7802849641;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";This site can’t be reached;This site can’t be reached;;;https://yandex.ru/maps/org/pivovarennaya_kompaniya_baltika/1550916857/;2;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Санкт-Петербург, адрес «This site can’t be reached»)
1654040701;"АО ""ЭССЕН ПРОДАКШН АГ""";This site can’t be reached;This site can’t be reached;;;https://yandex.ru/maps/org/essen_prodakshn_ag/195966721987/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Республика Татарстан, адрес «This site can’t be reached»)
8603093017;"АО ""ТМК НГС-НИЖНЕВАРТОВСК""";ТМК НГС-Нижневартовск;Ханты-Мансийский автономный округ — Югра, Нижневартовский район, городское поселение Излучинск;+7 (3466) 65-43-40;http://uprt-nv.ru/;https://yandex.ru/maps/org/tmk_ngs_nizhnevartovsk/163902650331/;2;подтверждена;регион адреса совпал с регионом по ИНН (Ханты-Мансийский автономный округ)
3123342289;"ООО ""ТЕХНО ЭНЕРДЖИ""";;;;;https://yandex.ru/maps/org/inn_tekhno/1660082550/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Белгородская область, адрес «»)
2462004363;"АО ""КЗСК""";Кзск;ул. Лебедева, 1, Казань;+7 (843) 278-54-26;https://ao-kzsk.ru/;https://yandex.ru/maps/org/kazanskiy_zavod_sinteticheskogo_kauchuka/155759925581/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Красноярский край, адрес «ул. Лебедева, 1, Казань»)
5433188577;"ООО ""ЗТИ СИБИРЬ""";ЗТИ Сибирь;населённый пункт 3307 километр, 19, корп. 1;+7 (383) 363-69-69;https://www.zti.ru/;https://yandex.ru/maps/org/zti_sibir/1788996302/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Новосибирская область, адрес «населённый пункт 3307 километр, 19, корп. 1»)
4345465597;"ООО ПК ""КИРОВ ТАЙР""";Киров Тайр;ул. Энергетиков, 15, Киров;+7 (8332) 76-19-09;http://pirelli.ru/;https://yandex.ru/maps/org/kirov_tayr/1115482889/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Кировская область, адрес «ул. Энергетиков, 15, Киров»)
6441025673;"ООО ""ЦЕМЕНТУМ ВОЛГА""";Цементум;Республика Карелия, Прионежский район, Шокшинское сельское поселение, посёлок Кварцитный;+7 (495) 745-71-31;https://cementum.ru/;https://yandex.ru/maps/org/tsementum/130291943473/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Саратовская область, адрес «Республика Карелия, Прионежский район, Шокшинское »)
5024160154;"ООО ""ЗТИ-М""";ЗТИ;ул. Ленина, 80, село Павловская Слобода;+7 (499) 649-69-69;https://www.zti.ru/ | https://viber.click/79050179696;https://yandex.ru/maps/org/gruppa_kompaniy_zavod_tarnykh_izdeliy/17485229898/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Московская область, адрес «ул. Ленина, 80, село Павловская Слобода»)
4216001565;"АО ""КФ""";Кузнецкие ферросплавы;ул. Обнорского, 170, Новокузнецк;+7 (3843) 39-81-20;http://www.kfw.ru/;https://yandex.ru/maps/org/kuznetskiye_ferrosplavy/1085852268/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Кемеровская область, адрес «ул. Обнорского, 170, Новокузнецк»)
4631002737;"ОАО  ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""";Фармстандарт-Лексредства;2-я Агрегатная ул., 1А/18, Курск;+7 (4712) 34-03-13;http://pharmstd.ru/;https://yandex.ru/maps/org/farmstandart_leksredstva/1237011937/;3;подтверждена;регион адреса совпал с регионом по ИНН (Курская область)
1655283577;"ООО ""НАНОФАРМА ДЕВЕЛОПМЕНТ""";Нанофарма Девелопмент;ул. Восстания, 100, корп. 9180, Казань;+7 (843) 212-54-99;;https://yandex.ru/maps/org/nanofarma_development/196512593772/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Республика Татарстан, адрес «ул. Восстания, 100, корп. 9180, Казань»)
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";Нестле Россия;Средний просп. Васильевского острова, 36, Санкт-Петербург;+7 (812) 380-59-80;http://nestle.ru/;https://yandex.ru/maps/org/nestle_rossiya/122841973218/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Москва, адрес «Средний просп. Васильевского острова, 36, Санкт-Пе»)
6632001031;"АО ""СЗФ""";Серовский завод;ул. Нахабина, 1, Серов;+7 (34385) 6-42-35;http://sfap.ru/;https://yandex.ru/maps/org/serovskiy_zavod_ferrosplavov/1259650254/;2;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Свердловская область, адрес «ул. Нахабина, 1, Серов»)
6603014413;"ООО ""ПСО ""ТЕПЛИТ""";Теплит;ул. Чапаева, 39, корп. 4, Берёзовский;+7 (343) 266-29-15;https://twinblock.ru/ | https://max.ru/id6685028781_biz;https://yandex.ru/maps/org/teplit/1070864839/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Свердловская область, адрес «ул. Чапаева, 39, корп. 4, Берёзовский»)
7447010227;"АО ""ЧЭМК""";This site can’t be reached;This site can’t be reached;;;https://yandex.ru/maps/org/chelyabinskiy_elektrometallurgicheskiy_kombinat/1106066107/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Челябинская область, адрес «This site can’t be reached»)
7452075043;"ООО ""ПРОМТЭКС-ЭНЕРГО""";Промтэкс-энерго;ул. Танкистов, 148, Челябинскэтаж цокольный;+7 (351) 247-37-50;;https://yandex.ru/maps/org/promteks_energo/236489399971/;3;подтверждена;регион адреса совпал с регионом по ИНН (Челябинская область)
2536314387;"ООО ""ГЛОБАЛ ИНЖИНИРИНГ ГРУПП""";Глобал Инжиниринг Групп;Волгоградская ул., 5, ВладивостокБЦ Снегири, офис 206;+7 (994) 020-20-32;https://global-engineer.ru/;https://yandex.ru/maps/org/global_inzhiniring_grupp/201811364459/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Приморский край, адрес «Волгоградская ул., 5, ВладивостокБЦ Снегири, офис »)
6612001971;"ФГУП ""ПО ""ОКТЯБРЬ""";ФГУП ПО Октябрь;ул. Рябова, 8, Каменск-Уральский;+7 (3439) 33-96-84;http://www.neywa.ru/;https://yandex.ru/maps/org/proizvodstvennoye_obyedineniye_oktyabr/1217293451/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Свердловская область, адрес «ул. Рябова, 8, Каменск-Уральский»)
5604009196;"АО""РИФАР""";Рифар;Технологический пр., 18, Гай;8 (800) 700-10-30;;https://yandex.ru/maps/org/rifar/1035951705/;2;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Оренбургская область, адрес «Технологический пр., 18, Гай»)
1646027023;"АО ""ТРАКЬЯ ГЛАСС РУС""";Trakya Glass Rus;Республика Татарстан (Татарстан), муниципальное образование Елабуга, Особая экономическая зона Алабуга, улица Ш-2, 12/7;;http://sisecam.com/;https://yandex.ru/maps/org/zavod_trakya_glass_rus/175537105222/;3;подтверждена;регион адреса совпал с регионом по ИНН (Республика Татарстан)
7705598512;"ООО ""СИРИАЛ ПАРТНЕРС РУС""";Сириал Партнерс Рус;ул. Героев Хасана, 106, корп. 2, Пермь;+7 (342) 219-04-23;https://www.nestle.ru/;https://yandex.ru/maps/org/sirial_partners_rus/1108372483/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Москва, адрес «ул. Героев Хасана, 106, корп. 2, Пермь»)
1646031132;"ООО ""АЛАБУГА-ВОЛОКНО""";Алабуга-волокно;Республика Татарстан (Татарстан), муниципальное образование Елабуга, Особая экономическая зона Алабуга, улица Ш-2, 11/9;+7 (495) 198-01-23;https://rosatom-composites.ru/company/alabugavolokno;https://yandex.ru/maps/org/alabuga_volokno/1374109993/;3;подтверждена;регион адреса совпал с регионом по ИНН (Республика Татарстан)
6685126161;"ООО ""АРДЕНА""";Ardena Group;ул. Фурката, 2А, Ташкентэтаж 1;;https://ardena.uz/;https://yandex.ru/maps/org/ardena_group/77383867955/;3;НЕ подтверждена;ни сайт, ни регион не совпали (по ИНН Свердловская область, адрес «ул. Фурката, 2А, Ташкентэтаж 1»)
