inn;sayt;predpriyatie
3663167271;anninskiy-sad.ru;АННИНСКИЙ САД
3664222670;b2b.efko.ru;"ООО ""ЕВДАКОВО"
3702094051;gmax.ru;ДЖИМАКС
3705011046;broxboiler.ru;"ООО ""БРОКС"
3807000276;irkvkx.ru;"МУП ""ВОДОКАНАЛ"" Г.ИРКУТСКА"
3812995443;4ss.tech;4С СЕРВИС ПЛЮС
3905019765;carcade.com;КАРКАДЕ
3906172100;tskgeostroy.ru;ГЕОСТРОЙ
3906388959;kld39.com;КЛД
4011015912;mpkmk.com;МАЛОЯРОСЛАВЕЦКАЯ ПРОИЗВОДСТВ
4100042749;sapt.ru;СОСНОВСКОЕ
4201000625;angera.ru;"ОАО ""АНЖЕРОМАШ"
4312142248;spetshimagro.ru;СПЕЦХИМАГРО
4632161553;kraz124.ru;КРАЗ
4702011850;oooalmaz.ru;АЛМАЗ
4825045539;l-pak.ru;ТОРГОВЫЙ ДОМ Л-ПАК
5005019692;silplast.ru;ВОСКРЕСЕНСКИЙ ЗАВОД ПЛАСТМАССОВЫХ ИЗДЕ
5007084168;dz-rti.ru;ДМИТРОВСКИЙ ЗАВОД РТИ
5010062608;oezdubna.ru;НАВИФАРМ
5022050558;cementum.ru;"ООО ""ЦЕМЕНТУМ ЦЕНТР"
5031094336;ultrafilament.ru;"ООО ""СОЮЗТЕКСТИЛЬ-СТ"
5032015182;agroimpex.com;АГРОИМПЭКС
5035040606;ppgk.ru;"ООО ""ПП ГОФРОКОМБИНАТ"
5040111517;petexpert.ru;ПЕТЭКСПЕРТ
5042059767;agr.auto;АГР
5252049349;nizhekotrans.ru;"СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""НИЖЭ"
5263038941;mnpglobal.com;"ГРУППА КОМПАНИЙ ""МОРСКИЕ И НЕФТЕГАЗОВЫ"
5406323202;tgk11.com;"АО ""ТГК-11"
5406831911;evocom.global;"ООО ""ЭВОКОМ"
5406848697;technology-rf.com;ТЕХНОЛОГИЯ
5618032090;keramin.by;КЕРАМИНОС
5753051934;rubetek.com;РУБЕТЕК РУС
5836648185;oaph.ru;ОБЛАСТНОЙ АГРОПРОМЫШЛЕННЫЙ ХОЛДИНГ
5836659349;rusmolco.com;"ООО ""ЖИЛЬЕ РУСМОЛКО"
5902225932;bauinvest.org;БАУИНВЕСТГРУПП
5905062274;robotech.digital;РОБОТЕХ
5981013021;agroinvestor.ru;"АО ""АГРО-ХОЛДИНГ МАЙСКИЙ"
6150064477;ymz-ltd.com;СПЕЦПОДЗЕММАШ ЯСИНОВАТСКИЙ М
6167029079;shmze.ru;ЭНЕРГОДЕТАЛЬ
6234009169;elkon.ru;ЭЛКОН
6312161653;samara-metallurg.ru;АЛТИ ФОРДЖ
6317002858;samsmu.ru;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ 
6319033724;ekransamara.ru;"САМАРСКИЙ ЗАВОД ""ЭКРАН"
6320002223;info.avtovaz.ru;"АО ""АВТОВАЗ"
6320011940;kubzsk.ru;ЗАВОД СТАЛЬНЫХ КОЛЕС
6382101425;avtopribor.ru;НАУЧНО-ПРОИЗВОДСТВЕННЫЙ КОМП
6449071706;beldolina.com;БЕЛАЯ ДОЛИНА
6503001121;долхлеб.рф;ДОЛИНСКИЙ ХЛЕБОКОМБИНАТ
6606033929;ulkm.ru;УРАЛЬСКИЕ ЛОКОМОТИВЫ
6670224529;ural-agro.com;УРАЛЬСКАЯ АГРОПРОМЫШЛЕННАЯ Г
6679104850;sima-land.ru;"ООО ТД ""СИМА-ЛЕНД"
6679138850;sitno.ru;"АО ""СИТНО"
6685126718;aoikmz.ru;ИСЕТСКИЙ КУЗНЕЧНО-МЕХАНИЧЕСКИЙ ЗАВОД
6725033780;agritek-oil.ru;"ООО ""АГРИТЕК"
6832030103;malkom.org;КОРПОРАЦИЯ МАЛКОМ
6935504676;penowood.ru;"ООО ""ДИСКАВЕРИ-ПЕНО"
6950002832;npobit.com;НАУЧНОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕ
7130001590;tulpf.ru;"ПТИЦЕФАБРИКА ""ТУЛЬСКАЯ"
7202066550;talkleasing.ru;ТЮМЕНСКАЯ АГРОПРОМЫШЛЕННАЯ ЛИЗИНГОВАЯ 
7203557826;kenera.ru;"ООО ""КЕНЕРА"
7327077188;uaz.ru;УЛЬЯНОВСКИЙ АВТОМОБИЛЬНЫЙ ЗА
7452075526;chelzeo.ru;ЧЕЛЯБИНСКИЙ ЗАВОД ЭЛЕКТРООБО
7534018889;tgk-14.com;"ПАО ""ТГК-14"
7702070139;vtb.ru;БАНК ВТБ (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТ
7703305464;valdex-energetica.com;ВАЛДЕКС
7703370008;mechel.ru;"ПАО ""МЕЧЕЛ"
7703389295;polyus.com;"ПАО ""ПОЛЮС"
7704334669;sftgroup.ru;СФТ ГРУПП
7705392230;metalloinvest.com;"АО ""ХК ""МЕТАЛЛОИНВЕСТ"
7705721371;uglevodorody.ru;"ООО ""ЧЕРНОГОРСКАЯ ГРК"
7706207296;sveza.com;СВЕЗА-ЛЕС
7709329253;rusal.ru;"АО ""РУСАЛ"
7709807968;osnovit.market;СЕДРУС
7710956940;norden.group;НОРДЕН
7714496309;novostal-m.ru;ТОРГОВАЯ КОМПАНИЯ НОВОСТАЛЬ-
7717158467;avgust.com;АВГУСТ
7720898292;tusoft.ru;ТЕХПРОГРЕСС
7722831092;lalibelacoffee.com;ЛАЛИБЕЛА КОФЕ
7725104641;avtoban.ru;"ДОРОЖНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""АВТОБАН"
7733652345;ymzdn.ru;ЯСИНОВАТСКИЙ МАШИНОСТРОИТЕЛЬ
7734683995;technomoscow.ru;Р-ОПРА
7735163614;sovelmash.ru;"ООО ""СОВЭЛМАШ"
7736030085;omk.ru;ОБЪЕДИНЕННАЯ МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ
7743513365;molopak.ru;МОЛОПАК
7807251809;okb-spectr.ru;КБ СПЕКТР
7811608787;obuhmk.ru;МУСОРОПЕРЕРАБАТЫВАЮЩИЙ КОМПЛ
7811792825;taigagrupp.com;"ООО ""ТАЙГА ГРУПП"
7811814388;plyplant.com;"ООО ""ЖЕШАРТСКИЙ ФАНЕРНЫЙ КОМБИНАТ"
7826087713;okmarket.ru;О КЕЙ
7838365595;gk-azot.ru;"АО ГК ""АЗОТ"
7838395215;aoosk.ru;ОБЪЕДИНЕННАЯ СУДОСТРОИТЕЛЬНАЯ КОРПОРАЦ
8602267207;majorpack.ru;МЕЙДЖЕРПАК ЮГРА
9200016163;demetra-sk.ru;ДЕМЕТРА
9702034818;promomed.pro;ПРОМОМЕД
9703014282;gkelement.ru;"ПАО ""ЭЛЕМЕНТ"
9721084596;merenga-dessert.ru;МЕРЕНГА
