inn;predpriyatie;vyruchka_est;okved_est;rang_mashiny;faktov
7709501828;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ТРАНСПОРТНЫХ ЗАКУПОК""";;;9.0;20
7724070870;"ГБУЗ ""ГКБ ИМ. С.С. ЮДИНА ДЗМ""";;да;9.0;15
4705001850;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ПЕТЕРБУРГСКИЙ ИНСТИТУТ ЯДЕРНОЙ ФИЗИКИ ИМ.Б.П.КОНСТАНТИНОВА НАЦИОНАЛЬНОГО ИССЛЕДОВАТЕЛЬСКОГО ЦЕНТРА ""КУРЧАТОВСКИЙ ИНСТИТУТ""";;;9.0;12
7715719854;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ И КОНСТРУКТОРСКИЙ ИНСТИТУТ МОНТАЖНОЙ ТЕХНОЛОГИИ - АТОМСТРОЙ""";да;;9.0;12
7813323258;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮГО-ЗАПАДНАЯ ТЭЦ""";;;9.0;11
7718016659;"Федеральное государственное унитарное предприятие ""Научно-исследовательский институт стандартизации и унификации""";;;9.0;6
7808043833;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ БОЛЬНИЦА СВЯТОГО ВЕЛИКОМУЧЕНИКА ГЕОРГИЯ""";;;9.0;6
6676000476;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИРБИТСКИЙ МОЛОЧНЫЙ ЗАВОД""";;;9.0;4
7710474791;ДЕПАРТАМЕНТ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ПОЖАРНОЙ БЕЗОПАСНОСТИ ГОРОДА МОСКВЫ;;;9.0;4
7802010020;ФГБОУ ВО СПБГПМУ МИНЗДРАВА РОССИИ;;да;9.0;4
7727086772;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ НАУЧНЫЙ ЦЕНТР НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ СИСТЕМНЫХ ИССЛЕДОВАНИЙ РОССИЙСКОЙ АКАДЕМИИ НАУК""";;;9.0;2
1831090630;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАШНЕФТЬ-РОЗНИЦА""";;да;9.0;1
7706137673;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ ИМЕНИ А.Н. БАКУЛЕВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";;;9.0;1
7708503727;"ОАО ""РЖД"" (ИНН 7708503727)";;;8.0;2052
2309095298;"ООО ""РН-КРАСНОДАРНЕФТЕГАЗ""";;;8.0;156
6315909640;КОМТОРГ СО;;;8.0;110
5047008220;АО НПО Энергомаш;;да;8.0;46
2460071692;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;;;8.0;38
2452034898;АО ИСС;;;8.0;29
6950233646;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ТВЕРСКОЙ ОБЛАСТИ;;;8.0;26
7734111035;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""КУРЧАТОВСКИЙ ИНСТИТУТ""";;да;8.0;26
5904006044;ПАО Протон-ПМ;;да;8.0;25
7740000090;"АО ""КОМПАНИЯ ""СУХОЙ""";;;8.0;25
7708737500;"АО ""ОМК СТАЛЬНОЙ ПУТЬ""";;;8.0;24
7830001927;САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ЭЛЕКТРИЧЕСКОГО ТРАНСПОРТА;;;8.0;24
1911000014;"АО ""КОММУНАРОВСКИЙ РУДНИК""";;да;8.0;23
3801079671;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСНЕФТЬ - ВОСТОК""";;;8.0;21
7708044880;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ БАССЕЙНОВОЕ УПРАВЛЕНИЕ ПО РЫБОЛОВСТВУ И СОХРАНЕНИЮ ВОДНЫХ БИОЛОГИЧЕСКИХ РЕСУРСОВ""";;да;8.0;21
7708245723;"ФИЛИАЛ ПО ПРЕСНОВОДНОМУ РЫБНОМУ ХОЗЯЙСТВУ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО НАУЧНОГО УЧРЕЖДЕНИЯ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";;;8.0;19
9104031842;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАХЧИСАРАЙСКИЙ ЦЕМЕНТНЫЙ ЗАВОД""";;да;8.0;19
7707778246;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ИМЕНИ В.А. АЛМАЗОВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";;;8.0;18
5047196566;АО НПО ЛАВОЧКИНА;;;8.0;17
6630002336;"ФГУП ""Комбинат ""Электрохимприбор""";;;8.0;17
7457008989;АО УКВЗ;;;8.0;17
7716099554;"ГБУЗ ""ММКЦ ""КОММУНАРКА"" ДЗМ""";;да;8.0;17
3016059510;"ООО ""ЛУКОЙЛ-АСТРАХАНЬЭНЕРГО""";;;8.0;16
4501022210;"ФГБУ ""НМИЦ ТО ИМЕНИ АКАДЕМИКА Г.А. ИЛИЗАРОВА"" МИНЗДРАВА РОССИИ";;да;8.0;16
7727656790;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АВТОМОБИЛЬНЫЕ ДОРОГИ""";;да;8.0;16
7734581136;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ НАУЧНЫЙ ЦЕНТР РОССИЙСКОЙ ФЕДЕРАЦИИ - ФЕДЕРАЛЬНЫЙ МЕДИЦИНСКИЙ БИОФИЗИЧЕСКИЙ ЦЕНТР ИМЕНИ А.И. БУРНАЗЯНА""";;;8.0;16
3442110950;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТРАЛЬНОЕ КОНСТРУКТОРСКОЕ БЮРО ""ТИТАН""";;;8.0;15
5013009056;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЦЕНТРАЛЬНЫЙ АЭРОГИДРОДИНАМИЧЕСКИЙ ИНСТИТУТ ИМЕНИ ПРОФЕССОРА Н.Е. ЖУКОВСКОГО""";;;8.0;15
7706593549;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИЭНЕРГО""";;;8.0;15
7713357824;АО НПО ЛЭМЗ;;;8.0;15
7720518494;ПАО МОЭК;;;8.0;15
8601022074;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮГОРСКИЙ ЛЕСОПРОМЫШЛЕННЫЙ ХОЛДИНГ""";;;8.0;14
2308265684;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";;;8.0;12
6632001031;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕРОВСКИЙ ЗАВОД ФЕРРОСПЛАВОВ""";;;8.0;12
7722698789;АО РОССИЙСКИЕ КОСМИЧЕСКИЕ СИСТЕМЫ;;;8.0;12
7728045419;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ГОСУДАРСТВЕННЫЙ НАУЧНЫЙ ЦЕНТР РОССИЙСКОЙ ФЕДЕРАЦИИ ИНСТИТУТ БИООРГАНИЧЕСКОЙ ХИМИИ ИМ. АКАДЕМИКОВ М.М. ШЕМЯКИНА И Ю.А. ОВЧИННИКОВА РОССИЙСКОЙ АКАДЕМИИ НАУК;;;8.0;12
0547011052;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КИЗЛЯРСКИЙ КОНЬЯЧНЫЙ ЗАВОД""";;;8.0;11
1828020110;АО ВОТКИНСКИЙ ЗАВОД;;;8.0;11
3235002178;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - ДРУЖБА""";да;;8.0;11
4704012874;"ПАО ""ВСЗ""";;;8.0;11
7453215984;"ФГБУ ""ФЦССХ"" МИНЗДРАВА РОССИИ (Г. ЧЕЛЯБИНСК)";;да;8.0;11
7714733528;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКАЯ САМОЛЕТОСТРОИТЕЛЬНАЯ КОРПОРАЦИЯ ""МИГ""";;;8.0;11
7729082090;МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ;;да;8.0;11
7805164692;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ БАЛКЕРНЫЙ ТЕРМИНАЛ""";;;8.0;11
9102297251;"ООО ""ЧТГ""";;да;8.0;11
0261013879;"АО ""МК ""ВИТЯЗЬ""";;;8.0;10
7801300136;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ГЕОЛОГИЧЕСКИЙ ИНСТИТУТ ИМ. А.П. КАРПИНСКОГО""";;;8.0;10
7813252159;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОЗНАК""";;да;8.0;10
5030090000;"ГБУЗ МО ""Н-ФПЦ""";;да;8.0;9
7733546058;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННОЕ МАШИНОСТРОИТЕЛЬНОЕ КОНСТРУКТОРСКОЕ БЮРО ""ВЫМПЕЛ"" ИМЕНИ И.И. ТОРОПОВА""";;;8.0;9
7811039386;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОЛЕТАРСКИЙ ЗАВОД""";;да;8.0;9
5000001525;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОСАВТОДОР""";;;8.0;8
5005071413;"ГБУЗ МОСКОВСКОЙ ОБЛАСТИ ""ВОСКРЕСЕНСКАЯ БОЛЬНИЦА""";;да;8.0;8
7704030124;"ФГБНУ ""РНЦХ ИМ. АКАД. Б.В. ПЕТРОВСКОГО""";;да;8.0;8
7724598966;"ГБУЗ ""ГКБ ИМЕНИ В.М. БУЯНОВА ДЗМ""";;да;8.0;8
7725009733;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ ИНСТИТУТ НЕФТЕХИМИЧЕСКОГО СИНТЕЗА ИМ. А.В. ТОПЧИЕВА РОССИЙСКОЙ АКАДЕМИИ НАУК;;да;8.0;8
7830001910;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД""";;да;8.0;8
9710062939;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ ЭЛЕМЕНТООРГАНИЧЕСКИХ СОЕДИНЕНИЙ ИМ. А.Н.НЕСМЕЯНОВА РОССИЙСКОЙ АКАДЕМИИ НАУК;;;8.0;8
1841030037;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИЖЕВСКИЙ МЕХАНИЧЕСКИЙ ЗАВОД""";;;8.0;7
7451402146;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК ЧЕЛЯБИНСКОЙ ОБЛАСТИ""";;;8.0;7
7703027320;"ГБУЗ ""ДГКБ № 9 ИМ. Г.Н. СПЕРАНСКОГО ДЗМ""";;да;8.0;7
7724073013;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЦЕНТРАЛЬНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ХИМИИ И МЕХАНИКИ""";;;8.0;7
1654003114;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАЗАНСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. А.Н. ТУПОЛЕВА-КАИ""";;да;8.0;6
2311008207;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ НАУЧНЫЙ ЦЕНТР ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ МАСЛИЧНЫХ КУЛЬТУР ИМЕНИ В.С. ПУСТОВОЙТА""";;да;8.0;6
2703000015;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМУРСКИЙ СУДОСТРОИТЕЛЬНЫЙ ЗАВОД""";;да;8.0;6
3442110943;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""БАРРИКАДЫ""";;;8.0;6
5254001230;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОССИЙСКИЙ ФЕДЕРАЛЬНЫЙ ЯДЕРНЫЙ ЦЕНТР - ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ЭКСПЕРИМЕНТАЛЬНОЙ ФИЗИКИ""";;;8.0;6
5404214783;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ НОВОСИБИРСКОЙ ОБЛАСТИ ""СПОРТИВНАЯ ШКОЛА ПО ХОККЕЮ С МЯЧОМ ""СИБСЕЛЬМАШ""";;;8.0;6
7702063452;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ДЕПАРТАМЕНТА ПРИРОДОПОЛЬЗОВАНИЯ И ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ ГОРОДА МОСКВЫ""";;;8.0;6
0545001919;"АО ""ЗАВОД ""ДАГДИЗЕЛЬ""";;;8.0;5
1433017302;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛРОСА- СПЕЦБУРЕНИЕ";;;8.0;5
4216003989;"ГАУЗ ""НГКБ № 1""";;да;8.0;5
7703276615;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АВТОМОБИЛЬНЫЕ ДОРОГИ""";;;8.0;5
7716035705;"ГБУЗ ""ГКБ ИМ. А.К. ЕРАМИШАНЦЕВА ДЗМ""";;да;8.0;5
7722765428;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО ЭКСПЛУАТАЦИИ И РЕМОНТУ ИНЖЕНЕРНЫХ СООРУЖЕНИЙ ""ГОРМОСТ""";;;8.0;5
7723084929;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 13 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";;;8.0;5
1654023336;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ДВОРЕЦ СПОРТА""";;;8.0;4
2466223493;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""РЕГИОНАЛЬНЫЙ ЦЕНТР СПОРТИВНЫХ СООРУЖЕНИЙ""";;;8.0;4
3900000111;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИБАЛТИЙСКИЙ СУДОСТРОИТЕЛЬНЫЙ ЗАВОД ""ЯНТАРЬ""";;;8.0;4
5005021250;"федеральное казенное предприятие ""Воскресенский государственный казенный агрегатный завод""";;;8.0;4
5050155880;"ГБУЗ МОСКОВСКОЙ ОБЛАСТИ ""ЩЁЛКОВСКАЯ БОЛЬНИЦА""";;да;8.0;4
5053013500;ФГБУЗ КБ № 21 ФМБА РОССИИ;;да;8.0;4
5106800454;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОВОЗЕРСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";;;8.0;4
7707702649;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РТК""";;да;8.0;4
7725009701;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ ОБЩЕЙ И НЕОРГАНИЧЕСКОЙ ХИМИИ ИМ. Н.С. КУРНАКОВА РОССИЙСКОЙ АКАДЕМИИ НАУК;;;8.0;4
7725043780;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ЧЕЛЮСТНО-ЛИЦЕВОЙ ГОСПИТАЛЬ ДЛЯ ВЕТЕРАНОВ ВОЙН ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";;;8.0;4
7728016351;"ФГБУ ""НМИЦ ЭНДОКРИНОЛОГИИ ИМ. АКАДЕМИКА И.И. ДЕДОВА"" МИНЗДРАВА РОССИИ";;да;8.0;4
0278039018;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - УРАЛ""";;;8.0;3
0323079343;"ГАУЗ ""ГПЦ Г.У-У""";;да;8.0;3
1001334128;ГБУЗ РБ;;да;8.0;3
1900000252;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АБАКАНСКАЯ ТЭЦ""";да;;8.0;3
6608004641;"ФГУП ""УЭМЗ""";;;8.0;3
6627012077;"УНИТАРНОЕ МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА РЕВДА";;;8.0;3
6661001660;АРБИТРАЖНЫЙ СУД СВЕРДЛОВСКОЙ ОБЛАСТИ;;;8.0;3
6669012431;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 13 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""";;;8.0;3
7701867771;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛСТРОЙТРЕСТ""";;;8.0;3
7725326404;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАЦИОНАЛЬНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ ПО РАЗВИТИЮ ПРОМЫШЛЕННОСТИ""";;;8.0;3
7729040491;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МИРЭА - РОССИЙСКИЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ""";;;8.0;3
7731591908;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВНЕШНЕЭКОНОМИЧЕСКОЕ ОБЪЕДИНЕНИЕ ""СТАНКОИМПОРТ""";;;8.0;3
7732044545;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 17 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";;;8.0;3
7805034277;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО СУДОСТРОИТЕЛЬНЫЙ ЗАВОД ""СЕВЕРНАЯ ВЕРФЬ""";;да;8.0;3
7819013005;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ДОРОЖНОЕ СПЕЦИАЛИЗИРОВАННОЕ ПРЕДПРИЯТИЕ ""ПЕТРОДВОРЦОВОЕ""";;;8.0;3
0267011483;ГБУЗ РБ ЦГБ Г.СИБАЙ;;да;8.0;2
1001015594;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАРЕЛИЯ ""РЕСПУБЛИКАНСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";;;8.0;2
4220006125;"ГБУЗ ""КДКБ""";;да;8.0;2
4345078816;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КИРОВСКОЕ"" ПО ПЛЕМЕННОЙ РАБОТЕ""";;;8.0;2
4826030180;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""СПОРТИВНАЯ ШКОЛА № 11""";;;8.0;2
5000001317;ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГАЗОВОГО ХОЗЯЙСТВА МОСКОВСКОЙ ОБЛАСТИ;;;8.0;2
5026000759;;;;8.0;2
