inn;predpriyatie;zakluchenij_otricatelnyh;iz_nih_ne_sootvetstvuet;sreda;srok;marki;poslednyaya_data;primer_zaklucheniya;chto_v_tekste;ssylka;proverok_nadzora;pokupaet;planiruet;region;telefon_predpriyatiya;lyudej_tehnicheskih;kto
6314006396;"АО ""КНПЗ""";5;1;среда не названа;срок ИСТЁК;5ЦД-208/30-45М | VR 200/490G | Л-35/11-1000 | Л-35/11-1000, | ЛГ-35/11-300;28.12.2023;заключение ЭПБ № 51-ТУ-37135-2023;компрессор центробежный 5(7)VR 200/490G технологический индекс ЦК-1, зав. № 430818,;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-37135-2023;103;;;;;1;Степанников Сергей | главный инженер АО «Куйбышевский НПЗ» |  | очередь обзвона
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";16;1;газ или иная среда | среда не названа;срок действует;ГПА-10 | НЦ 00 | НЦ-12/56-1,44, | НЦ12;29.07.2016;заключение ЭПБ № 59-ТУ-60496-2025;Заключение экспертизы промышленной безопасности на техническое устройство, применяемое на опасном производственном объекте: Нагнетатель центробежный типа НЦ-12/56-1,44, з;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-60496-2025;44;1;;;;0;
2457081355;"АО ""НОРИЛЬСКТРАНСГАЗ""";6;1;газ или иная среда | среда не названа;;;25.12.2017;заключение ЭПБ № 70-ТУ-09588-2017;Аппарат воздушного охлаждения газа горизонтального типа, эксплуатируемый на открытой площадке Южно-Соленинской компрессорной станции (дожимной) АО «Норильсктрансгаз» (ОПО;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-09588-2017;;;;;;0;
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";5;1;газ или иная среда | среда не названа;;7ВКГ 30/7 | К-380-103-1 | НВЕ 50/50-3,0-В | НД 100/10 | НД 100/10К14;30.05.2022;заключение ЭПБ № 43-ТУ-16987-2019;Винтовой компрессорный агрегат 7ВКГ 30/7 зав. № 86002, инв.№ 202330;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-16987-2019;338;1;;Татарстан;"[""8 (800) 555-5-911 (сеть АЗС)"", ""8 (800";0;
3800000220;"АО ""ИРКУТСКЭНЕРГО""";1;1;среда не названа;;;15.10.2020;заключение ЭПБ № 67-ТУ-11200-2020;«Трубопровод пара от штоков регулирующих клапанов турбоагрегата №1» регистрационный № 3922 б применяемое на опасном производственном объекте «Площадка главного корпуса Ус;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-11200-2020;;;;;;0;
5906042295;"ООО ""ТЕПЛО-М""";1;1;среда не названа;;К-500-61-1;21.08.2014;заключение ЭПБ № 48-ТУ-27508-2014;Компрессор К-500-61-1 зав.№262, эксплуатируемый ООО «Тепло-М»;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-27508-2014;;;1;;;0;
7017287178;"ООО ""Томская нефть""";1;1;среда не названа;;;05.10.2018;заключение ЭПБ № 62-ЗС-18867-2018;сооружение «Нагнетательная линия «БГ к.1 – скв.210», рег.№150ст, применяемое на опасном производственном объекте ООО «Томская нефть». Наименование ОПО: «Система промыслов;https://monitor-pb.ru/conclusion/62-%D0%97%D0%A1-18867-2018;;;;;;0;
7105515987;"АО ""НПО ""СПЛАВ"" им. А.Н. Ганичева""";1;1;среда не названа;;;04.05.2023;заключение ЭПБ № 11-ТУ-05357-2023;техническое устройство, применяемое на опасном производственном объекте: баллон 2-400-39,2 зав. № 072, per. №3619 ОПО «Площадка участка компрессорной (участок №12)», per.;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-05357-2023;;;;;;1;Калашников Сергей Александрович | гл.энергетик |  | графики РТН
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";50;0;воздух | газ или иная среда | среда не названа;срок ИСТЁК;K 1500-62-2 | K 1700-61-2 | S 15-8 | ВП-90/0,8 | К-1500 | К-1500-62-2, | К-1700-62-2 | К-1700-62-2,;30.05.2018;заключение ЭПБ № 70-ТУ-03356-2017;влагоотделитель ВП-90/0,8 К-1500 № 2 инв.№ 25352, зав.№ 8014 ВОЗДУШНОГО КОМПРЕССОРА K 1700-61-2 №2/6М КС НМЗ;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-03356-2017;149;1;;Красноярский;"[""+74957855800"", ""+74957855808"", ""+74957";0;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";6;0;воздух;срок ИСТЁК;GM 130 | GM 150 | GM 80L | GM-25S | GM-50L | GM-80L | БГ-800 | ГИСЛ 62;31.05.2019;заключение ЭПБ № 68-ТУ-06554-2018;"технические устройства, применяемые на опасном производственном объекте: воздуходувка GM-25S (поз. 803-1, инв. №7553); воздуходувка GM-25S (поз. 803-2, инв. №7554); возду";https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-06554-2018;5;1;;;;2;"Михайленко Сергей | главный инженер ООО «ОФ «Прокопьевскугол |  | очередь обзвона ;; Чураков Сергей | главный инженер ОФ «Прокопьевскуголь» |  | очередь обзвона"
7101006354;"ООО ""Проктер энд Гэмбл-Новомосковск""";6;0;воздух;срок ИСТЁК;;25.11.2014;заключение ЭПБ № 11-ТУ-08766-2014;Воздуходувка центробежная зав. № 79-296-2, поз. В-E704-B цеха № 12 ООО «Проктер энд Гэмбл - Новомосковск», г. Новомосковск, Тульская обл.;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-08766-2014;14;;;;;0;
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";6;0;воздух | среда не названа;срок ИСТЁК;К-1500-61-2 | К-250 | К-345-91-1;29.11.2016;заключение ЭПБ № 49-ТУ-38230-2016;Воздушный турбокомпрессор К-1500-61-2 №8 рег. №1500012667ККЦ АО «Уральская Сталь»;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-38230-2016;81;1;;;;0;
4407006010;"ООО ""СВИСС КРОНО""";3;0;воздух;срок ИСТЁК;GM 80L | GM-80L | S66LT/3P;25.02.2019;заключение ЭПБ № 17-ТУ-02718-2019;на техническое устройство, применяемое на опасном производственном объекте, воздуходувка S66LT/3P зав.№ 3692002, применяемое на участке подготовки сырой стружки цеха ДСП,;https://monitor-pb.ru/conclusion/17-%D0%A2%D0%A3-02718-2019;11;;;;;0;"Лутц Папе | Генеральный директор |  | сайт, воздушный сегмент ;; Сергей Ермаков | Начальник отдела транспортной логистики  | +7 (49449) 5-97-39 | сайт, воздушны"
2631805988;"ООО МЭЗ ""РЕСУРС""";3;0;воздух;срок ИСТЁК;ТВ-200-1,12;19.01.2021;заключение ЭПБ № 30-ТУ-00474-2021;Воздушный турбокомпрессор ТВ-200-1,12 поз. №В533в Местонахождение объекта: 352900, Краснодарский край, г. Армавир, ул. Кирова, 128 Эксплуатирующая организация: ООО «Невин;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-00474-2021;72;;;;;0;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";5;0;воздух | газ или иная среда;срок ИСТЁК | срок действует;ВВ-1101 | Е-100/1 | Е-103/1,2, | Е-113/1,2, | Е-115/1,2 | ТВ-80-1,4;23.03.2017;заключение ЭПБ № 41-ЗС-09818-2021;Заключение экспертизы промышленной безопасности на здания и сооружения Трубопровод сброса в атмосферу из эжектора главной воздуходувки ВВ-1101, рег. № 04-4595 (НПЗ, Цех №;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-09818-2021;55;1;;;;10;"Ахметшин Айрат | заместитель генерального директора – гла |  | очередь обзвона ;; Жулаев Сергей | главный инженер-технолог ООО «Газпром не |  | очередь обзвона "
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";3;0;воздух;;ВН-15/3, | М-15/2 | М-24/4 | Э-200-31-1 | Э-360-22-1;27.10.2022;заключение ЭПБ № 43-ТУ-11900-2020;Воздухонагнетатель Э-360-22-1 поз.№М-15/2 зав.№387;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-11900-2020;202;;;Татарстан;[];0;
4219000048;"АО  ""ЦОФ ""Абашевская""""";6;0;воздух | среда не названа;срок ИСТЁК;DT 90/552 | NM021BY | Д320-50, | ДЭН-45ШМ | ЕСР 630-250, | НЦС180-340, | ПК-1,2-12 | ТВ 200-1,4-01УЗ;31.10.2018;заключение ЭПБ № 68-ТУ-27540-2017;"компрессорная установка ДЭН-45ШМ инв. №166 зав. №65; агрегат электронасосный NM021BY инв. №3827 зав. №373284 эксплуатируемые на опасном производственном объекте АО «ЦОФ «";https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-27540-2017;5;;;;;0;
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";4;0;воздух | среда не названа;срок ИСТЁК;ТВ 50/1,6 | ТВ-200-1,4 | ТВ-80/1.4 | ФК1592/1;24.08.2021;заключение ЭПБ № 68-ТУ-11826-2017;воздуходувки ТВ 50/1,6 поз.513Б-I, поз.513Б-II, эксплуатируемые в ЦОФ «Сибирь», г.Мыски-5, ул. Шоссейная 11, ОПО регистрационный №А68-00603-0009 площадка обогащения угля ;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-11826-2017;124;1;;;;0;
3802008553;"АО ""ВЫСОЧАЙШИЙ""";2;0;воздух;срок ИСТЁК;RRF-350;19.06.2023;заключение ЭПБ № 67-ТУ-09390-2023;Воздуходувка RRF-350, заводской номер RR06036, применяемая на опасном производственном объекте: «Фабрика обогатительная цветных металлов ЗИФ 2» ПАО «Высочайший» (регистра;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-09390-2023;26;1;;Иркутская;"[""+7 (495) 780-49-95"", ""+7 (495) 780-49-";0;"Кандауров Константин Иванович | Руководитель департамента снабжения и ло | +7 (495) 780-49-96 | сайт, воздушный сегмент ;; Кандауров Константин Иванович | Руков"
3232000609;"ОАО ""Бежицкий хлебокомбинат""";2;0;воздух;срок ИСТЁК;ЗАФ-49;23.12.2019;заключение ЭПБ № 08-ТУ-17543-2019;Воздуходувка ЗАФ-49, технол. №ЗАФ 2;https://monitor-pb.ru/conclusion/08-%D0%A2%D0%A3-17543-2019;3;;;;;0;
4203001617;"ПАО ""ЦОФ ""Березовская""""";2;0;воздух;срок ИСТЁК;BB 68C | EPC 840-250 | GM80L | СКВП20 | ЭБМ-80/170;17.09.2019;заключение ЭПБ № 68-ТУ-22054-2019;технические устройства: Сепаратор ЭБМ-80/170 поз.210-II, воздуходувка BB 68C поз.417-II, воздуходувка BB 68C поз.418-II ПАО, применяемые на опасном производственном объек;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-22054-2019;3;;;;;0;
7728060368;"ОАО ""КБК ""ЧЕРЕМУШКИ""";2;0;воздух;срок ИСТЁК;ЭФ-106;17.04.2018;заключение ЭПБ № 01-ТУ-04979-2018;Центробежная воздуходувка марки ЭФ-106, технол. № 26, применяемое на опасном производственном объекте «Склад бестарного хранения муки», рег. № А01-00250-0002 (IV класс оп;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-04979-2018;9;;;;;0;
0277106840;"ООО ""БАШНЕФТЬ-ДОБЫЧА""";2;0;воздух;;;22.09.2022;заключение ЭПБ № 41-ЗС-11394-2022;Здание воздушная компрессорная, инв. № 726586 на опасном производственном объекте Площадка дожимной насосной станции ДНС «Южная» ООО «Башнефть-Добыча» рег. № А41-05127-00;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-11394-2022;167;;;Башкортостан;"[""+73472605885"", ""+73472622139"", ""+73472";0;
2801138741;"ООО ""Албынский рудник""";2;0;воздух;;АВШ-3,7/200,;19.07.2019;заключение ЭПБ № 72-ТУ-02620-2019;Агрегат компрессорный воздушный АВШ-3,7/200, заводской № 8610183, регистрационный № б/н;https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-02620-2019;;;;;;0;
0268036071;"ОАО ""Синтез-Каучук""";3;0;воздух | среда не названа;срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год;И-3/4;18.07.2022;заключение ЭПБ № 49-ЗС-00740-2020;здание воздуходувки №2 цеха И-2 ОАО «Синтез-Каучук»;https://monitor-pb.ru/conclusion/49-%D0%97%D0%A1-00740-2020;;;;;;0;
0274051582;"ПАО АНК ""БАШНЕФТЬ""";2;0;воздух | среда не названа;срок ИСТЁК;;18.07.2022;заключение ЭПБ № 41-ТУ-31850-2021;Нагнетатель марки 1200-25-3, поз. К-5 (зав. №104, инв. №142123), установка БОС, площадка участка биологических очистных сооружений, филиал ПАО АНК «Башнефть» «Башнефть-Уф;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-31850-2021;215;;;;;0;
6623029538;"АО ""НПК ""Уралвагонзавод""";1;0;воздух;срок ИСТЁК;;29.03.2017;заключение ЭПБ № 54-ТУ-03697-2017;нагнетатель пневмотранспорта, зав. № 4504, 2012 года выпуска, применяемое: площадка Уралвагонзавода, Акционерное общество «Научно-производственная корпорация «Уралвагонза;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-03697-2017;87;;;Свердловская;"[""81304573051"", ""82240559000"", ""86623002";0;"Селиванова С. Г. | контактное лицо закупки (должность в кар | +7 (3435) 38-01-37 | сайт, воздушный сегмент ;; Селиванова С. Г. | контактное лицо закупки (должно"
6704000505;"ПАО ""Дорогобуж""";5;0;воздух | газ или иная среда;истёк | срок ИСТЁК;;25.02.2020;заключение ЭПБ № 04-ТУ-03574-2020;на техническое устройство «Воздуходувка для подачи воздуха на блок осушки зав. № 1025, поз. S-GВ 740/3», применяемое на опасном производственном объекте «Площадка по прои;https://monitor-pb.ru/conclusion/04-%D0%A2%D0%A3-03574-2020;21;;;;;0;
1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";4;0;воздух | среда не названа;срок ИСТЕКАЕТ в ближайший год;4У-251 | SNH80-R-54U6-W22, | VDR-100-0,55/1,2, | Н-298 | Н-299 | Н-301 | Н-321 | Н-322;25.01.2018;заключение ЭПБ № 38-ТУ-02817-2023;Воздуходувка марки VDR-100-0,55/1,2, поз. 4У251К01А, зав.№54003, с основными и вспомогательными маслянными винтовыми насосами типа SNH80-R-54U6-W22, поз.KU01AP01A/B приме;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-02817-2023;111;1;;Санкт-Петербург;"[""+7 (812) 455-19-14; пн-пт 09:00-18:00 ";0;
1103019252;"АО ""Воркутауголь""";1;0;воздух;срок ИСТЁК;ТВ-80/1,4;05.12.2019;заключение ЭПБ № 25-ТУ-06153-2019;"""Турбокомпрессор воздушный ТВ-80/1,4 заводской № 456, позиция № 356, УОФ «Воркутинская», применяемый на опасном производственном объекте - ОПО шахта угольная «Заполярная-";https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-06153-2019;93;;;;;0;
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";1;0;воздух;срок ИСТЁК;4ВУ1-5/9, | ВК 5/32А, | НМШ 5-25-4,0/4, | НМШ 5-25-4,0/4Б,;22.03.2019;заключение ЭПБ № 25-ТУ-01877-2019;"""Насосно-компрессорное оборудование: насос вихревой ВК 5/32А, компрессор воздушный поршневой 4ВУ1-5/9, насос шестеренный НМШ 5-25-4,0/4, насос шестеренный НМШ 5-25-4,0/4Б";https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-01877-2019;1;;;;;0;
1316105019;"ОАО ""АПО Элеком""";1;0;воздух;срок ИСТЁК;ТВ-200;07.02.2019;заключение ЭПБ № 45-ТУ-00628-2019;Турбовоздуходувки ТВ-200 поз. №№ 701, 702, 703, применяемые на опасном производственном объекте: «Цех мукомольного производства», рег. № А45-00050-0008 / III класс опасно;https://monitor-pb.ru/conclusion/45-%D0%A2%D0%A3-00628-2019;19;;;;;0;
3801046700;"АО ""АЗП""";1;0;воздух;срок ИСТЁК;ТВ-150-1,12;16.08.2021;заключение ЭПБ № 67-ТУ-10942-2021;Воздуходувка ТВ-150-1,12 поз. 360/В1, зав. № 797-659 место расположения «Площадка производства этилбензола, стирола, полистиролов» рег. № А67-00348-0003 от 13.02.2001г., ;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-10942-2021;7;;;;;0;
4202050996;"ООО ""ММК-УГОЛЬ""";1;0;воздух;срок ИСТЁК;GM 60H | А-34d | А-34e;11.05.2017;заключение ЭПБ № 68-ТУ-09485-2017;технические устройства: воздуходувки AERZEN GM 60H поз. II А-34d инв. № 22137, поз. II А-34e инв. № 22138, применяемые на опасном производственном объекте фабрике обогаще;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-09485-2017;47;;;;;0;
4212024138;"АО ""СУЭК-КУЗБАСС""";1;0;воздух;срок ИСТЁК;GM-80L;25.11.2021;заключение ЭПБ № 68-ТУ-29312-2021;техническое устройство: воздуходувка GM-80L (зав. №61-175349-00, поз. 366-2), применяемое на опасном производственном объекте – Площадка обогащения угля (шахта «Комсомоле;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-29312-2021;109;;;;;0;
5044018861;"ЗАО ""ФЕРРЕРО РУССИЯ""";1;0;воздух;срок ИСТЁК;ES 45/2V;19.07.2016;заключение ЭПБ № 15-ТУ-11964-2016;Воздуходувки Robuschi ROBOX ES 45/2V поз. № 1, № 2, № 3, применяемые на участке растаривания муки, принадлежащие ЗАО «Ферреро Руссия» с. Ворша Собинского района Владимирс;https://monitor-pb.ru/conclusion/15-%D0%A2%D0%A3-11964-2016;6;;;;;0;
5243000185;"ЗАО ""Арзамасский хлеб""";1;0;воздух;срок ИСТЁК;SAH 505 | SAP 530;27.03.2020;заключение ЭПБ № 40-ТУ-01179-2020;"технические устройства: «Воздуходувки низкого давления моделей SAP 530 тех. № 1; SAH 505 тех. № 2», применяемые на опасном производственном объекте: «Склад бестарного хра";https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-01179-2020;6;;;Нижегородская;"[""+7 (83147) 2-90-90 доб.042 (приёмная г";0;
5406766317;"ООО ""ГОФ Красногорская""";1;0;воздух;срок ИСТЁК;GM-130L | ВД-13,5;31.05.2019;заключение ЭПБ № 68-ТУ-10888-2019;вентилятор ВД-13,5 (инв.№39039, поз.17), вентилятор ВД-13,5 (инв.№39039а, поз.17а), воздуходувка GM-130L (инв.№5848, поз.83-5),;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-10888-2019;6;;;;;0;
5606001611;"ООО ""ММСК""";1;0;воздух;срок ИСТЕКАЕТ в ближайший год;;30.11.2022;заключение ЭПБ № 49-ЗС-74803-2022;здание воздуходувки «УСПиК» (инв. №11) Медеплавильный цех ООО «ММСК», эксплуатируемое на опасном производственном объекте «Цех плавильный (медеплавильный цех)», рег. № А4;https://monitor-pb.ru/conclusion/49-%D0%97%D0%A1-74803-2022;57;;;;;0;
6320004615;"АО ""КРАЙ КАРАВАЙ""";1;0;воздух;срок ИСТЁК;ES 55/2V-RVV80;24.08.2022;заключение ЭПБ № 53-ТУ-49774-2022;Воздуходувка Robuschi ROBOX evolution ES 55/2V-RVV80;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-49774-2022;4;;;;;0;
7206025040;"ООО ""СИБУР Тобольск""";1;0;воздух;срок ИСТЁК;ВI-601 | ДБО-2/3;15.12.2017;заключение ЭПБ № 57-ЗС-49246-2017;труба воздуходувки ВI-601 (производство «Бутадиен», установка дегидрирования бутана (ДБО-2/3)) ООО «СИБУР Тобольск»;https://monitor-pb.ru/conclusion/57-%D0%97%D0%A1-49246-2017;;;;;;0;
7733338555;"ООО ""Сергиево-Посадский мукомольный комбинат""";1;0;воздух;срок ИСТЁК;;19.04.2023;заключение ЭПБ № 50-ТУ-11773-2023;Воздуходувка ВД-1 инв. №00-000143;https://monitor-pb.ru/conclusion/50-%D0%A2%D0%A3-11773-2023;;;;;;0;
6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";3;0;воздух | газ или иная среда;;К-1500-62-2, | К-250-61-5;22.03.2018;заключение ЭПБ № 54-ТУ-03672-2018;технического устройства: компрессор К-1500-62-2, инв. № 0006177010, установленный на ОПО «Участок установки воздухоразделительной», рег. № А54-00688-0013, ОАО «СУМЗ», г. ;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-03672-2018;24;;;;;0;
8603138733;"ООО ""Белозерный ГПК""";2;0;воздух | среда не названа;;;23.10.2017;заключение ЭПБ № 57-ЗС-35992-2017;здание компрессорной станции №1, инв. № БГ00000701, применяемое на опасном производственном объекте II класса опасности рег.№ А58-40006-0003 «Площадка компрессорной станц;https://monitor-pb.ru/conclusion/57-%D0%97%D0%A1-35992-2017;;;;;;0;
5501023216;"АО ""ОМСКИЙ КАУЧУК""";1;0;воздух;;Д-2-6-3-5;11.01.2017;заключение ЭПБ № 61-ЗС-00426-2017;здание находящееся на опасном производственном объекте «Площадка цеха Д-2-6-3-5-12 по производству метил-трет-бутилового эфира» рег. № А61-00039-0035 здание воздухонагнет;https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-00426-2017;27;;;;;0;
5904297072;"ООО ""ПЕРМКОМПРЕССОРМАШ""";1;0;воздух;;К-0,15;21.01.2021;заключение ЭПБ № 48-ТУ-01873-2021;Установка воздухоразделительная К-0,15 зав. № 766 принадлежащая ООО «ПЕРМКОМПРЕССОРМАШ», г. Пермь, Пермский край;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-01873-2021;;;;;;0;
