inn;sayt;vhodov;ssylok_vsego;podoshlo;novyh;kak;pochemu
5406109142;https://www.ao-gns.ru;8;130;34;2;обычно;обойдено
0270011660;https://nicol-pack.ru;8;627;359;25;обычно;обойдено
7707375416;https://kirovpaper.com;1;32;9;0;обычно;обойдено
7204001630;https://tyumen-battery.ru;1;249;4;0;обычно;обойдено
6229047842;https://xn-----6kccajysqclvh3a6c5h.xn--p1ai;1;85;8;1;обычно;обойдено
6320005915;https://kuazot.ru;5;1088;94;0;обычно;обойдено
4205064482;https://www.tokem.ru;6;0;0;0;сайт не открылся;оба захода не дошли
5606000223;https://uralelectro.ru;8;247;93;0;обычно;обойдено
7536129954;https://rigservice.ru;1;64;10;0;обычно;обойдено
4501010984;https://emi-kurgan.ru;1;256;15;0;обычно;обойдено
4501044849;https://pulsator-45.ru;1;52;19;1;обычно;обойдено
4318004484;https://mfzavod.com;3;133;32;0;обычно;обойдено
5246020905;https://www.posuda.ru;8;1373;29;6;обычно;обойдено
6623105958;https://nsmz.pro;4;114;25;1;обычно;обойдено
2464010490;https://kraspharma.ru;2;80;12;0;обычно;обойдено
5040059680;https://aomapei.ru;8;282;50;2;обычно;обойдено
5404271661;https://prom-ts.com;1;79;8;1;обычно;обойдено
2223624670;https://gcblago.ru;1;102;23;6;обычно;обойдено
7805368914;https://www.polymetal.ru;8;0;0;0;сайт не открылся;оба захода не дошли
7802732442;https://old.tf-tc.ru;8;154;66;0;обычно;обойдено
1327000226;https://rmrail.ru;8;734;127;1;обычно;обойдено
7459004027;https://osteel.ru;5;645;89;15;обычно;обойдено
3128011788;https://sgok.nlmk.com;7;689;170;11;обычно;обойдено
6664013880;https://uralhimmash.ru;8;665;315;18;обычно;обойдено
5918216877;https://lysvamk.ru;7;761;300;0;обычно;обойдено
6025019903;https://reostat.ru;8;453;207;0;обычно;обойдено
8608053875;https://knpos.ru;1;24;9;0;обычно;обойдено
6627001318;https://sumz.umn.ru;2;0;0;0;сайт не открылся;оба захода не дошли
6652011944;https://azpt.ru;2;21;4;0;обычно;обойдено
4720022460;https://mm-pof.ru;1;27;9;0;обычно;обойдено
7014038550;https://www.ilmenite.ru;2;63;31;0;обычно;обойдено
5904199692;https://incab.ru;1;36;3;0;обычно;обойдено
6315376946;https://www.tplusgroup.ru;2;154;42;13;обычно;обойдено
7420005460;https://milk74.ru;1;6;2;0;обычно;обойдено
6658084667;https://viz-steel.nlmk.com;8;982;210;15;обычно;обойдено
1658152572;https://monatgroup.ru;1;12;2;0;без проверки сертификата;обойдено
4715019631;https://tvsz.ru;5;245;139;18;обычно;обойдено
7447141540;https://knauf.ru;7;1141;49;14;обычно;обойдено
6310000160;https://smw.ru;3;601;103;0;обычно;обойдено
2706028675;https://golden-team.ru;8;36;36;0;обычно;обойдено
4704052309;https://rwl.ru;6;475;31;0;обычно;обойдено
7706613770;https://rosneft.ru;8;1264;556;25;без проверки сертификата;обойдено
5607011852;https://metal-x.ru;1;30;8;0;обычно;обойдено
5433188577;https://zti.ru;3;259;8;0;обычно;обойдено
7452075043;https://chelyabinsk.jsprav.ru;8;546;128;25;обычно;обойдено
5604009196;https://rifar.ru;2;24;4;0;обычно;обойдено
1646031132;https://rosatom-composites.ru;1;44;6;0;обычно;обойдено
7435006346;https://rmk-group.ru;5;119;18;1;обычно;обойдено
7204205739;https://teo.ecotko.ru;4;332;186;2;обычно;обойдено
5911029807;https://uralkali.com;8;947;241;25;обычно;обойдено
6664003916;https://psaonline.ru;8;0;0;0;сайт не открылся;оба захода не дошли
8901030855;https://slenergo.ru;2;54;8;0;обычно;обойдено
6685148334;https://gotek.ru;3;337;83;14;обычно;обойдено
5403232532;https://novosibholod.ru;2;89;32;0;обычно;обойдено
7447208347;https://service-kit.ru;3;38;19;0;обычно;обойдено
6623129116;https://scandipakk.com;1;25;6;0;обычно;обойдено
6663005798;https://uralmash-kartex.ru;1;0;0;0;сайт не открылся;таймаут раннера
2465072918;https://skad.ru;2;236;19;0;обычно;обойдено
6674116330;https://sivar.ru;1;54;3;0;обычно;обойдено
0277077282;https://bgkrb.ru;1;63;26;0;обычно;обойдено
5921002018;https://auto.market.omk.ru;8;160;37;9;обычно;обойдено
4214002316;https://raspadskaya.com;8;11;0;0;обычно;обойдено
7708508323;https://omyalgol.com;1;22;6;0;обычно;обойдено
6686054167;https://amertend.ru;1;234;0;0;обычно;обойдено
6652028306;https://uralgidromash.ru;2;79;8;0;обычно;обойдено
2454003302;https://segezha-group.com;8;604;137;9;обычно;обойдено
6679069719;https://moscow.rival-laser.ru;1;78;12;3;обычно;обойдено
7017012254;https://sibagrogroup.ru;4;176;54;7;обычно;обойдено
7708117908;https://cemros.ru;8;1401;457;25;обычно;обойдено
6439010045;https://salnik.ru;8;685;144;13;обычно;обойдено
6664014650;https://elastika.ru;1;203;5;0;обычно;обойдено
5408100057;https://isp.nsc.ru;4;633;80;1;без проверки сертификата;обойдено
6623039575;https://uralzp.ru;1;7;3;0;обычно;обойдено
2463077325;https://aogm.ru;8;729;247;25;обычно;обойдено
7802475153;https://tk-ra.ru;1;43;4;0;обычно;обойдено
6660091703;https://bitek-e.ru;2;194;14;0;обычно;обойдено
6629012040;https://medsintez.com;7;241;124;0;обычно;обойдено
8602166294;https://sat-altai.ru;1;548;2;0;обычно;обойдено
6608001915;https://vodokanalekb.ru;8;502;130;3;без проверки сертификата;обойдено
6626002291;https://stz.tmk-group.ru;3;113;60;23;обычно;обойдено
4220040912;https://szmk-nk.com;2;62;26;0;обычно;обойдено
7704781586;https://seturbo.ru;8;713;104;0;обычно;обойдено
5011020537;https://saint-gobain.ru;1;39;6;0;обычно;обойдено
4501024105;https://znapitki.ru;8;1208;309;0;обычно;обойдено
7724053916;https://protek.ru;1;36;8;0;обычно;обойдено
665812103395;https://eb.archive.org;8;806;168;25;обычно;обойдено
6658019241;https://viz.ru;5;264;75;0;обычно;обойдено
6625021894;https://pervouralsk.polyplast-un.ru;1;28;3;2;обычно;обойдено
5402054076;https://alutech-group.com;8;712;145;25;обычно;обойдено
7203109158;https://resurs-complect.ru;1;4;1;0;обычно;обойдено
5405172920;https://thermooptima.ru;1;21;6;0;обычно;обойдено
0261003648;https://inman.ru;3;99;27;1;обычно;обойдено
7704219345;https://esab.ru;1;5;2;1;обычно;обойдено
7224006227;https://pishma.ru;1;40;6;0;обычно;обойдено
6661044752;https://tmk-ngs.tmk-group.ru;3;59;27;2;обычно;обойдено
6660000400;https://upz.ru;7;386;148;7;обычно;обойдено
0814118403;https://sibserv.com;1;46;22;1;обычно;обойдено
6686062263;https://trapeza.ru;1;15;5;0;обычно;обойдено
4212014972;https://carbo-zakk.ru;2;52;12;0;обычно;обойдено
2225123485;https://essib.ru;1;11;2;0;обычно;обойдено
7817332133;https://a-mikron.ru;2;114;6;0;обычно;обойдено
4508004235;https://zkm45.ru;2;196;70;0;обычно;обойдено
6673130639;https://minplita-izba.ru;2;85;24;0;обычно;обойдено
4506000010;https://zavod-start.ru;1;43;4;0;обычно;обойдено
1832109347;https://avis-izh.ru;2;102;22;0;обычно;обойдено
7415075158;https://npkkalibr.ru;1;18;3;0;обычно;обойдено
5626008809;https://gayfa.ru;5;146;30;0;обычно;обойдено
5613000880;https://tmk-group.ru;7;754;130;25;обычно;обойдено
6658078007;https://emauslugi.ru;3;208;35;4;обычно;обойдено
3321027747;https://generium.ru;8;236;96;9;обычно;обойдено
4229004316;https://topkinsky.sibcem.ru;1;10;4;1;обычно;обойдено
3124011000;https://parmalat.ru;1;11;2;0;обычно;обойдено
5911013211;https://meakir.ru;1;32;4;0;обычно;обойдено
7204003683;https://tmnkhp.ru;1;26;3;0;обычно;обойдено
5408156204;https://gerkules.com;8;496;96;1;обычно;обойдено
6678093250;https://ironargument.com;8;1343;50;1;обычно;обойдено
5003022562;https://ildiglip.ru;1;17;2;0;обычно;обойдено
3814018958;https://silex.ru;3;110;12;0;обычно;обойдено
4253002711;https://sibir-energo.com;1;47;7;0;обычно;обойдено
1650371043;https://haieronline.ru;8;559;45;1;обычно;обойдено
5401365544;https://fish-express.ru;3;216;216;25;обычно;обойдено
6671317254;https://uzmk.org;3;0;0;0;сайт не открылся;оба захода не дошли
3528215377;https://mehanik35.ru;8;1259;25;4;обычно;обойдено
6674368458;https://dobrogost-mpz.ru;1;14;3;0;обычно;обойдено
7816017139;https://formic.ru;8;797;44;0;обычно;обойдено
6671136956;https://remkom-service.ru;1;23;3;0;обычно;обойдено
7816377614;https://danogips.ru;8;643;176;25;обычно;обойдено
7224008030;https://borfab.ru;1;41;22;0;без проверки сертификата;обойдено
6679100694;https://ekoprozess.ru;1;35;3;0;обычно;обойдено
7203372409;https://absolutagro.com;2;62;6;0;обычно;обойдено
5506200910;https://sm-5.ru;2;70;14;0;обычно;обойдено
6633021880;https://talmoloko.ru;1;21;10;1;обычно;обойдено
4221011880;https://sibelectro.com;2;2;1;0;обычно;обойдено
5440102612;https://chrcrb.mznso.ru;2;110;12;0;без проверки сертификата;обойдено
1646020116;https://baustill.ru;1;38;0;0;обычно;обойдено
2221239841;https://prokompressor.ru;8;3274;3259;25;обычно;обойдено
6672162236;https://solidgroup.ru;6;1234;249;25;обычно;обойдено
6661010721;https://introtest.com;1;22;4;0;обычно;обойдено
6633017549;https://milky-kit.ru;1;30;2;0;обычно;обойдено
6652002273;https://kzf.ru;8;971;576;0;обычно;обойдено
5903003690;https://permill.ru;2;76;12;1;обычно;обойдено
6685026960;https://pnevmoproekt.ru;8;4800;616;25;обычно;обойдено
5916031750;https://cbk-kama.com;3;317;36;0;обычно;обойдено
3618003426;https://abcfarben.ru;8;1919;151;23;обычно;обойдено
5406244208;https://polimer-pak.ru;1;11;0;0;обычно;обойдено
7730248021;https://isoserv.ru;1;67;6;0;обычно;обойдено
0572032218;https://caspianoilandgas.com;1;23;3;0;обычно;обойдено
4501083781;https://pricep45.ru;4;241;21;0;обычно;обойдено
6670078934;https://uralprint.ru;1;15;6;0;обычно;обойдено
6633028244;https://slk-cement.com;4;10;2;0;обычно;обойдено
5612030402;https://orenrad.ru;7;322;129;1;обычно;обойдено
6452046139;https://raduga-bottlers.ru;1;25;4;0;обычно;обойдено
6672212127;https://547zavod.ru;1;18;9;0;без проверки сертификата;обойдено
1650331731;https://polychem-systems.ru;5;158;49;0;обычно;обойдено
6685100188;https://shina-standart.ru;5;669;33;0;обычно;обойдено
6679044016;https://eco-prost.ru;1;18;6;0;обычно;обойдено
6325000660;https://tyazhmash.com;7;1417;175;0;обычно;обойдено
6679089063;https://lazurprint.ru;1;72;7;1;обычно;обойдено
7414001724;https://sitno.ru;2;90;43;2;обычно;обойдено
7811438750;https://liman-group.ru;4;233;17;0;обычно;обойдено
6659042028;https://uraltechnopark.ru;6;594;36;6;обычно;обойдено
7203556170;https://elbrusdrilling.com;1;87;8;0;обычно;обойдено
6673197337;https://uetm.ru;3;186;76;4;обычно;обойдено
5404148844;https://gotovo.shop;2;70;3;0;обычно;обойдено
4715011103;https://luzales.ru;7;145;36;1;обычно;обойдено
7813252159;https://goznak.ru;8;191;115;17;без проверки сертификата;обойдено
7203557826;https://kenera.ru;1;100;9;1;обычно;обойдено
5615002700;https://ornpz.ru;6;240;65;2;обычно;обойдено
4501169460;https://npommz.ru;1;330;3;0;обычно;обойдено
8602242925;https://mksurgut.ru;6;19;1;0;обычно;обойдено
0276908600;https://generator-ufa.ru;3;194;12;1;обычно;обойдено
