nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
47-ТУ-35671-2023;22.05.2023;7703647595;"АО ""ОХК ""УРАЛХИМ""";компрессор центробежный К-500-61-1 поз.1/2;ТУ;5911057642;"ООО ""АПЭ""";соответствует;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-35671-2023;https://monitor-pb.ru/customer/7703647595
53-ТУ-35451-2023;18.12.2023;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";Центробежный компрессор 6RPA-44 Технолог. № 07/0010-1, зав.№ 2805217;ТУ;6312124250;"ООО ""САМПРОМЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-35451-2023;https://monitor-pb.ru/customer/6320005915
13-ТУ-02820-2023;27.02.2023;4823006703;"ПАО ""НЛМК""";Центробежный кислородный компрессор 543ЦКК-400/40, инв. 94427, ст. 4;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-02820-2023;https://monitor-pb.ru/customer/4823006703
53-ТУ-35450-2023;18.12.2023;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";Центробежный компрессор 6RPA-44 Технолог. № 07/0010-2, зав.№ 2 805218;ТУ;6312124250;"ООО ""САМПРОМЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-35450-2023;https://monitor-pb.ru/customer/6320005915
13-ТУ-14066-2023;21.09.2023;4823006703;"ПАО ""НЛМК""";Центробежный азотный компрессор К-345-92-1, инв. №97583, ст. №2;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";соответствует;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-14066-2023;https://monitor-pb.ru/customer/4823006703
13-ТУ-18188-2024;06.11.2024;4823006703;"ПАО ""НЛМК""";Центробежный воздушный компрессор К-1500-62-2, ст. №4, инв. №87843, Кислородного цеха;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-18188-2024;https://monitor-pb.ru/customer/4823006703
13-ТУ-18189-2024;06.11.2024;4823006703;"ПАО ""НЛМК""";Центробежный азотный компрессор К-345-92-1, ст. №1, инв. №37407, Кислородного цеха;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-18189-2024;https://monitor-pb.ru/customer/4823006703
48-ТУ-07745-2021;12.02.2021;5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";компрессор центробежный ЦК-135/8, зав. № 83015, поз. № 2/1 АО «ГалоПолимер Пермь» цех 25 корпус 138;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-07745-2021;https://monitor-pb.ru/customer/5908007560
48-ТУ-55380-2020;09.12.2020;5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";Компрессор центробежный ЦК-135/8 зав. № 82006, поз. № 2/2 АО «ГалоПолимер Пермь» цех 25 корпус 138;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-55380-2020;https://monitor-pb.ru/customer/5908007560
51-ТУ-06793-2023;02.03.2023;6320004728;"АО ""ТОАЗ""";Центробежный компрессор К-1290-121-1, техн. № 402, инв. № Т070128, ПАО «ТОАЗ», Цех№07А;ТУ;6319715597;"ООО ""ИК ""ЭКСПЕРТ-РЕСУРС""";соответствует;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-06793-2023;https://monitor-pb.ru/customer/6320004728
13-ТУ-18000-2023;16.11.2023;4823006703;"ПАО ""НЛМК""";Центробежный кислородный компрессор КТК-12,5/3,5, ст. №3, инв. №77977, кислородного цеха;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-18000-2023;https://monitor-pb.ru/customer/4823006703
41-ТУ-27015-2022;26.04.2022;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБН типа Н-370-18-1 зав. № 6947, станц. № 28 КС-18 инв. № 080844;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-27015-2022;https://monitor-pb.ru/customer/0276053659
43-ТУ-45968-2025;14.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Маслоохладитель, поз.№1, зав.№ 88007 (центробежного компрессора 32ВЦ-100/9 тех.поз.59), эксплуатируемый на ПАО «Казаньоргсинтез», Энергопроизводство, Производство технических газов;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45968-2025;https://monitor-pb.ru/customer/1658008723
11-ТУ-07817-2022;04.05.2022;7116000066;"АО ""НАК ""АЗОТ""";техническое устройство: центробежный компрессор, поз. М-306/1, эксплуатируемый в АО «НАК «Азот», цех по производству Метанола;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-07817-2022;https://monitor-pb.ru/customer/7116000066
13-ТУ-03891-2023;22.03.2023;4823006703;"ПАО ""НЛМК""";Азотный центробежный компрессор К-345-92-1 ст. № 1, инв. № 97582, площадка воздухоразделительных установок № 2, кислородного цеха;ТУ;4826127181;"ООО ИТЦ ""МОНОЛИТ""";соответствует;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-03891-2023;https://monitor-pb.ru/customer/4823006703
41-ТУ-14978-2023;02.03.2023;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБН тип Н-370-18-1 зав. № 6303, ст. №14, инв. № 409423;ТУ;7813411480;"ООО ""НИИПГАЗА""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-14978-2023;https://monitor-pb.ru/customer/0276053659
41-ТУ-14991-2023;02.03.2023;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБН тип Н-235-21-1 зав. №7022 ст. №34, инв. № 307183;ТУ;7813411480;"ООО ""НИИПГАЗА""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-14991-2023;https://monitor-pb.ru/customer/0276053659
41-ТУ-15000-2023;02.03.2023;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБН тип Н-370-18-1 зав. № 6502, ст. №15, инв. № 502032;ТУ;7813411480;"ООО ""НИИПГАЗА""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15000-2023;https://monitor-pb.ru/customer/0276053659
43-ТУ-46040-2025;15.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Компрессор турбокомпрессор центробежный 30ТХМВ-4000 (зав.№88005, техн.№ 3.1.1), эксплуатируемый на ПАО «Казаньоргсинтез», Энергопроизводство, Производство технических газов, Холода и кислорода;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-46040-2025;https://monitor-pb.ru/customer/1658008723
48-ТУ-56266-2020;14.12.2020;5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";компрессор центробежный 1,6МК-12/64-М2, зав. № 860506, поз. № М-15 АО «ГалоПолимер Пермь» цех 26 корпус 205А;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-56266-2020;https://monitor-pb.ru/customer/5908007560
48-ТУ-56438-2020;14.12.2020;5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";компрессор центробежный 1,6МК-12/64-М2, зав. № 830510, поз. № М-3 АО «ГалоПолимер Пермь» цех 26 корпус 205А;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-56438-2020;https://monitor-pb.ru/customer/5908007560
41-ТУ-25590-2020;15.07.2020;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Центробежный компрессор марки Кларк 4М9-8 техн. № С-106А, зав. № 4-8-3817F (УКГ-1, Площадка переработки попутного нефтяного газа;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-25590-2020;https://monitor-pb.ru/customer/7202116628
53-ТУ-21751-2023;18.08.2023;6320004728;"АО ""ТОАЗ""";Центробежный компрессор тип 463В 5/3 технологический № К-102, заводской № 463-8-3244, инвентарный № 0051965 применяемое цех №03А, агрегат 4, Компрессия, корпус 271;ТУ;6312086734;"ООО ""ПЭБ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-21751-2023;https://monitor-pb.ru/customer/6320004728
53-ТУ-56438-2022;13.10.2022;6330000553;"АО ""НК НПЗ""";Центробежный компрессор марки 4 RSA 32, технологический индекс ЦК-1, заводской № 3805116, Цех №37, установка ЛСИ-200;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-56438-2022;https://monitor-pb.ru/customer/6330000553
54-ТУ-15355-2020;16.11.2020;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";техническое устройство: центробежный компрессор типа К890-121-1, поз. КЦ-101/2, зав. № 8797 УПГ-2, «Няганьгазпереработка» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-15355-2020;https://monitor-pb.ru/customer/7202116628
35-ТУ-06485-2020;14.09.2020;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";техническое устройство: центробежный компрессор типа ЦК-100-6,5, поз.АзК-8, эксплуатируемый в АО «Невинномысский Азот», цех № 11 (ОПО III класса опасности);ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-06485-2020;https://monitor-pb.ru/customer/2631015563
41-ТУ-15065-2021;22.03.2021;0274051582;"ПАО АНК ""БАШНЕФТЬ""";Центробежный компрессор марки К 250-61-5, техн. № К-2, зав. № 7 Площадка газокаталитического производства филиала ПАО АНК «Башнефть» «Башнефть-Уфанефтехим», ЦВК-4;ТУ;7701027236;"ООО ""ИНТЕРЮНИС""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15065-2021;https://monitor-pb.ru/customer/0274051582
41-ТУ-15078-2021;22.03.2021;0274051582;"ПАО АНК ""БАШНЕФТЬ""";Центробежный компрессор марки К 250-61-5, техн. № К-1, зав. № 1 Площадка газокаталитического производства филиала ПАО АНК «Башнефть» «Башнефть-Уфанефтехим», ЦВК-4;ТУ;7701027236;"ООО ""ИНТЕРЮНИС""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15078-2021;https://monitor-pb.ru/customer/0274051582
43-ТУ-00161-2023;09.01.2023;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";техническое устройство: Компрессор центробежный воздушный ЦК-135/8 (зав.№ 80047, техн.№ 10А), эксплуатируемый на ПАО «Казаньоргсинтез», Энергопроизводство, Производство технических газов;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-00161-2023;https://monitor-pb.ru/customer/1658008723
53-ТУ-06239-2018;23.05.2018;6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";Центробежный компрессор Э-200-31-1, техн. № 7/5, зав.№ 136, Установка получения формальдегида ПК(И-8)И-16. Владелец – ООО «СИБУР Тольятти»;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06239-2018;https://monitor-pb.ru/customer/6323049893
53-ТУ-07723-2018;22.06.2018;6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";Центробежный компрессор Э-200-31-1, техн. № 7/6, зав.№ 127, Установка получения формальдегида ПК(И-8)И-16. Владелец – ООО «СИБУР Тольятти»;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-07723-2018;https://monitor-pb.ru/customer/6323049893
53-ТУ-35360-2023;15.12.2023;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";Центробежной компрессор «АДА» тип 4RBA 44B-5RBA 39A тех. № 7/02-2, зав. № 1.805.156;ТУ;6312124250;"ООО ""САМПРОМЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-35360-2023;https://monitor-pb.ru/customer/6320005915
53-ТУ-44151-2022;28.06.2022;6314006396;"АО ""КНПЗ""";Компрессор центробежный TD/DZ-1000 технологический индекс ТК-4, зав.№ 121253/7, участок по эксплуатации объектов производства сжатого воздуха цеха №5 энергопроизводства;ТУ;6315579093;"ООО ""ИЦ ""АЭ-СИСТЕМЫ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-44151-2022;https://monitor-pb.ru/customer/6314006396
41-ТУ-15704-2022;21.03.2022;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБН типа Н-235-21-1 зав. № 7046 и ротор зав. № 7224, станц. № 38, КС-19А, инв. № 081065;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15704-2022;https://monitor-pb.ru/customer/0276053659
43-ТУ-279305-2022;31.10.2022;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Компрессор центробежный горизонтальный GA 24 IV So (зав.№5251, техн.№ К-104), эксплуатируемый на ПАО «Казаньоргсинтез», завод Этилен, цех 2021-2045;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-279305-2022;https://monitor-pb.ru/customer/1658008723
11-ТУ-14246-2022;16.07.2022;7116000066;"АО ""НАК ""АЗОТ""";техническое устройство: центробежный компрессор 22ЦКО-42/8-38М1, поз. М-252/2, эксплуатируемый в АО «НАК «Азот» цех по производству Метанола;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-14246-2022;https://monitor-pb.ru/customer/7116000066
11-ТУ-14249-2022;16.07.2022;7116000066;"АО ""НАК ""АЗОТ""";техническое устройство: центробежный компрессор 22ЦКО-42/8-38М1, поз. М-252/3, эксплуатируемый в АО «НАК «Азот» цех по производству Метанола;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-14249-2022;https://monitor-pb.ru/customer/7116000066
11-ТУ-14292-2022;18.07.2022;7116000066;"АО ""НАК ""АЗОТ""";техническое устройство: центробежный компрессор 22ЦКО-42/8-38М1, поз. М-252/1, эксплуатируемый в АО «НАК «Азот» цех по производству Метанола;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-14292-2022;https://monitor-pb.ru/customer/7116000066
41-ТУ-12275-2021;05.03.2021;0274051582;"ПАО АНК ""БАШНЕФТЬ""";Центробежный компрессор марки 2ГЦ2-40/51-60 УХЛ4, техн. № К-301, зав.№1 филиала ПАО АНК «Башнефть» «Башнефть-Новойл», Площадка газокаталитического производства, установка Жекса;ТУ;0278161402;"ООО ""ТЕХНИЧЕСКАЯ ДИАГНОСТИКА""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-12275-2021;https://monitor-pb.ru/customer/0274051582
49-ТУ-23259-2022;14.04.2022;5615002700;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";Центробежный компрессор марки 32ВЦ-100/9, тех. №ЦК-2 (зав. № 93017), входящий в состав участка воздушной компрессорной цеха ПГВС ПАО «Орскнефтеоргсинтез», предназначен для промышленной воды;ТУ;7714115419;"ООО НПФ ""ДИАТЕХ""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-23259-2022;https://monitor-pb.ru/customer/5615002700
49-ТУ-23262-2022;14.04.2022;5615002700;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";Центробежный компрессор марки 32ВЦ-100/9, тех. №ЦК-3 (зав. № 93018), входящий в состав участка воздушной компрессорной цеха ПГВС ПАО «Орскнефтеоргсинтез», предназначен для промышленной воды;ТУ;7714115419;"ООО НПФ ""ДИАТЕХ""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-23262-2022;https://monitor-pb.ru/customer/5615002700
53-ТУ-46959-2022;29.07.2022;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";Центробежный компрессор «Адина» 4RPA 28A, технологический № 7/01-1, заводской № 1.805.262, ПАО «КуйбышевАзот», Цех № 25.;ТУ;6316037760;"ООО ФИРМА ""САМАРАКОНТРОЛЬСЕРВИС""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-46959-2022;https://monitor-pb.ru/customer/6320005915
53-ТУ-50581-2022;31.08.2022;6314006396;"АО ""КНПЗ""";компрессор центробежный 5ЦД-208/30-45М технологический индекс ЦК-1, зав. № 79002, установка Л-35/11-1000 №3 цеха №1;ТУ;6315579093;"ООО ""ИЦ ""АЭ-СИСТЕМЫ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-50581-2022;https://monitor-pb.ru/customer/6314006396
54-ТУ-12316-2020;29.09.2020;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";техническое устройство: центробежный компрессор типа АТП5-5/3М, поз. КЦ-501/1, зав. № 08001 НТК-1300, ГПП, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-12316-2020;https://monitor-pb.ru/customer/7202116628
54-ТУ-12324-2020;29.09.2020;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";техническое устройство: центробежный компрессор типа АТП5-5/3М, поз. КЦ-501/2, зав. № 08002 НТК-1300, ГПП, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-12324-2020;https://monitor-pb.ru/customer/7202116628
25-ТУ-03791-2022;12.08.2022;1121003135;"АО ""СЛПК""";Компрессор центробежный К-250-61-2 зав.№ 684 ст.№3» установленного на компрессорной станции УТГВС АО «Монди СЛПК;ТУ;1101089744;"ООО ""Экспертный центр промышленной безопасности"" (ИНН 1101089744)";соответствует;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-03791-2022;https://monitor-pb.ru/customer/1121003135
41-ТУ-23256-2019;03.06.2019;0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";компрессор центробежный 32ВЦ-100/9, поз.М-1, зав.№ 87001 (объект 1918, установка ХВО и ВОЦ, цех № 54, ГХЗ, опасный производственный объект I класса опасности);ТУ;7701027236;"ООО ""ИНТЕРЮНИС""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-23256-2019;https://monitor-pb.ru/customer/0266048970
41-ТУ-24056-2021;19.05.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-235-21-1 зав. № 7042 и ротора зав. № 232, станц. № 32, инв. № 081065, КС-19А Шаранского ЛПУМГ;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-24056-2021;https://monitor-pb.ru/customer/0276053659
41-ТУ-25604-2020;15.07.2020;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Центробежный компрессор марки Кларк 2BF4 техн. № С-103А, зав. № 2-4-3847F (УКГ-1, Площадка переработки попутного нефтяного газа Белозерного ГПЗ – филиал АО «СибурТюменьГаз»);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-25604-2020;https://monitor-pb.ru/customer/7202116628
41-ТУ-25611-2020;15.07.2020;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Центробежный компрессор марки Кларк 553В6 техн. № С-102В, зав. № 553-6-3838F (УКГ-2, Площадка переработки попутного нефтяного газа Белозерного ГПЗ – филиал АО «СибурТюменьГаз»);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-25611-2020;https://monitor-pb.ru/customer/7202116628
41-ТУ-25614-2020;15.07.2020;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Центробежный компрессор марки Кларк 2BC4 техн. № С-103B, зав. № 2-4-3848F (УКГ-1, Площадка переработки попутного нефтяного газа Белозерного ГПЗ – филиал АО «СибурТюменьГаз»);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-25614-2020;https://monitor-pb.ru/customer/7202116628
41-ТУ-25619-2020;15.07.2020;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Центробежный компрессор марки Кларк 553В6 техн. № С-102А, зав. № 553-6-3837F (УКГ-2, Площадка переработки попутного нефтяного газа Белозерного ГПЗ – филиал АО «СибурТюменьГаз»);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-25619-2020;https://monitor-pb.ru/customer/7202116628
41-ТУ-25637-2020;15.07.2020;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Центробежный компрессор марки Кларк 2BC4 техн. № С-103А, зав. № 2-4-3849F (УКГ-2, Площадка переработки попутного нефтяного газа Белозерного ГПЗ – филиал АО «СибурТюменьГаз»);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-25637-2020;https://monitor-pb.ru/customer/7202116628
