nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
32-ТУ-02404-2023;11.04.2023;0541000382;"ОАО ""Махачкалинский мясокомбинат""";Компрессор НФ 812;ТУ;0510009360;НефтеГазЭнерго;соответствует;https://monitor-pb.ru/conclusion/32-%D0%A2%D0%A3-02404-2023;https://monitor-pb.ru/customer/0541000382
32-ТУ-02405-2023;11.04.2023;0541000382;"ОАО ""Махачкалинский мясокомбинат""";Компрессор НФ 812;ТУ;0510009360;НефтеГазЭнерго;соответствует;https://monitor-pb.ru/conclusion/32-%D0%A2%D0%A3-02405-2023;https://monitor-pb.ru/customer/0541000382
32-ТУ-02406-2023;11.04.2023;0541000382;"ОАО ""Махачкалинский мясокомбинат""";Компрессор НФ 812;ТУ;0510009360;НефтеГазЭнерго;соответствует;https://monitor-pb.ru/conclusion/32-%D0%A2%D0%A3-02406-2023;https://monitor-pb.ru/customer/0541000382
41-ТУ-04022-2020;05.02.2020;0268004714;"АО ""СНХЗ""";Трубопровод всаса компрессоров от Е-1 до цилиндров компрессоров № 8,9 и до гидрозатвора поз. 2а т/к “Вероника” № 1,2,3, рег. №71, цеха Д-5-6.;ТУ;0277103782;"ООО ""КАН""";не в полной мере;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-04022-2020;https://monitor-pb.ru/customer/0268004714
53-ТУ-05654-2023;17.02.2023;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";Поршневой компрессор 4HLIK125/145;ТУ;6312086734;"ООО ""ПЭБ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-05654-2023;https://monitor-pb.ru/customer/6320005915
80-ТУ-00717-2024;05.07.2024;9105005901;"ООО ""АГРОСЕЛЬХОЗСЕРВИС""";Компрессор 4ПБ28 зав.№1197;ТУ;9103087507;"ООО ""КЦПБ""";соответствует;https://monitor-pb.ru/conclusion/80-%D0%A2%D0%A3-00717-2024;https://monitor-pb.ru/customer/9105005901
47-ТУ-62083-2022;11.10.2022;3808065646;"МУП ""ИРКУТСКАВТОДОР""";Компрессор ДЭН-45Ш, зав. № 3730;ТУ;7327090929;"ООО ""РУСПРОМГАЗ""";соответствует;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-62083-2022;https://monitor-pb.ru/customer/3808065646
62-ЗС-57085-2023;27.03.2023;7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";сооружение - «Технологический трубопровод. «Линия нагнетания III ступени компрессора Б-124 от цилиндров III ступени до линии Б-62/1. 2.Линия байпасов от III ступени нагнетания компрессора до всаса I ступени. 3.Линия предохранительных клапанов от III ступени нагнетания до коллектора предохранительных клапанов компрессора Б-124 компрессора Б-124» рег.№ П20-3, применяемое на опасном производственном объекте «Площадка производства полиэтилена», рег. №А62-00746-0004 (II класс опасности) ООО «Томскнефтехим», по адресу: 634067, г. Томск, Кузовлевский тракт, д. 2, стр. 202;ЗС;7017216956;"ООО ""РУСЭНЕРГО""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%97%D0%A1-57085-2023;https://monitor-pb.ru/customer/7017075536
11-ТУ-03654-2019;18.03.2019;7116000066;"АО ""НАК ""АЗОТ""";техническое устройство - холодильник (маслоохладитель) смазочного масла компрессора природного газа, поз.102-JC1В, зав.№С290185, предназначен для охлаждения смазочного масла подшипников компрессора природного газа поз.102-J и турбины поз.102-JТ (А11-10311-0004);ТУ;7116025938;"ПАО ""НОРЭ""";не в полной мере;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-03654-2019;https://monitor-pb.ru/customer/7116000066
35-ТУ-08456-2018;24.10.2018;5003065767;"ООО ""ГАЗПРОМ ПХГ""";Водокольцевой компрессор ВК-12М1 инв. № 089588;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-08456-2018;https://monitor-pb.ru/customer/5003065767
68-ТУ-35870-2024;30.10.2024;4214002316;"ПАО ""РАСПАДСКАЯ""";"технические устройства: ­ станция воздушно-компрессорная шахтная передвижная ЗИФ-ШВ-5М зав. №6109; ­ станция воздушно-компрессорная шахтная передвижная ЗИФ-ШВ-5М зав. №39156; ­ винтовая компрессорная установка Шторм 4200 зав. №33410807; ­ винтовая компрессорная установка Шторм 4200 зав. №40060908; ­ винтовая компрессорная установка Шторм 4200 зав. №33560907; ­ компрессор воздушный Atlas Copco GA30P зав. №API537691; ­ компрессор воздушный Atlas Copco GA30P зав. №API537710; ­ компрессор воздушный Atlas Copco GA250 зав. №APF 167165; ­ компрессор воздушный Atlas Copco GA250 зав. №APF 167125, применяемые на опасном производственном объекте I класса опасности ПАО «Распадская», рег. номер ОПО: А68-00226-0001";ТУ;4218021912;"ООО ПТП ""СИБЭНЕРГОЧЕРМЕТ""";соответствует;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-35870-2024;https://monitor-pb.ru/customer/4214002316
41-ЗС-55933-2018;20.12.2018;0277014204;"ПАО ""УФАОРГСИНТЕЗ""";Трубопровод технологического воздуха от компрессоров 22/5-10, 53/1-4, т/компрессоров №2/1-3 в об.101-615, рег. № 35М-V-2-106 ПАО «Уфаоргсинтез» Производство фенола и ацетона, объект 106-605, отделение № 106;ЗС;5029124262;"ООО ""ПРОММАШ ТЕСТ"" (ИНН 5029124262)";соответствует;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-55933-2018;https://monitor-pb.ru/customer/0277014204
01-ТУ-02407-2025;30.01.2025;7713016180;"АО ""Меридиан""";Аммиачный компрессор ВХ 350-7-2, поз. 10;ТУ;7709122844;"ООО НПП ""МЕХАНИК""";соответствует;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-02407-2025;https://monitor-pb.ru/customer/7713016180
36-ТУ-11280-2020;24.12.2020;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";центробежный компрессор TKd 7/18, поз.КГП-2;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/36-%D0%A2%D0%A3-11280-2020;https://monitor-pb.ru/customer/2631015563
41-ТУ-85287-2024;16.12.2024;0274964487;"ООО ""АМИОЙЛ""";Компрессор АВ-100, зав. № 14698;ТУ;0277103782;"ООО ""КАН""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-85287-2024;https://monitor-pb.ru/customer/0274964487
41-ТУ-85289-2024;16.12.2024;0274964487;"ООО ""АМИОЙЛ""";Компрессор АВ-100, зав. № 11876;ТУ;0277103782;"ООО ""КАН""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-85289-2024;https://monitor-pb.ru/customer/0274964487
48-ЗС-19078-2019;23.04.2019;7703647595;"АО ""ОХК ""УРАЛХИМ""";Трубопровод системы уплотнения компрессора поз. 401 рег. № 186;ЗС;5911057642;"ООО ""АПЭ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-19078-2019;https://monitor-pb.ru/customer/7703647595
49-ТУ-66048-2021;10.12.2021;5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";Компрессор SSR MH-55 зав. № 78606;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-66048-2021;https://monitor-pb.ru/customer/5610058025
49-ЗС-16277-2022;22.03.2022;5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";"сооружения: 1. трубопровод подачи неочищенного газа от компрессоров II ступени до узла подключения рег. № 18МТ-12, инв. № 02*118231; 2. трубопровод подачи неочищенного газа от компрессоров I ступени до компрессоров II ступени рег. № 18МТ-13, инв. № 02*118231; 3. трубопровод подачи неочищенного газа от узла подключения до установки очистки газа рег. № 18МТ-14, инв. № 02*118231; 4. трубопровод подачи неочищенного газа от установки очистки газа до компрессоров I ступени рег. № 18МТ-15, инв. № 02*118231; 5. трубопровод (перемычка) от нагнетательного коллектора I ступени 2-го цеха до всасывающего коллектора II ступени 1-го цеха рег. № 18МТ-16, инв. № 02*118231";ЗС;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%97%D0%A1-16277-2022;https://monitor-pb.ru/customer/5610058025
19-ЗС-07793-2022;29.04.2022;7802071707;"АО ""КОМПРЕССОР""";"Заключение № 18г-22 экспертизы промышленной безопасности на опасном производственном объекте рег. № А19-02083-0003 (III класс опасности): Наружный надземный газопровод, находящийся на территории АО ""Компрессор"" по адресу: 194044, г. Санкт-Петербург, Б. Сампсониевский пр., д. 64.";ЗС;7826741679;"ООО ""НПО КОТЛОТЕХНИКА""";соответствует;https://monitor-pb.ru/conclusion/19-%D0%97%D0%A1-07793-2022;https://monitor-pb.ru/customer/7802071707
04-ТУ-20665-2021;03.12.2021;6722036487;"ООО ""ВЗК""";техническое устройство: компрессор ЗАФ49К52Ц поз. № 50, принадлежащий ООО «ВЗК»;ТУ;3328401520;"АО НПО ""ТЕХКРАНЭНЕРГО""";соответствует;https://monitor-pb.ru/conclusion/04-%D0%A2%D0%A3-20665-2021;https://monitor-pb.ru/customer/6722036487
36-ТУ-10129-2020;08.12.2020;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";кислородный компрессор, типа 3VRZ 250/560 поз.КК-2;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/36-%D0%A2%D0%A3-10129-2020;https://monitor-pb.ru/customer/2631015563
36-ТУ-10219-2020;09.12.2020;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";кислородный компрессор, типа 3VRZ 250/560 поз.КК-1;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/36-%D0%A2%D0%A3-10219-2020;https://monitor-pb.ru/customer/2631015563
53-ЗС-07892-2021;15.04.2021;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";Технологический трубопровод «Обвязочный трубопровод компрессора В-112/1» рег. № 1487;ЗС;6312086734;"ООО ""ПЭБ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%97%D0%A1-07892-2021;https://monitor-pb.ru/customer/6320005915
19-ЗС-14928-2022;19.08.2022;7802071707;"АО ""КОМПРЕССОР""";"Заключение № 26г-22 экспертизы промышленной безопасности сооружения, применяемого на опасном производственном объекте рег. № А19-02654-0001 (III класс опасности): Наружный газопровод, находящийся на территории АО ""Компрессор"" по адресу: 194044, г. Санкт-Петербург, Б. Сампсониевский пр., д. 64.";ЗС;7826741679;"ООО ""НПО КОТЛОТЕХНИКА""";соответствует;https://monitor-pb.ru/conclusion/19-%D0%97%D0%A1-14928-2022;https://monitor-pb.ru/customer/7802071707
68-ТУ-14332-2025;21.05.2025;4214018370;"АО ""ОФ ""МЕЖДУРЕЧЕНСКАЯ""";технические устройства: винтовой компрессор BOGE S40 зав. № 52648, инв. № 04189, поз. 209, винтовой компрессор BOGE S40 зав. № 52649, инв. № 04791, поз. 208, эксплуатируемые на опасном производственном объекте II класса опасности АО «ОФ «Междуреченская», рег. № А68-01290-0001;ТУ;4218021912;"ООО ПТП ""СИБЭНЕРГОЧЕРМЕТ""";соответствует;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-14332-2025;https://monitor-pb.ru/customer/4214018370
03-ТУ-10150-2023;04.08.2023;6732163727;"ООО ""АПК-Рязань""";Компрессор винтовой GA22FF (зав.№ITJ424817);ТУ;6234148268;"ООО ""ЭКСПЕРТ 62""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-10150-2023;https://monitor-pb.ru/customer/6732163727
48-ТУ-17912-2021;08.04.2021;5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";компрессор поз. В-1А марки 305ГП20/18 (инв. №112885);ТУ;5902854360;"ООО ""ДИАГНОСТИКА-СЕРВИС""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-17912-2021;https://monitor-pb.ru/customer/5905099475
48-ТУ-17914-2021;08.04.2021;5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";компрессор поз. В-1Б марки 305ГП20/18 (инв. №101946);ТУ;5902854360;"ООО ""ДИАГНОСТИКА-СЕРВИС""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-17914-2021;https://monitor-pb.ru/customer/5905099475
49-ТУ-23644-2023;05.04.2023;5612002469;"АО ""ОРЕНБУРГНЕФТЬ""";компрессор К-5МА, зав. № 19422;ТУ;1828007529;"ООО ""НЕДРА"" (ИНН 1828007529)";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-23644-2023;https://monitor-pb.ru/customer/5612002469
49-ТУ-90224-2023;28.11.2023;5612002469;"АО ""ОРЕНБУРГНЕФТЬ""";компрессоры ZT37 зав. №№ 700547, 700548;ТУ;1828007529;"ООО ""НЕДРА"" (ИНН 1828007529)";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-90224-2023;https://monitor-pb.ru/customer/5612002469
53-ТУ-19655-2023;31.07.2023;5612002469;"АО ""ОРЕНБУРГНЕФТЬ""";компрессор CF-128GK зав. № 19392;ТУ;1828007529;"ООО ""НЕДРА"" (ИНН 1828007529)";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-19655-2023;https://monitor-pb.ru/customer/5612002469
53-ТУ-27649-2019;27.12.2019;6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";Поршневой компрессор 7ВП-20/200, техн. № 40/2, зав. № 120;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-27649-2019;https://monitor-pb.ru/customer/6323049893
53-ТУ-40001-2022;11.05.2022;6325027623;"ООО ""ТЕРМИНАЛ ГАЗ""";Компрессор поршневой АВ100 зав.№12027;ТУ;6318240943;"ООО ""ИТЦ ""СКЭ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-40001-2022;https://monitor-pb.ru/customer/6325027623
58-ТУ-11356-2022;25.03.2022;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";компрессор винтовой воздушный GА 30, зав.№АРI502555;ТУ;8605020617;"ООО ""АЛЬЯНСЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-11356-2022;https://monitor-pb.ru/customer/8602060555
58-ТУ-16458-2021;20.05.2021;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";техническое устройство: винтовой воздушный компрессор Atlas Copco GA 45+ зав.№API514088;ТУ;8605020617;"ООО ""АЛЬЯНСЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-16458-2021;https://monitor-pb.ru/customer/8602060555
58-ТУ-16459-2021;20.05.2021;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";техническое устройство: винтовой воздушный компрессор Atlas Copco GA 45+ зав.№API514089;ТУ;8605020617;"ООО ""АЛЬЯНСЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-16459-2021;https://monitor-pb.ru/customer/8602060555
80-ЗС-02324-2021;28.10.2021;9102013975;"ООО ""Крымгазпром""";Внутриплощадочный надземный газопровод от компрессора до колонки ООО «Крымгазпром»;ЗС;3328465940;"ООО ""КОМПЛЕКСНЫЕ ИНЖЕНЕРНЫЕ СИСТЕМЫ""";соответствует;https://monitor-pb.ru/conclusion/80-%D0%97%D0%A1-02324-2021;https://monitor-pb.ru/customer/9102013975
43-ТУ-15905-2020;03.12.2020;1651025328;"АО ""ТАИФ-НК""";заключения экспертизы промышленной безопасности технических устройств (рег. № 196-ТУ-2020 от 02.11.2020) применяемых на опасном производственном объекте «Площадка по переработке нефтепродуктов завода Бензинов нефтеперерабатывающего производства», I класса опасности, рег. А43-04198-0012: - на компрессоры Наименование Марка Поз.№ Зав.№ Компрессор поршневой BL 1000-250 БП-301/1 1249 Компрессор поршневой BL 1000-250 БП-301/2 1250 эксплуатируемые на ЗБ в цехе № 01, АО «ТАИФ-НК», г. Нижнекамск, РТ;ТУ;1660178112;"ООО ""Научно-технический центр экспертизы и контроля опасных промышленных объектов""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-15905-2020;https://monitor-pb.ru/customer/1651025328
41-ТУ-53734-2018;13.12.2018;0268008010;"АО ""БСК""";Трубопровод воды для охлаждения компрессоров, рег. №в-1422, производство «Каустик», цех №40;ТУ;0278135811;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-53734-2018;https://monitor-pb.ru/customer/0268008010
48-ТУ-06747-2023;31.01.2023;2457002628;"АО ""НОРИЛЬСКГАЗПРОМ""";Компрессор 4ВУ1-5/9М4 (зав. № 090233844), инв. № 107157;ТУ;7725338840;"ООО ""НПЭЦ""";не в полной мере;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-06747-2023;https://monitor-pb.ru/customer/2457002628
49-ТУ-27304-2024;23.04.2024;5612002469;"АО ""ОРЕНБУРГНЕФТЬ""";компрессор 7ВКГ-50/7 зав. № 009;ТУ;1828007529;"ООО ""НЕДРА"" (ИНН 1828007529)";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-27304-2024;https://monitor-pb.ru/customer/5612002469
49-ТУ-30012-2023;28.04.2023;5603048611;"ООО ""ННК-ОРЕНБУРГНЕФТЕГАЗ""";компрессор К-24М, зав. № 159;ТУ;1828007529;"ООО ""НЕДРА"" (ИНН 1828007529)";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-30012-2023;https://monitor-pb.ru/customer/5603048611
49-ТУ-66853-2023;11.09.2023;5612002469;"АО ""ОРЕНБУРГНЕФТЬ""";компрессор 7ВКГ-50/7 зав. № 90023;ТУ;1828007529;"ООО ""НЕДРА"" (ИНН 1828007529)";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-66853-2023;https://monitor-pb.ru/customer/5612002469
51-ТУ-21706-2020;08.12.2020;6451122250;"ООО ""САРАТОВОРГСИНТЕЗ""";Компрессор 7ВП-20/220, тех. поз. 5/1, рег. № 2071, зав. № 202;ТУ;6311115975;"ООО ""РАДЭКС""";соответствует;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-21706-2020;https://monitor-pb.ru/customer/6451122250
53-ТУ-18472-2023;19.07.2023;5612002469;"АО ""ОРЕНБУРГНЕФТЬ""";компрессор 7ВКГ-50/7 зав. № 13002;ТУ;1828007529;"ООО ""НЕДРА"" (ИНН 1828007529)";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-18472-2023;https://monitor-pb.ru/customer/5612002469
53-ТУ-19699-2023;31.07.2023;5612002469;"АО ""ОРЕНБУРГНЕФТЬ""";компрессор 7ВКГ-50/7 зав. № 13001;ТУ;1828007529;"ООО ""НЕДРА"" (ИНН 1828007529)";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-19699-2023;https://monitor-pb.ru/customer/5612002469
53-ТУ-20709-2019;29.10.2019;6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";Поршневой компрессор 2ГМ 4-24/9, техн. № 101/2, зав. №1;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-20709-2019;https://monitor-pb.ru/customer/6323049893
58-ТУ-24333-2020;16.07.2020;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";техническое устройство Винтовой маслосмазываемый воздушный компрессор Atlas Copco GA 30 зав. №315907.;ТУ;8605020617;"ООО ""АЛЬЯНСЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-24333-2020;https://monitor-pb.ru/customer/8602060555
19-ТУ-06371-2025;16.04.2025;7802071707;"АО ""КОМПРЕССОР""";"ЗАКЛЮЧЕНИЕ № 03к-25 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте рег. № А19-02654-0001 (III класс опасности): Паровой котел ДКВр-10-13, рег. № 17389, установленный в котельной АО ""Компрессор"" по адресу: 194044, г. Санкт-Петербург, Б. Сампсониевский пр., д. 64, лит. Ж.";ТУ;7826741679;"ООО ""НПО КОТЛОТЕХНИКА""";соответствует;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-06371-2025;https://monitor-pb.ru/customer/7802071707
19-ТУ-06372-2025;16.04.2025;7802071707;"АО ""КОМПРЕССОР""";"ЗАКЛЮЧЕНИЕ № 04к-25 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте рег. № А19-02654-0001 (III класс опасности): Паровой котел ДКВ-6,5-13 рег. № 11696, установленный в котельной АО ""Компрессор"" по адресу: 194044, г. Санкт-Петербург, Б. Сампсониевский пр., д. 64, лит. Ж.";ТУ;7826741679;"ООО ""НПО КОТЛОТЕХНИКА""";соответствует;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-06372-2025;https://monitor-pb.ru/customer/7802071707
03-ТУ-03359-2023;17.03.2023;6215009501;"ООО ""ЗПФ Агрорус-Рязань""";Компрессор воздушный К-3, (зав.№208);ТУ;6234148268;"ООО ""ЭКСПЕРТ 62""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-03359-2023;https://monitor-pb.ru/customer/6215009501
07-ТУ-10297-2021;23.09.2021;3123215499;"ООО ""ГЭС Белгород""";Компрессор газовый 2А110-7-02, зав. № 4197;ТУ;3123348925;"ООО НЦЭ ""БЕЛЭКС""";соответствует;https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-10297-2021;https://monitor-pb.ru/customer/3123215499
