inn;predpriyatie;vid;znachenie;chelovek;dolzhnost;rol;istochnik;ssylka;citata
0306218607;"ООО ""Карьер Доломит""";почта;sbyt-dolomit@nlmk.com;;;общий;сайт предприятия;https://dolomit.nlmk.com/ru/contacts/;л., город Данков, улица Свердлова, 1 Отдел сбыта +7 (47465) 28-436 +7 (47465) 28-406 +7 (47465) 28-441 sbyt-dolomit@nlmk.com 399854, Липецкая обл., город Данков, улица Свердлова, 1 Журнал «Компания НЛМК» Пресс-релизы Устойчивое разв
0541030620;"ОАО ""Денеб""";почта;deneb-region@deneb.ru;;;общий;сайт предприятия;https://deneb.ru/contacts/;8722 60-00-99 - единый номер. Для партнеров +7 8722 60-00-99 - заказ продукции и иные формы партнерства. Deneb-region@deneb.ru - для партнёров/дистрибьютеров. marketing@deneb.ru - партнёрам по остальным предложениям/ реклама/ коллабор
0541030620;"ОАО ""Денеб""";почта;marketing@deneb.ru;;;общий;сайт предприятия;https://deneb.ru/contacts/;0-00-99 - заказ продукции и иные формы партнерства. Deneb-region@deneb.ru - для партнёров/дистрибьютеров. marketing@deneb.ru - партнёрам по остальным предложениям/ реклама/ коллаборации/ спонсорство. Для СМИ marketing@deneb.ru - для
0541030620;"ОАО ""Денеб""";телефон;+78006000999;;;общий;сайт предприятия;https://deneb.ru/contacts/;орячая линия По вопросам, связанным с работой компании и качеством продукции, обращайтесь на единый номер. 8 800 600-09-99 - бесплатный единый номер. +7 8722 60-00-99 - единый номер. Для партнеров +7 8722 60-00-99 - заказ продук
0541030620;"ОАО ""Денеб""";телефон;+78722600099;;;общий;сайт предприятия;https://deneb.ru/contacts/;й компании и качеством продукции, обращайтесь на единый номер. 8 800 600-09-99 - бесплатный единый номер. +7 8722 60-00-99 - единый номер. Для партнеров +7 8722 60-00-99 - заказ продукции и иные формы партнерства. Deneb-region@d
0545001919;"АО ""ЗАВОД ""ДАГДИЗЕЛЬ""";почта;info@dagdizel.ru;;;общий;сайт предприятия;https://dagdizel.ru/;л. Ленина, 1, г. Каспийск, Республика Дагестан, Россия 368300 Показать на карте 8(87-246)5-27-34, 5-27-39 info@dagdizel.ru © АО «Завод «Дагдизель» 2026, г. Каспийск Разработка сайта Старая версия сайта
0545001919;"АО ""ЗАВОД ""ДАГДИЗЕЛЬ""";телефон;+79604206270;;;общий;сайт предприятия;https://dagdizel.ru/contact;8300 Телефон: 8(87-246)5-27-34, 5-27-39 Факс: 8(87-246) 5-29-40 E-mail: info@dagdizel.ru Отдел кадров: +7 (960) 420-62-70, +7(960) 412-31-91 ул. Ленина, 1, г. Каспийск, Республика Дагестан, Россия 368300 Показать на карте 8(87-2
0545001919;"АО ""ЗАВОД ""ДАГДИЗЕЛЬ""";телефон;+79604123191;;;общий;сайт предприятия;https://dagdizel.ru/contact;246)5-27-34, 5-27-39 Факс: 8(87-246) 5-29-40 E-mail: info@dagdizel.ru Отдел кадров: +7 (960) 420-62-70, +7(960) 412-31-91 ул. Ленина, 1, г. Каспийск, Республика Дагестан, Россия 368300 Показать на карте 8(87-246)5-27-34, 5-27-39
0908003197;"АО ""УРУПСКИЙ ГОК""";почта;urgok@urgok.ru;;;общий;сайт предприятия;https://urgok.ru/;"ТР Новости Фотогалерея Видеогалерея ТЕНДЕРЫ Искать... АО ""Урупский ГОК"" О Компании Продукция компании urgok@urgok.ru 8-(800)-222-91-61 369281, Карачаево-Черкесская Республика, Урупский р-н, п.Медногорский, ул. Шоссейная,1 Fac"
0908003197;"АО ""УРУПСКИЙ ГОК""";телефон;+78002229161;;;общий;сайт предприятия;https://urgok.ru/;"отогалерея Видеогалерея ТЕНДЕРЫ Искать... АО ""Урупский ГОК"" О Компании Продукция компании urgok@urgok.ru 8-(800)-222-91-61 369281, Карачаево-Черкесская Республика, Урупский р-н, п.Медногорский, ул. Шоссейная,1 Facebook Vk Odnoklass"
1215027621;"АО ""ЙОШКАР-ОЛИНСКИЙ МЯСОКОМБИНАТ""";телефон;+78362685603;;;общий;сайт предприятия;https://joshkar-olinskij-mjasokombinat-kokshajskij-proezd.clients.site/;Йошкар-Олинский мясокомбинат Отзывы Фото Контакты Как доехать +7 (836) 268-56-03 +7 (836) 268-**-** Показать Сайт создан в 4.6 на Яндекс Картах Йошкар-Олинский мясокомбинат Производство п
1328006189;"ООО ""Мордовбитум""";почта;info@mordovbitum.ru;;;общий;сайт предприятия;http://mordovbitum.ru/;вная Производство и оптовая торговля битумом всех марок Заказать звонок +7 (8342) 77-78-98 г.Саранск info@mordovbitum.ru Компания О компании История Лицензии Партнеры Отзывы клиентов Сотрудники Вакансии Р
1328006189;"ООО ""Мордовбитум""";телефон;+78342777898;;;общий;сайт предприятия;http://mordovbitum.ru/;Мордовбитум - Главная Производство и оптовая торговля битумом всех марок Заказать звонок +7 (8342) 77-78-98 г.Саранск info@mordovbitum.ru Компания О компании История Лицензии Партнеры Отзывы клиен
1428009578;"ООО Рудник ""Дуэт""";почта;ooo_rudnik_duet@mail.ru;;;общий;сайт предприятия;https://rudnik-duet.ru/;"ысокая зарплата ООО Рудник ""Дуэт"" гарантирует высокую своевременную оплату труда подробнее Свяжитесь с нами: ooo_rudnik_duet@mail.ru © All Rights Reserved ООО Рудник ""Дуэт"""
1428009578;"ООО Рудник ""Дуэт""";почта;08kadr@mail.ru;;;общий;сайт предприятия;https://rudnik-duet.ru/contacts;оценки условий труда Контакты Контакты Свяжитесь с нами Отдел кадров: +7 964 417 82 54 +7 411 402 73 66 08kadr@mail.ru Отдел снабжения: +7 411 402 73 60 / +7 411 402 73 33 Добавочный 120 snab.duet@mail.ru Бухгалтерия: +7
1428009578;"ООО Рудник ""Дуэт""";почта;snab.duet@mail.ru;;;общий;сайт предприятия;https://rudnik-duet.ru/contacts;2 54 +7 411 402 73 66 08kadr@mail.ru Отдел снабжения: +7 411 402 73 60 / +7 411 402 73 33 Добавочный 120 snab.duet@mail.ru Бухгалтерия: +7 411 402 73 60 / +7 411 402 73 33 Добавочный 115 - Главный бухгалтер Добавочный 133 - Замес
1428009578;"ООО Рудник ""Дуэт""";почта;buh_rudnik_duet@mail.ru;;;общий;сайт предприятия;https://rudnik-duet.ru/contacts;73 60 / +7 411 402 73 33 Добавочный 115 - Главный бухгалтер Добавочный 133 - Заместитель главного бухгалтера buh_rudnik_duet@mail.ru Внутренние номера: +7 411 402 73 60 / +7 411 402 73 33 Добавочный 105 - Главный инженер Добавочный 125 - Г
1428009578;"ООО Рудник ""Дуэт""";телефон;+79644178254;;;общий;сайт предприятия;https://rudnik-duet.ru/contacts;результатах проведения специальной оценки условий труда Контакты Контакты Свяжитесь с нами Отдел кадров: +7 964 417 82 54 +7 411 402 73 66 08kadr@mail.ru Отдел снабжения: +7 411 402 73 60 / +7 411 402 73 33 Добавочный 120 snab
1428009578;"ООО Рудник ""Дуэт""";телефон;+74114027366;;;общий;сайт предприятия;https://rudnik-duet.ru/contacts;дения специальной оценки условий труда Контакты Контакты Свяжитесь с нами Отдел кадров: +7 964 417 82 54 +7 411 402 73 66 08kadr@mail.ru Отдел снабжения: +7 411 402 73 60 / +7 411 402 73 33 Добавочный 120 snab.duet@mail.ru Б
1428009578;"ООО Рудник ""Дуэт""";телефон;+74114027360;;;общий;сайт предприятия;https://rudnik-duet.ru/contacts;нтакты Свяжитесь с нами Отдел кадров: +7 964 417 82 54 +7 411 402 73 66 08kadr@mail.ru Отдел снабжения: +7 411 402 73 60 / +7 411 402 73 33 Добавочный 120 snab.duet@mail.ru Бухгалтерия: +7 411 402 73 60 / +7 411 402 73 33 Доба
1428009578;"ООО Рудник ""Дуэт""";телефон;+74114027333;;;общий;сайт предприятия;https://rudnik-duet.ru/contacts;нами Отдел кадров: +7 964 417 82 54 +7 411 402 73 66 08kadr@mail.ru Отдел снабжения: +7 411 402 73 60 / +7 411 402 73 33 Добавочный 120 snab.duet@mail.ru Бухгалтерия: +7 411 402 73 60 / +7 411 402 73 33 Добавочный 115 - Главны
1435263092;"ООО ""МЗ ""Восход""";телефон;+79878139600;;;общий;сайт предприятия;https://voskhod-saratov.ru/;сход» ISO 9001:2015 ISO 50001:2018 ХАССП 0 Сравнение Новости Скачать каталог Дилеры Офис в Саратове +7 987 813 96 00 Офис в Ташкенте +998 93 560 22 74 Больше видео Компания Каталог Видео Доставка и оплата Сервис
1435263092;"ООО ""МЗ ""Восход""";телефон;+78452391002;;;общий;сайт предприятия;https://voskhod-saratov.ru/;т Сервис и помощь Пусконаладка Доставка и оплата Контакты г. Саратов, ул. Астраханская, 21, строение 1 +7 8452 39-10-02 +7 987 813 96 00 Другие представительства Связаться с нами Политика в отношении использования файлов cook
1501000010;"ОАО ""Победит""";почта;pobedit@osetia.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/;заводе Каталог Документация Новости Наш адрес г. Владикавказ, ул. Заводская, 1А +7 (8672) 76-91-09 pobedit@osetia.ru oao-pobedit@mail.ru Все права защищены. Сайт создан Mangust-web.ru ×
1501000010;"ОАО ""Победит""";почта;oao-pobedit@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/;Документация Новости Наш адрес г. Владикавказ, ул. Заводская, 1А +7 (8672) 76-91-09 pobedit@osetia.ru oao-pobedit@mail.ru Все права защищены. Сайт создан Mangust-web.ru ×
1501000010;"ОАО ""Победит""";телефон;+78672769109;;;общий;сайт предприятия;https://ao-pobedit.ru/;ссылки Главная О заводе Каталог Документация Новости Наш адрес г. Владикавказ, ул. Заводская, 1А +7 (8672) 76-91-09 pobedit@osetia.ru oao-pobedit@mail.ru Все права защищены. Сайт создан Mangust-web.ru ×
1501000010;"ОАО ""Победит""";почта;morigor@rambler.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"E-mail: pobedit@osetia.ru Технический директор - Морозов Игорь Валерьевич Тел. 8 (8672) 54-03-52; E-mail: morigor@rambler.ru Директор по общим вопросам - Карапетов Эдуард Сергеевич Тел. 8 (8672) 76-72-90; E-mail: pobedit@osetia.ru"
1501000010;"ОАО ""Победит""";почта;pobedit-ogm@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"E-mail: pobedit@osetia.ru Главный механик завода - Калаев Олег Кириллович Тел. 8 (8672) 76-93-27; E-mail: pobedit-ogm@mail.ru Главный металлург - Плиев Алан Юрьевич Тел. 8 (8672)- 76-83-90; E-mail: pobedit@osetia.ru Главный энергет"
1501000010;"ОАО ""Победит""";почта;pobeditenerg@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"; E-mail: pobedit@osetia.ru Главный энергетик - Прокопович Олег Борисович Тел. 8 (8672) 54-03-85; E-mail: pobeditenerg@mail.ru Руководители служб Начальник финансового отдела - Джикаева Фатима Хетаговна Тел. 8 (8672) 64-95-88; E-ma"
1501000010;"ОАО ""Победит""";почта;fatima-d@km.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"ководители служб Начальник финансового отдела - Джикаева Фатима Хетаговна Тел. 8 (8672) 64-95-88; E-mail: fatima-d@km.ru Начальник отдела экономики и труда Тел. 8 (8672) 76-82-40; Отдел материально-технического снабжения Нач"
1501000010;"ОАО ""Победит""";почта;mmaldzigova@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"отдела материально-технического снабжения – Мальдзигова Марина Гайозовна Тел.: 8 (8672) 54-03-23; E-mail: mmaldzigova@mail.ru Группа сырья, отходов производства, приборов КИП и А, химических реактивов: Мальдзигова Марина Гайозовна"
1501000010;"ОАО ""Победит""";почта;tanyabegizova@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"в, бумажной продукции, канцелярских товаров: Бегизова Татьяна Эдуардовна Тел.: 8 (8672) 54-70-24; E-mail: tanyabegizova@mail.ru Группа металлопроката, подшипников, трубопроводной запорной арматуры, технологической сетки, ГСМ, метизной п"
1501000010;"ОАО ""Победит""";почта;1960met@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"хнологической сетки, ГСМ, метизной продукции: Калоев Руслан Дзантемирович Тел. 8 (8672) 54-70-24; E-mail: 1960met@mail.ru Группа технологического оборудования, запчастей, инструмента, РТИ, асбестовой продукции: Конкина Светлана"
1501000010;"ОАО ""Победит""";почта;omtssvetlana@yandex.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;астей, инструмента, РТИ, асбестовой продукции: Конкина Светлана Сергеевна Тел.: 8 (8672) 54-03-23 E-mail: omtssvetlana@yandex.ru Группа приборов КИПиА, бумажной продукции, технологической сетки: Бегизова Татьяна Эдуардовна Тел.: 8 (86
1501000010;"ОАО ""Победит""";почта;ma.dina.95@list.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"й продукции, кабельно-проводниковой продукции: Хугаева Мадина Николаевна Тел.: 8 (8672) 54-70-24; E-mail: ma.dina.95@list.ru Коммерческий отдел Начальник коммерческого отдела – Атаев Игорь Бесланович Тел.: 8 (8672) 59-85-12; Факс"
1501000010;"ОАО ""Победит""";почта;pobedit-ko@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"льник коммерческого отдела – Атаев Игорь Бесланович Тел.: 8 (8672) 59-85-12; Факс: (8672) 54-03-69 E-mail: pobedit-ko@mail.ru Группа твердых сплавов: Попова Светлана Анатольевна Тел. 8 (8672) 54-70-26; Плиева Людмила Романовна Те"
1501000010;"ОАО ""Победит""";почта;t.stepanenko@tstools.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"иринг” 109029, г. Москва, ул. Скотопрогонная, д.35, стр.2; помещение XVII Тел./факс (499) 346-65-65; E-mail: t.stepanenko@tstools.ru 2. ООО “Победит-СПб” 194292, г. Санкт-Петербург, ул. Домостроительная, 4А, офис 415А; Тел./факс: (812) 7"
1501000010;"ОАО ""Победит""";почта;pobeditspb@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;", г. Санкт-Петербург, ул. Домостроительная, 4А, офис 415А; Тел./факс: (812) 702-19-07, 702-15-18; E-mail: pobeditspb@mail.ru Сайт: www.pobeditspb.ru 3. ООО «ИНМАРК т.о.о.» 127644, г. Москва, ул. Лобненская, 21, комн. 110; E-mai"
1501000010;"ОАО ""Победит""";почта;inmark07@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"Сайт: www.pobeditspb.ru 3. ООО «ИНМАРК т.о.о.» 127644, г. Москва, ул. Лобненская, 21, комн. 110; E-mail: inmark07@mail.ru 4. ОДО “Сплавбелинвест” 220030, Беларусь, г. Минск, ул. Белорусская, 41-31; Тел/факс: (1037517) 301-40-3"
1501000010;"ОАО ""Победит""";почта;splavbelinvest@tut.by;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"т” 220030, Беларусь, г. Минск, ул. Белорусская, 41-31; Тел/факс: (1037517) 301-40-37, 350-65-37; E-mail: splavbelinvest@tut.by splavbelinvest@rambler.ru 5. ООО «ТПФ Декарт» 423832, г. Набережные Челны, пр. Сююмбике, 21/33, 189; Т"
1501000010;"ОАО ""Победит""";почта;splavbelinvest@rambler.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"Минск, ул. Белорусская, 41-31; Тел/факс: (1037517) 301-40-37, 350-65-37; E-mail: splavbelinvest@tut.by splavbelinvest@rambler.ru 5. ООО «ТПФ Декарт» 423832, г. Набережные Челны, пр. Сююмбике, 21/33, 189; Тел/факс: (8552) 53-45-50;"
1501000010;"ОАО ""Победит""";почта;dekart-05@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"О «ТПФ Декарт» 423832, г. Набережные Челны, пр. Сююмбике, 21/33, 189; Тел/факс: (8552) 53-45-50; E-mail: dekart-05@mail.ru Сайт: www.dekartrt.ru 6. ООО «Торговая компания «Инструментальные заводы» 214000, г. Смоленск, ул. Ленин"
1501000010;"ОАО ""Победит""";почта;metal-fox@mail.ru;;;общий;сайт предприятия;https://ao-pobedit.ru/contact;"ООО «Торговая компания «Инструментальные заводы» 214000, г. Смоленск, ул. Ленина, д. 13А, офис 77; E-mail: metal-fox@mail.ru 7. ООО «Пром-Инжиниринг» 603028, г. Нижний Новгород, ул. Вязниковская, д.38, офис 7 Тел/факс: (831) 423-"
