mesto,inn,naimenovanie,summa_bez_nds,operaciy,pervaya_pokupka,poslednyaya_pokupka,tip
93,7701568891,"ООО ""ГРК ""БЫСТРИНСКОЕ""",4918129.60,2,28.11.2025,28.11.2025,юрлицо
94,7017075536,"ООО ""ТОМСКНЕФТЕХИМ""",4877561.40,2,29.09.2025,18.12.2025,юрлицо
95,5402194877,"ООО ""СИБИРСКИЙ ГУРМАН - НОВОСИБИРСК""",4850630.93,14,12.02.2025,01.12.2025,юрлицо
96,6686095452,"ООО ""СИНЕРГИЯ""",4824201.88,5,31.03.2025,29.12.2025,юрлицо
97,5405125896,"ООО ""ИНТЕРПАК""",4678347.34,5,16.01.2025,15.12.2025,юрлицо
98,6671156423,"ПАО ""ЭЛ5-ЭНЕРГО""",4548509.61,3,31.03.2025,30.09.2025,юрлицо
99,5905018998,"АО ""СИБУР-ХИМПРОМ""",4472395.36,3,28.03.2025,26.11.2025,юрлицо
100,4715026815,"ООО ""РСХ""",4419399.98,6,10.03.2025,17.12.2025,юрлицо
101,3528006408,"АО ""ЧФМК""",4381614.00,3,25.08.2025,17.12.2025,юрлицо
102,6606003385,"АО ""УРАЛЭЛЕКТРОМЕДЬ""",4222206.01,8,30.09.2025,29.12.2025,юрлицо
103,7743696750,"АО ""ГРАСИС""",4188591.69,14,16.01.2025,08.12.2025,юрлицо
104,6803629911,"ООО ""ТАМБОВСКИЙ БЕКОН""",4122564.00,1,14.11.2025,14.11.2025,юрлицо
105,0271055557,"ООО ""АГАР""",4098912.59,25,16.01.2025,26.12.2025,юрлицо
106,8901030855,"АО ""САЛЕХАРДЭНЕРГО""",3975011.68,1,10.10.2025,10.10.2025,юрлицо
107,6665002150,"АО ""КУМЗ""",3884096.26,22,10.07.2025,11.11.2025,юрлицо
108,8603166755,"ООО ""ЗАПСИБТРАНСГАЗ""",3874945.10,6,30.10.2025,08.12.2025,юрлицо
109,6685147531,"ООО ""СПЕЦЦЕМЕНТСЕРВИС""",3851253.08,18,09.01.2025,24.12.2025,юрлицо
110,1651031226,"ООО ""ПРЕКАБ""",3629136.00,1,19.11.2025,19.11.2025,юрлицо
111,8905000428,"АО ""ГАЗПРОМНЕФТЬ-ННГ""",3564763.00,1,22.10.2025,22.10.2025,юрлицо
112,6623005777,"ПАО ""УХП""",3526227.94,3,10.01.2025,16.01.2025,юрлицо
113,6685148334,"ООО ""ГОТЭК-ПОЛИПАК АРАМИЛЬ""",3486138.50,11,15.05.2025,24.12.2025,юрлицо
114,8602067092,"ПАО ""ЮНИПРО""",3476810.00,2,30.07.2025,09.12.2025,юрлицо
115,7453101232,"ООО ""ЧЕЛИНДЛИЗИНГ""",3300096.00,1,13.11.2025,13.11.2025,юрлицо
116,1651057721,"ООО ""АЙ-ПЛАСТ""",3232883.67,8,16.01.2025,10.12.2025,юрлицо
117,7705183476,"ООО ""АРНЕСТ ЮНИРУСЬ""",3185222.82,11,21.01.2025,23.09.2025,юрлицо
118,5401232181,"ООО ""СИБЭЛЕКТРОПРИВОД""",3178976.68,14,12.02.2025,23.12.2025,юрлицо
119,3325011410,"АО ""МИЛМОНД""",3016787.80,1,24.06.2025,24.06.2025,юрлицо
120,7413000630,"АО ""КМЭЗ""",2989921.54,4,31.03.2025,16.12.2025,юрлицо
121,6820018800,"ООО ""АГРОСОЮЗ""",2977138.65,41,10.01.2025,08.12.2025,юрлицо
122,5406109142,"АО ""ГЛАВНОВОСИБИРСКСТРОЙ""",2968526.00,4,31.03.2025,18.12.2025,юрлицо
123,0270011660,"ООО ""ЗАВОД НИКОЛЬ-ПАК""",2867079.08,3,30.06.2025,31.12.2025,юрлицо
124,7707375416,"ООО ""КИРОВПЕЙПЕР""",2858933.31,5,20.02.2025,13.10.2025,юрлицо
125,7819301797,"ООО ""БСХ БЫТОВЫЕ ПРИБОРЫ""",2842514.40,7,07.07.2025,08.12.2025,юрлицо
126,9705101614,"ПАО ""ЛК ""ЕВРОПЛАН""",2800000.00,1,13.11.2025,13.11.2025,юрлицо
127,5403232532,"ОАО ""НОВОСИБХОЛОД""",2775000.01,1,23.01.2025,23.01.2025,юрлицо
128,7321313819,"ООО ""ВОЛЖСКАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ""",2752597.00,1,18.07.2025,18.07.2025,юрлицо
129,6674153011,"ООО ""УМЗ"", ООО ""УРАЛЬСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""",2723923.31,10,31.03.2025,30.12.2025,юрлицо
130,5507066537,"ООО ""ЯСТРО-ПЕРЕРАБОТКА""",2698181.24,2,18.06.2025,25.06.2025,юрлицо
131,7204001630,"АО ""ТЮМЕНСКИЙ АККУМУЛЯТОРНЫЙ ЗАВОД""",2649300.00,8,04.02.2025,11.11.2025,юрлицо
132,6229047842,"ООО ""ЭЛЛАДА""",2643454.74,2,10.04.2025,15.10.2025,юрлицо
133,5911040448,"АО ""БМЗ""",2631900.00,5,31.03.2025,31.12.2025,юрлицо
134,6320005915,"ПАО ""КУЙБЫШЕВАЗОТ""",2592921.00,10,04.07.2025,03.12.2025,юрлицо
135,7447295501,"ООО ""ВИНТКОМПЛЕКТ""",2575111.65,13,31.01.2025,10.11.2025,юрлицо
136,4205064482,"ООО ПО ""ТОКЕМ""",2511740.00,4,18.03.2025,19.11.2025,юрлицо
137,4220039723,"ООО ""ХЛЕБ""",2492863.64,5,25.06.2025,02.12.2025,юрлицо
138,7447208347,"ООО ""СЕРВИС-КОМПЛЕКТ""",2475365.84,4,31.01.2025,18.09.2025,юрлицо
139,4906000960,"АО ""ПОЛЮС МАГАДАН""",2461346.53,2,19.05.2025,12.12.2025,юрлицо
140,6623129116,"ООО ""СКАНДИПАКК АЛАБУГА""",2405077.00,5,31.01.2025,31.10.2025,юрлицо
141,5433188538,"ООО ""БЕРГАУФ МАРУСИНО""",2387193.38,7,24.02.2025,29.12.2025,юрлицо
142,5606000223,"АО ""МЭЗ ""УРАЛЭЛЕКТРО""",2300522.99,10,12.03.2025,02.09.2025,юрлицо
143,6315526630,"АО ""ЖИГУЛЕВСКОЕ ПИВО""",2278026.00,1,27.10.2025,27.10.2025,юрлицо
144,5044144552,"ООО ""С99""",2242000.00,1,26.12.2025,26.12.2025,юрлицо
145,7536129954,"ООО ""РИГ СЕРВИС""",2240000.00,2,04.09.2025,11.09.2025,юрлицо
146,4501010984,"АО ""КЗЭМИ""",2207173.96,2,05.06.2025,25.09.2025,юрлицо
147,4501044849,"ООО "" ПУЛЬСАТОР """,2181415.15,11,13.01.2025,24.12.2025,юрлицо
148,4318004484,"ООО  ""МУРАШИНСКИЙ ФАНЕРНЫЙ ЗАВОД""",2128168.30,5,11.02.2025,02.10.2025,юрлицо
149,6450087041,"ООО ""КОМПАНИЯ КЛАСС""",2107733.34,5,06.02.2025,20.10.2025,юрлицо
150,5246020905,"ООО ""ПОСУДА""",2095440.00,1,10.09.2025,10.09.2025,юрлицо
151,6623105958,"ООО ""НСМЗ""",2050000.00,1,29.08.2025,29.08.2025,юрлицо
152,2464010490,"ПАО ""КРАСФАРМА""",2044769.33,4,31.03.2025,31.12.2025,юрлицо
153,6674239607,"ООО ""СВЭЛ-СИЛОВЫЕ ТРАНСФОРМАТОРЫ""",2032890.63,6,25.03.2025,09.10.2025,юрлицо
154,6663005798,"ПАО ""УРАЛМАШЗАВОД""",1968750.00,2,27.02.2025,20.05.2025,юрлицо
155,3802008546,"АО ""ПОЛЮС ВЕРНИНСКОЕ""",1937555.71,2,03.02.2025,07.11.2025,юрлицо
156,5040059680,"АО ""МАПЕИ""",1935213.20,9,13.03.2025,19.12.2025,юрлицо
157,5404271661,"ООО ""ПРОМТЕХСЕРВИС""",1934226.62,6,14.04.2025,18.11.2025,юрлицо
158,2223624670,"ООО ""БЛАГО-БАРНАУЛ""",1925511.50,4,31.05.2025,30.11.2025,юрлицо
159,5643007837,"ООО ""УК ""КОММУНАР""",1890400.00,1,12.02.2025,12.02.2025,юрлицо
160,1648022038,"ООО ""ПТИЦЕВОДЧЕСКИЙ КОМПЛЕКС ""АК БАРС""",1890000.00,1,10.12.2025,10.12.2025,юрлицо
161,7805368914,"ООО ""ТД ПОЛИМЕТАЛЛ""",1871249.99,2,12.05.2025,11.08.2025,юрлицо
162,7802732442,"ООО ""НТЦ ТПТ""",1856457.40,4,16.04.2025,18.12.2025,юрлицо
163,1327000226,"ООО ""ВКМ - СТАЛЬ""",1804570.00,3,26.05.2025,04.12.2025,юрлицо
164,2465072918,"ООО ""ЛМЗ ""СКАД""",1797396.33,2,27.06.2025,10.10.2025,юрлицо
165,7459004027,"ООО ""ОРАНЖСТИЛ""",1791809.65,5,14.04.2025,30.09.2025,юрлицо
166,1677002780,"ООО ""ПИВОВАРЕННЫЙ ЗАВОД ""БЕЛЫЙ КРЕМЛЬ""",1789123.98,6,08.04.2025,24.11.2025,юрлицо
167,1623012101,"СПССК ""ЕЛМАЙ""",1788666.62,2,14.02.2025,09.09.2025,юрлицо
168,6674116330,"АО ""ППЭА ""СИВАР""",1780041.67,1,17.02.2025,17.02.2025,юрлицо
169,0277077282,"ООО ""БГК""",1761666.69,2,28.01.2025,25.04.2025,юрлицо
170,3128011788,"АО ""СТОЙЛЕНСКИЙ ГОК""",1756799.60,3,28.04.2025,07.08.2025,юрлицо
171,6664013880,"АО ""УРАЛХИММАШ""",1747806.00,7,27.05.2025,19.12.2025,юрлицо
172,5918216877,"ООО ""ММК-ЛМЗ""",1718660.33,2,05.11.2025,06.11.2025,юрлицо
173,5030041780,"ООО ""АУР НАРО-ФОМИНСК""",1714873.00,4,24.04.2025,08.08.2025,юрлицо
174,6025019903,"ООО ""ЗАВОД РЕОСТАТ""",1693453.60,4,27.03.2025,17.12.2025,юрлицо
175,7702513119,"ООО ""МОНОЛИТ-СТРОЙ""",1683616.68,8,15.04.2025,17.12.2025,юрлицо
176,8608053875,"ООО ""КОГАЛЫМ НПО-СЕРВИС""",1654992.00,1,31.07.2025,31.07.2025,юрлицо
177,6611000252,"АО ""ИРБИТСКИЙ ХИМФАРМЗАВОД""",1628004.66,7,09.01.2025,01.12.2025,юрлицо
178,6627001318,"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""",1621815.00,1,17.06.2025,17.06.2025,юрлицо
179,6652011944,"АО ""АЗПТ""",1583538.07,2,08.04.2025,11.12.2025,юрлицо
180,1648041464,"ООО ""ПОДВЕСКА""",1563030.00,2,01.04.2025,26.06.2025,юрлицо
181,4720022460,"ООО ""ММПОФ ПЭКЭДЖИНГ""",1533324.00,1,26.08.2025,26.08.2025,юрлицо
182,5921002018,"АО ""ЧМЗ""",1501604.00,3,26.03.2025,27.11.2025,юрлицо
183,7014038550,"АО ""ТГОК ""ИЛЬМЕНИТ""",1439311.68,3,12.02.2025,15.12.2025,юрлицо
184,6621010115,"ООО ""БЕРГАУФ НЕВЬЯНСК""",1438966.67,2,04.06.2025,28.11.2025,юрлицо
185,7838387574,"ООО ""ПОСМ С-З""",1394000.00,1,14.11.2025,14.11.2025,юрлицо
186,4214002316,"ПАО ""РАСПАДСКАЯ""",1371890.01,3,10.04.2025,01.10.2025,юрлицо
187,7708508323,"ООО ""ОМИА УРАЛ""",1365471.96,3,29.03.2025,17.12.2025,юрлицо
188,4212019586,"ООО ""ЧАЙНА КОУЛ СЕРВИС""",1338485.42,1,25.09.2025,25.09.2025,юрлицо
189,5904199692,"ООО ""ИНКАБ""",1334133.34,13,04.04.2025,24.10.2025,юрлицо
190,2540203376,"ООО ""РУСАГРО-ПРИМОРЬЕ""",1311101.50,2,26.06.2025,08.09.2025,юрлицо
191,6315376946,"ПАО ""Т ПЛЮС""",1273402.00,3,31.07.2025,31.10.2025,юрлицо
192,6686054167,"ООО ""АМЕРТЕНД""",1248583.33,2,13.01.2025,27.08.2025,юрлицо
193,6652028306,"АО ""УГМ""",1239846.67,13,05.03.2025,11.11.2025,юрлицо
194,7420005460,"АО ""ЧЕБАРКУЛЬСКОЕ МОЛОКО""",1237445.66,3,25.03.2025,07.08.2025,юрлицо
195,6439082561,"ООО ""ВОЛГАГИДРО ТЯЖМАШ""",1236913.33,3,03.03.2025,30.07.2025,юрлицо
196,6658084667,"ООО ""ВИЗ-СТАЛЬ""",1215319.28,10,09.04.2025,13.11.2025,юрлицо
197,5410039642,"АО ""НМЗ ""ИСКРА""",1208575.00,6,31.03.2025,29.12.2025,юрлицо
198,6230043899,"ООО ""ЗАВОД ТЕХНОПЛЕКС""",1172558.32,6,31.03.2025,25.12.2025,юрлицо
199,2454003302,"АО ""ЛЕСОСИБИРСКИЙ ЛДК № 1""",1163604.67,3,16.01.2025,22.12.2025,юрлицо
200,0267011229,"ООО ""БАШКИРСКАЯ МЕДЬ"", ООО ""БАШМЕДЬ""",1160750.00,1,26.06.2025,26.06.2025,юрлицо
201,4205051780,"ООО""АВЕКСИМА СИБИРЬ""",1152861.04,4,22.04.2025,30.09.2025,юрлицо
202,6679069719,"ООО ТЗК ""РАЙВАЛ""",1152491.33,17,24.04.2025,03.12.2025,юрлицо
203,7017012254,"АО ""СИБАГРО""",1151424.00,2,06.08.2025,07.11.2025,юрлицо
204,7536187339,"ООО ""ЗБК""",1113600.00,1,16.07.2025,16.07.2025,юрлицо
205,7708117908,"АО ""ЦЕМРОС""",1106481.00,1,01.10.2025,01.10.2025,юрлицо
206,4210000050,"ОАО ""ПОЛИМЕР""",1099737.00,2,30.06.2025,18.12.2025,юрлицо
207,6618000220,"АО ""СВЯТОГОР""",1090000.00,3,28.03.2025,31.12.2025,юрлицо
208,7716744564,"ООО ""ГАЗТУРБОТЭК""",1073200.00,2,04.08.2025,20.08.2025,юрлицо
209,6439010045,"АО ""РЕЗИНОТЕХНИКА""",1070021.70,4,31.03.2025,30.12.2025,юрлицо
210,6229024796,"ООО ""ЗАВОД ТЕХНОФЛЕКС""",1068357.19,6,10.03.2025,29.10.2025,юрлицо
211,6664014650,"АО ""УРАЛЭЛАСТОТЕХНИКА""",1038546.97,9,05.02.2025,08.12.2025,юрлицо
212,5408100057,ИФП СО РАН,1023043.00,1,08.08.2025,08.08.2025,юрлицо
213,6501178885,"ООО ""СЕРВИС КОМПАНИ""",991120.83,6,23.01.2025,29.12.2025,юрлицо
214,6623039575,"ООО ""УРАЛЬСКИЙ ЗАВОД ПЛАСТИФИКАТОРОВ""",974151.41,8,07.02.2025,18.12.2025,юрлицо
215,2463077325,"АО ""ГОРНЫЕ МАШИНЫ""",968700.00,1,11.11.2025,11.11.2025,юрлицо
216,7802475153,"ООО ""Р.О.С.АЛЬЯНС""",968020.00,1,24.12.2025,24.12.2025,юрлицо
217,4246018534,"ООО ""КДВ ЯШКИНСКАЯ МЕЛЬНИЦА""",925820.01,5,21.01.2025,06.11.2025,юрлицо
218,6660091703,"ООО ""НПФ""БИТЕК""",915350.00,10,09.01.2025,28.10.2025,юрлицо
219,6629012040,"ООО ""ЗАВОД МЕДСИНТЕЗ""",886841.10,4,27.03.2025,22.12.2025,юрлицо
220,8602166294,"ООО ""АЛТАЙ-СИБ""",861725.83,5,11.03.2025,22.07.2025,юрлицо
221,6608001915,"МУП ""ВОДОКАНАЛ""",861209.99,4,18.04.2025,22.12.2025,юрлицо
222,5604000700,"ПАО ""ГАЙСКИЙ ГОК""",859900.00,1,15.05.2025,15.05.2025,юрлицо
223,5407488528,"ООО ""ТЕХСНАБ""",845438.75,1,05.03.2025,05.03.2025,юрлицо
224,6626002291,"АО ""СТЗ""",838681.91,6,01.04.2025,11.12.2025,юрлицо
225,4220040912,"ООО ""СЗМК""",838000.00,1,11.12.2025,11.12.2025,юрлицо
226,7704781586,"ООО ""ТУРБОСЕРВИС РУС""",837577.40,4,27.02.2025,27.10.2025,юрлицо
227,2360009475,"ООО ""СМАРТ-ЮГ""",827123.27,1,22.05.2025,22.05.2025,юрлицо
228,5011020537,"ООО ""СЕН-ГОБЕН СТРОИТЕЛЬНАЯ ПРОДУКЦИЯ РУС""",811738.31,7,23.01.2025,31.10.2025,юрлицо
229,6674373867,"ООО ""АЛЬФАТРАНС""",808720.00,2,18.09.2025,18.09.2025,юрлицо
230,6626001636,"АО ""ПМК""",796483.33,12,13.02.2025,13.10.2025,юрлицо
231,4501024105,"ООО ""ЗАУРАЛЬСКИЕ НАПИТКИ""",793200.00,1,14.08.2025,14.08.2025,юрлицо
232,6605001321,"БОГДАНОВИЧСКОЕ ОАО ""ОГНЕУПОРЫ""",786392.91,4,04.04.2025,31.12.2025,юрлицо
233,7724053916,АО ЦВ ПРОТЕК,777283.32,4,09.01.2025,25.11.2025,юрлицо
234,5020037784,"АО ""АБ ИНБЕВ ЭФЕС""",772269.00,2,08.10.2025,28.10.2025,юрлицо
