inn;predpriyatie;sayt;priznak;ves;godnost;ssylka_dokazatelstva;citata;sam_sebya;kak_vzyat
740400188249;ВОЛКОВ АЛЕКСЕЙ ЕВГЕНЬЕВИЧ;null;поиск не дал ни одного домена;0;негоден;;;;поиск не дал ни одного домена
2434000335;"АО ""ПОЛЮС КРАСНОЯРСК""";https://polyus.com;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Полюс | ПАО Полюс Раскрытие информации на сайте информ;только название, ИНН не найден
6230051360;"ООО ""ЗАВОД ТЕХНО""";https://www.tn.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС""";https://metafrax.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Метафракс Кемикалс | Метафракс Кемикалс 2001-2026 English Русский Сайт разработан;только название, ИНН не найден
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";https://sibur.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдинг»;название совпало, но сайт зовёт СЕБЯ «ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдин», а не «нижнекамскнефтехим», и имени предприятия нет в домене — это сайт группы
4704052309;"ООО ""РОКВУЛ-СЕВЕР""";https://rwl.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7706613770;"ООО ""РН-БУРЕНИЕ""";https://rosneft.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7713748828;"ООО ""АСПЕКС МАШИНОСТРОИТЕЛЬНАЯ КОМПАНИЯ""";https://aspex.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;"Промышленная аспирация: системы фильтрации и аспирации | ""ООО Аспекс машиностроительная компания"" Политика конфиденци";только название, ИНН не найден
6646009256;"АО ""ПРОМСОРТ-УРАЛ""";https://promsort.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
4725001168;"ООО ""ЯКОБС ДАУ ЭГБЕРТС РУС""";https://maximcoffee.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://maximcoffee.ru/;333 22 55 ©2024 ООО «ЯКОБС ДАУ ЭГБЕРТС РУС». ВСЕ ПРАВА ЗАЩИЩЕНЫ. ОГРН 1153316153715 / ИНН 4725001168 О файлах cookie на этом сайте Продолжая использов;;ИНН на странице сайта
7802849641;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";http://www.baltika.ru;сайт не открылся;0;негоден;;;;главная не открылась
1654040701;"АО ""ЭССЕН ПРОДАКШН АГ""";https://maheev.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;Махеевъ - официальный сайт | ТМ Махеевъ 2026 Защита прав потребителей Политика обработки;название совпало, но сайт зовёт СЕБЯ «Махеевъ - официальный сайт | ТМ Махеевъ 2026 Защита прав потребителей », а не «эссен продакшн аг», и имени предприятия нет в домене — это сайт группы
8603093017;"АО ""ТМК НГС-НИЖНЕВАРТОВСК""";https://uprtnv.top;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
1674002165;"ООО ""СОЛЛЕРС АЛАБУГА""";https://sollers-cargo.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://sollers-cargo.ru/contacts;тарстан, м.р-н Елабужский, город Елабуга, тер. ОЭЗ Алабуга, ул. Ш-2, к. 1/6, каб. 319 ИНН 1674002165/КПП 167401001 ОГРН 1221600050638 Горячая линия: 8;;ИНН на странице сайта
3123342289;"ООО ""ТЕХНО ЭНЕРДЖИ""";https://tehnonrg.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://tehnonrg.ru/company/requisites/;"й ответственностью ""ТЕХНО ЭНЕРДЖИ"" Сокращенное наименование: ООО ""ТЕХНО ЭНЕРДЖИ"" ИНН/КПП: 3123342289/312301001 ОРГН: 1143123006146 Юридический адрес:";;ИНН на странице сайта
2462004363;"АО ""КЗСК""";https://sibur.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
4823006703;"ПАО ""НЛМК""";https://nlmk.com;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Официальный сайт Группы НЛМК | НЛМК;только название, ИНН не найден
5433188577;"ООО ""ЗТИ СИБИРЬ""";https://www.zti.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7802118578;"ООО ""ОПХ""";null;сайт не открылся;0;негоден;;;;главная не открылась
3321005528;"АО ""ЛЕККО""";https://pharmstd.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
4345465597;"ООО ПК ""КИРОВ ТАЙР""";https://prom.kirovreg.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
4345465597;"ООО ПК ""КИРОВ ТАЙР""";https://safe-tec.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;Российский производитель промышленного страховочного снаряжения и средств индивидуальной защиты при работе на высоте. | ;название совпало, но сайт зовёт СЕБЯ «Российский производитель промышленного страховочного снаряжения и сред», а не «пк киров тайр», и имени предприятия нет в домене — это сайт группы
6441025673;"ООО ""ЦЕМЕНТУМ ВОЛГА""";null;сайт не открылся;0;негоден;;;;главная не открылась
6673092045;"АО ""ОКБ ""НОВАТОР""";https://xn--c1atgl.xn--p1ai;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
5024160154;"ООО ""ЗТИ-М""";https://www.zti.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
4216001565;"АО ""КФ""";https://crossfire.z8games.com;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
4216001565;"АО ""КФ""";https://vk.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
4631002737;"ОАО  ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""";https://pharmstd.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
1655283577;"ООО ""НАНОФАРМА ДЕВЕЛОПМЕНТ""";https://izvarino-pharma.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;Изварино Фарма;название совпало, но сайт зовёт СЕБЯ «Изварино Фарма», а не «нанофарма девелопмент», и имени предприятия нет в домене — это сайт группы
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";https://www.nestle.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Nestlé | «Нестле» в России – официальный корпоративный веб-сайт | Nestlé;только название, ИНН не найден
6632001031;"АО ""СЗФ""";https://sfap.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";https://heidelbergcement.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
6603014413;"ООО ""ПСО ""ТЕПЛИТ""";https://twinblock.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Официальный сайт Теплит – производство Твинблока из газобетона;только название, ИНН не найден
7447010227;"АО ""ЧЭМК""";https://www.chemk.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://www.chemk.ru/contacts/;0702810972190002208 в Челябинском ОСБ №8597 г.Челябинск Кор.счёт 30101810700000000602 ИНН 7447010227, БИК 047501602 Коды: ОКПО - 00186507 --> --> -->;;ИНН на странице сайта
6672326854;"ООО ""СЖАТЫЙ ВОЗДУХ""";https://pnevmo.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;МАГИМЭКС - Все для сжатого воздуха. Компрессоры и пневмооборудование, пневмоинструмент | ООО «МАГИМЭКС», 2000 – 2026 г;название совпало, но в реквизитах сайта ЧУЖОЙ ИНН (7721206787) — это домен группы, а не юрлица
6672326854;"ООО ""СЖАТЫЙ ВОЗДУХ""";https://gazzachas.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;ГазЗаЧас - газовые баллоны и технические газы в Москве. Заправка баллонов газом, обмен, продажа, аренда в Москве;название совпало, но сайт зовёт СЕБЯ «ГазЗаЧас - газовые баллоны и технические газы в Москве. Заправка балло», а не «сжатый воздух», и имени предприятия нет в домене — это сайт группы
7452075043;"ООО ""ПРОМТЭКС-ЭНЕРГО""";https://licexpert.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7452075043;"ООО ""ПРОМТЭКС-ЭНЕРГО""";https://chelyabinsk.jsprav.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
2536314387;"ООО ""ГЛОБАЛ ИНЖИНИРИНГ ГРУПП""";https://global-engineer.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Промышленное оборудование с доставкой по РФ | Глобал Инжиниринг Групп;только название, ИНН не найден
6612001971;"ФГУП ""ПО ""ОКТЯБРЬ""";http://www.neywa.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Производственное объединение ОКТЯБРЬ – электрические соединители;только название, ИНН не найден
5604009196;"АО""РИФАР""";https://rifar.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
1646027023;"АО ""ТРАКЬЯ ГЛАСС РУС""";https://www.sisecam.com;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7705598512;"ООО ""СИРИАЛ ПАРТНЕРС РУС""";https://www.ceair.com;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
1646031132;"ООО ""АЛАБУГА-ВОЛОКНО""";https://rosatom-composites.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
6685126161;"ООО ""АРДЕНА""";https://arden.su;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7448000013;"АО ""ЧЦЗ""";https://zinc.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://zinc.ru/contacts/rekvizity/;"вский тракт, 24 Телефон: (351) 799-00-00; (351) 799-00-09; Телефакс: (351) 799-00-65; ИНН 7448000013 КПП 997550001 р/сч 40702810602940000232 в ПАО ""МО";;ИНН на странице сайта
6664006956;"АО ""ЗКИ""";https://uralceramica.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://uralceramica.ru/contacts/rekvizit;"�� �������&raquo; 620103, �. ������������, ��. ��������, �. 1 ��������� ��������� ���/��� 6664006956/667901001 ��������� ���� 40702810016120100525 ���";;ИНН на странице сайта
7455010284;"ООО ""АЛЬКОР""";https://alikor.com;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Алькор. Бриллианты России | Alikor, Все права защищены, 1999-2026 ООО «Костромская ювели;только название, ИНН не найден
6635000195;"НАО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА""";https://sveza.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
5838013374;"АО ""ФНПЦ ""ПО ""СТАРТ"" ИМ. М.В. ПРОЦЕНКО""";https://startatom.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;;только название, ИНН не найден
6671097930;"ООО ""СТИЛ АРМОР""";https://vk.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
1650157635;"ООО ""КАМАЗ-ЭНЕРГО""";https://new.kamaz-energo.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://new.kamaz-energo.ru/about/;"СТВЕННОСТЬЮ ""КАМАЗ-ЭНЕРГО"" Наименование организации (сокращенное): ООО ""КАМАЗ-ЭНЕРГО"" ИНН 1650157635 КПП 165001001 Основной государственный регистраци";;ИНН на странице сайта
7805059867;"АО ""ПЕТЕРБУРГСКИЙ ТРАКТОРНЫЙ ЗАВОД""";https://kirovets-ptz.com;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;АО «Петербургский тракторный завод» - официальный сайт ОАО «Кировский завод» | АО «Петербургский тракторный завод» Согла;только название, ИНН не найден
7702583250;"ООО ""ЛЛК-ИНТЕРНЕШНЛ""";http://lukoil-masla.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;ООО ЛЛК-Интернешнл - моторные масла и смазочные материалы ЛУКОЙЛ | официальный сайт;только название, ИНН не найден
7435006346;"АО ""АГК""";https://xn--80agvc9a.xn--p1ai;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7724729390;"ФБУ ""ФУ БХУХО""";https://vk.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";https://www.surgutneftegas.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;ПАО «Сургутнефтегаз» - поиск, разведка и добыча углеводородного сырья;только название, ИНН не найден
7204205739;"ООО ""ТЭО""";https://teo.ecotko.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
4205081463;"ООО ""ТД ""СИБИРСКИЙ ЦЕМЕНТ""";https://www.sibcem.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;"Сибирский цемент | АО ""ХК ""Сибцем"" 8 800 700-89-90 Звонок по России бесплатно П";только название, ИНН не найден
5911029807;"ПАО ""УРАЛКАЛИЙ""";https://www.uralkali.com;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";https://ugok.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7814370998;"ООО  ""ГИПЕРТЕХНОЛОДЖИ """;https://hyptec.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://hyptec.ru/;197374 Санкт-Петербург, Приморский проспект, д. 137 / корпус 2 / литера А, помещ 22-Н ИНН 7814370998 | ОГРН 1077847284646 Свяжитесь с нами Отправить з;;ИНН на странице сайта
4221000630;"АО ""ОРГАНИКА""";https://organica-nk.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;АО «Органика» — российская фармацевтическая компания с производственным комплексом в Новокузнецке | АО «Органика» Приёмн;только название, ИНН не найден
5918218070;"ООО ""ГОРНОЗАВОДСКЦЕМЕНТ""";https://akkermann.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://akkermann.ru/bankovskie-rekvizity-i-dogovory/;03 ВОЛГО-ВЯТСКИЙ БАНК ПАО СБЕРБАНК г. Нижний Новгород Банк ПАО СБЕРБАНК БИК 042202603 ИНН 5918218070 КПП 591801001 ОГРН 1205900032106 ООО «АТАКАЙЦЕМЕН;;ИНН на странице сайта
8603087285;"ООО ""ННПО""";https://nnpo.net;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;NNPO - цены, купить тепловизор NNPO на официальном сайте магазина;только название, ИНН не найден
6324079869;"ООО ""ЛАДА ФУД ТЕХНОЛОДЖИ""";https://xn--80ab3alkpp.xn--p1ai;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;Хорлбат;название совпало, но сайт зовёт СЕБЯ «Хорлбат», а не «лада фуд технолоджи», и имени предприятия нет в домене — это сайт группы
5916015580;"ООО ""МАСЛОЗАВОД НЫТВЕНСКИЙ""";https://nytva-maslo.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Молочная Продукция Оптом в Перми от Производителя Маслозавод Нытвенский | ООО «Маслозавод Нытвенский»‎ +7 (34 272) 2−41−;только название, ИНН не найден
6438007280;"ООО ""РУСАГРО-АТКАРСК""";https://ooogsm.pro;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";https://www.burgaz.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Газпром бурение | ООО «Газпром бурение»;только название, ИНН не найден
6664003916;"АО ""НИЗМК""";https://xn--80acgfbsl1azdqr.xn--p1ai;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
6664003916;"АО ""НИЗМК""";https://psaonline.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7701568891;"ООО ""ГРК ""БЫСТРИНСКОЕ""";https://grkb.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Сайт ДЗО Норильского Никеля | ГРК Быстринское;только название, ИНН не найден
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";https://sibur.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдинг»;название совпало, но сайт зовёт СЕБЯ «ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдин», а не «томскнефтехим», и имени предприятия нет в домене — это сайт группы
5402194877;"ООО ""СИБИРСКИЙ ГУРМАН - НОВОСИБИРСК""";https://vk.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
6686095452;"ООО ""СИНЕРГИЯ""";https://synergy.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;synergy.ru | Университет СИНЕРГИЯ | Synergy;только название, ИНН не найден
5405125896;"ООО ""ИНТЕРПАК""";https://interpacknsk.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;ИНТЕРПАК - производитель пакетов, бумаги и скатертей | Все права защищены Мы используем файлы cookies;только название, ИНН не найден
6671156423;"ПАО ""ЭЛ5-ЭНЕРГО""";https://el5-energo.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://el5-energo.ru/;зования Связаться с нами Вакансии Подписаться © ПАО «ЭЛ5-Энерго» Все права защищены | ИНН 6671156423 English Разработка сайта — Desktop Icon Youtube I;;ИНН на странице сайта
5905018998;"АО ""СИБУР-ХИМПРОМ""";https://sibur.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдинг»;название совпало, но сайт зовёт СЕБЯ «ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдин», а не «сибур-химпром», и имени предприятия нет в домене — это сайт группы
4715026815;"ООО ""РСХ""";https://www.rshb.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
3528006408;"АО ""ЧФМК""";https://www.cfmk.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;АО «ЧФМК» | АО «ЧФМК» - Производитель ЛДСП, ДСП, фанеры, пиломатериалов;только название, ИНН не найден
6606003385;"АО ""УРАЛЭЛЕКТРОМЕДЬ""";https://www.uralelektromed.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://www.uralelektromed.ru/about;равлению качеством пищевых добавок). Реквизиты Наименование АО «УРАЛЭЛЕКТРОМЕДЬ» ИНН/КПП: 6606003385/668601001 Предприятие имеет 3 производственные пл;;ИНН на странице сайта
7743696750;"АО ""ГРАСИС""";https://grasys.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://grasys.ru/o-kompanii/sertifikaty-i-razresheniya/;"ве в СРО № 094 Скачать PDF; 0,5 МБ Свидетельство о допуске к проектированию № 094.11-2010-7743696750-П-027 Скачать PDF; 1,7 МБ Свидетельство о допуске";;ИНН на странице сайта
6803629911;"ООО ""ТАМБОВСКИЙ БЕКОН""";https://ooogsm.pro;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
0271055557;"ООО ""АГАР""";https://aqara.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
8901030855;"АО ""САЛЕХАРДЭНЕРГО""";https://www.slenergo.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
6665002150;"АО ""КУМЗ""";https://kumz.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;АО «КУМЗ»;только название, ИНН не найден
8603166755;"ООО ""ЗАПСИБТРАНСГАЗ""";https://sibur.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдинг»;название совпало, но сайт зовёт СЕБЯ «ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдин», а не «запсибтрансгаз», и имени предприятия нет в домене — это сайт группы
6685147531;"ООО ""СПЕЦЦЕМЕНТСЕРВИС""";https://spec-cement.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;ООО СпецЦементСервис :: Главная | ООО “СпецЦементСервис” 2025 Копирование информации с сайта з;только название, ИНН не найден
1651031226;"ООО ""ПРЕКАБ""";https://precab.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;ПРЕКАБ | ООО «ПРЕКАБ» Все права защищены;только название, ИНН не найден
8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";https://nng.gazprom-neft.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Газпромнефть-Ноябрьскнефтегаз;только название, ИНН не найден
6623005777;"ПАО ""УХП""";https://ucp.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
6685148334;"ООО ""ГОТЭК-ПОЛИПАК АРАМИЛЬ""";https://gotek.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
8602067092;"ПАО ""ЮНИПРО""";https://unipro.energy;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Главная страница - Юнипро;только название, ИНН не найден
7453101232;"ООО ""ЧЕЛИНДЛИЗИНГ""";https://chelindleasing.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://chelindleasing.ru/investors/;"нская индустриальная лизинговая компания"" Сокращенное наименование ООО ""ЧелИндЛизинг"" ИНН 7453101232 КПП 745301001 ОГРН 1037403882141 ОКВЭД 65.21 ОКПО";;ИНН на странице сайта
