inn;predpriyatie;chto_u_nih;moy_yarlyk;citata;ssylka;pochemu
7701293580;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ;центробежная / воздух;садовый инструмент, не машина;Аренда воздуходувки;https://zakupki.mos.ru/auction/9640564;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7702721214;"АО ""ЭНЕРГОРЕМОНТ ПЛЮС""";центробежная | тип не установлен | не установлен | паровая т / воздух;пневмонагнетатель или растворонасос, не машина;ПНЕВМОНАГНЕТАТЕЛЬ;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e39bd15a-66ab-4418-9c8c-86c3898ee609_a9898519-0050-0250-4118-000018290358&infoGuid=e39bd15a-66ab-4418-9c8c-86c3898ee609;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5410114184;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОСИБИРСКИЙ ЗАВОД ХИМКОНЦЕНТРАТОВ""";центробежная | тип не установлен | не установлен / воздух;вихревая или роторная воздуходувка, принцип не центробежный;мониторинг цен в электронной форме на Воздуходувка вихревая EVH 18/54 3ф;https://www.roseltorg.ru/procedure/ATOM12082500018/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7107018282;ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ТУЛЬСКОЙ ОБЛАСТ;центробежная / воздух;садовый инструмент, не машина;Поставка триммера и воздуходувки.;https://zakupki.mos.ru/need/5792867;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7817027740;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Приобретение воздуходувки (пылесоса садового);https://zakupki.mos.ru/need/3889464;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5044034863;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СОЛНЕЧНОГОРСКАЯ ";центробежная / воздух;садовый инструмент, не машина;Воздуходувка;https://zakupki.mos.ru/need/5568423;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7703173546;Государственное бюджетное учреждение здравоохранения города Москвы «Го;центробежная / воздух;садовый инструмент, не машина;Воздуходувка Greenworks GD82ABIIk5 5Ыч;https://zakupki.mos.ru/auction/10235919;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7820317921;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная | тип не установлен / воздух;садовый инструмент, не машина;Поставка мотора- компрессора для холодильного шкафа в ГБДОУ №37 Пушкинского района Санкт-Петербурга;https://zakupki.mos.ru/need/4051406;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5228054475;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""БЛАГОУСТРОЙСТВО ГОРОДА""";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки Champion GBR376;https://zakupki.mos.ru/need/5491410;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
2336001098;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"" КРАСНОАРМЕЙ";центробежная | не установлен / воздух;вихревая или роторная воздуходувка, принцип не центробежный;Поставка оборудования (воздуходувка вихревая) для очистных сооружений;https://www.tektorg.ru/223-fz/procedures/11008382;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7720584916;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная / воздух;садовый инструмент, не машина;Воздуходувка для чистки компьютера от пыли;https://zakupki.mos.ru/auction/10140947;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5038005670;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТ;центробежная | тип не установлен / воздух;садовый инструмент, не машина;Поставка запасных частей для триммера, воздуходувки;https://zakupki.mos.ru/need/6149584;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7826051435;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка пылесоса-воздуходувки;https://zakupki.mos.ru/need/5158300;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5038025885;"МБОУ ""АШУКИНСКАЯ СОШ""";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5154354;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5032316729;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КОММУНАЛЬНОЕ ХОЗЯЙСТВО И БЛАГОУСТР";центробежная | тип не установлен | не установлен / воздух;садовый инструмент, не машина;Поставка компрессора масляного PATRIOT;https://zakupki.mos.ru/need/4547310;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7723162479;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ;центробежная / воздух;садовый инструмент, не машина;Воздуходувка для чистки компьютера от пыли;https://zakupki.mos.ru/auction/9833196;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7820022526;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗ;центробежная / воздух;садовый инструмент, не машина;Поставка садового триммера, воздуходувки, тачки садовой для ГБУ СШОР Пушкинского района Санкт-Петербурга в 2023 году.;https://zakupki.mos.ru/need/4583689;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7730554082;Государственное бюджетное учреждение города Москвы «Молодёжный центр «;центробежная | не установлен / воздух;садовый инструмент, не машина;Воздуходувка GREENWORKS GD60ABK4 60V;https://www.roseltorg.ru/procedure/SP9842876/3;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
3328461618;УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗА АДМИНИСТРАЦИИ ГОРОДА ВЛАДИМИРА;центробежная / воздух;садовый инструмент, не машина;Поставка бензопил, воздуходувки и высотореза;https://www.roseltorg.ru/procedure/0328300032822000747/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7423000572;"ФГУП ""РФЯЦ - ВНИИТФ ИМ. АКАДЕМ. Е.И. ЗАБАБАХИНА""";центробежная | поршневая или винтовая | не установлен / воздух;пневмонагнетатель или растворонасос, не машина;Поставка: Пневмонагнетатель;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=5456ede9-a85c-40e4-a59f-e6f1d5a0c270_005056bc-c072-1eec-85f4-e070ebb452d2&infoGuid=5456ede9-a85c-40e4-a59f-e6f1d5a0c270;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5902217177;Государственное краевое бюджетное учреждение культуры «Музей современн;центробежная / воздух;садовый инструмент, не машина;Поставка товаров (лампы для проектора, картриджи, жесткий диск, воздуходувка);https://zakupki.mos.ru/auction/9906671;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7816158210;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5687635;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5003021368;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная | тип не установлен | садовый инструмент, не ма / воздух;садовый инструмент, не машина;КОМПРЕССОР АВТОМОБИЛЬНЫЙ;https://zakupki.mos.ru/auction/9604749;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7116018514;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОХИМ-РЕМСТРОЙСЕРВИС""";центробежная | тип не установлен | не установлен / воздух;садовый инструмент, не машина;Запасные части для средств малой механизации (воздуходувки STIHL, вибротрамбовка WEBER, двигателя HONDA);https://www.tender.pro/api/tender/196100/view_public;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5022033619;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОРГАНИЗАЦИЯ;центробежная / воздух;садовый инструмент, не машина;Закупка и поставка воздуходувки;https://zakupki.mos.ru/need/5646941;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
2539008324;"ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ НАУКИ ""НАЦИ";центробежная | тип не установлен | не установлен / воздух;садовый инструмент, не машина;"Поставка триммера и воздуходувки для нужд ""Приморского океанариума""- филиала ННЦМБ ДВО РАН";https://www.roseltorg.ru/procedure/32413904049/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7701109680;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОД;центробежная | садовый инструмент, не машина / воздух;вихревая или роторная воздуходувка, принцип не центробежный;Воздуходувка вихревая Zenova (GreenTech) 2RB 520-040;https://zakupki.mos.ru/auction/9561993;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5036172250;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ПАРК КУЛЬТУРЫ И ОТДЫХА ИМЕНИ В.ТАЛ";центробежная | поршневая или винтовая | не установлен / воздух;садовый инструмент, не машина;Поставка электрических инструментов (точила ручные, сварочный аппарат и поршневой компрессор);https://zakupki.mos.ru/need/5246599;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7814471266;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная | тип не установлен / воздух;садовый инструмент, не машина;Компрессор;https://zakupki.mos.ru/need/5242112;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5032258139;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ОДИНЦОВСКИЙ ПАРК КУЛЬТУРЫ";центробежная / воздух;садовый инструмент, не машина;Поставка хозяйственного инвентаря (подметально-уборочная машина, воздуходувка, тележка-разбрасыватель) для нужд МБУК «ОПКСиО»;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=b795c017-1194-4c58-b958-0738c5d94169_e748a2f0-5275-4485-8483-457591968639&infoGuid=b795c017-1194-4c58-b958-0738c5d94169;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7726072209;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НЕТИПОВОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОР;центробежная / воздух;садовый инструмент, не машина;Воздуходувка Makita EB5300TH;https://www.roseltorg.ru/procedure/SP9113251/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5017048440;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НОВОПЕТРОВСКАЯ";центробежная | не установлен / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/4506688;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7807026049;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5181787;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5009035952;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДОМ ДЕТ;центробежная / воздух;садовый инструмент, не машина;Приобретение оборудования,мебели и инвентаря для военно-патриотического лагеря им.Героя Советского Союза В.Талалихина (Воздуходувка);https://zakupki.mos.ru/need/3896479;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
8911016786;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБ";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5075522;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5017048948;Муниципальное общеобразовательное учреждение Дедовская средняя общеобр;центробежная | не установлен / воздух;садовый инструмент, не машина;"Поставка воздуходувки для корпуса 2 МОУ ""СОШ имени А.П. Белобородова""";https://zakupki.mos.ru/need/5625972;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7731136698;Государственное бюджетное профессиональное образовательное учреждение ;центробежная | поршневая или винтовая / воздух;поршневая или винтовая;Компрессор поршневой холодильный Tecumseh FH2511Z-XG_TU LBP R-404a Qo=3.4 кВт без вентилей;https://zakupki.mos.ru/auction/10063410;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
