inn;predpriyatie;marka;seriya;chto_eto;proizvoditelnost_m3min;davlenie;moshchnost;chem_menyaem;sostoyaniya;daty;ssylka;srok_sluzhby;vyvod_ekspertizy;telefon_predpriyatiya;lyudej_tehnicheskih
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";ТВ 300-1,6М;ТВ;турбовоздуходувка;300.0;1.6;;центробежный компрессор крупного ряда;планировал;04.2023;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=4c90b87a-91f3-4157-b8dc-22db7b0421ed_c4d1fffb-405b-4d15-bed0-fbcb0d7a3aa5&infoGuid=4c90b87a-91f3-4157-b8dc-22db7b0421ed;;;;12
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";ТВ-300-1,6М;ТВ;турбовоздуходувка;300.0;1.6;;центробежный компрессор крупного ряда;планировал;10.2023;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=4c90b87a-91f3-4157-b8dc-22db7b0421ed_8587c80a-6492-46bb-9736-6d9ba4121f79&infoGuid=4c90b87a-91f3-4157-b8dc-22db7b0421ed;;;;12
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";ТВ-175-1,6;ТВ;турбовоздуходувка;175.0;1.6;;центробежный компрессор среднего ряда;планировал;06.2026;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=fceed6e1-d577-4828-b5a5-5ef9980494b1_9eec060d-858e-4305-a970-ba274455622f&infoGuid=fceed6e1-d577-4828-b5a5-5ef9980494b1;;;;12
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";ТВ-300-1,6;ТВ;турбовоздуходувка;300.0;1.6;;центробежный компрессор крупного ряда;планировал;06.2026;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=fceed6e1-d577-4828-b5a5-5ef9980494b1_9eec060d-858e-4305-a970-ba274455622f&infoGuid=fceed6e1-d577-4828-b5a5-5ef9980494b1;;;;12
4220020218;ТопПром;ТВ-200-1,4;ТВ;турбовоздуходувка;200.0;1.4;;центробежный компрессор крупного ряда;покупает;22.09.2014;https://www.tender.pro/api/tender/188725/view_public;;;;12
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";К-1500-62-2;К;центробежный компрессор;1500.0;62;;турбокомпрессор большой производительности;есть;11.08.2025 | 12.04.2018 | 15.06.2023 | 18.07.2023 | 22.06.20;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-56562-2025;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";К-250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;есть;07.08.2025 | 08.08.2025 | 23.01.2018;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-50199-2025;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";К-345-92-1;К;центробежный компрессор;345.0;92;;центробежный компрессор крупного ряда;есть;14.06.2023 | 15.06.2023 | 21.03.2018 | 27.08.2025;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-12269-2025;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";К-500-61-1;К;центробежный компрессор;500.0;61;;центробежный компрессор крупного ряда;есть;09.06.2022 | 12.12.2016 | 16.12.2016 | 18.07.2022 | 20.06.20;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-36091-2022;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";К-905-61-1;К;центробежный компрессор;905.0;61;;турбокомпрессор большой производительности;есть;09.07.2026 | 12.07.2023 | 17.01.2024 | 18.07.2023 | 19.07.20;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%9F-915972-2026;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";К1290-121-1;К;центробежный компрессор;1290.0;121;;турбокомпрессор большой производительности;есть;23.01.2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-02598-2019;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ТВ-80-1,4;ТВ;турбовоздуходувка;80.0;1.4;;центробежный компрессор среднего ряда;есть;04.07.2017 | 04.12.2017 | 07.11.2025 | 07.12.2017 | 28.03.20;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-435250-2025;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ТВ-200-1,4;ТВ;турбовоздуходувка;200.0;1.4;;центробежный компрессор крупного ряда;есть;01.02.2018 | 13.03.2018 | 13.11.2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-04892-2018;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ТВ-80-1,8М-01;ТВ;турбовоздуходувка;80.0;1.8;;центробежный компрессор среднего ряда;есть;12.05.2021;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-22835-2021;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ТВ-50-1,9;ТВ;турбовоздуходувка;50.0;1.9;;воздуходувка низкого давления;есть;01.03.2018 | 02.03.2018 | 26.02.2026;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-715471-2026;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ТВ80-1,8М-01;ТВ;турбовоздуходувка;80.0;1.8;;центробежный компрессор среднего ряда;есть;07.11.2023;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-82684-2023;any | действует | истекает | истёк | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;10
6612005052;"АО ""РУСАЛ УРАЛ""";К-250-61-1;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;есть;19.03.2018 | 30.03.2015;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-02859-2015;any | срок ИСТЁК;не в полной мере | соответствует;;6
6612005052;"АО ""РУСАЛ УРАЛ""";К-500-61-1;К;центробежный компрессор;500.0;61;;центробежный компрессор крупного ряда;есть;04.04.2018 | 19.03.2018 | 30.03.2015;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-02861-2015;any | срок ИСТЁК;не в полной мере | соответствует;;6
6612005052;"АО ""РУСАЛ УРАЛ""";К 250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;есть;12.04.2016;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-05833-2016;any | срок ИСТЁК;не в полной мере | соответствует;;6
6612005052;"АО ""РУСАЛ УРАЛ""";К-250-61-2;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;есть | покупает;18.06.2024 | 25.04.2024 | 25.06.2024 | 30.03.2015;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-02867-2015;any | срок ИСТЁК;не в полной мере | соответствует;;6
6612005052;"АО ""РУСАЛ УРАЛ""";К-250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;04.03.2022 | 05.12.2024 | 06.12.2023 | 11.12.2025 | 15.01.20;https://www.tender.pro/api/tender/1119540/view_public;any | срок ИСТЁК;не в полной мере | соответствует;;6
7730248021;"ООО ""ИСО""";К 250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;06.04.2026 | 20.05.2026 | 26.01.2026 | 27.01.2025;https://www.tender.pro/api/tender/1141225/view_public;;соответствует;;5
7730248021;"ООО ""ИСО""";К250-61-1;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;14.02.2023 | 14.05.2024 | 16.02.2023 | 19.02.2024 | 23.05.20;https://www.tender.pro/api/tender/720674/view_public;;соответствует;;5
7730248021;"ООО ""ИСО""";К-250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;01.11.2024 | 03.03.2023 | 03.12.2024 | 06.02.2024 | 09.12.20;https://www.tender.pro/api/tender/1162255/view_public;;соответствует;;5
7730248021;"ООО ""ИСО""";К500-61-1;К;центробежный компрессор;500.0;61;;центробежный компрессор крупного ряда;покупает;12.03.2026 | 12.11.2025 | 12.12.2024 | 14.01.2025 | 17.02.20;https://www.tender.pro/api/tender/1005444/view_public;;соответствует;;5
7730248021;"ООО ""ИСО""";К-250-61-1;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;11.10.2024 | 12.02.2026 | 12.11.2024 | 13.07.2023 | 13.08.20;https://www.tender.pro/api/tender/1078743/view_public;;соответствует;;5
7730248021;"ООО ""ИСО""";К-250-61-2;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;01.11.2024 | 03.12.2024 | 05.02.2025 | 06.10.2023 | 06.11.20;https://www.tender.pro/api/tender/1007154/view_public;;соответствует;;5
7730248021;"ООО ""ИСО""";ТВ-80-1,8-01;ТВ;турбовоздуходувка;80.0;1.8;;центробежный компрессор среднего ряда;покупает;31.05.2023;https://www.tender.pro/api/tender/768100/view_public;;соответствует;;5
7730248021;"ООО ""ИСО""";К-500-61-1;К;центробежный компрессор;500.0;61;;центробежный компрессор крупного ряда;покупает;01.07.2025 | 09.04.2025 | 10.12.2025 | 15.05.2025 | 19.01.20;https://www.tender.pro/api/tender/1030009/view_public;;соответствует;;5
7730248021;"ООО ""ИСО""";К-500-61-5;К;центробежный компрессор;500.0;61;;центробежный компрессор крупного ряда;покупает;03.12.2025 | 12.12.2025;https://www.tender.pro/api/tender/1122633/view_public;;соответствует;;5
1650032058;КАМАЗ;К-345-92-1;К;центробежный компрессор;345.0;92;;центробежный компрессор крупного ряда;покупает;06.07.2021 | 06.08.2021 | 07.12.2021 | 08.04.2021 | 15.11.20;https://www.tender.pro/api/tender/426881/view_public;;;"[""8 (800) 555-00-99 (Call-центр)"", ""8 (800) 775-82-84 (прода";4
1650032058;КАМАЗ;ТВ-80-1,6;ТВ;турбовоздуходувка;80.0;1.6;;центробежный компрессор среднего ряда;покупает;03.12.2020 | 04.08.2020 | 04.09.2020 | 09.04.2021 | 19.10.20;https://www.tender.pro/api/tender/448075/view_public;;;"[""8 (800) 555-00-99 (Call-центр)"", ""8 (800) 775-82-84 (прода";4
1650032058;КАМАЗ;ТВ-80-1.4;ТВ;турбовоздуходувка;80.0;1.4;;центробежный компрессор среднего ряда;покупает;01.07.2019 | 02.12.2019 | 05.06.2019 | 05.08.2019 | 07.02.20;https://www.tender.pro/api/tender/381521/view_public;;;"[""8 (800) 555-00-99 (Call-центр)"", ""8 (800) 775-82-84 (прода";4
1650032058;КАМАЗ;К-250-61-2;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;04.05.2022 | 14.04.2022;https://www.tender.pro/api/tender/619360/view_public;;;"[""8 (800) 555-00-99 (Call-центр)"", ""8 (800) 775-82-84 (прода";4
3006006420;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";ЦК-135/8;ЦК;центробежный компрессор;135.0;8;;центробежный компрессор среднего ряда;есть;02.03.2016 | 26.05.2016 | 27.01.2015;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-00744-2015;any | не собирался | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год;не в полной мере | соответствует;;4
7730248430;РУСАЛ Менеджмент (непрофильные активы);К-250-61-1;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;10.11.2023;https://www.tender.pro/api/tender/824090/view_public;;;;3
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";ТВ-175-1,6-01.У3;ТВ;турбовоздуходувка;175.0;1.6;;центробежный компрессор среднего ряда;планировал | покупает;04.2024 | 18.04.2024 09:00;https://www.roseltorg.ru/procedure/32413490281/1;;;[];3
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";К-250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;есть;04.07.2019 | 04.08.2020 | 07.07.2014 | 12.12.2023 | 16.05.20;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15178-2016;any | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;;2
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";К-250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;есть;09.02.2015 | 13.06.2019 | 15.12.2020 | 20.07.2023 | 20.08.20;https://monitor-pb.ru/conclusion/10-%D0%A2%D0%A3-899232-2026;any | срок ИСТЁК;соответствует;;2
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";К-500-61-1;К;центробежный компрессор;500.0;61;;центробежный компрессор крупного ряда;есть;07.06.2019 | 09.02.2015 | 20.07.2023 | 20.08.2021 | 30.06.20;https://monitor-pb.ru/conclusion/10-%D0%A2%D0%A3-899266-2026;any | срок ИСТЁК;соответствует;;2
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";К-250-61-5М;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;есть;21.05.2015;https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-04496-2015;any | срок ИСТЁК;соответствует;;2
1656025681;"ФКП ""КГКПЗ""";ТГ300-1,18-В1;ТГ;турбогазодувка;300.0;;;центробежный компрессор крупного ряда;покупает;27.10.2009;https://www.tender.pro/api/tender/65331/view_public;any | не собирался;не соответствует | соответствует;;2
2624022320;"ООО ""СТАВРОЛЕН""";К-250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;есть;23.09.2024;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-30006-2024;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;;2
2624022320;"ООО ""СТАВРОЛЕН""";ЦК-135/8;ЦК;центробежный компрессор;135.0;8;;центробежный компрессор среднего ряда;есть;23.09.2024;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-29962-2024;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;;2
2624022320;"ООО ""СТАВРОЛЕН""";КТК-7/14;КТК;компрессор турбинный;116.7;14;;центробежный компрессор среднего ряда;есть;19.09.2024 | 23.09.2024;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-29653-2024;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;;2
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ТВ-80-1,4;ТВ;турбовоздуходувка;80.0;1.4;;центробежный компрессор среднего ряда;есть;26.05.2016;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-10016-2016;срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;;2
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";К 250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;есть;23.05.2023 | 25.11.2015;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-35884-2023;any | истекает | истёк | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;;2
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";К-354-101-1;К;центробежный компрессор;354.0;101;;центробежный компрессор крупного ряда;есть;14.12.2022;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-80222-2022;any | истекает | истёк | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;;2
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";К-380-103-1;К;центробежный компрессор;380.0;103;;центробежный компрессор крупного ряда;есть;14.12.2022;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-80256-2022;any | истекает | истёк | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;;2
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";К-380-102-2;К;центробежный компрессор;380.0;102;;центробежный компрессор крупного ряда;есть;14.12.2022;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-80149-2022;any | истекает | истёк | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;;2
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";К-1290-121-1;К;центробежный компрессор;1290.0;121;;турбокомпрессор большой производительности;есть;18.06.2024 | 18.08.2020;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-14153-2024;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;;2
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";К-1500-62-2;К;центробежный компрессор;1500.0;62;;турбокомпрессор большой производительности;есть;24.09.2015;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-13329-2015;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;;2
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";ТВ-80-1,2;ТВ;турбовоздуходувка;80.0;1.2;;центробежный компрессор среднего ряда;есть;03.07.2017 | 07.04.2021 | 09.04.2025 | 09.06.2020 | 18.04.20;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-03907-2025;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;;2
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";ТВ-500-1,08;ТВ;турбовоздуходувка;500.0;1.08;;центробежный компрессор крупного ряда;есть;15.06.2018 | 18.06.2018;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-07339-2018;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;;2
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";ТГ 450-1,08;ТГ;турбогазодувка;450.0;;;центробежный компрессор крупного ряда;есть;17.07.2025;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-84377-2025;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;;2
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";ЦК 135/8;ЦК;центробежный компрессор;135.0;8;;центробежный компрессор среднего ряда;есть;04.06.2026 | 11.10.2019;https://monitor-pb.ru/conclusion/53-%D0%97%D0%A1-18172-2019;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;;2
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";ЦК-100/6;ЦК;центробежный компрессор;100.0;6;;центробежный компрессор среднего ряда;есть;17.12.2024;https://monitor-pb.ru/conclusion/53-%D0%97%D0%A1-37224-2024;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;;2
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";ЦК-100/6,5;ЦК;центробежный компрессор;100.0;6.5;;центробежный компрессор среднего ряда;есть;09.06.2017 | 10.07.2019 | 24.02.2025 | 27.05.2022;https://monitor-pb.ru/conclusion/53-%D0%97%D0%A1-03764-2025;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;;2
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";ТВ-42-1,01.У;ТВ;турбовоздуходувка;42.0;1.01;;воздуходувка низкого давления;есть;09.06.2020;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-08656-2020;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;;2
6626002291;"ПАО ""СТЗ""";К250-61-1;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;есть;16.11.2016;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-15374-2016;срок ИСТЁК;соответствует;;2
6626002291;"ПАО ""СТЗ""";К500-61-1;К;центробежный компрессор;500.0;61;;центробежный компрессор крупного ряда;есть;16.11.2016 | 21.04.2017;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-04803-2017;срок ИСТЁК;соответствует;;2
6626002291;"ПАО ""СТЗ""";ТВ-80-1,6М1-01;ТВ;турбовоздуходувка;80.0;1.6;;центробежный компрессор среднего ряда;покупает;08.02.2016;https://www.tender.pro/api/tender/228915/view_public;срок ИСТЁК;соответствует;;2
6626002291;"ПАО ""СТЗ""";ТВ-80-1,6;ТВ;турбовоздуходувка;80.0;1.6;;центробежный компрессор среднего ряда;покупает;08.02.2016;https://www.tender.pro/api/tender/228927/view_public;срок ИСТЁК;соответствует;;2
