inn;predpriyatie;mesto;summa
1658211250;"ООО ""СЕВЕР""";317;295850.01
6670207499;"ООО ""ЭНЕРГОЛИДЕР""";318;291666.67
6658487842;"ООО ""ЮНИСИЛА УРАЛ""";319;290000.00
5401365544;"ООО ""РЫБНЫЙ ХИТ""";320;287711.00
6671317254;"ООО ""УЗМК""";321;280654.17
6659059688;"ООО ""ХЛАДОКОМБИНАТ № 3""";322;274883.33
6652018883;"АО ""АГРОФИРМА ""ПАТРУШИ""";323;273106.68
6670312670;"ООО ""ПТК ""ЭКОРЕЦИКЛИНГ""";324;272935.00
4307018566;"ООО ""АЛЬТЕРАН""";325;271500.00
3528215377;"ООО ""МЕХАНИК""";326;269713.60
7321316986;"ООО ""ЗАВОД ТЕХНОНИКОЛЬ-УЛЬЯНОВСК""";327;260177.00
6674368458;"ООО ""ДОБРОГОСТ""";328;256814.16
7816017139;"АО ""ФОРМИК""";329;252602.95
6610003204;"АО ""ШЕМУР""";330;252000.00
6671136956;"ООО ""РЕМКОМ-СЕРВИС""";331;249666.66
7842000607;"ООО ""ДЕЛЬФИН ГРУПП""";332;245100.00
6604029211;"ООО ""ПРОМСОРТ-МЕТИЗ""";333;239163.13
6670503272;"ООО ""ГРАНДИОС""";334;238166.67
7816377614;"ООО ""КГ СТРОЙ СИСТЕМЫ""";335;235440.00
7224008030;"АО ""ПТИЦЕФАБРИКА ""БОРОВСКАЯ""";336;233875.01
6679100694;"ООО ""ПКФ ""ЭКО-ПРОЦЕССИНГ""";337;223666.67
6685084514;"АО ""АГЕНТСТВО ПО РАЗВИТИЮ РЫНКА ПРОДОВОЛЬСТВИЯ""";338;223204.16
5440112120;"ООО ""ЗАВОД КЕРАМИЧЕСКИХ ИЗДЕЛИЙ ""УНИВЕРСАЛ""";339;220950.00
1629006915;"ООО ""ТЭС""";340;220800.00
781130008299;РОМАНОВ АЛЕКСЕЙ АНАТОЛЬЕВИЧ;341;220023.33
7203372409;"ООО ""АБСОЛЮТ-АГРО""";342;219250.00
6432009756;"ООО ""КОРОЛЬ ДИВАНОВ""";343;198000.00
6662001134;"ОАО ""СКХП""";344;195033.33
7413026758;"ООО ""ИНВЕСТХИМАГРО""";345;194583.31
6681004250;"ООО ""МОЛОЧНАЯ БЛАГОДАТЬ""";346;187566.66
5506200910;"ООО ""СТРОЙМОНТАЖ-5""";347;186480.00
6633021880;"ООО ""ТАЛИЦКОЕ МОЛОКО""";348;184608.00
7401000191;"ПАО ""АГРЕГАТ""";349;184276.00
6664012780;"ООО ""МЕПОС""";350;183425.00
5406305355;"ООО ""СИБСТЕКЛО""";351;183070.00
5405098804;"ООО ""ВЫСОКИЕ ОБОРОТЫ""";352;183010.00
4221011880;"ООО ""СИБЭЛЕКТРО""";353;180740.00
7805766778;"ООО ""ЛИТС""";354;179166.67
4505200979;"АО ""ВАРГАШИНСКОЕ ДРСП""";355;179166.67
5440102612;"ГБУЗ НСО ""ЧЕРЕПАНОВСКАЯ ЦРБ""";356;177070.00
662604962841;ЗЫРЯНОВА НАТАЛЬЯ ВАЛЕРЬЕВНА;357;176083.33
1646020116;"АО ""ПОЛИМАТИЗ""";358;175999.99
2221239841;"ООО ""РУСПРОМ""";359;174800.00
6316270332;"ООО ""ТД ""МЕТИМПРОМ""";360;173000.00
5405077963;"ООО ""АВИАКОМПОЗИТ""";361;171311.00
6382049214;"ООО ""ЗИП""";362;168266.67
450133560300;ШЕСТАКОВ КОНСТАНТИН ЮРЬЕВИЧ;363;167700.00
6664025331;"АО ""НПФ ""ЮВЭНК""";364;167011.67
6672162236;"ООО ""ТПГ ""СОЛИД""";365;164583.33
6661010721;"АО ""НПО ""ИНТРОТЕСТ""";366;161560.00
6633017549;"АО ""БГМЗ""";367;156304.67
6670444299;"ООО ""НПП СМАРТПОЛИМЕР""";368;156016.67
1833026870;"ООО ""ИРЗ""";369;150800.00
6652002273;"АО ""КЗФ""";370;150000.00
5903003690;"АО ""ПЕРМСКИЙ МУКОМОЛЬНЫЙ ЗАВОД""";371;146240.00
2463086538;"ООО""ИММЕРТЕХНИК""";372;140500.00
6646014369;"ООО ""УДАРНИК""";373;139537.50
6685026960;"ООО ""ПНЕВМОПРОЕКТ""";374;137625.00
6670514179;"ООО ""КАМЫШЛОВСКИЙ КВАС""";375;136898.00
5916031750;"ООО ""КАМА""";376;135166.67
3618003426;"ЗАО ""АВС ФАРБЕН""";377;132666.66
5406244208;"ООО ""ПОЛИМЕРПАК""";378;129086.66
7730248021;"ООО ""ИСО""";379;125000.00
0572032218;"ООО ""КАСПИЙСКИЙ НПЗ""";380;123500.00
5506202219;"АО ""ЦКБА""";381;123000.00
4501083781;"АО ""КУРГАНСКИЕ ПРИЦЕПЫ""";382;122250.00
6670078934;"АО ""ИПП ""УРАЛЬСКИЙ РАБОЧИЙ""";383;121214.16
6633028244;"ООО ""СЛК ЦЕМЕНТ""";384;120000.00
5612030402;"ООО ""ОРЕНБУРГСКИЙ РАДИАТОР""";385;120000.00
6452046139;"ООО ""ДИКОМП-КЛАССИК""";386;116250.00
6646010043;"АО ""УРАЛЬСКАЯ ФОЛЬГА""";387;116133.33
5911083593;"ООО ""АВИСМА""";388;114833.33
7734412811;"ООО ""СИБМОЛ""";389;113575.00
5408106299;"АО ""ИПФ""";390;113000.00
1646033958;"ООО ""ДРАЙЛОК ТЕКНОЛОДЖИЗ""";391;110166.66
6672212127;"ООО ""547 МЕХАНИЧЕСКИЙ ЗАВОД""";392;107416.66
5440105726;"АО ПЛЕМЗАВОД ""МЕДВЕДСКИЙ""";393;103995.00
1650331731;"ООО ""ПОЛИХИМ СИСТЕМС""";394;97300.01
6685124044;"ООО ""МЦС""";395;94166.67
1651084080;"ООО ""БИКОТЕКС""";396;93500.00
5509007368;"ООО ""КЕРАМИКА""";397;92150.00
6685100188;"ООО ""ШИНА-СТАНДАРТ""";398;90950.00
5405496548;"ООО ""ПРОМГК""";399;90749.99
6679044016;"ООО ""ЭКОПРОСТ""";400;89500.00
6325000660;"АО ""ТЯЖМАШ""";401;86158.84
6679089063;"ООО ИПК ""ЛАЗУРЬ""";402;85850.00
7414001724;"АО ""МКХП-СИТНО""";403;85500.00
5506223515;"ООО ""ПРОМРЕСУРСЫ-СЕРВИС""";404;82999.99
7811438750;"ООО ГК ""ЛИМАН""";405;81600.00
6683013821;"ООО ""ГРАНСФЕРА""";406;78250.00
6659042028;"ЗАО "" РЦЛТ""";407;78250.00
5261058974;"ООО ""ХАЙДЖИН ТЕКНОЛОДЖИЗ""";408;77500.00
7459007050;"ООО ""АРТМЕТАЛЛ""";409;75350.00
6685218398;"ООО ""АТЛАС УРАЛ""";410;74900.00
7203556170;"ООО ""ЭЛЬБРУС ДРИЛЛИНГ""";411;74300.02
6608002732;"ЕМУП ""ГОРТРАНС""";412;73700.00
6673197337;"АО ""УЭТМ""";413;73300.00
5404148844;"ООО ""СИБКОР-Н""";414;71623.40
9723202703;"ООО ""ПРОМТЕХ""";415;70700.00
7702451423;"ООО ""НПО ""АТЛАНТ""";416;68800.00
4715011103;"ООО ""ЛУЗАЛЕС-ТИХВИН""";417;68700.00
7813252159;"АО ""ГОЗНАК""";418;68500.00
8603219421;"ООО ""ЮГРА КОМПРЕССОР""";419;67800.00
6679084844;"ООО ""ВИЯ""";420;65850.00
7203557826;"ООО ""КЕНЕРА""";421;65392.77
5615002700;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";422;65000.00
4501221030;"ООО ""ХЛЕБОКОМБИНАТ №1""";423;64683.34
5405950881;"ООО ""НМ""";424;64440.00
4501169460;"ООО ""РЕМСТРОЙМАШ""";425;64333.34
8602242925;"ООО МЯСОКОМБИНАТ ""СУРГУТСКИЙ""";426;64041.66
0276908600;"ООО ""АВЕРС ТЕХНО""";427;62583.33
7709787790;"ООО ""ВЕЛЕССТРОЙ""";428;61285.20
5607142044;"ООО ""ОРЕНБУРГСКИЙ ПРОПАНТ""";429;60500.00
6670371026;"ООО ""СИК""";430;60400.00
6670274287;"ООО  ""ИНОТЕКС""";431;59057.67
661214316424;ПШЕНИЦЫНА ИРИНА ЕВГЕНЬЕВНА;432;57374.99
6673105167;"ООО ""УДМЗ""";433;54166.66
5918011446;"ООО ""ЭМС""";434;54000.00
3906134785;"ООО ""БЕНТЕК""";435;53300.00
6682022439;"ООО ""ЛОДЖИКРУФ-УРАЛ"";";436;53200.00
3808226075;"ООО ""СИБМЕТУПАК""";437;53166.67
5433150823;"АО ""ВЕКТОР-БИАЛЬГАМ""";438;52400.00
5427107812;"ООО ПК ""ИНВЕСТСТРОЙПРОЕКТ""";439;47800.01
5603035933;"ООО ""РЦСУ""";440;47400.00
6345012488;"АО ""ГИДРОРЕМОНТ-ВКК""";441;46666.67
6670431469;"ООО ЗАВОД ""БЕРИТ""";442;46200.00
8603118208;"АО""СНПХ""";443;45000.00
6672305484;"ООО ""ШТОРМ""";444;43750.00
1841032147;"ООО ""ТДС""";445;43500.00
720316359790;ПУГАЧЕВ БОРИС АЛЕКСАНДРОВИЧ;446;43333.34
6670257154;"ООО ""ЦМИ""";447;42988.00
7709014944;"АО ""ГАЗПРОМ БЫТОВЫЕ СИСТЕМЫ""";448;42525.00
5410003420;"ООО ""ЦЕХ ШТАМПОВКИ""";449;42000.00
7842186870;"ООО ""НОРД ВЕСТ""";450;41900.00
6659162847;"ООО ""ХИМЭНЕРГО""";451;41250.00
1650211040;"ООО ""ПКФ ""АВТОКОМПОНЕНТЫ-ТРЕЙД""";452;41000.00
1121022547;"ООО ""ПАЛЛЕТ СЕВЕР""";453;40800.00
1684017410;"ООО ""КОМПРЕССОР СЕРВИС""";454;40600.00
6670106476;"ООО НПП ""ПНМ""";455;34500.00
2456011468;"ООО ""НММКК""";456;34375.00
8604056145;"ООО ""ЭТС-1""";457;33900.00
3849070878;"ООО ""НОВЫЙ БЕТОН""";458;32041.67
4221017793;"ООО ""КАМСС-СЕРВИС""";459;32000.00
7811518357;"ООО ""КОМАИР СПБ""";460;31666.67
6626019584;"ООО ""ЦЕНТР - ОЙЛ""";461;30250.00
7451205807;"ООО ""ПРОМИНЖИНИРИНГ""";462;30000.00
6658456643;"ООО ""КИСЛОРОДМОНТАЖ""";463;29900.00
6672267630;"ООО ""ПРОМСЫРЬЕ""";464;28500.00
7448025642;"АО ""ГК ""РОСМОЛ""";465;27500.00
665801787312;ОБУХОВ КОНСТАНТИН ГЕННАДЬЕВИЧ;466;25833.33
6670225868;"ООО ""НПП ""ТСП""";467;24850.00
5501236824;"ООО ""СТРОЙТРАСТ""";468;24824.00
6672315309;"ООО ""УРАЛТРЕЙД""";469;24800.00
6685030519;"ООО ТД ""ФПК""";470;23666.67
4345323627;"ООО ""СТТ-СТРОЙ""";471;22000.00
3807000276;"МУП ""ВОДОКАНАЛ"" Г.ИРКУТСКА";472;20333.33
5905011590;"ООО ""ИНТРАСТ""";473;19550.00
6625040150;"ООО ""АЛЬТАИР""";474;19450.00
5410778210;"ООО ""ПМК""";475;18570.00
6669002747;"АО ""СА""";476;16800.00
3810023308;"АО ""ФАРМАСИНТЕЗ""";477;14000.00
6150040275;"ООО ""СИНТЕЗ-ДОН""";478;12000.00
7727159340;"ООО ""НОРГАУ РУССЛАНД""";479;10583.34
2222849374;"ООО ""НОВОСИБИРСКИЙ МЕЛЬКОМБИНАТ № 1""";480;8950.00
667323156718;АФАНАСЬЕВ АЛЕКСЕЙ ВАЛЕРЬЕВИЧ;481;8333.34
245305206479;КОЗЛОВА ЕЛЕНА АЛЕКСАНДРОВНА;482;8000.00
662104669362;ФОМИНЫХ ЮРИЙ ВЛАДИМИРОВИЧ;483;8000.00
5902066062;"ООО ""ФЛАМЕНГО""";484;6958.33
6623029538;"АО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗАВОД""";485;6200.00
666102855642;МИХАЙЛОВ ОЛЕГ ВАДИМОВИЧ;486;5916.66
7017156263;"ООО ""ГАЗПРОМ МЕТАНОЛ""";487;5833.33
6671098732;"ООО ""ГОРЫ УРАЛА""";488;5250.00
7802762006;"ООО ""ПРОМЫШЛЕННЫЕ СИСТЕМЫ""";489;4000.00
9702030651;"ООО ""ПНЕВМОПРОГРЕСС""";490;2916.67
3123216598;"ООО ""ФАБРИКА КОМПРЕССОРОВ""";491;1550.00
