inn;predpriyatie;mesto;summa;operaciy;poslednyaya_pokupka;tip
7448000013;"АО ""ЧЦЗ""";68;7304000.00;1;12.02.2025;юрлицо
6664006956;"АО ""ЗКИ""";69;7252855.49;6;19.12.2025;юрлицо
7455010284;"ООО ""АЛЬКОР""";70;7241412.13;8;15.12.2025;юрлицо
6635000195;"НАО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА""";71;7082535.19;23;22.12.2025;юрлицо
5838013374;"АО ""ФНПЦ ""ПО ""СТАРТ"" ИМ. М.В. ПРОЦЕНКО""";72;7051080.78;19;24.12.2025;юрлицо
6671097930;"ООО ""СТИЛ АРМОР""";73;7040000.00;4;11.12.2025;юрлицо
1650157635;"ООО ""КАМАЗ-ЭНЕРГО""";74;6722083.33;1;22.01.2025;юрлицо
7805059867;"АО ""ПЕТЕРБУРГСКИЙ ТРАКТОРНЫЙ ЗАВОД""";75;6628400.00;3;04.09.2025;юрлицо
7702583250;"ООО ""ЛЛК-ИНТЕРНЕШНЛ""";76;6570800.00;2;13.08.2025;юрлицо
7435006346;"АО ""АГК""";77;6444476.41;8;15.12.2025;юрлицо
7724729390;"ФБУ ""ФУ БХУХО""";78;6308000.00;1;29.08.2025;юрлицо
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";79;6115270.00;3;30.06.2025;юрлицо
7204205739;"ООО ""ТЭО""";80;6039426.00;3;22.12.2025;юрлицо
4205081463;"ООО ""ТД ""СИБИРСКИЙ ЦЕМЕНТ""";81;6018666.67;10;07.11.2025;юрлицо
5911029807;"ПАО ""УРАЛКАЛИЙ""";82;5848561.98;21;26.12.2025;юрлицо
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";83;5788712.00;9;16.10.2025;юрлицо
7814370998;"ООО  ""ГИПЕРТЕХНОЛОДЖИ """;84;5449347.34;6;09.12.2025;юрлицо
4221000630;"АО ""ОРГАНИКА""";85;5344118.84;5;17.11.2025;юрлицо
5918218070;"ООО ""ГОРНОЗАВОДСКЦЕМЕНТ""";86;5255760.00;2;30.12.2025;юрлицо
8603087285;"ООО ""ННПО""";87;5154255.00;1;30.06.2025;юрлицо
6324079869;"ООО ""ЛАДА ФУД ТЕХНОЛОДЖИ""";88;5144807.67;4;08.10.2025;юрлицо
5916015580;"ООО ""МАСЛОЗАВОД НЫТВЕНСКИЙ""";89;5102116.44;7;22.12.2025;юрлицо
6438007280;"ООО ""РУСАГРО-АТКАРСК""";90;5058650.00;1;17.02.2025;юрлицо
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";91;4987500.00;2;18.02.2025;юрлицо
6664003916;"АО ""НИЗМК""";92;4943679.02;17;10.12.2025;юрлицо
7701568891;"ООО ""ГРК ""БЫСТРИНСКОЕ""";93;4918129.60;2;28.11.2025;юрлицо
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";94;4877561.40;2;18.12.2025;юрлицо
5402194877;"ООО ""СИБИРСКИЙ ГУРМАН - НОВОСИБИРСК""";95;4850630.93;14;01.12.2025;юрлицо
6686095452;"ООО ""СИНЕРГИЯ""";96;4824201.88;5;29.12.2025;юрлицо
5405125896;"ООО ""ИНТЕРПАК""";97;4678347.34;5;15.12.2025;юрлицо
6671156423;"ПАО ""ЭЛ5-ЭНЕРГО""";98;4548509.61;3;30.09.2025;юрлицо
5905018998;"АО ""СИБУР-ХИМПРОМ""";99;4472395.36;3;26.11.2025;юрлицо
4715026815;"ООО ""РСХ""";100;4419399.98;6;17.12.2025;юрлицо
3528006408;"АО ""ЧФМК""";101;4381614.00;3;17.12.2025;юрлицо
6606003385;"АО ""УРАЛЭЛЕКТРОМЕДЬ""";102;4222206.01;8;29.12.2025;юрлицо
7743696750;"АО ""ГРАСИС""";103;4188591.69;14;08.12.2025;юрлицо
6803629911;"ООО ""ТАМБОВСКИЙ БЕКОН""";104;4122564.00;1;14.11.2025;юрлицо
0271055557;"ООО ""АГАР""";105;4098912.59;25;26.12.2025;юрлицо
8901030855;"АО ""САЛЕХАРДЭНЕРГО""";106;3975011.68;1;10.10.2025;юрлицо
6665002150;"АО ""КУМЗ""";107;3884096.26;22;11.11.2025;юрлицо
8603166755;"ООО ""ЗАПСИБТРАНСГАЗ""";108;3874945.10;6;08.12.2025;юрлицо
6685147531;"ООО ""СПЕЦЦЕМЕНТСЕРВИС""";109;3851253.08;18;24.12.2025;юрлицо
1651031226;"ООО ""ПРЕКАБ""";110;3629136.00;1;19.11.2025;юрлицо
8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";111;3564763.00;1;22.10.2025;юрлицо
6623005777;"ПАО ""УХП""";112;3526227.94;3;16.01.2025;юрлицо
6685148334;"ООО ""ГОТЭК-ПОЛИПАК АРАМИЛЬ""";113;3486138.50;11;24.12.2025;юрлицо
8602067092;"ПАО ""ЮНИПРО""";114;3476810.00;2;09.12.2025;юрлицо
7453101232;"ООО ""ЧЕЛИНДЛИЗИНГ""";115;3300096.00;1;13.11.2025;юрлицо
1651057721;"ООО ""АЙ-ПЛАСТ""";116;3232883.67;8;10.12.2025;юрлицо
7705183476;"ООО ""АРНЕСТ ЮНИРУСЬ""";117;3185222.82;11;23.09.2025;юрлицо
5401232181;"ООО ""СИБЭЛЕКТРОПРИВОД""";118;3178976.68;14;23.12.2025;юрлицо
3325011410;"АО ""МИЛМОНД""";119;3016787.80;1;24.06.2025;юрлицо
7413000630;"АО ""КМЭЗ""";120;2989921.54;4;16.12.2025;юрлицо
6820018800;"ООО ""АГРОСОЮЗ""";121;2977138.65;41;08.12.2025;юрлицо
5406109142;"АО ""ГЛАВНОВОСИБИРСКСТРОЙ""";122;2968526.00;4;18.12.2025;юрлицо
0270011660;"ООО ""ЗАВОД НИКОЛЬ-ПАК""";123;2867079.08;3;31.12.2025;юрлицо
7707375416;"ООО ""КИРОВПЕЙПЕР""";124;2858933.31;5;13.10.2025;юрлицо
7819301797;"ООО ""БСХ БЫТОВЫЕ ПРИБОРЫ""";125;2842514.40;7;08.12.2025;юрлицо
9705101614;"ПАО ""ЛК ""ЕВРОПЛАН""";126;2800000.00;1;13.11.2025;юрлицо
5403232532;"ОАО ""НОВОСИБХОЛОД""";127;2775000.01;1;23.01.2025;юрлицо
7321313819;"ООО ""ВОЛЖСКАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ""";128;2752597.00;1;18.07.2025;юрлицо
6674153011;"ООО ""УМЗ"", ООО ""УРАЛЬСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""";129;2723923.31;10;30.12.2025;юрлицо
5507066537;"ООО ""ЯСТРО-ПЕРЕРАБОТКА""";130;2698181.24;2;25.06.2025;юрлицо
7204001630;"АО ""ТЮМЕНСКИЙ АККУМУЛЯТОРНЫЙ ЗАВОД""";131;2649300.00;8;11.11.2025;юрлицо
6229047842;"ООО ""ЭЛЛАДА""";132;2643454.74;2;15.10.2025;юрлицо
5911040448;"АО ""БМЗ""";133;2631900.00;5;31.12.2025;юрлицо
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";134;2592921.00;10;03.12.2025;юрлицо
7447295501;"ООО ""ВИНТКОМПЛЕКТ""";135;2575111.65;13;10.11.2025;юрлицо
4205064482;"ООО ПО ""ТОКЕМ""";136;2511740.00;4;19.11.2025;юрлицо
4220039723;"ООО ""ХЛЕБ""";137;2492863.64;5;02.12.2025;юрлицо
7447208347;"ООО ""СЕРВИС-КОМПЛЕКТ""";138;2475365.84;4;18.09.2025;юрлицо
4906000960;"АО ""ПОЛЮС МАГАДАН""";139;2461346.53;2;12.12.2025;юрлицо
6623129116;"ООО ""СКАНДИПАКК АЛАБУГА""";140;2405077.00;5;31.10.2025;юрлицо
5433188538;"ООО ""БЕРГАУФ МАРУСИНО""";141;2387193.38;7;29.12.2025;юрлицо
5606000223;"АО ""МЭЗ ""УРАЛЭЛЕКТРО""";142;2300522.99;10;02.09.2025;юрлицо
6315526630;"АО ""ЖИГУЛЕВСКОЕ ПИВО""";143;2278026.00;1;27.10.2025;юрлицо
5044144552;"ООО ""С99""";144;2242000.00;1;26.12.2025;юрлицо
7536129954;"ООО ""РИГ СЕРВИС""";145;2240000.00;2;11.09.2025;юрлицо
4501010984;"АО ""КЗЭМИ""";146;2207173.96;2;25.09.2025;юрлицо
4501044849;"ООО "" ПУЛЬСАТОР """;147;2181415.15;11;24.12.2025;юрлицо
4318004484;"ООО  ""МУРАШИНСКИЙ ФАНЕРНЫЙ ЗАВОД""";148;2128168.30;5;02.10.2025;юрлицо
6450087041;"ООО ""КОМПАНИЯ КЛАСС""";149;2107733.34;5;20.10.2025;юрлицо
5246020905;"ООО ""ПОСУДА""";150;2095440.00;1;10.09.2025;юрлицо
6623105958;"ООО ""НСМЗ""";151;2050000.00;1;29.08.2025;юрлицо
2464010490;"ПАО ""КРАСФАРМА""";152;2044769.33;4;31.12.2025;юрлицо
6674239607;"ООО ""СВЭЛ-СИЛОВЫЕ ТРАНСФОРМАТОРЫ""";153;2032890.63;6;09.10.2025;юрлицо
6663005798;"ПАО ""УРАЛМАШЗАВОД""";154;1968750.00;2;20.05.2025;юрлицо
3802008546;"АО ""ПОЛЮС ВЕРНИНСКОЕ""";155;1937555.71;2;07.11.2025;юрлицо
5040059680;"АО ""МАПЕИ""";156;1935213.20;9;19.12.2025;юрлицо
5404271661;"ООО ""ПРОМТЕХСЕРВИС""";157;1934226.62;6;18.11.2025;юрлицо
2223624670;"ООО ""БЛАГО-БАРНАУЛ""";158;1925511.50;4;30.11.2025;юрлицо
5643007837;"ООО ""УК ""КОММУНАР""";159;1890400.00;1;12.02.2025;юрлицо
1648022038;"ООО ""ПТИЦЕВОДЧЕСКИЙ КОМПЛЕКС ""АК БАРС""";160;1890000.00;1;10.12.2025;юрлицо
7805368914;"ООО ""ТД ПОЛИМЕТАЛЛ""";161;1871249.99;2;11.08.2025;юрлицо
7802732442;"ООО ""НТЦ ТПТ""";162;1856457.40;4;18.12.2025;юрлицо
1327000226;"ООО ""ВКМ - СТАЛЬ""";163;1804570.00;3;04.12.2025;юрлицо
2465072918;"ООО ""ЛМЗ ""СКАД""";164;1797396.33;2;10.10.2025;юрлицо
7459004027;"ООО ""ОРАНЖСТИЛ""";165;1791809.65;5;30.09.2025;юрлицо
1677002780;"ООО ""ПИВОВАРЕННЫЙ ЗАВОД ""БЕЛЫЙ КРЕМЛЬ""";166;1789123.98;6;24.11.2025;юрлицо
1623012101;"СПССК ""ЕЛМАЙ""";167;1788666.62;2;09.09.2025;юрлицо
6674116330;"АО ""ППЭА ""СИВАР""";168;1780041.67;1;17.02.2025;юрлицо
0277077282;"ООО ""БГК""";169;1761666.69;2;25.04.2025;юрлицо
3128011788;"АО ""СТОЙЛЕНСКИЙ ГОК""";170;1756799.60;3;07.08.2025;юрлицо
6664013880;"АО ""УРАЛХИММАШ""";171;1747806.00;7;19.12.2025;юрлицо
5918216877;"ООО ""ММК-ЛМЗ""";172;1718660.33;2;06.11.2025;юрлицо
5030041780;"ООО ""АУР НАРО-ФОМИНСК""";173;1714873.00;4;08.08.2025;юрлицо
6025019903;"ООО ""ЗАВОД РЕОСТАТ""";174;1693453.60;4;17.12.2025;юрлицо
7702513119;"ООО ""МОНОЛИТ-СТРОЙ""";175;1683616.68;8;17.12.2025;юрлицо
8608053875;"ООО ""КОГАЛЫМ НПО-СЕРВИС""";176;1654992.00;1;31.07.2025;юрлицо
6611000252;"АО ""ИРБИТСКИЙ ХИМФАРМЗАВОД""";177;1628004.66;7;01.12.2025;юрлицо
6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";178;1621815.00;1;17.06.2025;юрлицо
6652011944;"АО ""АЗПТ""";179;1583538.07;2;11.12.2025;юрлицо
1648041464;"ООО ""ПОДВЕСКА""";180;1563030.00;2;26.06.2025;юрлицо
4720022460;"ООО ""ММПОФ ПЭКЭДЖИНГ""";181;1533324.00;1;26.08.2025;юрлицо
5921002018;"АО ""ЧМЗ""";182;1501604.00;3;27.11.2025;юрлицо
7014038550;"АО ""ТГОК ""ИЛЬМЕНИТ""";183;1439311.68;3;15.12.2025;юрлицо
6621010115;"ООО ""БЕРГАУФ НЕВЬЯНСК""";184;1438966.67;2;28.11.2025;юрлицо
7838387574;"ООО ""ПОСМ С-З""";185;1394000.00;1;14.11.2025;юрлицо
4214002316;"ПАО ""РАСПАДСКАЯ""";186;1371890.01;3;01.10.2025;юрлицо
7708508323;"ООО ""ОМИА УРАЛ""";187;1365471.96;3;17.12.2025;юрлицо
4212019586;"ООО ""ЧАЙНА КОУЛ СЕРВИС""";188;1338485.42;1;25.09.2025;юрлицо
5904199692;"ООО ""ИНКАБ""";189;1334133.34;13;24.10.2025;юрлицо
2540203376;"ООО ""РУСАГРО-ПРИМОРЬЕ""";190;1311101.50;2;08.09.2025;юрлицо
6315376946;"ПАО ""Т ПЛЮС""";191;1273402.00;3;31.10.2025;юрлицо
6686054167;"ООО ""АМЕРТЕНД""";192;1248583.33;2;27.08.2025;юрлицо
6652028306;"АО ""УГМ""";193;1239846.67;13;11.11.2025;юрлицо
7420005460;"АО ""ЧЕБАРКУЛЬСКОЕ МОЛОКО""";194;1237445.66;3;07.08.2025;юрлицо
6439082561;"ООО ""ВОЛГАГИДРО ТЯЖМАШ""";195;1236913.33;3;30.07.2025;юрлицо
6658084667;"ООО ""ВИЗ-СТАЛЬ""";196;1215319.28;10;13.11.2025;юрлицо
5410039642;"АО ""НМЗ ""ИСКРА""";197;1208575.00;6;29.12.2025;юрлицо
6230043899;"ООО ""ЗАВОД ТЕХНОПЛЕКС""";198;1172558.32;6;25.12.2025;юрлицо
2454003302;"АО ""ЛЕСОСИБИРСКИЙ ЛДК № 1""";199;1163604.67;3;22.12.2025;юрлицо
0267011229;"ООО ""БАШКИРСКАЯ МЕДЬ"", ООО ""БАШМЕДЬ""";200;1160750.00;1;26.06.2025;юрлицо
4205051780;"ООО""АВЕКСИМА СИБИРЬ""";201;1152861.04;4;30.09.2025;юрлицо
6679069719;"ООО ТЗК ""РАЙВАЛ""";202;1152491.33;17;03.12.2025;юрлицо
7017012254;"АО ""СИБАГРО""";203;1151424.00;2;07.11.2025;юрлицо
7536187339;"ООО ""ЗБК""";204;1113600.00;1;16.07.2025;юрлицо
7708117908;"АО ""ЦЕМРОС""";205;1106481.00;1;01.10.2025;юрлицо
4210000050;"ОАО ""ПОЛИМЕР""";206;1099737.00;2;18.12.2025;юрлицо
6618000220;"АО ""СВЯТОГОР""";207;1090000.00;3;31.12.2025;юрлицо
7716744564;"ООО ""ГАЗТУРБОТЭК""";208;1073200.00;2;20.08.2025;юрлицо
6439010045;"АО ""РЕЗИНОТЕХНИКА""";209;1070021.70;4;30.12.2025;юрлицо
6229024796;"ООО ""ЗАВОД ТЕХНОФЛЕКС""";210;1068357.19;6;29.10.2025;юрлицо
6664014650;"АО ""УРАЛЭЛАСТОТЕХНИКА""";211;1038546.97;9;08.12.2025;юрлицо
5408100057;ИФП СО РАН;212;1023043.00;1;08.08.2025;юрлицо
6501178885;"ООО ""СЕРВИС КОМПАНИ""";213;991120.83;6;29.12.2025;юрлицо
6623039575;"ООО ""УРАЛЬСКИЙ ЗАВОД ПЛАСТИФИКАТОРОВ""";214;974151.41;8;18.12.2025;юрлицо
2463077325;"АО ""ГОРНЫЕ МАШИНЫ""";215;968700.00;1;11.11.2025;юрлицо
7802475153;"ООО ""Р.О.С.АЛЬЯНС""";216;968020.00;1;24.12.2025;юрлицо
4246018534;"ООО ""КДВ ЯШКИНСКАЯ МЕЛЬНИЦА""";217;925820.01;5;06.11.2025;юрлицо
6660091703;"ООО ""НПФ""БИТЕК""";218;915350.00;10;28.10.2025;юрлицо
6629012040;"ООО ""ЗАВОД МЕДСИНТЕЗ""";219;886841.10;4;22.12.2025;юрлицо
8602166294;"ООО ""АЛТАЙ-СИБ""";220;861725.83;5;22.07.2025;юрлицо
6608001915;"МУП ""ВОДОКАНАЛ""";221;861209.99;4;22.12.2025;юрлицо
5604000700;"ПАО ""ГАЙСКИЙ ГОК""";222;859900.00;1;15.05.2025;юрлицо
5407488528;"ООО ""ТЕХСНАБ""";223;845438.75;1;05.03.2025;юрлицо
6626002291;"АО ""СТЗ""";224;838681.91;6;11.12.2025;юрлицо
4220040912;"ООО ""СЗМК""";225;838000.00;1;11.12.2025;юрлицо
7704781586;"ООО ""ТУРБОСЕРВИС РУС""";226;837577.40;4;27.10.2025;юрлицо
2360009475;"ООО ""СМАРТ-ЮГ""";227;827123.27;1;22.05.2025;юрлицо
5011020537;"ООО ""СЕН-ГОБЕН СТРОИТЕЛЬНАЯ ПРОДУКЦИЯ РУС""";228;811738.31;7;31.10.2025;юрлицо
6674373867;"ООО ""АЛЬФАТРАНС""";229;808720.00;2;18.09.2025;юрлицо
6626001636;"АО ""ПМК""";230;796483.33;12;13.10.2025;юрлицо
4501024105;"ООО ""ЗАУРАЛЬСКИЕ НАПИТКИ""";231;793200.00;1;14.08.2025;юрлицо
6605001321;"БОГДАНОВИЧСКОЕ ОАО ""ОГНЕУПОРЫ""";232;786392.91;4;31.12.2025;юрлицо
7724053916;АО ЦВ ПРОТЕК;233;777283.32;4;25.11.2025;юрлицо
5020037784;"АО ""АБ ИНБЕВ ЭФЕС""";234;772269.00;2;28.10.2025;юрлицо
665812103395;КРИВОЩЕКОВ АЛЕКСАНДР ИВАНОВИЧ;235;760556.00;1;16.10.2025;ИП
2360010382;"ООО ""БЕЛОГЛИНСКИЙ ЭЛЕВАТОР""";236;742149.93;1;22.05.2025;юрлицо
6658019241;"ПАО ""ВИЗ""";237;738583.33;2;26.11.2025;юрлицо
6625021894;"ООО ""ПОЛИПЛАСТ-УРАЛСИБ""";238;724400.00;7;18.12.2025;юрлицо
9702044125;"ООО ""ЮНИМОЛ""";239;679000.00;1;13.08.2025;юрлицо
6627000770;"ПАО ""РЗ ОЦМ""";240;672357.00;2;24.11.2025;юрлицо
4713000120;"ОАО ""ЦЕСЛА""";241;668067.67;2;22.12.2025;юрлицо
5402054076;"ООО ""АЛЮТЕХ-НОВОСИБИРСК""";242;665478.30;1;30.06.2025;юрлицо
5257199845;"ООО ""НСП""";243;637000.00;1;20.03.2025;юрлицо
7203109158;"ООО ""РЕСУРС КОМПЛЕКТ""";244;636283.34;4;17.10.2025;юрлицо
2420008503;"ООО ""АНГАРА ЛЕС""";245;632348.32;1;18.06.2025;юрлицо
5405172920;"ООО ""ТЕРМООПТИМА""";246;632220.00;3;01.08.2025;юрлицо
3808197064;"ООО ""МС-ОФИСПРО""";247;631643.58;3;22.10.2025;юрлицо
0261003648;"АО ""ИНМАН""";248;608033.33;9;24.12.2025;юрлицо
7704219345;"ООО ""ЭСАБ""";249;602829.34;4;22.12.2025;юрлицо
7224006227;"ЗАО ""ПТИЦЕФАБРИКА ""ПЫШМИНСКАЯ""";250;601638.32;3;12.02.2025;юрлицо
7203162698;"ПАО ""ФОРВАРД ЭНЕРГО""";251;597840.00;3;10.07.2025;юрлицо
7417011270;"ООО ""ГРУППА ""МАГНЕЗИТ""";252;587207.33;4;17.10.2025;юрлицо
6661044752;"ООО ""ПРЕДПРИЯТИЕ""ТРУБОПЛАСТ""";253;568432.49;3;11.12.2025;юрлицо
6660000400;"АО ""УПЗ"", АО ""УРАЛЬСКИЙ ПРИБОРОСТРОИТЕЛЬНЫЙ ЗАВОД""";254;564914.00;3;02.10.2025;юрлицо
8607004145;"ООО ""ЛАНГЕПАССКО-ПОКАЧЁВСКОЕ НПО-СЕРВИС""";255;557499.99;1;30.06.2025;юрлицо
5405200166;"ООО ""СПК""";256;534243.32;2;29.08.2025;юрлицо
0814118403;"АО ""ССК""";257;526500.00;1;26.06.2025;юрлицо
2222062530;"ООО ""КОНДИТЕРСКАЯ ФИРМА ""АЛТАЙ""";258;515850.00;1;10.07.2025;юрлицо
6671014316;"ООО ""РАЗВИТИЕ""";259;514041.67;1;28.02.2025;юрлицо
7453279402;"ООО ""ПАРТНЁРУРАЛ ПЛЮС""";260;512000.00;2;08.10.2025;юрлицо
4401006864;"НАО ""СВЕЗА КОСТРОМА""";261;510340.00;1;26.08.2025;юрлицо
2465043748;"ООО ""КРАМЗ""";262;509724.00;1;11.11.2025;юрлицо
6686062263;"ООО ""ТРАПЕЗА""";263;500000.00;1;23.10.2025;юрлицо
5606001611;"ООО ""ММСК""";264;499800.00;2;21.11.2025;юрлицо
3804049957;"ООО ""БХС""";265;494000.00;2;22.07.2025;юрлицо
5902181202;"АО ""ПЕРМАЛКО""";266;493699.98;2;02.10.2025;юрлицо
4212014972;"ЗАО ""КАРБО-ЦАКК""";267;484656.00;3;30.12.2025;юрлицо
