inn;naimenovanie_obekta;klass_opasnosti;reg_nomer;ssylka;citata
0258005638;Площадка производства АО «ПОЛИЭФ», цех ЦЗЛ, корпус 117;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-22020-2017;3 и в атмосферу (линия 3.2, линия 3.3÷3.5, линия 3.6) рег. № 862-117 (Площадка производства АО «ПОЛИЭФ», цех ЦЗЛ, корпус 117).
0258005638;Площадка производства АО «ПОЛИЭФ», цех 3, корпус 201, установка СР-1;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-22073-2017;Пароохладитель, техн. № VE 22010 1, зав. № VE 22010 1, рег. № 490 (Площадка производства АО «ПОЛИЭФ», цех 3, корпус 201, установка СР-1).
0258005638;Площадка производства АО «ПОЛИЭФ», цех 1, корпус 105;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-22047-2017;"от KCV-1401 в 1ТМ-400В (1ТТК-400), ТР 14004-7""-1S1-WT рег. № 697-105 (Площадка производства АО «ПОЛИЭФ», цех 1, корпус 105)."
0258005638;Площадка производства АО «ПОЛИЭФ», цех 1, корпус 101;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-22055-2017;"83-6""-1E1E, TP-13164-10""-1E1EL-H, TP-13164-10""-1E1E), рег. № 458-101 (Площадка производства АО «ПОЛИЭФ», цех 1, корпус 101)."
0258005638;Площадка производства АО «ПОЛИЭФ», цех 1, корпус 817;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-22064-2017;овод неосушенного воздуха из цеха №1 к.817 в цеха потребители (7 СА) (Площадка производства АО «ПОЛИЭФ», цех 1, корпус 817).
0258005638;Площадка производства АО «ПОЛИЭФ», цех 3, корпус 302;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-21578-2017;Силос ПЭТФ, поз. № VS 31301-A, зав. № 96612-1, рег. № 528 (Площадка производства АО «ПОЛИЭФ», цех 3, корпус 302).
0258005638;Площадка производства АО «ПОЛИЭФ», цех 11, корпус 708;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-21556-2017;убопровода РМА-2 корпуса 846 до резервуара АС58113-В, рег. № 883-708 (Площадка производства АО «ПОЛИЭФ», цех 11, корпус 708)
0258005638;Площадка производства АО «ПОЛИЭФ», цех 11, корпус 707;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-21559-2017;Емкость шлама поз. Р 700, зав.№ М8372, рег.№ 306 (Площадка производства АО «ПОЛИЭФ», цех 11, корпус 707).
0258005638;Площадка производства АО «ПОЛИЭФ», цех 3, корпус 202;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-21565-2017;од рециркуляции жидкого динила от насосов RP 53217-A/H, рег.№947-202 (Площадка производства АО «ПОЛИЭФ», цех 3, корпус 202)
0266029390;Площадка подсобного хозяйства ТЭЦ;III;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-02226-2021;ции на техническое перевооружение опасного производственного объекта «Площадка подсобного хозяйства ТЭЦ» (рег. номер № А41-04236-0004, III класс опасности) «Техперевооружение трубопровода ХПВ «
0266029390;Площадка главного корпуса ТЭЦ;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-07361-2023;Площадка главного корпуса ТЭЦ | Заключение экспертизы промышленной безопасности здания и сооружения на опасном производ
0266032970;Установка № 19, ООО «Салаватский катализаторный завод»;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56373-2020;Лежак поз. Л-5, зав. № б/н, рег. № Н-2780 (Установка № 19, ООО «Салаватский катализаторный завод»)
0266032970;Установка № 1, ООО «Салаватский катализаторный завод»;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56381-2020;Мерник алюмината натрия поз. М-1, зав.№ б/н (Установка № 1, ООО «Салаватский катализаторный завод»)
0266032970;Установка № 21, ООО «Салаватский катализаторный завод»;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56405-2020;Емкость поз. 313/2, зав. № 134 (Установка № 21, ООО «Салаватский катализаторный завод»)
0266032970;Установка № 20, ООО «Салаватский катализаторный завод»;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56420-2020;Рабочая емкость масла поз. 56-2 - II нитка, зав. № 65 (Установка № 20, ООО «Салаватский катализаторный завод»)
0266032970;Площадка для обслуживания сливного устройства;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-36824-2016;Площадка для обслуживания сливного устройства рег.№А41-05128-0001
0266032970;Площадка установки получения рабочих растворов № 19;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-22314-2025;Площадка установки получения рабочих растворов № 19 | Реактор для варки сернокислого алюминия поз.12/3, зав.№ 4077, установка № 19, ООО «Сала
0266032970;Площадка установки получения катализаторов № 20-21;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-03701-2025;Площадка установки получения катализаторов № 20-21 | техническое устройство Трубопровод природного газа от задвижки № 18 до газогенераторных
0266032970;Площадка установки получения цеолитов № 1;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-39703-2022;Площадка установки получения цеолитов № 1 | Дооборудование РОУ 35/16/8 в связи с увеличением объемов производства на объекте №631 у
0266033685;Станция фильтрации речной воды на реке Белой (инв.10000680);;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-07890-2016;Станция фильтрации речной воды на реке Белой (инв.10000680)
0266033685;Площадка цеха механической очистки стоков;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-66022-2022;Площадка цеха механической очистки стоков | «Здание насосной станции № 2 на реке Белой, береговая насосная, ЦВиК» инв. № 10000672 О
0266033685;Участок трубопроводов теплосети;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-36893-2022;Участок трубопроводов теплосети | Заключение экспертизы промышленной безопасности на техническое устройство радиальный ве
0266036534;Площадка основного производства АО «Салаватский химический завод»,А41-06014-0001;I;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-945866-2026;ая труба рассеивания, В-14, 15, 16, инв. №400008396 Наименование ОПО: Площадка основного производства АО «Салаватский химический завод»,А41-06014-0001, I класс опасности Эксплуатирующая организация: АО «СХЗ», Местоположение объекта эксперти
0266036534;Площадка производства диметилгидразина (гептила), диметиламина, нитрита натрия, сульфата натрия, АО «Салаватский химический завод», производство диметилгидразина (гептила), диметиламина, нитрита натрия, сульфата натрия;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-49548-2020;хническое устройство, применяемое на опасном производственном объекте Площадка производства диметилгидразина (гептила), диметиламина, нитрита натрия, сульфата натрия, АО «Салаватский химический завод», производство диметилгидразина (гептила), диметиламина, нитрита натрия, сульфата натрия – Трубопровод конденсата пара от объектов №№ 817, 817А до стойки № 24, рег. № 984
0266036534;площадке производства гидрирования НДМА, площадка основного производства АО «Салаватский химический завод» - Трубопровод азота высокого давления;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-08101-2021;площадке производства гидрирования НДМА, площадка основного производства АО «Салаватский химический завод» - Трубопровод азота высокого давления, рег. №32177
0266048970;Установка ОГ и КГ, цех № 8, НПЗ, ООО «Газпром нефтехим Салават»;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-67815-2024;убопровода рег. № 8381 до линии всаса насосов Н-9, Н-9р, рег. № 8389 (Установка ОГ и КГ, цех № 8, НПЗ, ООО «Газпром нефтехим Салават»)
0266048970;Установка грануляции и расфасовки, цех №50, ГХЗ, ООО «Газпром нефтехим Салават»;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-36098-2022;грегат на базе центробежного насоса марки 3Х-6К-1, поз. 235, зав.№80 (Установка грануляции и расфасовки, цех №50, ГХЗ, ООО «Газпром нефтехим Салават»)
0266048970;Установка ГФУ-1, цех № 10, НПЗ, ООО «Газпром нефтехим Салават»;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-35678-2022;поз. А-26 на прием насосов поз. Н-105/1, 2, Н-107/1, 2, рег. № 8304 (Установка ГФУ-1, цех № 10, НПЗ, ООО «Газпром нефтехим Салават»)
0266048970;"Площадка основного производства ООО ""Газпром нефтехим Салават""";;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-68280-2024;"Площадка основного производства ООО ""Газпром нефтехим Салават"" | техническое перевооружение опасного производственного объекта «Изменение схемы включени"
0268004714;Площадка производства продуктов нефтехимии;I;;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-14962-2025;ническое устройство, применяемое на опасном производственном объекте «Площадка производства продуктов нефтехимии», I класса опасности, рег. № А41-00045-0005 – Емкость поз. 83/2, зав. № 26845, рег. № б/н
0268004714;Площадка производства изопренового каучука АО «СНХЗ»;I;;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-14631-2025;ническое устройство, применяемое на опасном производственном объекте «Площадка производства изопренового каучука АО «СНХЗ»» I класса опасности, рег. №А41-00045-0014 – Конденсатор поз. 12/9, зав. № 25234, рег. №13
0268004714;База товарно-сырьевая производства сополимерных каучуков;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56763-2023;База товарно-сырьевая производства сополимерных каучуков | Емкость поз. 0-2, зав.№ 2195, рег.№ 22553 Цех сырья № 1, отделение Д-12, АО «СНХЗ»
0268008010;"Площадка производства ""Сода"" АО ""Башкирская содовая компания""";;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-42533-2024;"Площадка производства ""Сода"" АО ""Башкирская содовая компания"" | Сооружение «Эстакада № 3.30.05 (от теплопункта «Южный» до II-го проезда», инв.№ 2021200"
0268008010;"Площадка производства №1 ОАО ""Башкирская содовая компания""";;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42435-2024;"Площадка производства №1 ОАО ""Башкирская содовая компания"" | Гидрозатвор поз. Д-103, зав. № 1515, рег. № 09271, цех № 4"
0268008010;Площадка главного корпуса ТЭЦ;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42441-2024;Площадка главного корпуса ТЭЦ | Осветлительный фильтр поз. 8, зав. № б/н, рег. № 4195, цех № 59
0268036071;Цех И-5П Насос центробежный НКВ 360/125, поз.127/2, зав.№32345, инв.№ 54158;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-50320-2015;Цех И-5П Насос центробежный НКВ 360/125, поз.127/2, зав.№32345, инв.№ 54158
0268036071;Цех И-5П Насос центробежный НКВ 360/125, поз.127/3, зав.№32346, инв.№ 54157;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-50324-2015;Цех И-5П Насос центробежный НКВ 360/125, поз.127/3, зав.№32346, инв.№ 54157
0268036071;Цех И-3 Емкость, поз. 121а/2, зав.№ 17786;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-50328-2015;Цех И-3 Емкость, поз. 121а/2, зав.№ 17786, рег.№75304
0268036071;Цех И-3 Трубопровод транспортировки контактного газа до компрессии I стадии, продукт 29;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-50329-2015;Цех И-3 Трубопровод транспортировки контактного газа до компрессии I стадии, продукт 29
0268036071;Цех сырья №2 Трубопровод изопентана СК-18 из ОАО ГПНХ САЛАВАТ в И-1а;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-50331-2015;Цех сырья №2 Трубопровод изопентана СК-18 из ОАО ГПНХ САЛАВАТ в И-1а
0268036071;Площадка производства изопренового каучука;I;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-29886-2024;Площадка производства изопренового каучука Рег № ОПО А41-03518-0006 | техническое перевооружение «Площадка производства изопренового
0269034133;Площадка газоперерабатывающего производства;I;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42447-2020;6, инв. № 20314686», применяемое на опасном производственном объекте «Площадка газоперерабатывающего производства», рег. № А41-05674-0001 (I класс опасности) Объект: ГПП/ВВ
0269034133;Участок трубопровода «Линия (53/3) изопентана газообразного от К-105 до Т-117/1..6»;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-41932-2020;Участок трубопровода «Линия (53/3) изопентана газообразного от К-105 до Т-117/1..6», рег.№Э-58, смонтированный в ГФУ
0269034133;Участок трубопровода «Линия (65/4) бутана от Е-103 на прием насосов НЦ-105/1,2»;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-41967-2020;Участок трубопровода «Линия (65/4) бутана от Е-103 на прием насосов НЦ-105/1,2», рег.№Н-46, смонтированный в ГФУ
0269034133;Участок трубопровода «Линия (65/2 НЦ-108) подачи бутана от НЦ-108/1,2 в К-104»;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-41986-2020;Участок трубопровода «Линия (65/2 НЦ-108) подачи бутана от НЦ-108/1,2 в К-104», рег.№Н-45, смонтированный в ГФУ
0269034133;Участок трубопровода «Линия (64/2) подачи пропана от насоса НЦ-103/1,2 в К-102 и ТСП»;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-41994-2020;Участок трубопровода «Линия (64/2) подачи пропана от насоса НЦ-103/1,2 в К-102 и ТСП», рег.№Н-43, смонтированный в ГФУ
0269034133;Участок трубопровода «Линия (РЗ/4, РЗ/1) подачи топливного газа от С-101 к печам и факельному хозяйству»;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-41998-2020;Участок трубопровода «Линия (РЗ/4, РЗ/1) подачи топливного газа от С-101 к печам и факельному хозяйству», рег.№Н-2, смонтированный в ГФУ
0269034133;Участок трубопровода «Линия (76/1) изобутана на НЦ-107 от Е-104»;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-42073-2020;Участок трубопровода «Линия (76/1) изобутана на НЦ-107 от Е-104», рег.№Н-51, смонтированный в ГФУ
0269034133;"Площадка основного производства ООО ""Газпром нефтехим Салават""";I;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-57295-2021;"Площадка основного производства ООО ""Газпром нефтехим Салават"" Рег № ОПО А41-05674-0001 | ЗАКЛЮЧЕНИЕ №25-ТУ-0184-2021 экспертизы промышленной безопаснос"
0270007455;Рудник («Учалинское» месторождение, «Ново-Учалинское» месторождение);I;;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-968189-2026;"общество ""Учалинский горно-обогатительный комбинат"" Наименование ОПО: Рудник («Учалинское» месторождение, «Ново-Учалинское» месторождение) Рег. № ОПО / Класс опасности: А41-00088-0002/I класс опасности"
0270007455;Площадка энергоцеха Учалинской промплощадки;III;;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-967126-2026;екшим сроком службы, применяемый на опасном производственном объекте «Площадка энергоцеха Учалинской промплощадки», рег. №А41-00088-0009 (III класс опасности), АО «Учалинский ГОК»
0270007455;"Рудник"" (""Узельгинское месторождение, Талганское месторождение""),""";I;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-69860-2024;"Учалинский ГОК"", эксплуатируемое на опасном производственном объекте ""Рудник"" (""Узельгинское месторождение, Талганское месторождение""),"" I класса опасности."
0270007455;Карьер «Юлдашевский» (2.4.);;;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-23036-2024;АО «Учалинский ГОК», применяемый на опасном производственном объекте «Карьер «Юлдашевский» (2.4.)», рег. №А41-00088-0005, по адресу: 453740, Россия, Республика Башкортостан, Учалинский ра
0270007455;Карьер («Западно-Озерное месторождение»);;;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-23038-2024;АО «Учалинский ГОК», применяемый на опасном производственном объекте «Карьер («Западно-Озерное месторождение»)», рег. №А41-00088-0038, по адресу: 453700, Россия, Республика Башкортостан, Учалинский ра
0270007455;Склад ГСМ;;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-71631-2024;бопроводы №2, №3, №4, №5, №6, №7 на опасном производственном объекте «Склад ГСМ», рег. №А41-00088-0008, АО «Учалинский ГОК», по адресу: 453700, Республика Башкортостан,
0270007455;"Рудник"" (""Ново-Учалинское месторождение"")";I;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-69851-2024;"Учалинский ГОК"", эксплуатируемое на опасном производственном объекте ""Рудник"" (""Ново-Учалинское месторождение""), I класса опасности."
0270007455;"Рудник (""Ново-Учалинское местрождение"")";I;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-69850-2024;"Учалинский ГОК"", эксплуатируемое на опасном производственном объекте ""Рудник (""Ново-Учалинское местрождение"")"", I класса опасности."
0270007455;Склады взрывчатых материалов с площадкой выгрузки и пунктом приготовления взрывчатых веществ;II;;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-11227-2022;19), применяемый при эксплуатации опасного производственного объекта «Склады взрывчатых материалов с площадкой выгрузки и пунктом приготовления взрывчатых веществ» (рег. №А41-00088-0015, II класс опасности) АО «Учалинский ГОК»
0270007455;Участок рудника «Узельгинский» по доработке Молодежного месторождения;I;;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-11235-2022;41, применяемая, при эксплуатации опасного производственного объекта «Участок рудника «Узельгинский» по доработке Молодежного месторождения» (рег. №А41-00088-0013, I класс опасности) АО «Учалинский ГОК»
0270007455;Участок транспортирования опасных веществ железнодорожным транспортом Сибайского филиала (17);;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-45288-2019;Учалинский ГОК», эксплуатируемый на опасном производственном объекте «Участок транспортирования опасных веществ железнодорожным транспортом Сибайского филиала (17)», рег. № А41-00088-0028, по адресу: 453830, Республика Башкортостан, г. Сибай, Индустриал
0270007455;Участок транспортирования опасных веществ автомобильным транспортом;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-36563-2019;Учалинский ГОК», эксплуатируемый на опасном производственном объекте «Участок транспортирования опасных веществ автомобильным транспортом», рег.№41-00088-0037, по адресу: 453700, Россия, Республика Башкортостан, г. Учалы, промп
0270007455;Фабрика обогатительная цветных металлов;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-71620-2024;Фабрика обогатительная цветных металлов Рег № ОПО А41-00088-0006 | техническое устройство – воздухосборник В-6,3 (рег.№81147, зав
0270007455;Узельгинский подземный рудник;I;;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-11226-2022;Узельгинский подземный рудник Рег № ОПО А41-00088-0001 | Зарядчик порционный ЗП-2 (зав. №75, инв. №470530), применяемый
0270007455;Учалинский подземный рудник;I;;https://monitor-pb.ru/conclusion/56-%D0%97%D0%A1-11009-2022;Учалинский подземный рудник Рег № ОПО А41-00088-0002 | Сооружение копер шахты «СВС» (инв.№202287), принадлежащее АО «
0273008320;Сеть газопотребления площадки производства турбореактивных двигателей №2;III;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-900616-2026;2А, применяемый при эксплуатации опасного производственного объекта «Сеть газопотребления площадки производства турбореактивных двигателей №2», рег. №А41-01903-0002, III класс опасности, ПАО «ОДК-УМПО», г. Уфа
0273008320;Участок литейный площадки производства турбореактивных двигателей №1 ПАО «ОДК- УМПО»;IV;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-867765-2026;6, цеха 2, площадки 1, инв. №101225 Опасный производственный объект: Участок литейный площадки производства турбореактивных двигателей №1 ПАО «ОДК- УМПО» Регистрационный номер ОПО: А41-01903-0024 Класс опасности ОПО: III Эксплуатирующая органи
0273008320;Участок литейный площадки производства турбореактивных двигателей №2;III;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-867816-2026;48 цеха 1б площадки 2, инв. №310407 Опасный производственный объект: Участок литейный площадки производства турбореактивных двигателей №2 Регистрационный номер ОПО: А41-01903-0028 Класс опасности ОПО:III Эксплуатирующая организ
0273008320;Сеть газопотребления площадки турбореактивных двигателей №2;III;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-46334-2021;№73024, зав. № 920», применяемое на опасном производственном объекте «Сеть газопотребления площадки турбореактивных двигателей №2», III класса опасности, рег. № А41-01903-0002, цех №2-а, ПАО «ОДК-УМПО», г.Уфа
0273008320;Склад ГСМ площадки производства турбореактивных двигателей № 2;III;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-01158-2019;я № 53, 55, 58 цеха 28 площадка 2 опасного производственного объекта «Склад ГСМ площадки производства турбореактивных двигателей № 2».
0273008320;Сеть газопотребления «ОКБ им. А. Люльки» филиал ПАО «ОДК-УМПО» (г. Москва, ул. Касаткина, д. 13);;;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-13538-2018;592, рег. № 3859, расположенный на опасном производственном объекте «Сеть газопотребления «ОКБ им. А. Люльки» филиал ПАО «ОДК-УМПО» (г. Москва, ул. Касаткина, д. 13)
0273008320;Площадка производства турбореактивных двигателей Лыткаринского машиностроительного завода филиала ПАО «ОДК-УМПО»;III;;https://monitor-pb.ru/conclusion/02-%D0%A2%D0%A3-18202-2018;Площадка производства турбореактивных двигателей Лыткаринского машиностроительного завода филиала ПАО «ОДК-УМПО» рег. № А41-01903-0023, III класс опасности, 140080, Московская область, г. Лыткарино, про
0273008320;"Склад ГСМ Лыткаринского машиностроительного завода филиала ПАО ""ОДК-УМПО""";;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-69050-2021;"Склад ГСМ Лыткаринского машиностроительного завода филиала ПАО ""ОДК-УМПО"" | «Проектирование автоматизированной системы управления насосным оборудованием на приемно"
0274051582;Площадка газокаталитического производства филиала ПАО АНК «Башнефть» «Башнефть-Уфанефтехим»;I;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-29224-2024;ническое устройство, применяемое на опасном производственном объекте «Площадка газокаталитического производства филиала ПАО АНК «Башнефть» «Башнефть-Уфанефтехим»» I класса опасности, рег. №А41-05559-0011 – VB05.134 Пар низкого давления от л. VB05.102
0274051582;Площадка производства ароматических углеводородов филиала ПАО АНК «Башнефть» «Башнефть-Уфанефтехим»;I;;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-29107-2024;Сооружение, применяемое на опасном производственном объекте «Площадка производства ароматических углеводородов филиала ПАО АНК «Башнефть» «Башнефть-Уфанефтехим»» I класса опасности, рег. №А41-05559-0010 –Трубопровод «Воздух КИП на установку АI 00.001
