inn;predpriyatie
4223035004;"ООО ""Шахта им. Дзержинского"""
1300000807;"ГУП  Республики Мордовия ""Развитие села"""
1660297582;"ООО ""КАЗАНСКИЙ МОЛОЧНЫЙ КОМБИНАТ"""
1832144060;"ООО ""Удмуртский хладокомбинат"""
3441004685;"ОАО  ""ВКЗ"""
6732163727;"ООО ""АПК-Рязань"""
7704833717;"АО ""СГ-ТРЕЙДИНГ"""
5239001108;"ОАО ""Молоко"" (ИНН 5239001108)"
3702043642;"ЗАО ""Хладокомбинат ""Ивановский"""
2623800383;"ООО ""Цитрон"""
1651044095;"АО ""ТАНЕКО"""
5920000071;"ЗАО ""Молоко"" (ИНН 5920000071)"
0274092758;"ОАО ""УКХП"""
5904210554;"ООО ""ШОН"""
3606000283;"ОАО ЗМ ""ВЕРХНЕМАМОНСКИЙ"""
9102154817;"АО ""ПБКК"""
6325000660;"АО ""ТЯЖМАШ"""
057100600670;Алибеков Ш. М.
6449076937;"ООО ""МКЭ ""; ООО ""МКЭ"""
5072600951;"ОАО ""Луховицкий мукомольный завод"""
4205073166;"ООО ""Шахта Зиминка"""
4214002316;"ПАО ""РАСПАДСКАЯ"""
1618000020;"АО ""ЕМКК"""
3611000514;"ОАО ""Евдаковский  МЖК"""
0264022409;"ООО ""Башнефть-Логистика"""
5916015580;"ООО ""Маслозавод Нытвенский"""
1215102460;"ООО НПФ ""РМЗ"""
5249074105;"ООО ""Синтез-ПКЖ"""
5257003806;"АО ""НМЖК"""
7737049096;"ОАО ""БИКОМ"""
5104002234;"АО ""КОВДОРСКИЙ ГОК"""
4630001603;"АО ""КУРСКИЙ ХЛАДОКОМБИНАТ"""
9102048801;"ГУП РК ""ЧЕРНОМОРНЕФТЕГАЗ"""
2614019198;"ООО ""СТАВРОПОЛЬНЕФТЕГАЗ"""
4710012865;"ООО ""ЛЗ ""БЕЛКОЗИН"""
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ"""
5249076649;"АО ""Корунд-Системы"""
1511011082;"ООО ""Севосгаз"""
0277075768;"АО ""Благовещенский железобетон"""
5835037320;"ООО ""ЛЕДЯНОЙ ДОМ"""
7451012266;"ОАО ""Южуралкондитер"""
5903003690;"ОАО "" Пермский мукомольный завод """
4345102000;"ООО ""Вятка-Промжелдортранс"""
4345462934;"ООО ""ГАЗЭНЕРГОСЕТЬ КИРОВ"""
2630016211;"ООО ""РАДУГА"" (ИНН 2630016211)"
1644046944;"ООО ""РемСервисТранспорт"""
5405950881;"ООО ""Новокузнецкий мелькомбинат"""
7451341341;"ООО ""Хладокомбинат №1"""
1629006841;ООО  «Муслюмовский МК»
4214018370;"АО ""ОФ ""МЕЖДУРЕЧЕНСКАЯ"""
0400005170;"ООО ""РУДНИК ""ВЕСЕЛЫЙ"""
6319033379;"ПАО ""ОДК-КУЗНЕЦОВ"""
5009045076;"ООО ""Трио-Инвест"""
2505008358;"АО ""ГМК ""Дальполиметалл"""
6664014643;"ОАО ""Жировой комбинат"""
0255017547;"ООО ""ШКАПОВСКОЕ ГПП"""
4345000312;"АО ""КИРОВХЛАДОКОМБИНАТ"""
7718018279;"ОАО ""Мелькомбинат в Сокольниках"""
3604017531;"ООО ""БМК"" (ИНН 3604017531)"
7709930344;"ООО ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ"""
1651070377;"ООО ""УЭТП-НКНХ"""
5003055920;"АО ""МГПЗ"""
2221003500;"ООО ""Алтайхолод"""
7703647595;"АО ""ОХК ""УРАЛХИМ"""
3403016633;"ОАО ""ГКХП"""
5948019869;"ООО ""ЛУКОЙЛ-ПНГП"""
0326567170;"ООО ""ЗУН-ХОЛБА"""
6317130144;"ООО ""РИТЭК"" (ИНН 6317130144)"
2517001325;"АО ""Приморский ГОК"""
7713085659;"АО ""ВБД"""
7449042009;"ООО ""Пром-Холод"""
5017014392;"АО ""ДП ""ИСТРА-НУТРИЦИЯ"""
1216019038;"ООО ""НТЦ""ПРОМТЕХЭКСПЕРТ"""
7716182080;"ООО ""ДИАЛЛ АЛЬЯНС"""
0543035503;"ООО ""НП-СЕРВИС"" (ИНН 0543035503)"
2457056260;"ООО ""НМЗ"" (ИНН 2457056260)"
1660183627;"ООО УК ""ПРОСТО МОЛОКО"""
7801002274;САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, САНКТ-ПЕТЕРБУРГСКИЙ У
7411009901;"АО ""Завод ""Пластмасс"""
3713000496;"ОАО ""КГМЗ"""
1207006988;"ООО ""Пивоваренная компания НАШЕ ПИВО"""
7840346335;"АО ""ГРУППА ""ИЛИМ"""
0517010870;"ООО ""Искра-999"""
7706613770;"ООО ""РН-БУРЕНИЕ"""
9105005901;"ООО ""АГРОСЕЛЬХОЗСЕРВИС"""
5908051070;"АО ""НИИПМ"""
7705739450;"ООО ""НЕСТЛЕ РОССИЯ"""
8905026850;"ООО ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК"""
6658084667;"ООО ""ВИЗ-Сталь"""
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ"""
3702011513;"ООО ""Иваново СГ-Сервис"""
4222013696;"ООО ""ШАХТА ""ОСИННИКОВСКАЯ"""
7701288541;"ОАО ""Евразруда"""
2310043294;"ОАО ""МЖК ""КРАСНОДАРСКИЙ"""
7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС"""
3528113030;"ООО ""Харовскнефтегаз"""
4501013181;"ЗАО ""Зауральский хладокомбинат"""
0400000132;"ОАО ""Горно-Алтайгаз"""
6937000025;"ОАО ""Молоко"" (ИНН 6937000025)"
8608180070;"ЗАО ""ЛУКОЙЛ-АИК"""
0255010527;"АО ""БЕЛЗАН"""
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ"""
0256006322;"АО ""БМК"" (ИНН 0256006322)"
7708503727;"ОАО ""РЖД"" (ИНН 7708503727)"
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ"""
0266012678;"ОАО ""Салаватнефтехимремстрой"""
0266029390;"ООО ""НСТЭЦ"""
0266032970;"ООО ""СКАТЗ"""
0266033685;"ООО ""ПВК"""
0266036534;"АО ""СХЗ"" (ИНН 0266036534)"
8903019871;"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ"""
0266008329;"ОАО ""Газпром нефтехим Салават"""
0258005638;"АО ""ПОЛИЭФ"""
0268036071;"ОАО ""Синтез-Каучук"""
0268004714;"АО ""СНХЗ"""
0269034133;"ООО ""Туймазинское ГПП"""
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ"""
0273008320;"ПАО ""ОДК-УМПО"""
0275075378;"ООО ""Башнефть-Сервис НПЗ"""
0270007455;"АО ""УЧАЛИНСКИЙ ГОК"""
0268008010;"АО ""БСК"""
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА"""
0279000119;"ФГУП ""УС-30"""
0277077282;"ООО ""БГК"" (ИНН 0277077282)"
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ"""
0274051582;"ПАО АНК ""БАШНЕФТЬ"""
1102057865;"ООО  ""ЛУКОЙЛ-УНП"""
0277014204;"ПАО ""УФАОРГСИНТЕЗ"""
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА"""
1121003135;"АО ""СЛПК"""
1210004525;"ООО ""Марийский НПЗ"" (ИНН 1210004525)"
1316105019;"ОАО ""АПО Элеком"""
1402046085;"АО ""Полюс Алдан"""
1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА"""
1434045743;"ООО ""Эльгауголь"""
1103019252;"АО ""Воркутауголь"""
1627005000;"ООО ""МЕНДЕЛЕЕВСКАЗОТ"""
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)"
1627005779;"АО ""АММОНИЙ"""
1650157635;"ООО ""КАМАЗ-ЭНЕРГО"""
1433000147;"АК ""АЛРОСА"" (ПАО)"
1651000041;"АО ""НИЖНЕКАМСКТЕХУГЛЕРОД"""
1651025328;"АО ""ТАИФ-НК"""
1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ"""
1655189422;"АО ""ТГК-16"""
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА"
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ"""
1659032038;"ОАО""КЗСК"""
1660016351;"АО ""НИИТУРБОКОМПРЕССОР ИМ.В.Б.ШНЕППА"""
1657036630;"АО ""ТАТЭНЕРГО"""
1658087524;"ООО ""ЗАПСИБНЕФТЕХИМ"""
1902014500;"АО ""РУСАЛ САЯНОГОРСК"""
1903021363;"АО ""УК ""РАЗРЕЗ СТЕПНОЙ"""
1901067718;"АО ""ЕНИСЕЙСКАЯ ТГК (ТГК-13)"""
2020003571;"АО ""ГРОЗНЕФТЕГАЗ"""
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ"""
2204001528;"ФКП  ""БОЗ"""
2204051487;"АО ""ФНПЦ ""Алтай"""
2211005435;"ОАО ""Алтайский Химпром"""
2302016730;"ОАО ""Масложиркомбинат""Армавирский"""""
1831034040;"ПАО ""УДМУРТНЕФТЬ"" ИМ. В.И. КУДИНОВА"
2303025270;"ООО ""ЕВРОХИМ-БМУ"""
2124009521;"ПАО ""ХИМПРОМ"""
2310040800;"АО ""КТК-Р"""
2205001753;"АО ""АЛТАЙ-КОКС"""
2312159262;"ООО ""ЛУКОЙЛ-КУБАНЬЭНЕРГО"""
2326008425;"ООО ""КДВ КРАСНОДАР"""
2334018875;"ООО "" МЯСОПТИЦЕКОМБИНАТ "" КАНЕВСКОЙ """
4212024138;"АО ""СУЭК-КУЗБАСС"""
2465142996;"ООО ""РН-ВАНКОР"""
6227007322;"АО ""РНПК"""
2624022320;"ООО ""СТАВРОЛЕН"""
7022000310;"АО ""ТОМСКНЕФТЬ"" ВНК"
3006006420;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ"""
7113000847;"ОАО ""ЕЗСК"""
2457061937;"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ"""
7017156263;"ООО ""ГАЗПРОМ МЕТАНОЛ"""
6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК"""
7116000066;"АО ""НАК ""АЗОТ"""
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС"""
3627000397;"АО ""МИНУДОБРЕНИЯ"""
6320004728;"АО ""ТОАЗ"""
5321029508;"ПАО ""АКРОН"""
5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ"""
5005000148;"АО ""Воскресенские минеральные удобрения"""
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ"""
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ"""
4218000951;"АО ""ЕВРАЗ ЗСМК"""
3435900186;"АО ""ВТЗ"""
4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК"""
6330017980;"АО ""ННК"""
3663002167;"АО ""ВОРОНЕЖСИНТЕЗКАУЧУК"""
3448003962;"АО ""КАУСТИК"""
5003065767;"ООО ""ГАЗПРОМ ПХГ"""
5920014645;"АО ""УРАЛОРГСИНТЕЗ"""
5612002469;"АО ""ОРЕНБУРГНЕФТЬ"""
6325004584;"АО ""СНПЗ"""
6623000680;"ПАО ""ЕВРАЗ"""
4205000908;"КАО ""АЗОТ"""
4219000048;"АО  ""ЦОФ ""Абашевская"""""
6704000505;"ПАО ""Дорогобуж"""
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК"""
3435801192;"ОАО ""ЭКТОС-ВОЛГА"""
6340005960;"АО ""ОТРАДНЕНСКИЙ ГПЗ"""
6323106975;"ЗАО ""Тольяттисинтез"""
5191431170;"АО ""КОЛЬСКАЯ ГМК"""
3801009466;"АО ""АНХК"""
5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ"""
6377005317;"АО ""НГПЗ"""
6320002223;"АО ""АВТОВАЗ"""
6330000553;"АО ""НК НПЗ"""
5610218014;"ООО ""ГАЗПРОМНЕФТЬ-ОРЕНБУРГ"""
7118004789;"ОАО ""Щекиноазот"""
3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ"""
5902201970;"ООО ""ЛУКОЙЛ-ПЕРМЬ"""
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ"""
6335007320;"АО ""ПРОМСИНТЕЗ"""
6314006396;"АО ""КНПЗ"""
3448017919;"ООО ""ЛУКОЙЛ-ВОЛГОГРАДНЕФТЕПЕРЕРАБОТКА"""
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ"""
5250051800;"ООО ""СИБУР-КСТОВО"""
5905021239;"ОАО ""Минеральные удобрения"""
6451114900;"ПАО ""САРАТОВСКИЙ НПЗ"""
6623029538;"АО ""НПК ""Уралвагонзавод"""
6625004271;"АО ""ПНТЗ"""
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ"""
5250043567;"ООО ""ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ"""
3302001983;"МУП ""Владимирводоканал"""
5905018998;"АО ""СИБУР-ХИМПРОМ"""
3801046700;"АО ""АЗП"""
7726401862;"ООО ""ЛМА"""
2210005457;"ЗАО ""СМК"""
4029047030;"ООО ""УК ЦЭЭН"""
6315229162;"АО ""САМАРАНЕФТЕГАЗ"""
6382018657;"ООО ""ТОМЕТ"""
8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ"""
8911020768;"ООО ""НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ"""
6612005052;"АО ""РУСАЛ УРАЛ"""
7713591359;"ООО ""АЗИЯ ЦЕМЕНТ"""
5249101729;"ООО ""ММА"""
7017075536;"ООО ""ТОМСКНЕФТЕХИМ"""
3808079367;"АО ""ВЧНГ"""
2434000335;"АО ""ПОЛЮС КРАСНОЯРСК"""
8709009294;"АО ""ЧГГК"""
0279998391;"АО ""УС-30"""
5954000425;"ЗАО ""АГРОФИРМА ""МЯСО"""
8603023073;"ООО ""КАТОБЬНЕФТЬ"""
4218005950;"АО ""ШАХТА ""ПОЛОСУХИНСКАЯ"""
7732521036;"ООО ""БИМБО КьюЭсАр Рус"""
3327100746;"ФК ""Монолит"" Росрезерва"
2365004375;"ООО ""РН-ТУАПСИНСКИЙ НПЗ"""
8608049090;"ООО ""БКЕ"""
5403231680;"ООО УК ""ФМ"""
1215085052;"АО""ЗПП"""
6829042162;"ООО ""Брахросагро"""
5103070023;"АО ""АПАТИТ"""
3528000597;"ПАО ""СЕВЕРСТАЛЬ"""
1624004583;"АО ""КАЗАНСКИЙ ЖИРОВОЙ КОМБИНАТ"""
8605003932;"ПАО ""СН-МНГ"""
3900004998;"ООО ""ЛУКОЙЛ-КМН"""
0273053932;"ООО ""БАШКИРСКОЕ МОРОЖЕНОЕ"""
6330017363;"ООО ""НЗМП"" (ИНН 6330017363)"
7714626332;"АО ""ЭЙЧ ЭНД ЭН"""
7705008210;"ООО ""Ригли"""
2308128945;"ООО ""ГАЗПРОМ ТРАНСГАЗ КРАСНОДАР"""
5249051203;"АО ""СИБУР-НЕФТЕХИМ"""
7710473036;"ООО ""ЕВРОХИМ-ВОЛГАКАЛИЙ"""
8603089941;"АО ""ННК - ННП"""
4501129676;"АО "" НПО ""КУРГАНПРИБОР"""
2722010040;"АО ""ННК-ХАБАРОВСКИЙ НПЗ"""
6382021610;"ООО ""ТоАЗ-Диоксид"""
2624028829;"ООО ""СОЛНЦЕ ВОСТОКА"""
3016059510;"ООО ""ЛУКОЙЛ-АСТРАХАНЬЭНЕРГО"""
6230054820;"ООО ""Эр Ликид Рязань"""
4823006703;"ПАО ""НЛМК"""
7841312071;"ПАО ""ТГК-1"""
0814118403;"АО ""ССК"" (ИНН 0814118403)"
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС"""
4704012472;"НПАО ""СВЕТОГОРСКИЙ ЦБК"""
5001000041;"АО ""ЛГР"""
2607018122;"ПАО ""ОГК-2"""
6215009501;"ООО ""ЗПФ Агрорус-Рязань"""
0274036993;"ОАО ""ФАРМСТАНДАРТ-УФАВИТА"""
4217031675;"ООО ""КУЗНЕЦКИЕ МЕТАЛЛОКОНСТРУКЦИИ"""
6829012680;"АО ""РИР ЭНЕРГО"""
6629022962;"АО ""УЭХК"""
3329051460;"АО ""ВПО ""ТОЧМАШ"""
1910006486;"ООО ""СОРСКИЙ ГОК"""
8605016650;"ООО ""МУБР"""
2710008167;"ООО ""БАМсервис"""
5003028028;"ООО ""ГАЗПРОМ ТРАНСГАЗ МОСКВА"""
2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ"""
4708007089;"ООО""КИНЕФ"""
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС"""
6626002291;"ПАО ""СТЗ"""
7449006730;"ПАО ""Челябинский трубопрокатный завод"""
2434012299;"ООО ""СОВРУДНИК"""
7415036215;"АО ""ЭнСер"""
2465000141;"АО ""РУСАЛ КРАСНОЯРСК"""
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ"""
3528191736;"АО ""ФосАгро-Череповец"""
8912001990;"ОАО ""Севернефтегазпром"""
3814007314;"АО ""САЯНСКХИМПЛАСТ"""
5615002700;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ"""
5501023216;"АО ""ОМСКИЙ КАУЧУК"""
5603045522;"ООО ""РН-БГПП"""
4205007950;"ООО ПО ""Химпром"""
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ"""
5606001611;"ООО ""ММСК"""
4205072099;"ООО ""ХИМПРОМ"""
7530000048;"ПАО ""ППГХО"""
6320004630;"ПАО ""АЗОТРЕММАШ"""
4205001274;"ПАО ""КОКС"""
4205037640;"ООО ""ОФ ""Тайбинская"""
4216001565;"АО ""КФ"""
4633001577;"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА"""
7722245108;"ООО ""МЕЧЕЛ-ЭНЕРГО"""
2457061920;"ООО ""НОРИЛЬСКИЙ ОБЕСПЕЧИВАЮЩИЙ КОМПЛЕКС"""
6142025298;"ООО ТУ ""Шолоховское"""
5607014437;"ООО ""ПРОМТЭК"""
7701984274;"АО ""Мосводоканал"""
6623000708;"ОАО ""ВГОК"" (ИНН 6623000708)"
4218000253;"АО ""ЦОФ ""КУЗНЕЦКАЯ"""
2426003607;"ООО ""НОВОАНГАРСКИЙ ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ"""
5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД"""
3801072394;"ООО ""ААТЗ"""
7718220196;"ООО ""ТОРГ-ИНВЕСТ"""
2457080792;"ООО ""МЕДВЕЖИЙ РУЧЕЙ"""
7206025040;"ООО ""СИБУР Тобольск"""
6320079265;"ООО ""ПЕННЫЙ БЕРЕГ"""
1106013435;"ООО ""БУРСЕРВИС"""
7705035012;"ПАО ""Мосэнерго"""
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ"""
8610030917;"ООО ""ННК-НЯГАНЬНЕФТЕГАЗ"""
1644011638;"АО ""ТАТОЙЛГАЗ"""
1658074349;"ООО ""СИБУР-ИННОВАЦИИ"""
3444070534;"ООО ""ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ"""
7718607570;"ООО ""ПАКЕР СЕРВИС"""
5042137221;"ООО ""ХЗ ""МОНАСТЫРИХА"""
7022010012;"ООО ""Стрежевской НПЗ"""
7117000076;"АО ""Пластик"""
2709010901;"ООО ""Трансбункер-Ванино"""
4205049090;"АО ""УК ""КУЗБАССРАЗРЕЗУГОЛЬ"""
4218003374;"АО ""ШАХТА ""БОЛЬШЕВИК"""
7704197780;"ООО ""МРК-Инжиниринг"""
7536125117;"ООО ""ХАРАМПУРНЕФТЕГАЗ"""
4202050996;"ООО ""ММК-УГОЛЬ"""
1828003059;"ОАО ""Воткинскмолоко"""
1434028995;"АО ""ГОК ""Денисовский"""
4223713620;"АО ""ШТК"""
5251000950;"АО ""КЗМК"" (ИНН 5251000950)"
7721632827;"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ"""
4212030766;"ООО  ""Шахта им. С.Д. Тихова"""
4909086161;"ООО ""ЭЛЕКТРУМ ПЛЮС"""
4202038967;"ООО ""Шахта ""Грамотеинская"""""
6155008444;"АО ""ДОНУГОЛЬ"""
2223033980;"АО  ""БМК"""
4212005632;"ОАО ""Шахта ""Заречная"""""
9111022172;"ООО ""ДИ-СА"""
2700000592;"ОАО ""РЖД"" (ИНН 2700000592)"
5908006119;"ФКП ""ПЕРМСКИЙ ПОРОХОВОЙ ЗАВОД"""
5911029807;"ПАО ""УРАЛКАЛИЙ"""
4716016979;"ПАО ""РОССЕТИ"""
9204009463;"ООО ""КРЫМ ОИЛ"""
6501163102;"ООО ""ННК-САХАЛИНМОРНЕФТЕГАЗ"""
4214021372;"АО ""УК СИБИРСКАЯ"""
7736050003;"ПАО ""Газпром"""
5940208487;"АО ""УНС"""
4205059235;"ООО ""Шахта Красногорская"""
8608063129;"ООО ""СПЕЦПРОМСЕРВИС"" (ИНН 8608063129)"
4223713450;"АО ""ШТЮ"""
5260080007;"ООО ""ГАЗПРОМ ТРАНСГАЗ НИЖНИЙ НОВГОРОД"""
4218107045;"ООО ""ШАХТА ""ЮБИЛЕЙНАЯ"""
6950161416;"ОАО ""ВНИИСВ"""
5603048611;"ООО ""ННК-ОРЕНБУРГНЕФТЕГАЗ"""
6631001159;"АО ""СУБР"""
4203001913;"АО ""ЧЕРНИГОВЕЦ"""
7504001084;"АО ""НОВО-ШИРОКИНСКИЙ РУДНИК"""
9102013975;"ООО ""Крымгазпром"""
2636032629;"ООО ""ГАЗПРОМ ТРАНСГАЗ СТАВРОПОЛЬ"""
8622000931;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК"""
3816006147;"ООО ""Назаровское ГМНУ"""
0273010086;"АО ""УМКК"""
7404052938;"АО  ""Златмаш"""
7805018099;"ООО ""ГАЗПРОМ ТРАНСГАЗ САНКТ-ПЕТЕРБУРГ"""
5507029944;"АО ""ОЗГА"""
4220029387;"ООО ""ЮжКузбассГРУ"""
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД"""
6374006640;"ООО ""ДСК №1"""
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ"""
3711008940;"ОАО ""Ивановский бройлер"""
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ"""
7422000795;"ФГУП ""ПО ""МАЯК"""
5906075029;"АО ""ПЗ ""МАШ"""
6315000291;"ООО ""ГАЗПРОМ ТРАНСГАЗ САМАРА"""
7450001007;"ПАО ""ЧМК"""
3815011264;"ООО ""РУСАЛ ТАЙШЕТ"""
9909228249;АО «Юнидом Ко., ЛТД»
1121022681;"ООО ""ЖЛПК"""
2902059091;"АО ""ПО ""СЕВМАШ"""
6134010989;"ООО ""КЛЮЧЕВСКОЕ ГОРНОЕ УПРАВЛЕНИЕ"""
8610022360;"ООО ""СГА"" (ИНН 8610022360)"
8603138733;"ООО ""Белозерный ГПК"""
6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД"""
6114011470;"ООО ГОФ ""Углерод"""
0265045504;"ООО ""ОЗНА-ТОИР"""
5918005160;"АО ""ЛЗЭП"""
7417001747;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ"""
7830002462;"СПБ ОАО ""КРАСНЫЙ ОКТЯБРЬ"""
7810356819;"ООО ""ХЛЕБНЫЙ ДОМ"""
4407006010;"ООО ""СВИСС КРОНО"""
4203001617;"ПАО ""ЦОФ ""Березовская"""""
3232000609;"ОАО ""Бежицкий хлебокомбинат"""
7706415345;"ООО ""КДВ ВОСКРЕСЕНСК"""
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ"""
4029045298;"АО ""БиоТех Росва"""
6320004615;"АО ""КРАЙ КАРАВАЙ"""
8913008332;"ООО ""ПУРНЕФТЕПЕРЕРАБОТКА"""
7113502396;"ООО ""КАРГИЛЛ"""
7101006354;"ООО ""Проктер энд Гэмбл-Новомосковск"""
7733338555;"ООО ""Сергиево-Посадский мукомольный комбинат"""
7718918689;"ООО ""КФ""Черемушки"""
4004002750;"АО ""Кондровский хлебокомбинат"""
6378003182;"ЗАО ""ХИМСИНТЕЗ"""
5243000185;"ЗАО ""Арзамасский хлеб"""
7727547920;"АО ""КБК ""Черемушки"""
7735004068;"АО ""Хлебозавод №28"""
6451122250;"ООО ""САРАТОВОРГСИНТЕЗ"""
2443000518;"АО ""АНПЗ ВНК"""
