marka;fakty;sreda;pochemu;uverennost
УГП1200/202М;1;оба;УГП 1200/202М — унифицированный гидропривод или вспомогательный агрегат при ремонте дизеля тепловоза, оснащённого турбокомпрессором (среда — воздух/газ).;низкая
ST-1030;1;оба;Турбокомпрессор 4955219 на погрузочно-доставочной машине ST-1030 установлен на дизеле и сочетает контур выхлопных газов с воздушным наддувом.;высокая
УГП1200/212;1;оба;УГП 1200/212 в контексте капремонта дизеля тепловоза — агрегат системы наддува, использующий энергию выхлопных газов для сжатия воздуха.;низкая
ТК18В;1;оба;Турбокомпрессор ТК18В-47 тепловоза ТГМ-6Д — дизельный турбонаддув, где турбина работает на выхлопных газах, а компрессор на воздухе.;высокая
ТК23С;1;оба;Турбокомпрессор ТК23С тепловоза ТГМ-6Д — агрегат наддува дизеля выхлопными газами.;высокая
JMC624;1;оба;Турбокомпрессор ABB A140-H56 на газопоршневой установке GE Jenbacher работает с выхлопными газами двигателя и наддувочным воздухом.;высокая
ВОТ62.2;1;не ясно;ВОТ 62.2 — это трубный пучок газоохладителя центробежного компрессора, сжимаемая среда в контексте не указана.;низкая
20V34SG;1;оба;Турбокомпрессор NAPIER 357 двигателя Wartsila 20V34SG использует энергию выхлопных газов для сжатия наддувочного воздуха.;высокая
Н-7500-13-1;1;не ясно;Ротор нагнетателя Н-7500-13-1: обозначение «Н» может означать нефтяной или нагнетатель, но среда однозначно не указана.;низкая
5ГЦ1-245/9-М2;1;газ;5ГЦ1-245/9-М2 прямо назван газовым центробежным компрессором на установке сернокислотного алкилирования.;высокая
ГК-101Б;1;газ;Позиция ГК-101Б присвоена газовому центробежному компрессору 5ГЦ1 на установке сернокислотного алкилирования.;высокая
VR200/490;1;газ;Центробежный компрессор ЦК-1 (VR 200/490) на площадке каталитического крекинга перерабатывает углеводородный газ.;высокая
ТКА14;1;газ;ТКА — турбокомпрессорный агрегат на КС «Газпром трансгаз Югорск», среда — природный газ.;высокая
ТКА15;1;газ;ТКА — турбокомпрессорный агрегат на КС «Газпром трансгаз Югорск», среда — природный газ.;высокая
ТКА16;1;газ;ТКА — турбокомпрессорный агрегат на КС «Газпром трансгаз Югорск», среда — природный газ.;высокая
ТКА17;1;газ;ТКА — турбокомпрессорный агрегат на КС «Газпром трансгаз Югорск», среда — природный газ.;высокая
ТКА18;1;газ;ТКА — турбокомпрессорный агрегат на КС «Газпром трансгаз Югорск», среда — природный газ.;высокая
ТКА19;1;газ;ТКА — турбокомпрессорный агрегат на КС «Газпром трансгаз Югорск», среда — природный газ.;высокая
ТВ-80-1,4-01.У3;1;воздух;ТВ — это турбовоздуходувка, используется в коммунальном хозяйстве.;высокая
ITE1900D;1;газ;Турбокомпрессор в составе газопоршневой установки (ГПУ) работает на газе.;высокая
ЗЭ-2061-ЦБН-2025;1;газ;НЦ — нагнетатель центробежный для ГПА, среда — природный газ.;высокая
ЗЭ-2063-ЦБН-2025;1;газ;НЦ — нагнетатель центробежный для ГПА, среда — природный газ.;высокая
ЗЭ-2062-ЦБН-2025;1;газ;Центробежный нагнетатель типа 294ГЦ2 на объекте «Газпром добыча Уренгой», среда — газ.;высокая
294ГЦ2;1;газ;Центробежный нагнетатель типа 294ГЦ2 на объекте «Газпром добыча Уренгой», среда — газ.;высокая
TD226B-3CD;1;не ясно;Марка турбокомпрессора TD226B-3CD не указывает однозначно на среду, контекст отсутствует.;низкая
ДГР-50;1;не ясно;Турбокомпрессор ДГР-50 может быть и на воздухе (дизель-генератор), и на газе, данных не хватает.;низкая
Н-6-56;1;газ;Нагнетатель типа Н работает на ДКС в газотурбинной установке ГТН-6, среда — газ.;высокая
ВОК-79,2;1;воздух;Явно указан концевой воздухоохладитель для турбокомпрессоров серии К (воздушных) на ТКС.;высокая
4VRZ250/500G;1;газ;VRZ — серия турбокомпрессоров для сжатия коксового газа в металлургии.;высокая
4VRZ250/500;1;газ;VRZ — серия турбокомпрессоров для сжатия коксового газа в металлургии.;высокая
5RVA70;1;газ;В контексте указан охладитель газа турбокомпрессора.;высокая
4VRZ250/520;1;газ;VRZ — серия турбокомпрессоров для сжатия коксового газа в металлургии.;высокая
VRZ250/520;1;газ;VRZ — серия турбокомпрессоров для сжатия коксового газа в металлургии.;высокая
Р700/2,6;1;газ;Редуктор привода нагнетателя Н360-22-3, нагнетатель работает на газе.;высокая
СП-03;1;газ;СП-03 является частью редуктора для нагнетателя Н360-22-3.;высокая
Н360-22-3;1;газ;Н — нагнетатель, используется в газовых процессах.;высокая
ТВН-360-22-3;1;газ;ТВН — турбовоздуходувка нагнетателя, но в контексте нагнетателя Н360-22-3 рабочая среда — газ.;высокая
5ГЦ-400-0,3-1,7;1;газ;Центробежный компрессор 5ГЦ-400 работает в цехе производства масел и парафинов на НПЗ, среда — углеводородный газ.;средняя
ЦК-201Р;1;газ;Компрессор ЦК-201Р эксплуатируется на установке депарафинизации НПЗ, рабочая среда — углеводородный газ или водородсодержащий газ.;средняя
ЦК-402/1;1;газ;Компрессор ЦК-402/1 работает на установке депарафинизации масел и парафинов НПЗ, среда — технологический углеводородный газ.;средняя
5ГЦ1-245/9-М;1;газ;Марка 5ГЦ1 характерна для газовых центробежных компрессоров, объект — площадка газового цеха НПЗ.;высокая
ГК-101А;1;газ;Обозначение ГК обычно расшифровывается как газовый компрессор, эксплуатируется в газовом цехе НПЗ.;высокая
5VR-200/490;1;газ;Компрессор 5VR используется на установке каталитического крекинга НПЗ, среда — водородсодержащий или углеводородный газ.;средняя
5VR200/490G;1;газ;Модернизированный компрессор 5VR200/490G работает на объекте каталитического производства НПЗ, среда — технологический газ.;средняя
К485-61-1МА2;1;газ;Центробежный компрессор К485-61 эксплуатируется на ЯНОСе, типичное оборудование НПЗ для сжатия углеводородных газов.;средняя
5VRM200/490;1;газ;Компрессор 5VRM200/490 установлен на объекте каталитического производства НПЗ, среда — технологический газ процесса.;средняя
5VR200/490;1;газ;Модернизированный компрессор 5VR 200/490 G эксплуатируется на НПЗ в каталитическом производстве, среда — газ.;средняя
5VRM-200/490G;1;газ;Компрессор 5VRM-200/490G работает на установке каталитического риформинга, типичная среда — водородсодержащий газ.;средняя
ДГ-35/11-300;1;газ;Обозначение ДГ-35/11-300 относится к установке НПЗ, а не к марке компрессора, но контекст указывает на газовую среду риформинга.;средняя
5VRM-200/490;1;газ;Компрессор 5VRM-200/490 на установке каталитического риформига предназначен для циркуляции водородсодержащего газа.;средняя
5VR-200/490G;1;газ;Компрессор 5VR-200/490G на установке риформинга ЛГ-35/11-300, среда — технологический газ риформинга.;средняя
TKV-324;1;газ;Турбокомпрессор TKV-324 работает на установке гидропроцессов (ЛЧ-24/7) НПЗ, среда — водородсодержащий или углеводородный газ.;средняя
ТГ170-1,7;1;газ;В марке ТГ170-1,7 прямо указано «Турбокомпрессор газовый», рабочая среда — газ.;высокая
РТКГ160-3;1;газ;В марке РТКГ160-3 прямо указано «Турбокомпрессор центробежный газовый», среда — газ.;высокая
40В-1А;1;газ;Позиция 40В-1А относится к газовому турбокомпрессору РТКГ 160-3 на установке производства серы.;высокая
ТГ170-1,7М1-В1;1;газ;В марке ТГ170-1,7М1-В1 прямо указано «Турбокомпрессор газовый», среда — газ.;высокая
30В-1;1;газ;Позиция 30В-1 относится к газовому турбокомпрессору ТГ170-1,7М1-В1 на установке производства серы.;высокая
285ЦБК-16/121-С;1;газ;Марка 285ЦБК расшифровывается как центробежный компрессор, поставляется на дожимную компрессорную станцию (ДКС) Бованенковского НГКМ для природного газа.;высокая
9H21/32;1;воздух;HPR 5000 — это турбокомпрессор наддува (турбонагнетатель) дизельного ДВС Hyndai Himsen, сжимает воздух для двигателя.;высокая
ДБФ61-23;1;воздух;ДБФ — дизельный воздуходувный нагнетатель для вспомогательного дизельгенератора, сжимает воздух для наддува дизеля.;высокая
ДБФ85-23;1;воздух;ДБФ — газотурбонагнетатель дизельгенератора, рабочая среда — воздух наддува.;высокая
САТ3516С;1;воздух;Турбокомпрессор двигателя САТ 3516С — это агрегат наддува дизеля, сжимает атмосферный воздух.;высокая
ТКР100-05;1;воздух;Серия ТКР — это турбокомпрессор радиальный, традиционно используемый для наддува ДВС воздухом или сжатия воздуха.;высокая
ГБМ1110-50/50ММ;1;воздух;Указание на турбокомпрессор и типовую для воздушных компрессоров теплообменную трубу с оребрением (промежуточный охладитель) говорит о сжатии воздуха.;высокая
С-001;1;газ;В контексте прямо указано, что компрессор предназначен для сжатия пропилена.;высокая
VС-001/1A-1B;1;воздух;Вентилятор продувки кожуха предназначен для перемещения воздуха в системах охлаждения или вентиляции.;высокая
ТА12.60;1;воздух;В контексте упомянут вспомогательный газотурбинный агрегат, для которого турбокомпрессор ТА — это воздушная часть.;высокая
ТА12-60;1;воздух;Обозначение ТА указывает на турбокомпрессор-воздуходувку в составе газотурбинной установки.;высокая
ТО30;1;газ;Турбокомпрессоры PBS Turbo NR20/SJ обслуживаются на объекте с ГПА (газоперекачивающим агрегатом), что указывает на природный газ, либо смесь на входе ГТЭ.;средняя
NR20/SJ;1;газ;Турбокомпрессор NR20/SJ обслуживается в составе ГПА (газоперекачивающего агрегата), работающего на природном газе.;высокая
К2134;1;газ;Серия NEK — компрессор центробежный для компримирования различных газов (аммиак, углеводороды, но не воздуха).;средняя
HST40-300-1-H;1;воздух;Турбокомпрессоры HST серии Sulzer ABS применяются для аэрации на очистных сооружениях.;высокая
ПЭГА-600-7,5-6,3;1;оба;Центробежные компрессоры серии ПЭГА в классификации УЗТМ предназначены для сжатия воздуха и различных газов в зависимости от применения.;средняя
ВД-1A;1;воздух;ТВ в марке ТВ-80-1,4 означает турбовоздуходувка, которая по определению сжимает воздух.;высокая
ТВ80-1.4;1;воздух;ТВ в марке ТВ80-1.4 означает турбовоздуходувка для сжатия воздуха.;высокая
CN-200;1;воздух;Коллекторы и типовое обозначение CN характерны для центробежных нагнетателей воздуха.;средняя
ТК-102;1;газ;Компрессор эксплуатируется в цехе Карбамид, где рабочая среда — углекислота, аммиак или синтез-газ.;средняя
ТК92А-50;1;газ;В контексте прямо указано, что компрессорная обеспечивает сжатыми газами, что определяет среду как газ.;высокая
GTA4502;1;воздух;Турбокомпрессор Honeywell GTA — это агрегат наддува, сжимающий атмосферный воздух.;высокая
МР2-4Г;1;оба;Микронагнетатели типа МР используются как воздушные, так и газовые (горючий газ, пропан, но без явного уточнения в номере модели).;средняя
МР20-10ГКЗ;1;газ;Микронагнетатель МР с индексом ГКЗ характерен для газовой арматуры и горючего газа.;средняя
ЕС-135;1;воздух;Турбокомпрессор вертолёта — это система наддува поршневого или газотурбинного двигателя, работающая на воздухе.;высокая
6ГВ-18/6-17;1;газ;Серия 6ГВ для агрегатов Газпрома — это газовый винтовой компрессор (нагнетатель), среда — природный газ.;высокая
ТМ2250-4;1;воздух;ТМ в марке означает турбокомпрессор центробежный воздушный, серия Samsung TM используется для сжатия воздуха.;высокая
ТЛ24;1;воздух;ТЛ расшифровывается как турбовоздуходувка лопастная.;высокая
НЦ-16/МХИ;1;газ;НЦ — это нагнетатель центробежный, в контексте прямо указано его применение для природного газа.;высокая
С-459;1;газ;Заводской номер С-459 в контексте указан как корпус нагнетателя типа НЦ-16/МХИ, который применяется для сжатия природного газа.;высокая
GK-530/10;1;газ;В контексте прямо указано 'газовый турбокомпрессор', а место эксплуатации — цех Карбамид-2, что предполагает работу с технологическим газом (например, CO2 или синтез-газ).;высокая
ГК-3/6;1;газ;Позиция ГК-3/6 в том же контексте, что и GK-530/10, это тот же газовый турбокомпрессор в цехе Карбамид-2.;высокая
К-540;1;газ;Контекст связан с предприятием НАК 'Азот' и предыдущими позициями газовых компрессоров, поэтому К-540, вероятно, компрессор технологического газа.;средняя
2ТГ80-1,8;1;воздух;Указан трубопровод кислорода в кислородном цехе, а 2ТГ — серия турбокомпрессоров для сжатия воздуха в блоках разделения.;высокая
КЦ201/1;1;газ;Установлен в цехе подготовки газа (УКГ-2) Губкинского ГПЗ, среда — природный или попутный газ.;высокая
КЦ201/2;1;газ;Аналог КЦ201/1, установлен там же в цехе подготовки газа (УКГ-2) Губкинского ГПЗ.;высокая
К-201А/3;1;газ;Адсорбер на Варьеганской компрессорной станции газоперерабатывающего завода, служит для осушки или очистки газа.;высокая
К-201А/4;1;газ;Адсорбер-аналог на той же компрессорной станции газоперерабатывающего завода, предназначен для газа.;высокая
К-201А/1;1;газ;Адсорбер на Варьеганской КС ГПЗ, назначение — только газ.;высокая
К-201А/2;1;газ;Адсорбер на Варьеганской КС газоперерабатывающего производства.;высокая
С101/1;1;не ясно;С101/1 — сепаратор или аппарат дренажа, точная среда не указана, контекст трубопровода дренажа не раскрывает, дренируется ли газ или воздух.;низкая
С-101/1-5;1;газ;Прямое указание в контексте: 'трубопровод сырого газа' от сепараторов на компрессорную станцию.;высокая
Ф-201/1,2;1;газ;Прямое указание в контексте: 'трубопровод газа охлаждения' на компрессорной станции ГПЗ.;высокая
НП-103;1;не ясно;НП может быть насосом, а трубопровод масла не раскрывает рабочую среду самой машины-компрессора.;низкая
Е-502;1;не ясно;Е-502 — это, вероятно, емкость/аппарат, а не компрессорная машина, рабочая среда машины не указана.;низкая
НП-507;1;не ясно;НП-507 — насос или аппарат в маслосистеме, рабочая среда компрессора не детерминирована.;низкая
КЦ-101/2,3,4;1;газ;КЦ в обозначении на газоперерабатывающем заводе означает компрессорный цех для газа.;средняя
С-102/1-10;1;газ;Прямое указание в контексте: 'сырой газ' на установке низкотемпературной конденсации компрессорной станции.;высокая
НЦ-303;1;газ;НЦ обычно означает нагнетатель центробежный, а 'стабильный газовый бензин' в трубопроводе указывает на газовую среду установки.;средняя
Е-301;1;газ;Трубопровод этановой фракции на газоперерабатывающем производстве указывает на газовую среду.;высокая
К-201Б/4;1;газ;Адсорбер на компрессорной станции ГПЗ, очевидно, работает в среде газа.;высокая
К-201Б/3;1;газ;Адсорбер на компрессорной станции ГПЗ, предназначен для работы с газом.;высокая
Н-196/56-1,45;1;газ;Н- это нагнетатель в составе ГПА на объекте Газпром трансгаз, рабочая среда — природный газ.;высокая
RF2BB-30;1;газ;Центробежный нагнетатель RF2BB-30 установлен в КЦ на объектах транспорта газа.;высокая
МО-1075RC;1;газ;Нагнетатель RF2BB-30 на КС Оренбургская в системе Газпром трансгаз качает природный газ.;высокая
МО-1078RC;1;газ;Нагнетатель RF-2BB эксплуатируется на объекте транспорта газа.;высокая
43ВЦ160/9;1;воздух;Центробежный компрессор 43ВЦ160/9 работает в электролизном производстве алюминия, где подает технологический воздух.;высокая
ВЦ-160/9;1;воздух;Турбокомпрессор типа 43 ВЦ-160/9 в котельно-компрессорном отделении подает воздух.;высокая
Р-3979-ТУ-2025;1;не ясно;Номер — это шифр экспертизы, а среда нагнетателя 9000-11-5 на фабрике окомкования не указана (может быть воздух или газ).;низкая
Р-3980-ТУ-2025;1;не ясно;Шифр экспертизы не указывает среду, а нагнетатель 9000-11-5 на фабрике окомкования не атрибутирован как воздушный или газовый.;низкая
Р-2700-ТУ-2022;1;не ясно;Шифр экспертизы, среда нагнетателя 9000-11-5 по контексту фабрики окомкования не определяется однозначно.;низкая
КГОК2026;1;не ясно;Контекст 'Турбокомпрессор по ТЗ КГОК' не раскрывает рабочую среду.;низкая
CP100;1;воздух;К-250-61-5 — это воздушный центробежный компрессор, что определяется по обозначению серии К.;высокая
BL100;1;воздух;ЦНВ расшифровывается как центробежный нагнетатель воздушный.;высокая
ЦНВ-360-1;1;воздух;Аббревиатура ЦНВ в названии означает центробежный нагнетатель воздушный.;высокая
BL500;1;воздух;Машина ЦНВ-360-1 является центробежным нагнетателем воздушным согласно обозначению серии.;высокая
ТА2000;1;воздух;Турбокомпрессоры серии ТА (ТурбоАгрегат) обычно воздушные, контекст не указывает на газ.;средняя
SC1500;1;воздух;Центробежный компрессор SC1500 в цехе помола цемента, вероятно, подает сжатый воздух.;средняя
ТВ-80-1.4-01УЗ;1;воздух;ТВ- это турбовоздуходувка, в контексте указан турбокомпрессор.;высокая
ТВ-300-1,6-02.У1;1;воздух;В контексте прямо указано 'Турбокомпрессор воздушный'.;высокая
ТК-23С-1;1;не ясно;Серия ТК (турбокомпрессор) не указывает на среду, контекст не проясняет воздух это или газ.;низкая
CO1000;1;оба;Компрессор CO1000 в цехе НАФ может работать как на воздухе, так и на технологическом газе, данных недостаточно для точного выбора.;низкая
2MCL-806;1;газ;2MCL-806 — серия компрессоров GE (Nuovo Pignone) для технологических газов, а не для воздуха.;высокая
КВД105;1;газ;КВД в контексте производства удобрений и серии MCL указывает на газовый компрессор.;высокая
ГТТ-3М/2;1;оба;ГТТ-3М — газотурбинная установка, нагнетатель назван воздушным, это дутьё, среда — воздух.;высокая
К-22М;1;воздух;К-22М — поршневая компрессорная установка общего назначения, традиционно воздушная.;средняя
7RМВ99;1;газ;Пирогазовый турбокомпрессор в производстве мономеров сжимает пирогаз, то есть газ.;высокая
ТК30Н-17;1;оба;ТК — турбокомпрессор, без дополнительного контекста среда не ясна, может работать на газе и воздухе.;низкая
ЭГПА-10,5/6500;1;газ;ЭГПА — электроприводной газоперекачивающий агрегат, это однозначно природный газ.;высокая
К-2001;1;оба;К — компрессор, без указания конкретной серии или среды в контексте, может быть воздушным или газовым.;низкая
LWC250;1;оба;LWC расшифровывается как Low Water Cooler (газоохладитель), но сам газоохладитель может работать с разными средами.;низкая
ГТН-25А;1;газ;ГТН — газотурбинный нагнетатель, предназначен для перекачки природного газа.;высокая
Н-400;1;газ;Н- в обозначении типа Н-400 это нагнетатель, работающий в паре с ГТН-25А, следовательно, среда — газ.;высокая
