inn;predpriyatie;tip;marka_model;zavodskoy_nomer;sreda;data;srok_do;status_sroka;sila;klass;istochnik;ssylka;citata
0255010527;"АО ""БЕЛЗАН""";компрессор;4ВМ10-100/8;342;;19.11.2025;19.11.2030;действует;1;надзорная запись: заключение ЭПБ;"НП ""НАЦЭКС""";https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-468672-2025;Компрессор 4ВМ10-100/8 зав. №342 Адрес ОПО: 452002, РБ, г. Белебей, ул. Сыртлановой, 1А Наименование ОПО «Площадка производства АО «БелЗАН» Рег №ОПО/ класс опасности А41-00239-0001/III класс опасности Эксплуатирующая орг
0255010527;"АО ""БЕЛЗАН""";компрессор;4ВМ10-100/8;343;;19.11.2025;19.11.2030;действует;1;надзорная запись: заключение ЭПБ;"НП ""НАЦЭКС""";https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-469616-2025;Компрессор 4ВМ10-100/8 зав. №343 Адрес ОПО: 452002, РБ, г. Белебей, ул. Сыртлановой, 1А Наименование ОПО «Площадка производства АО «БелЗАН» Рег №ОПО/ класс опасности А41-00239-0001/III класс опасности Эксплуатирующая орг
0255010527;"АО ""БЕЛЗАН""";компрессор;4ВМ10-100/8;217;;19.01.2026;19.01.2031;действует;1;надзорная запись: заключение ЭПБ;"НП ""НАЦЭКС""";https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-630851-2026;Компрессор 4ВМ10-100/8 зав. № 217 Адрес ОПО: 452002, РБ, г. Белебей, ул. Сыртлановой, 1А Наименование ОПО «Площадка производства АО «БелЗАН» Рег № ОПО/ класс опасности А41-00239-0001/III класс опасности Эксплуатирующая о
0255010527;"АО ""БЕЛЗАН""";компрессор;4ВМ10-120/9;590;;19.01.2026;19.01.2031;действует;1;надзорная запись: заключение ЭПБ;"НП ""НАЦЭКС""";https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-630896-2026;Компрессор 4ВМ10-120/9 зав. № 590 Адрес ОПО: 452002, РБ, г. Белебей, ул. Сыртлановой, 1А Наименование ОПО «Площадка производства АО «БелЗАН» Рег № ОПО/ класс опасности А41-00239-0001/III класс опасности Эксплуатирующая о
0255010527;"АО ""БЕЛЗАН""";компрессор;4ВМ10-100/8;286;;19.01.2026;19.01.2031;действует;1;надзорная запись: заключение ЭПБ;"НП ""НАЦЭКС""";https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-630921-2026;Компрессор 4ВМ10-100/8 зав. № 286 Адрес ОПО: 452002, РБ, г. Белебей, ул. Сыртлановой, 1А Наименование ОПО «Площадка производства АО «БелЗАН» Рег № ОПО/ класс опасности А41-00239-0001/III класс опасности Эксплуатирующая о
0256006322;"АО ""БМК"" (ИНН 0256006322)";компрессор;АВ-100;10521;;04.03.2022;нет в карточке;;1;надзорная запись: заключение ЭПБ;"АО НТЦ ""ТЕХНОЭКСПЕРТ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-12057-2022;Заключение № 5318-ТУ-2021 экспертизы промышленной безопасности технического устройства: компрессор аммиачный вертикальный АВ-100 зав.№ 10521, эксплуатируемого на ОПО «Площадка складского хозяйства» (6.4), АО «БМК», г.Бел
0256006322;"АО ""БМК"" (ИНН 0256006322)";компрессор;АВ-100;10521;;04.02.2026;04.02.2031;действует;1;надзорная запись: заключение ЭПБ;"АО ""ТОРГОВЫЙ ДОМ БЕЛОРЕЦКИЙ""";https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-673498-2026;Заключение экспертизы промышленной безопасности №2025.314.ТУ на техническое устройство, применяемое на опасном производственном объекте: ОПО рег.№А41-00238-0017, III класс опасности, Компрессор аммиачный вертикальный АВ-
0258005638;"АО ""ПОЛИЭФ""";компрессор;1РС-504;160316;;05.11.2014;нет в карточке;;1;надзорная запись: заключение ЭПБ;"ООО ""ТЕХНИЧЕСКАЯ ДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-39628-2014;Компрессор 1РС-504 тип Н5236МК2, зав. № 160316
0258005638;"АО ""ПОЛИЭФ""";компрессор;1РС-201С;D3081;;25.12.2015;29.07.2021;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-61119-2015;Компрессор 1РС-201С зав. № D3081, цех № 1, корпус № 111
0258005638;"АО ""ПОЛИЭФ""";компрессор;1РС-201А;D3079;;05.11.2014;нет в карточке;;1;надзорная запись: заключение ЭПБ;"ООО ""ТЕХНИЧЕСКАЯ ДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-39631-2014;Компрессор 1РС-201А тип D123HG S/16, зав. № D3079
0258005638;"АО ""ПОЛИЭФ""";компрессор;1PC-201В;В3080;;05.11.2014;нет в карточке;;1;надзорная запись: заключение ЭПБ;"ООО ""ТЕХНИЧЕСКАЯ ДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-39635-2014;Компрессор 1PC-201В тип D123HG S/16, зав. № В3080
0258005638;"АО ""ПОЛИЭФ""";компрессор;1РС-810;;;19.11.2014;15.09.2018;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42511-2014;Цех №1, корпус №114, Компрессор газа пневмотранспорта 1РС-810
0258005638;"АО ""ПОЛИЭФ""";компрессор;1РС-811;;;19.11.2014;15.09.2018;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42516-2014;Цех №1, корпус №114, Компрессор газа пневмотранспорта 1РС-811
0258005638;"АО ""ПОЛИЭФ""";компрессор;1РС-201С;;;15.12.2015;17.06.2021;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56591-2015;Компрессор 1РС-201С, инв. № 1418025, цех №1, к. 111
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09337-2014;Трубопровод нагнетания воздуха от компрессоров поз. 1/1-1 до коллектора
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09342-2014;Трубопровод нагнетания воздуха от компрессоров поз. 1/1-2 до коллектора
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09343-2014;Трубопровод нагнетания воздуха от компрессоров поз. 1/1-3 до коллектора
0258005638;"АО ""ПОЛИЭФ""";компрессор;ТС-201А;;;15.12.2015;17.06.2021;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56582-2015;Компрессор 1 ТС-201А, инв. № 1418021, цех №1, к. 111
0258005638;"АО ""ПОЛИЭФ""";компрессор;ТС-201В;;;15.12.2015;17.06.2021;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56588-2015;Компрессор 1 ТС-201В, инв. № 1418022, цех №1, к. 111
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09218-2014;Трубопровод сброса воздуха в атмосферу из компрессоров поз. 6/1-1,2
0258005638;"АО ""ПОЛИЭФ""";компрессор;32ВЦ-100-9М3;95005;;14.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-08784-2014;Центробежный компрессор типа 32ВЦ-100-9М3, зав. № 95005, поз. К-1-1-1
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09260-2014;Трубопровод масла заправочный от баков 24/2 до компрессоров 1/1-1/3
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-2;;воздух;19.11.2014;15.09.2018;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42437-2014;Цех №1, корпус №112, Компрессор технологического воздуха с встроенным турбодетандером 1ТС-201В
0258005638;"АО ""ПОЛИЭФ""";компрессор;ВЦ-100-9М3;96008;;14.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-08786-2014;Центробежный компрессор типа 32 ВЦ-100-9М3, зав. № 96008, поз. К-1-1-3
0258005638;"АО ""ПОЛИЭФ""";компрессор;ВЦ-100-9М3;96001;;14.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-08790-2014;Центробежный компрессор тирп 32 ВЦ-100-9М3, зав. № 96001, поз. К-1-1-2
0258005638;"АО ""ПОЛИЭФ""";компрессор;ВМ4-15/24СМ1;02001;;14.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-08791-2014;Центробежный компрессор типа 2 ВМ4-15/24СМ1, зав. № 02001, поз. К-6-1-2
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09224-2014;Трубопровод воздуха на всас компрессора 6/1-1,2 через фильтр 7/1,2
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;RC56201-B;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09274-2014;Трубопровод всаса воздуха от фильтра поз. RC56201-B-L1 до компрессора поз. RC56201-B
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;RC56201-А;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09309-2014;Трубопровод всаса воздуха от фильтра поз. RC56201-А-L1 до компрессора поз. RC56201-А
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-201;;;18.11.2014;11.06.2022;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42152-2014;Цех №1, корпус №112, Конечный холодильник компрессора 1ТС-201 А 1ТЕ- 253 А
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-201;;;18.11.2014;11.06.2022;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42155-2014;Цех №1, корпус №112, Конечный холодильник компрессора 1ТС-201 В 1ТЕ- 253 В
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-2;;воздух;19.11.2014;15.09.2018;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42418-2014;Цех №1, корпус №112, Компрессор технологического воздуха с встроенным турбодетандером 1ТС-201 А
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-2;;воздух;19.11.2014;15.09.2018;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42441-2014;Цех №1, корпус №112, Компрессор технологического воздуха с встроенным турбодетандером 1ТС-201 С
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;RC56201-B;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09225-2014;Трубопровод сброса воздуха в атмосферу от компрессора поз. RC56201-B до глушителя RC56201-В-L3
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;RC56201-А;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09228-2014;Трубопровод сброса воздуха в атмосферу от компрессора поз. RC56201-А до глушителя RC56201-А-L3
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09279-2014;Трубопровод всасывания воздуха от фильтра поз. 1/3-1 до компрессора поз. 1/1-1
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09283-2014;Трубопровод всасывания воздуха от фильтра поз. 1/3-2 до компрессора поз. 1/1-2
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09285-2014;Трубопровод всасывания воздуха от фильтра поз. 1/3-3 до компрессора поз. 1/1-3
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-201А;;;18.11.2014;11.06.2022;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42127-2014;Цех №1, корпус №112, 1-ый промежуточный холодильник компрессора 1ТС-201А 1ТЕ- 251 А
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-201В;;;18.11.2014;11.06.2022;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42130-2014;Цех №1, корпус №112, 1-ый промежуточный холодильник компрессора 1ТС-201В 1ТЕ- 251 В
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-201С;;;18.11.2014;11.06.2022;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42134-2014;Цех №1, корпус №112, 1-ый промежуточный холодильник компрессора 1ТС-201С 1ТЕ- 251 С
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-201А;;;18.11.2014;11.06.2022;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42137-2014;Цех №1, корпус №112, 2-ой промежуточный холодильник компрессора 1ТС-201А 1ТЕ- 252 А
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-201В;;;18.11.2014;11.06.2022;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42142-2014;Цех №1, корпус №112, 2-ой промежуточный холодильник компрессора 1ТС-201В 1ТЕ- 252 В
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-201С;;;18.11.2014;11.06.2022;истёк;1;надзорная запись: заключение ЭПБ;"ООО ПК ""ПромТехЭксперт""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42145-2014;Цех №1, корпус №112, 2-ой промежуточный холодильник компрессора 1ТС-201С 1ТЕ- 252 С
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09245-2014;Трубопровод слива масла с компрессоров 1/1-1/3 в бак 24/4 насосом 22-2
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09213-2014;Трубопровод осушенного воздуха от коллектора через емкость поз. 5 на всас компрессора поз. 6/1-1,2
0258005638;"АО ""ПОЛИЭФ""";компрессор;1ТС-201С;8484;;30.10.2014;нет в карточке;;1;надзорная запись: заключение ЭПБ;ЗАО НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР СИБНЕФТЕГАЗДИАГНОСТИКА;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-39312-2014;на компрессор 1ТС-201С, заводской №8484, установленный в цехе №1 корпус 112 ОАО «ПОЛИЭФ»
0258005638;"АО ""ПОЛИЭФ""";компрессор;К-1/1-1;95005;;30.10.2014;нет в карточке;;1;надзорная запись: заключение ЭПБ;ЗАО НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР СИБНЕФТЕГАЗДИАГНОСТИКА;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-39324-2014;на компрессор К-1/1-1, заводской №95005, установленный в цехе №1 корпус 817 ОАО «ПОЛИЭФ»
0258005638;"АО ""ПОЛИЭФ""";компрессор;Н5236;160316;;02.10.2020;31.12.2026;действует;1;надзорная запись: заключение ЭПБ;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-40255-2020;Поршневой компрессор марки Н5236 МК2, техн. № 1PC-504, зав. № 160316 (Площадка производства АО «ПОЛИЭФ», корпус 111)
0258005638;"АО ""ПОЛИЭФ""";компрессор;Н5236;278622;;02.10.2020;31.12.2026;действует;1;надзорная запись: заключение ЭПБ;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-40257-2020;Поршневой компрессор марки Н5236 МК2, техн. № 1PC-504а, зав. № 278622 (Площадка производства АО «ПОЛИЭФ», корпус 111)
0258005638;"АО ""ПОЛИЭФ""";компрессор;VK32-3EX;8484;;20.12.2019;31.12.2025;истёк;1;надзорная запись: заключение ЭПБ;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-62763-2019;Центробежный компрессор марки VK32-3EX, техн. № 1ТС-201С, зав. № 8484 (Площадка производства АО «ПОЛИЭФ», корпус 112)
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09278-2014;Трубопровод сброса воздуха в атмосферу на линии нагнетания от компрессора поз. 1/1-1 до глушителя поз. 1/4-1
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09295-2014;Трубопровод сброса воздуха в атмосферу на линии нагнетания от компрессора поз. 1/1-2 до глушителя поз. 1/4-2
0258005638;"АО ""ПОЛИЭФ""";узел компрессор;;;воздух;19.03.2014;;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09296-2014;Трубопровод сброса воздуха в атмосферу на линии нагнетания от компрессора поз. 1/1-3 до глушителя поз. 1/4-3
0258005638;"АО ""ПОЛИЭФ""";компрессор;1РС-801;88Т-2295;;10.06.2015;20.01.2021;истёк;1;надзорная запись: заключение ЭПБ;"ФГБОУВО ""Уфимский государственный нефтяной технический униве";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-17876-2015;Компрессор газа пневмот-ранспорта 1РС-801 зав. № 88Т-2295, ОАО «ПОЛИ-ЭФ», цех № 1, корп.107
0258005638;"АО ""ПОЛИЭФ""";компрессор;1РС-811;;;22.12.2015;12.11.2021;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-59391-2015;Линия возврата газа пневмотранспорта от 1VS-21101-1,2 на компрессор 1РС-811, рег. № б/н, цех № 1, корпус № 114
0258005638;"АО ""ПОЛИЭФ""";компрессор;32ВЦ-100-9М3;95005;;16.01.2018;31.12.2021;истёк;1;надзорная запись: заключение ЭПБ;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01305-2018;Центробежный компрессор марки 32ВЦ-100-9М3,техн. № К1/1-1, зав. № 95005 (Площадка производства АО «ПОЛИЭФ», Корпус 817).
0258005638;"АО ""ПОЛИЭФ""";компрессор;2ВМ4-15/25СМ1;02001;;14.02.2018;31.12.2021;истёк;1;надзорная запись: заключение ЭПБ;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-07706-2018;Поршневой компрессор марки 2ВМ4-15/25СМ1,техн. № К6/1-2, зав. № 02001 (Площадка производства АО «ПОЛИЭФ», корпус 817)
0258005638;"АО ""ПОЛИЭФ""";компрессор;2ВМ4-15/25СМ1;02002;;14.02.2018;31.12.2021;истёк;1;надзорная запись: заключение ЭПБ;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-07722-2018;- Поршневой компрессор марки 2ВМ4-15/25СМ1,техн. № К6/1-1, зав. № 02002 (Площадка производства АО «ПОЛИЭФ», корпус 817)
0258005638;"АО ""ПОЛИЭФ""";компрессор;32ВЦ-100-9М3;96008;;01.03.2018;31.12.2021;истёк;1;надзорная запись: заключение ЭПБ;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-10271-2018;Центробежный компрессор марки 32ВЦ-100-9М3,техн. № К1/1-3, зав. № 96008 (Площадка производства АО «ПОЛИЭФ», Корпус 817)
