email;инн;название;оквэд;сегмент;источник;регион;итоговый балл приоритета;макс. балл по связке;приоритет × выручка / 10000
cerberus@fsvps.ru;3816035162;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБ-АГРО ОЙЛ""";10.41 Производство масел и жиров;новостные;news-campaign-2026-07-24;Иркутская область;7;4;21.0
balzakupki@yandex.ru;1903025791;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШИРИНСКИЙ ЭЛЕВАТОР";52.10.3 Хранение и складирование зерна;новостные;news-campaign-2026-07-24;Республика Хакасия;18;4;191340.0
artursx@inbox.ru;6450117994;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОЛОЧНЫЙ КОМБИНАТ ";10.51 Производство молока (кроме сырого) и молочной продукции;новостные;news-campaign-2026-07-24;Саратовская область;5;5;0.0
ikmz.istok@gmail.com;6685126718;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИСЕТСКИЙ КУЗНЕЧНО-МЕХАНИЧЕСКИЙ ЗАВОД""";25.50 Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии;новостные;news-campaign-2026-07-24;Свердловская область;22;5;7480000.0
sekretar@evdakovo.ru;3664222670;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВДАКОВО""";10.42 Производство маргариновой продукции;новостные;news-campaign-2026-07-24;Воронежская область;26;5;82940000.0
nppfon@mail.ru;7000019815;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВ";72.19 Научные исследования и разработки в области естественных и технических наук прочие;новостные;news-campaign-2026-07-24;Томская область;2;2;4880.0
tekstorg18@mail.ru;3900030170;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛОБРАТ""";03.22 Рыбоводство пресноводное;новостные;news-campaign-2026-07-24;Калининградская область;54;5;0.0
agafonovasv@pik-industry.ru;0512086843;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙИНВЕСТ""";42.11 Строительство автомобильных дорог и автомагистралей;новостные;news-campaign-2026-07-24;Республика Дагестан;12;4;461160.0
info@timeweb.ru;5903062303;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БУРЛАК""";25.62 Обработка металлических изделий механическая;новостные;news-campaign-2026-07-24;Пермский край;18;5;873900.0
evgeniy.mikhaylov@izhavto.ru;1834051678;"ООО ""ЛАДА ИЖЕВСК""";29.10.2;новостные;news-campaign-2026-07-24;;12;5;
pr@polymetal.ru;7805104870;"АО ""ПОЛИМЕТАЛЛ""";70.10.2;новостные;news-campaign-2026-07-24;;2;2;
slavuzor@inbox.eu;2457063268;"ООО ""НН ТЕХНИЧЕСКИЕ СЕРВИСЫ""";71.12.3;новостные;news-campaign-2026-07-24;;28;5;
info@vollkraft.su;7709967312;"ООО ""ВОЛЛКРАФТ""";43.33;новостные;news-campaign-2026-07-24;;4;4;
info-tb@prodo.ru;7224005872;"АО ""ПРОДО ТЮМЕНСКИЙ БРОЙЛЕР""";10.13.4;новостные;news-campaign-2026-07-24;;3;3;
artur.karamashev@uralchem.com;7703647595;"АО ""ОХК ""УРАЛХИМ""";20.15.3;новостные;news-campaign-2026-07-24;;45;5;
avtovaz@vaz.ru;6320002223;"АО ""АВТОВАЗ""";29.10.2;новостные;news-campaign-2026-07-24;;43;5;
