marka;klyuch;napisaniya;forma;forma_hodovaya;vstrech;innov;tip;chem_dobyta;primer;ssylka
К250-61-5;К250615;К 250-61-5 | К-250-61-5 | К250-61-5;КЦ-Ц-Ц;да;37;12;компрессор;регулярка;компрессор К250-61-5 технологическая поз. М3/2, зав. №191, рег. №11025, цех 54;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-18961-2015
КТК-12,5/35;КТК12.5/35;КТК 12,5/35 | КТК-12,5/35 | КТК-12.5/35;К-Ц,Ц/Ц;да;75;11;компрессор;провайдер+регулярка;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0024-ЗЭ-2026 на техническое устройство, применяемое на опасном производственном объекте Объект экспертизы: Компрессор центробежный кислородный КТК-12,;https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-795176-2026
В-20;В20;В-20 | В20;К-Ц;да;54;11;ресивер;провайдер+регулярка;Воздухосборник В-20 Зав.№2002 464 к-т 87, рег.№5761.;https://monitor-pb.ru/conclusion/52-%D0%A2%D0%A3-12977-2015
УКВШ-5/7;УКВШ5/7;УКВШ 5/7 | УКВШ-5/7;К-Ц/Ц;да;36;11;компрессор;регулярка;"технические устройства: : установка компрессорная винтовая шахтная передвижная УКВШ-5/7 (зав. №73), установка компрессорная винтовая шахтная передвижная УКВШ-5/7(зав.№318), ООО ""Шахта ""Осинниковская"" ";https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-28725-2019
К-250-61-2;К250612;К-250-61-2 | К250-61-2;К-Ц-Ц-Ц;да;28;11;компрессор;регулярка;Заключение экспертизы промышленной безопасности на техническое устройство - компрессор центробежный воздушный К-250-61-2, зав. № 907, применяемое на опасном производственном объекте: Филиал АО «Группа;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01453-2022
АУ-200;АУ200;АУ 200 | АУ-200 | АУ200;К-Ц;да;26;11;компрессор;регулярка;компрессор поршневой одноступенчатый аммиачный холодильный АУ-200, зав. № 1866;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-02450-2014
ШВ-5М;ШВ5М;ШВ-5М;К-ЦК;да;117;10;ПКС;регулярка;"Заключение экспертизы промышленной безопасности №11015/26 на шахтную подъемную установку 2Ц-5×2,3 в составе: - шахтная подъемная машина 2Ц-5×2,3 зав. №1052; - копровый шкив Ш5 зав. №446; - копровый шк";https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-931774-2026
305ВП-30/8;305ВП30/8;305ВП 30/8 | 305ВП-30/8;ЦК-Ц/Ц;да;46;10;компрессор;провайдер+регулярка;техническое устройство: компрессор 305ВП-30/8 позиция ВП-4, зав. № 101547, применяемый на опасном производственном объекте III класса опасности «Площадка химического производства субстанций и готовых ;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-06616-2022
ТВ-80-1,6;ТВ801.6;ТВ 80-1,6 | ТВ 80-1.6 | ТВ-80-1,6 | ТВ-80-1.6;К-Ц-Ц,Ц;да;44;10;воздуходувка;регулярка;Турбовоздуходувка ТВ-80-1,6 поз. 7/2, зав. № 1987, инв. № 51620, цех ПМЦК;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-43790-2023
Р-1;Р1;Р-1;К-Ц;да;17;10;ресивер;регулярка;техническое устройство: Аппарат 3-10-4,0-ЗИ ресивер Р-1.;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-670769-2026
К-1500-62-2;К1500622;К 1500-62-2 | К-1500-62-2 | К1500-62-2;К-Ц-Ц-Ц;да;81;9;компрессор;провайдер+регулярка;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0104-ЗЭ-2025 Техническое устройство: Компрессор центробежный воздушный К-1500-62-2 ст. № 8/20М, зав. № 6209, инв. № 30800017150 Эксплуатирующая органи;https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-33452-2025
К-3;К3;К-3;К-Ц;да;71;9;компрессор;регулярка;Компрессор поршневой модель К-3, инв. №011141074, принадлежащий ОАО «Уральское объединение трубопроводного транспорта нефтепродуктов»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-32518-2014
3,5 РДВ;3.5РДВ;3,5 РДВ | 3,5-РДВ | 3,5РДВ | 3.5 РДВ;Ц,Ц К;да;69;9;ресивер;провайдер+регулярка;Сосуд (ресивер 3,5 РДВ), работающий под давлением, рег. № 302148, зав. № 9098;https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-29349-2022
4ВМ10-120/9;4ВМ10120/9;4ВМ 10-120/9 | 4ВМ10-120/9;ЦКЦ-Ц/Ц;да;49;9;компрессор;провайдер+регулярка;Заключение экспертизы промышленной безопасности на техническое устройство - компрессор воздушный оппозитный типа 4ВМ10-120/9 зав. №153, тех. №3, эксплуатирующийся на Руднике АО «Коммунаровский рудник»;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-20801-2023
С416М;С416М;С 416 М | С 416М | С-416М | С416М;КЦК;да;46;9;компрессор;регулярка;"Ресивер С416М зав.№267, рег.№7, эксплуатируемый Талаканским УТТ №1 ПАО ""Сургутнефтегаз""";https://monitor-pb.ru/conclusion/14-%D0%A2%D0%A3-917305-2026
К-500-61-5;К500615;К-500-61-5 | К500-61-5;К-Ц-Ц-Ц;да;45;9;компрессор;провайдер+регулярка;Компрессор К-500-61-5, зав. №8162, поз.6, опасного производственного объекта «Площадка котельного цеха № 64» (рег. № А01-12112-0050 от 25.06.2015), класс опасности III. Филиал «КЧХК» АО «ОХК «УРАЛХИМ»;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-27153-2022
3,5 РД;3.5РД;3,5 РД | 3,5- РД | 3,5-РД | 3,5РД;Ц,Ц К;да;40;9;ресивер;провайдер+регулярка;"техническое устройство - ресивер 3,5 РД зав. 9, рег. № 1007 ""СХ""";https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-17387-2023
ТВ-80-1,4;ТВ801.4;ТВ 80-1,4 | ТВ-80-1,4 | ТВ-80-1.4;К-Ц-Ц,Ц;да;39;9;воздуходувка;провайдер+регулярка;Заключение № БП77-ТУ-0032-2024-ЭПБ экспертизы промышленной безопасности на техническое устройство: Турбовоздуходувка ТВ-80-1,4 №4, инв. № 30200015832;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-20386-2024
Н-196;Н196;Н-196;К-Ц;да;37;9;воздуходувка;регулярка;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 7540-ЗЭ-2025 на техническое устройство, применяемое на ОПО Объект экспертизы: Центробежный нагнетатель природного газа типа Н-196, зав.№ 208, станц.№ ;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-559971-2025
АжКж-0,06;АЖКЖ0.06;АжКж-0,06;К-Ц,Ц;да;27;9;ВРУ;провайдер+регулярка;адсорбер, зав.№ 2060 в составе воздухоразделительной азотно-кислородной установки АжКж-0,06, зав.№ 930305, принадлежащей ООО «Диоксид»;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-11560-2016
АВ-100;АВ100;АВ 100 | АВ-100 | АВ100;К-Ц;да;24;9;компрессор;регулярка;«База хранения (кустовая) (ГНС г. Нижнекамск)» (рег.№А43-00777-0003, III класса опасности) - Компрессор поршневой марки АВ-100, инв. №0894, тех. №1 Эксплуатирующая организация: ООО «Газпром Сжиженный ;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-18052-2020
В-16;В16;В-16 | В16;К-Ц;да;24;9;ресивер;провайдер+регулярка;Сосуд, работающий под избыточным давлением - воздухосборник В-16, зав.№1707к, рег.№54281;https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-23979-2022
1,5 РД;1.5РД;1,5 РД | 1,5-РД | 1,5РД;Ц,Ц К;да;23;9;ресивер;провайдер+регулярка;ресивер 1,5 РД рег. № 66760, ресивер 1,5 РД рег. № 66762, ресивер 1,5 РД рег. № 66763,;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-03402-2014
305ВП 16/70;305ВП16/70;305ВП 16/70 | 305ВП-16/70 | 305ВП16/70;ЦК Ц/Ц;да;22;9;компрессор;провайдер+регулярка;Компрессор 305ВП 16/70 № 8 поз. 35;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-54748-2018
3ГП-20/8;3ГП20/8;3ГП 20/8 | 3ГП-20/8 | 3ГП20/8;ЦК-Ц/Ц;да;22;9;компрессор;провайдер+регулярка;Компрессор поршневой 3ГП-20/8 инв. № 4136;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-40289-2015
К-345-92-1;К345921;К 345-92-1 | К-345-92-1;К-Ц-Ц-Ц;да;56;8;компрессор;провайдер+регулярка;Холодильник промежуточный, поз.52-2, компрессор К-345-92-1 поз.4 после II ступени, об.1711, цех №5, ГХЗ, ОАО «Газпром нефтехим Салават», г. Салават;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34850-2015
4ВМ10-100/8;4ВМ10100/8;4ВМ10-100/8;ЦКЦ-Ц/Ц;да;49;8;компрессор;регулярка;"Заключение ЭПБ на техническое устройство: Компрессор 4ВМ10-100/8, воздушный поршневой компрессор тех.поз. 6;зав. №1034, принадлежащий: ОАО ""УАЗ""";https://monitor-pb.ru/conclusion/52-%D0%A2%D0%A3-00956-2014
1,5 РДВ;1.5РДВ;1,5 РДВ | 1,5РДВ;Ц,Ц К;да;32;8;ресивер;провайдер+регулярка;ресивер дренажный 1,5 РДВ, рег. №59451, поз. № Е.3, зав. №464;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-05441-2015
3ГП-12/35;3ГП12/35;3ГП 12/35 | 3ГП-12/35;ЦК-Ц/Ц;да;31;8;компрессор;регулярка;техническое устройство: «Компрессор поршневой марки 3ГП-12/35, тех.№3ГП-12/35, зав.№228», Площадка газокаталитического производства Филиала ПАО АНК «Башнефть» «Башнефть-Уфанефтехим», азотно-кислородна;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-32000-2023
РДВ-3,5;РДВ3.5;РДВ 3,5 | РДВ-3,5;К-Ц,Ц;да;27;8;ресивер;провайдер+регулярка;"ресиверы РДВ-3,5: зав. № 24030, рег. № 26/231; зав. № 24031, рег. № 26/230; зав. № 24033, рег. № 26/229, аммиачной холодильной установки";https://monitor-pb.ru/conclusion/50-%D0%A2%D0%A3-03810-2020
П-220;П220;П 220 | П-220 | П220;К-Ц;да;26;8;компрессор;регулярка;Компрессор поршневой П-220 техн.№4, зав. №11239;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-12982-2024
ДЭН-11Ш;ДЭН11Ш;ДЭН 11Ш | ДЭН-11Ш | ДЭН11-Ш;К-ЦК;да;25;8;компрессор;регулярка;агрегат электронасосный, винтовая компрессорная установка типа ДЭН-11Ш зав. № 783, тех. позиция № 1, установленный на площадке насосной станции № 6 Варьеганского месторождения, рег. № А58-40066-0007, ;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-59333-2019
2ВМ10-63/9;2ВМ1063/9;2ВМ 10-63/9 | 2ВМ10-63/9;ЦКЦ-Ц/Ц;да;20;8;компрессор;регулярка;Компрессор 2ВМ10-63/9, зав. №388, рег. №б/н, применяемый на ОПО «Рудник «Южный», по адресу: Приморский край, Дальнегорский городской округ, Кавалеровское лесничество, Тайгинское участковое лесничество;https://monitor-pb.ru/conclusion/74-%D0%A2%D0%A3-09612-2023
В-1;В1;В-1;К-Ц;да;16;8;ресивер;провайдер+регулярка;"сосуд, работающий под давлением воздухосборник В-1, зав. 1257, рег. № 6396, установленное ВКС-32, ЦППН-7, эксплуатируемое на опасном производственном объекте ""Площадка насосной станции (ДНС-32)"" рег. ";https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-41785-2017
5ВХ-350/2,6БР;5ВХ350/2.6БР;5 ВХ - 350/2,6 БР | 5ВХ 350/2,6 БР | 5ВХ-350/2,6 БР | 5ВХ-350/2,6БР | 5ВХ-350/2.6БР;ЦК-Ц/Ц,ЦК;да;12;8;компрессор;провайдер+регулярка;техническое устройство, применяемое на опасном производственном объекте Компрессор винтовой холодильный 5ВХ-350/2,6БР заводской № 74121, эксплуатируемый АО Хладокомбинат «Заречный»;https://monitor-pb.ru/conclusion/52-%D0%A2%D0%A3-909022-2026
К-0,4;К0.4;К 0,4 | К-0,4;К-Ц,Ц;да;31;7;не машина;провайдер+регулярка;№ ИТД-1/14 Блоки очистки и разделения воздуха установки К-0,4 зав. № 60, цех №4, инв.№37401040021522, технологическая кислородная станция кислородно-компрессорного цеха, на ОПО «Площадка установки пол;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-03412-2014
К 250-61-5;К250615;К 250-61-5 | К-250-61-5 | К250-61-5;К Ц-Ц-Ц;да;30;7;компрессор;регулярка;Заключение экспертизы промышленной безопасности №ЭПБ-06-00249-0001-2024 на техническое устройство: компрессор центробежный К 250-61-5, поз. В-1/1, зав. №1390, установки производства битума, комплекса ;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-41882-2024
ТВ-200-1,4;ТВ2001.4;ТВ 200-1,4 | ТВ-200-1,4 | ТВ-200-1.4 | ТВ200-1,4;К-Ц-Ц,Ц;да;28;7;воздуходувка;регулярка;Заключение экспертизы промышленной безопасности № ЭПБ-06-00058-0003-2022 на технические устройства: воздуходувка ТВ-200-1,4, поз. S-12A, зав.№ 432, воздуходувка ТВ-200-1,4, поз.S-12Б, зав.№ 429, комби;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-38405-2022
ГТТ-3М;ГТТ3М;ГТТ-3М;К-ЦК;да;27;7;компрессор;провайдер+регулярка;турбокомпрессор агрегата ГТТ-3М №4 техн. поз. М-101/4, зав. № 162;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-05603-2014
КжАж-0,05;КЖАЖ0.05;КжАж 0,05 | КжАж-0,05;К-Ц,Ц;да;27;7;ВРУ;провайдер+регулярка;Техническое устройство: Фильтр Ф-2 блока очистки воздуха воздухоразделительной установки КжАж-0,05, зав. № 890104 место расположения «Площадка воздухоразделительной установки» рег. № А66-01182-0007 от;https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-38500-2025
S3-900;S3900;S 3-900 | S3-900;ЛЦ-Ц;да;25;7;компрессор;регулярка;Аммиачный компрессор S3-900, зав. № 50856, поз. 3;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-06311-2025
0,75 РД;0.75РД;0,75 РД | 0,75-РД | 0,75РД;Ц,Ц К;да;25;7;ресивер;провайдер+регулярка;Сосуд, работающий под давлением, ресивер дренажный 0,75 РД , зав. № 8516, рег. № 001044 АХУ;https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-02294-2014
1,5РД;1.5РД;1,5 РД | 1,5-РД | 1,5РД;Ц,ЦК;да;19;7;ресивер;провайдер+регулярка;сосуд (ресивер 1,5РД), работающий под давлением, зав. № 2263,рег. № 55078, эксплуатируемый ООО «Восточный», Сарапульский мясокомбинат.;https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-15325-2020
ВК-25Э;ВК25Э;ВК 25 Э | ВК 25-Э | ВК-25-Э | ВК-25Э;К-ЦК;да;15;7;компрессор;регулярка;Компрессоры ВК-25Э, техн. № 1, зав. № 3981, инв. № 1045, ВК-25Э техн. № 2, зав. № 91694, инв. № 1045 применяемые на опасном производственном объекте: «База хранения СУГ (ГНС г. Казань)», рег.№ А43-007;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-48006-2025
ВК-1;ВК1;ВК-1;К-Ц;да;15;7;компрессор;провайдер+регулярка;техническое устройство - Промежуточный холодильник I ступени компрессора ВК-1 тех. № п/х I ст. ВК-1, рег. № 3.36, зав. № 1574, эксплуатируемое на опасном производственном объекте («Площадка установки ;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-09051-2020
ЦК 135/8;ЦК135/8;ЦК 135/8 | ЦК-135/8 | ЦК135/8;К Ц/Ц;да;15;7;компрессор;регулярка;Заключение № 653-4608-2024 экспертизы промышленной безопасности на техническое устройство Центробежный компрессор марки ЦК 135/8 Технологическая позиция №2, заводской №64003 ПАО «Нижнекамскнефтехим» П;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-06736-2025
3,5РВ;3.5РВ;3,5 РВ | 3,5-РВ | 3,5РВ;Ц,ЦК;да;14;7;ресивер;провайдер+регулярка;Ресивер вертикальный 3,5РВ зав. № 16;https://monitor-pb.ru/conclusion/50-%D0%A2%D0%A3-18830-2015
К-2;К2;К-2;К-Ц;да;10;7;ресивер;провайдер+регулярка;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности №СНГ-2846/22/173922/03089Д/890-2024 ЭПБ на техническое устройство, применяемое на опасном производственном объекте: Ресивер К-2, рег. №56А, зав. №28, ЦП;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-07173-2025
АНК 6;АНК6;АНК 6 | АНК-6;К Ц;да;176;6;узел: воздуходувка;регулярка;ЦДНГ-1, куст 96: Фонтанная арматура, всего 6 шт.: АФК 65х140 скв. №370, зав.№395 АНК 65х210 скв. №379, зав. №4790 АНК 65х210 скв. №381, зав. №98662 АФК 65х140 скв. №383, зав.№421 АНК 65х210 скв. №450,;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-01188-2021
4АГ;4АГ;4 АГ | 4АГ;ЦК;да;82;6;компрессор;провайдер+регулярка;"Компрессор поршневой марки 4АГ, поз.1/6, зав. № 245 АО ""Башкирская содовая компания"" цех №39 ОПО ""Площадка производства №1 АО ""Башкирская содовая компания"""" (рег.№ А41-00092-0005; I класс опасности)";https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-950048-2026
5 РДВ;5РДВ;5 РДВ | 5-РДВ | 5РДВ;Ц К;да;57;6;ресивер;провайдер+регулярка;техническое устройство: ресивер дренажный вертикальный 5 РДВ, зав. № 15689, рег. № 1079 «СХ», Аммиачно-холодильная установка № 2;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-07612-2019
ВП-50/8;ВП50/8;ВП 50/8 | ВП-50/8;К-Ц/Ц;да;51;6;узел: компрессор;регулярка;компрессор воздушный поршневой ВП-50/8, зав. № 1795;https://monitor-pb.ru/conclusion/74-%D0%A2%D0%A3-04199-2018
4ВУ1-5/9М2;4ВУ15/9М2;4ВУ1-5/9 М2 | 4ВУ1-5/9М2;ЦКЦ-Ц/ЦКЦ;да;42;6;компрессор;регулярка;На группу технических устройств – воздушные поршневые компрессоры 4ВУ1-5/9М2 зав. № 843121, 4ВУ1-5/9М2 зав. № 843131, С415М зав. № 1282 применяемые на опасном производственном объекте «Пункт подготовк;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-45514-2023
В-2,5;В2.5;В-2,5 | В-2.5;К-Ц,Ц;да;32;6;ресивер;провайдер+регулярка;"Воздухосборник В-2,5, зав. № 2596-028, рег. № 6897, применяемый на ОПО ""Площадка компрессорной станции (воздухосборники)"", АО ""Приморский горно-обогатительный комбинат""";https://monitor-pb.ru/conclusion/74-%D0%A2%D0%A3-00357-2023
3,5 РВ;3.5РВ;3,5 РВ | 3,5-РВ | 3,5РВ;Ц,Ц К;да;30;6;ресивер;провайдер+регулярка;Ресивер 3,5 РВ, зав. № 2275, учетный № 000613 АХУ. Эксплуатирующая организация: АО «Курский Хладокомбинат».;https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-478017-2025
540-41-1;540411;540-41-1;Ц-Ц-Ц;да;29;6;компрессор;провайдер+регулярка;нагнетателя центробежного типа 540-41-1 зав.№4239 поз.48;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-30442-2017
3,5РДВ;3.5РДВ;3,5 РДВ | 3,5-РДВ | 3,5РДВ | 3.5 РДВ;Ц,ЦК;да;28;6;ресивер;провайдер+регулярка;Аммиачный циркуляционный ресивер 3,5РДВ, зав. № 437, рег. № 55358;https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-13415-2014
7ВКГ 50/7;7ВКГ50/7;7 ВКГ 50/7 | 7ВКГ 50/7 | 7ВКГ-50/7 | 7ВКГ50/7;ЦК Ц/Ц;да;25;6;компрессор;провайдер+регулярка;Техническое устройство– винтовой компрессор 7ВКГ 50/7 зав. № 90008 применяемый на опасном производственном объекте «Участок комплексной подготовки газа Среднебалыкского месторождения»;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-791927-2026
П110;П110;П 110 | П-110 | П110;КЦ;да;23;6;компрессор;регулярка;техническое устройство, применяемое на опасном производственном объекте Компрессор поршневой одноступенчатый аммиачный холодильный П110 заводской № 1920, эксплуатируемый АО Хладокомбинат «Заречный»;https://monitor-pb.ru/conclusion/52-%D0%A2%D0%A3-659481-2026
В-4,0;В4.0;В-4,0;К-Ц,Ц;да;20;6;ресивер;провайдер+регулярка;техническое устройство сосуд, работающий под давлением воздухосборник В-4,0 зав. № 53071, рег. № 7306, установленное котельная КСП-14, ЦППН-7, эксплуатируемое на опасном производственном объекте «Пунк;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-47572-2017
В-1,6;В1.6;В-1,6;К-Ц,Ц;да;20;6;ресивер;провайдер+регулярка;Воздухосборник В-1,6 м³, ст. № 5/1;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-17484-2017
