Запрос;Паттерн;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
компрессор промышленный купить;paste_from_serp;wrong_top;1;webmaster;20;только компрессоры высокого давления, нет винтовых/поршневых;Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M
компрессор для лазерного станка по металлу;paste_from_serp;wrong_top;1;webmaster;20;показаны компрессоры высокого давления, но без явной привязки к лазерной резке;Винтовой компрессор ZEGA SELD 22-20 | Винтовой компрессор ZEGA SELD 37-20 | Винтовой компрессор ZEGA SОGV15S-16 IP65
винтовой компрессор для пескоструя купить;paste_from_serp;too_few;1;webmaster;20;нет фильтрации под специфику пескоструйных работ;Винтовой компрессор ABAC FORMULA 11-10 | Винтовой компрессор ABAC FORMULA 11-13 | Винтовой компрессор ABAC FORMULA 11-8
купить винтовой компрессор с ресивером;paste_from_serp;wrong_top;0;webmaster;20;показаны компрессоры с осушителем, а не с ресивером;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
продажа компрессорного оборудования;paste_from_serp;wrong_top;1;webmaster;20;в топе только масло, нет самих компрессоров;Масло компрессорное 20л | Масло компрессорное Berg Oil-46M (для винтовы | Масло компрессорное ENGER Prista MVK-2-46 (20
промышленное компрессорное оборудование;paste_from_serp;wrong_top;1;webmaster;20;Топ из генераторов азота, а не компрессоров;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
купить винтовой компрессор прямой привод;paste_from_serp;wrong_top;1;webmaster;20;Не ясно, что в топе именно прямой привод;Винтовой компрессор ZEGA SOV 37S IP65 10 | Винтовой компрессор ZEGA SEV 5.5S 8 | Винтовой компрессор ET SL 11 8 бар
купить ekomak;paste_from_serp;wrong_top;1;webmaster;20;Топ из ресиверов, а не компрессоров бренда;Ресивер EKOMAK V200 11B PAINT | Ресивер EKOMAK V270 11B PAINT | Ресивер EKOMAK V500 11B PAINT
продажа компрессоров;paste_from_serp;wrong_top;0;webmaster;20;топ полностью забит маслами вместо самих компрессоров;Масло Shell Corena S2 Р 100 (для поршневых ко | Масло компрессорное Berg Oil-46M (для винтовы | Масло компрессорное KRAFT-OIL_Р46 (5л) (для в
компрессор промышленный цена;paste_from_serp;wrong_top;1;webmaster;20;только высокого давления, нет разнообразия промышленных моделей;Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M
кислородная станция купить;paste_from_serp;wrong_top;0;webmaster;20;показаны генераторы азота вместо кислорода;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
продажа винтовых компрессоров;paste_from_serp;wrong_top;0;webmaster;20;показаны масла и запчасти вместо самих компрессоров;"Масло компрессорное Berg Oil-46M (для винтовы | Масло компрессорное KRAFT-OIL_Р46 (5л) (для в | Масло компрессорное &quot;Rarus Mobil 425&quo"
купить промышленный компрессор;paste_from_serp;wrong_top;1;webmaster;20;показаны только высокого давления, нет винтовых/поршневых;Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M
купить кислородную станцию для производства кислорода;paste_from_serp;wrong_top;0;webmaster;20;показаны генераторы азота вместо кислородных станций;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
кислородная станция цена;paste_from_serp;wrong_top;0;webmaster;20;Выдает генераторы азота вместо кислорода;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
купить ресивер для компрессора;paste_from_serp;wrong_top;0;webmaster;20;Показывает компрессоры на ресиверах, а не отдельные ресиверы;Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти
купить осушитель воздуха для компрессора;paste_from_serp;wrong_top;1;webmaster;20;Показывает компрессоры с осушителем, а не сами осушители;Винтовой компрессор REMEZA ВК40Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-7,5Д (с осуш
осушитель воздуха для компрессора купить;paste_from_serp;wrong_top;1;webmaster;20;показывает компрессоры с осушителями, а не сами осушители;Винтовой компрессор REMEZA ВК40Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-7,5Д (с осуш
осушитель сжатого воздуха для компрессора купить;paste_from_serp;wrong_top;1;webmaster;20;показывает компрессоры с осушителями, а не сами осушители;Винтовой компрессор двухступенчатого сжатия A | Винтовой компрессор REMEZA ВК40Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-8Д (с осушит
купить компрессор с ресивером;paste_from_serp;wrong_top;1;webmaster;20;Топ забит моделями с осушителем, не с ресивером;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
купить осушитель сжатого воздуха;paste_from_serp;wrong_top;1;webmaster;20;Показывает доохладители вместо осушителей;Доохладитель сжатого воздуха ENGER PR-016AL | Доохладитель сжатого воздуха ENGER PR-020A | Доохладитель сжатого воздуха ENGER PR-026A
купить компрессор дали;paste_from_serp;wrong_top;1;webmaster;20;показывает низкого давления вместо обычных винтовых;Компрессор низкого давления DALI DLVF-132/3 | Компрессор низкого давления DALI DLVF-200/3 | Компрессор низкого давления DALI DLVF-37/3
компрессор 5000 л мин цена;paste_from_serp;wrong_top;0;webmaster;3;вместо компрессоров ~5000 л/мин показаны случайные модели и осушитель;Винтовой компрессор Dalgakiran INVERSYS PLUS  | Винтовой компрессор Dalgakiran INVERSYS PLUS  | Рефрижераторный осушитель ARIACOM AR-HP 050
продажа промышленных компрессоров;paste_from_serp;wrong_top;0;webmaster;20;показаны масла вместо самих компрессоров;Масло Shell Corena S2 Р 100 (для поршневых ко | Масло компрессорное Berg Oil-46M (для винтовы | Масло компрессорное KRAFT-OIL_Р46 (5л) (для в
купить винтовой компрессор воздушный;paste_from_serp;wrong_top;1;webmaster;20;в топе дизельные и специфичные модели вместо базовых винтовых;Винтовой компрессор DAS DPK 5200 D | Дизельный винтовой компрессор DAS DPK 7200 D  | Винтовой компрессор DAS DPK 9000 D
