Запрос;Паттерн;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
et SD 390;model;model_not_found;1;site;4;Показывает RD 390 вместо SD 390, плюс нерелевантные компрессоры;Рефрижераторный осушитель воздуха ET RD 390 | Рефрижераторный осушитель воздуха ET RD 390-4 | Винтовой компрессор ET SL 11 D VS PM 13 бар, 
BERG ВК-18;model;model_not_found;0;site;20;Показывает ВК-11 вместо ВК-18, полностью не та модель;Винтовой компрессор BERG ВК-11 10 бар | Винтовой компрессор BERG ВК-11 12 бар | Винтовой компрессор BERG ВК-11 16 бар, IP54
REMEZA вк20т;model;too_few;1;site;2;показывает ВК20Т и ВК30Т вместе, мало результатов;Винтовой компрессор REMEZA ВК20Т-16-500Д2 | Винтовой компрессор REMEZA ВК30Т-20-470Д2
atlas copco;brand;wrong_top;1;site;20;показывает запчасти вместо компрессоров в топе;"Набор &quot;Atlas Copco&quot; 2912 5000 04 (о | KIT SERVICE &quot;Atlas Copco&quot; 290109980 | KIT SERVICE &quot;Atlas Copco&quot; 290117440"
Ironmac IC 7.5;model;wrong_top;1;site;16;IC 7.5 в топе, но ниже IC 100, IC 10 — нечёткое ранжирование;Винтовой компрессор Ironmac IC 7,5/10 DIGI DF | Винтовой компрессор Ironmac IC 7,5/8 DIGI DF  | Винтовой компрессор Ironmac IC 100/8 B
Atlas Copco U 130;model;wrong_top;1;site;14;U 130 в топе, но размыт другими моделями SF, XAS, Mark;Дизельный компрессор ATLAS COPCO U 130 Kd (бе | Спиральный компрессор ATLAS COPCO SF 1-10 Ski | Спиральный компрессор ATLAS COPCO SF 1-10 на 
BERG ВК-4;model;model_not_found;0;site;20;нашёл ВК-45 вместо ВК-4, неправильная модель;Винтовой компрессор BERG ВК-45 10 бар | Винтовой компрессор BERG ВК-45 12 бар | Винтовой компрессор BERG ВК-45 16 бар, IP54
реле давления;category;wrong_top;0;site;20;показаны компрессоры вместо запчасти;Компрессор высокого давления DALGAKIRAN DKK 4 | Компрессор высокого давления DALGAKIRAN DKKB  | Компрессор высокого давления DALGAKIRAN DKKB 
Ironmac IC 30;model;model_not_found;1;site;6;IC 30 не найден, показаны IC 40 и другие;Винтовой компрессор Ironmac IC 40/10 C | Винтовой компрессор Ironmac IC 40/8 DIGI WiFi | Винтовой компрессор Ironmac IC 40/10 DIGI WiF
enger;brand;wrong_top;1;site;20;топ-запчасти вместо компрессоров Enger;Шкив ENGER SPA118-2 ф38 15hp-1.3 (оригинал) | Шкив ENGER SPA118-3 ф42 25hp-1.25 (оригинал) | Шкив ENGER SPA125-2 ф38 15hp-0.8 60HZ (оригин
Remeza;brand;wrong_top;1;site;20;топ-аксессуары вместо компрессоров Remeza;"Дифманометр &quot;Remeza&quot; | Винтовой компрессор REMEZA ВК 20А-10-500 | Винтовой компрессор REMEZA ВК100-10"
zr;model;wrong_top;1;site;20;слишком короткий запрос, показаны только ZR серии;Винтовой компрессор безмасляный AC ZR 110 FF  | Винтовой компрессор безмасляный AC ZR 110 FF  | Винтовой компрессор безмасляный AC ZR 110 FF 
REMEZA вк5;model;model_not_found;1;site;20;вместо ВК5 показаны ВК50;Винтовой компрессор REMEZA ВК50-10 | Винтовой компрессор REMEZA ВК50-10ВС | Винтовой компрессор REMEZA ВК50-13
ET 900;model;wrong_top;1;site;9;осушитель RD 900 на первом месте, остальное не 900;Рефрижераторный осушитель воздуха ET RD 900 | Винтовой компрессор ET SL 7,5 10 бар, IP55 | Двухступенчатый винтовой компрессор ET SL 15 
Ironmac IC 15;model;model_not_found;1;site;15;IC 15 отсутствует, показаны IC 20;Винтовой компрессор Ironmac IC 20/16 C | Винтовой компрессор Ironmac IC 20/8 DIGI WiFi | Винтовой компрессор Ironmac IC 20/10 DIGI WiF
Dali DL 37;model;wrong_top;1;site;7;В топе фильтр-сепаратор, не компрессор;Винтовой компрессор Dali DL-37/10GA | Винтовой компрессор Dali DL-37/10GA-F | Винтовой компрессор Dali DL-37/13GA
Ironmac IC 20;model;model_not_found;0;site;20;показывает IC 100 вместо IC 20;Винтовой компрессор Ironmac IC 100/10 B | Винтовой компрессор Ironmac IC 100/10 C | Винтовой компрессор Ironmac IC 100/10 C VSD
Ironmac IC 20 10;model;model_not_found;0;site;20;показывает IC 100 вместо IC 20/10;Винтовой компрессор Ironmac IC 100/10 B | Винтовой компрессор Ironmac IC 100/10 C | Винтовой компрессор Ironmac IC 100/10 C VSD
atlas cd 250;model;model_not_found;0;site;7;Показан Ekomak вместо Atlas;Винтовой компрессор Ekomak ЕКО 250 CD/7 | Винтовой компрессор Ekomak ЕКО 250 CD/8 | Винтовой компрессор Ekomak ЕКО 250 CD/10
компрессор dali;brand;wrong_top;1;webmaster;20;показывает компрессоры низкого давления вместо основных винтовых;Компрессор низкого давления DALI DLVF-132/3 | Компрессор низкого давления DALI DLVF-200/3 | Компрессор низкого давления DALI DLVF-37/3
berg;brand;wrong_top;1;webmaster;20;показывает только запчасти (сепараторы), а не сами компрессоры;"Сепаратор &quot;BERG&quot; C002 (оригинал) | Сепаратор &quot;BERG&quot; C005 (оригинал) | Сепаратор &quot;BERG&quot; C006 (оригинал)"
компрессор берг;brand;wrong_top;1;webmaster;20;показаны только дизельные, пропущены винтовые BERG;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
компрессоры berg;brand;wrong_top;1;webmaster;20;показаны только дизельные, пропущены винтовые BERG;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
винтовой компрессор с ременным приводом;category;wrong_top;1;webmaster;20;в топе модели с осушителем, не акцент на ременной привод;Винтовой компрессор Comprag FRD0508-270 (с ос | Винтовой компрессор Comprag FRD0508-500 (с ос | Винтовой компрессор REMEZA ВК25Т-16-500Д2 (с 
ip54;spec;wrong_top;1;webmaster;20;в топе запчасти (шкивы), а не компрессоры IP54;Шкив ENGER SPB132-4 ф48 40hp-0.8 IP54 (оригин | Шкив ENGER SPB140-4 ф48 50hp-1.25 IP54 (ориги | Винтовой компрессор ET SL 11 8 бар, IP54
компрессорное оборудование;category;wrong_top;1;webmaster;20;в топе масла и генераторы азота, а не компрессоры;"Масло компрессорное Berg Oil-46M (для винтовы | Масло компрессорное &quot;Rarus Mobil 425&quo | Масло компрессорное &quot;Rarus Mobill 427&qu"
abac;brand;wrong_top;1;webmaster;20;Только фильтры ABAC, нет компрессоров бренда;"Фильтр &quot;ABAC&quot; D 125 | Фильтр &quot;ABAC&quot; D 1295 2 1/2&quot; | Фильтр &quot;ABAC&quot; D 1295 2&quot;"
энгер;brand;wrong_top;1;webmaster;20;Только шкивы запчастей, нет компрессоров ENGER;Шкив ENGER SPA118-2 ф38 15hp-1.3 (оригинал) | Шкив ENGER SPA118-3 ф42 25hp-1.25 (оригинал) | Шкив ENGER SPA125-2 ф38 15hp-0.8 60HZ (оригин
модульная компрессорная станция;category;wrong_top;0;webmaster;20;Показаны генераторы азота вместо компрессорных станций;Генератор азота ENGER GN3-59MDL | Генератор азота ENGER GN5-49MDL | Генератор азота ENGER GN5-59MDL
винтовые ременные компрессоры;category;wrong_top;1;webmaster;20;показаны обычные винтовые, не указан тип привода (ремень/прямой);Винтовой компрессор OZEN EN 11 10 бар | Винтовой компрессор OZEN EN 11 13 бар | Винтовой компрессор OZEN EN 15 10 бар
винтовой компрессор с ресивером;category;wrong_top;1;webmaster;20;топ показывает модели с осушителем, а не с ресивером;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
винтовой компрессор с частотным преобразователем;category;wrong_top;1;webmaster;20;показаны модели с осушителем, наличие ЧП не подтверждено в названиях;Винтовой компрессор Kraftmann APOLLO 6 PLUS ( | Винтовой компрессор Kraftmann APOLLO 7 PLUS ( | Винтовой компрессор Kraftmann ALTAIR 16 PLUS 
berg компрессор;brand;wrong_top;1;webmaster;20;дизельные вместо всей линейки Berg;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
компрессоры;category;wrong_top;1;webmaster;20;только устаревшие промышленные, нет популярных;Компрессор 1А 21-30-2А | Компрессор 1А 21-30-4А | Компрессор 1А 21-50-2А
винтовой воздушный компрессор;category;wrong_top;1;webmaster;20;дизельные в топе вместо электрических;Винтовой компрессор DAS DPK 5200 D | Дизельный винтовой компрессор DAS DPK 7200 D  | Винтовой компрессор DAS DPK 9000 D
компрессор для производства;category;wrong_top;1;webmaster;20;показаны узкоспециализированные ВФ модели вместо широкого ассортимента промышленных;Компрессор 22ВФ-2,5/1,5 СМ2У3 | Компрессор 22ВФ-5,7/1,8 СМ2У3 | Компрессор 22ВФ-6,3/1,5 СМ2У3
винтовой компрессор с прямым приводом;category;wrong_top;1;webmaster;20;в топе ременные ВК40Р/ВК60Р, прямой привод размыт;Винтовой компрессор REMEZA ВК40Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-8Д (с осушит | Винтовой компрессор REMEZA ВК40Р-8ДВС (с осуш
компрессор винтовой с осушителем и ресивером;category;wrong_top;1;webmaster;20;показаны только с осушителем, ресивер не упомянут в названиях;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
компрессор промышленный;category;wrong_top;1;webmaster;20;только высокого давления PET MASTER, узкая категория для широкого запроса;Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M
винтовые компрессоры воздуха;category;wrong_top;0;webmaster;20;показаны воздуходувки вместо винтовых компрессоров;Роторная воздуходувка (блок) ENGER HLSR125 | Винтовая безмасляная воздуходувка ENGER AHG-3 | Винтовая безмасляная воздуходувка ENGER AHG-3
компрессор электрический;category;wrong_top;1;webmaster;20;показаны только передвижные, а стационарные электрические тоже релевантны;Компрессор электрический передвижной Enger EC | Компрессор электрический передвижной Enger EC | Компрессор электрический передвижной Enger EC
модульные компрессорные станции;category;wrong_top;0;webmaster;20;вместо модульных станций показаны генераторы азота;Генератор азота ENGER GN3-59MDL | Генератор азота ENGER GN5-49MDL | Генератор азота ENGER GN5-59MDL
азотные установки;category;wrong_top;0;webmaster;20;показаны дизельные компрессоры вместо генераторов азота;Дизельный компрессор ATLAS COPCO Y 35 | Компрессор дизельный ZEGA SPDB175S-7 | Дизельный передвижной компрессор Enger DC-20/
кислородная станция;category;wrong_top;0;webmaster;20;показаны генераторы азота вместо кислорода;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
осушитель воздуха для компрессора;category;wrong_top;1;webmaster;20;показаны компрессоры с осушителем, а не сами осушители;Винтовой компрессор REMEZA ВК40Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-7,5Д (с осуш
винтовые компрессоры с частотным преобразователем;spec;wrong_top;1;webmaster;20;непонятно есть ли частотник, нет VSD/inverter в названиях;Винтовой компрессор Kraftmann APOLLO 6 PLUS ( | Винтовой компрессор Kraftmann APOLLO 7 PLUS ( | Винтовой компрессор Kraftmann ALTAIR 16 PLUS 
винтовой компрессор с частотником;spec;wrong_top;1;webmaster;20;часть моделей VSD, но непоследовательная выдача;Винтовой компрессор ZEGA SEV 5.5S 8 | Винтовой безмасляный компрессор Dali VFW5.5-8 | Винтовой безмасляный компрессор ENGER LUF75A 
comaro;brand;wrong_top;1;webmaster;20;показаны только сепараторы, нет самих компрессоров Comaro;"Сепаратор &quot;Comaro&quot; 01.03.90009 (ори | Сепаратор &quot;Comaro&quot; 01.03.90023 (ори | Сепаратор &quot;Comaro&quot; 02.03.01852 (ори"
берг;brand;wrong_top;1;webmaster;20;показаны только сепараторы BERG, не компрессоры;"Сепаратор &quot;BERG&quot; C002 (оригинал) | Сепаратор &quot;BERG&quot; C005 (оригинал) | Сепаратор &quot;BERG&quot; C006 (оригинал)"
компрессоры берг;brand;wrong_top;1;webmaster;20;показаны дизельные, а основная линейка винтовых BERG отсутствует;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
компрессор berg bk;model;wrong_top;1;webmaster;20;показаны дизельные М-серии вместо винтовых ВК;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
осушитель для компрессора;category;wrong_top;1;webmaster;20;показаны компрессоры с осушителем вместо отдельных осушителей;Винтовой компрессор REMEZA ВК40Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-7,5Д (с осуш
винтовая компрессорная установка;category;wrong_top;1;webmaster;20;в топе масло и безмасляные компрессоры, размыта выдача;Масло компрессорное KRAFT-OIL_M46 (20L)(для в | Винтовой безмасляный компрессор низкого давле | Винтовой безмасляный компрессор низкого давле
винтовой компрессор 75 квт;spec;wrong_top;1;webmaster;20;7й результат 7.5 квт вместо 75 квт;Винтовой компрессор MIG 75 10 бар | Винтовой компрессор MIG 75 8 бар | Винтовой компрессор MIG 75 PR 10 бар
винтовой компрессор сжатого воздуха;category;wrong_top;1;webmaster;20;в топе воздуходувка, не компрессор;Винтовой компрессор двухступенчатого сжатия A | Роторная воздуходувка (блок) ENGER HLSR125 | Винтовой компрессор ABAC GENESIS 11-10-500
кислородные станции;category;wrong_top;0;webmaster;20;показаны генераторы азота вместо кислородных станций;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
атлас копко;brand;wrong_top;1;webmaster;20;только запчасти, нет самих компрессоров Atlas Copco;"Набор &quot;Atlas Copco&quot; 2912 5000 04 (о | KIT SERVICE &quot;Atlas Copco&quot; 290109980 | KIT SERVICE &quot;Atlas Copco&quot; 290117440"
дизель компрессор;spec;wrong_top;1;webmaster;20;Топ засорён высоконапорными компрессорами, дизельные BERG только с 5 позиции;Компрессор высокого давления DALGAKIRAN W108 | Компрессор высокого давления DALGAKIRAN W166 | Компрессор высокого давления DALGAKIRAN W210
осушитель сжатого воздуха;category;wrong_top;0;webmaster;20;Показаны доохладители вместо осушителей — разные типы оборудования;Доохладитель сжатого воздуха ENGER PR-016AL | Доохладитель сжатого воздуха ENGER PR-020A | Доохладитель сжатого воздуха ENGER PR-026A
установка получения азота;category;model_not_found;0;webmaster;11;Показаны дизельные компрессоры вместо азотных генераторов;Дизельный винтовой компрессор Dali DLZJ-18/17 | Дизельный винтовой компрессор Dali DLZJ-15/14 | Дизельный винтовой компрессор Dali DLZJ-29/23
ресивер для компрессора;category;wrong_top;1;webmaster;20;показывает компрессоры на ресиверах вместо отдельных ресиверов;Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти
компрессорная установка винтовая;category;wrong_top;1;webmaster;20;топ начинается с масла, а не винтовых установок;Масло компрессорное KRAFT-OIL_M46 (20L)(для в | Винтовой безмасляный компрессор низкого давле | Винтовой безмасляный компрессор низкого давле
винтовой компрессор ременной привод;spec;wrong_top;1;webmaster;20;не указан тип привода в названиях;Винтовой компрессор OZEN EN 11 10 бар | Винтовой компрессор OZEN EN 11 13 бар | Винтовой компрессор OZEN EN 15 10 бар
экомак;brand;wrong_top;1;webmaster;20;топ заполнен ресиверами вместо компрессоров;Ресивер EKOMAK V200 11B PAINT | Ресивер EKOMAK V270 11B PAINT | Ресивер EKOMAK V500 11B PAINT
компрессор для лазерной резки металла;spec;wrong_top;1;webmaster;20;нет явного указания применения в названиях;Винтовой компрессор ZEGA SELD 22-20 | Винтовой компрессор ZEGA SELD 37-20 | Винтовой компрессор ZEGA SОGV15S-16 IP65
азотное оборудование;category;empty_but_should;0;webmaster;0;Пустая выдача, хотя азотные генераторы должны быть в ассортименте;
оборудование для производства кислорода;category;wrong_top;0;webmaster;20;показаны генераторы азота вместо кислорода;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN10-39TWL | Генератор азота ENGER GN10-49TWL (CMS260)
винтовой компрессор 40 бар;spec;wrong_top;0;webmaster;20;показаны компрессоры 7-12 бар вместо 40 бар;Винтовой компрессор BERG ВК-4Р 7 бар, IP54 | Винтовой компрессор BERG ВК-4Р 8 бар, IP54 | Винтовой компрессор BERG ВК-4Р 10 бар, IP54
компрессор для лазерного гравера;spec;wrong_top;1;webmaster;20;нужны безмасляные/фильтры, показаны обычные винтовые;Винтовой компрессор ZEGA SELD 22-20 | Винтовой компрессор ZEGA SELD 37-20 | Винтовой компрессор Enger LC-30DFRE 30
компрессор 40 бар;spec;wrong_top;0;webmaster;20;показаны компрессоры 7-12 бар вместо 40 бар;Винтовой компрессор BERG ВК-4Р 7 бар, IP54 | Винтовой компрессор BERG ВК-4Р 8 бар, IP54 | Винтовой компрессор BERG ВК-4Р 10 бар, IP54
абсорбционный осушитель;category;wrong_top;1;webmaster;20;показаны адсорбционные вместо абсорбционных;"Осушитель адсорбционный &quot;Airrus&quot; ОА | Осушитель адсорбционный &quot;Airrus&quot; ОА | Осушитель адсорбционный &quot;Airrus&quot; ОА"
винтовой масляный компрессор;category;wrong_top;0;webmaster;20;показаны безмасляные вместо масляных;Винтовой безмасляный компрессор ENGER LUF110A | Винтовой безмасляный компрессор ENGER LUF110A | Винтовой безмасляный компрессор ENGER LUF110A
винтовой компрессор 1000 л мин;spec;wrong_top;1;webmaster;18;Нет фильтра по производительности 1000 л/мин;Винтовой компрессор Dalgakiran F 7-10-500 D ( | Винтовой компрессор Dalgakiran F 7-10 | Винтовой компрессор Dalgakiran F 7-10-250
компрессор с ресивером;category;wrong_top;0;webmaster;20;показаны компрессоры с осушителем, а не ресивером;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
мембранный генератор азота;category;wrong_top;1;webmaster;20;показаны все генераторы азота без фильтрации по типу мембранные;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN10-39TWL | Генератор азота ENGER GN10-49TWL (CMS260)
горизонтальные компрессор ekomak;category;wrong_top;0;webmaster;20;показаны вертикальные DMD, нет горизонтальных моделей;Винтовой компрессор Ekomak DMD 100 C/10 | Винтовой компрессор Ekomak DMD 100 C/13 | Винтовой компрессор Ekomak DMD 100 C/7
винтовой компрессор на шасси;category;wrong_top;1;webmaster;20;в топе модели БЕЗ шасси, модели на шасси вперемешку;Винтовой компрессор ЗИФ-ПВ-4/1,2 (без шасси) | Винтовой компрессор ЗИФ ПВ-4/1,2 (на шасси) | Винтовой компрессор ЗИФ-ПВ-4/1,3 (без шасси)
винтовые компрессоры прямой привод;category;wrong_top;1;webmaster;20;не очевидно что все показанные модели с прямым приводом;Винтовой компрессор ZEGA SOV 37S IP65 10 | Винтовой компрессор ZEGA SEV 5.5S 8 | Винтовой компрессор ET SL 11 8 бар
ip 54;spec;wrong_top;1;webmaster;20;"Выдача показывает IP55, а не IP54; на 1-м месте ALMiG без указания класса защиты";Винтовой компрессор ALMiG BELT 4/10 | Винтовой компрессор Ironmac IC 50/8 C VSD, IP | Винтовой компрессор Ironmac IC 60/8 C VSD, IP
berg compressors;brand;wrong_top;1;webmaster;20;Показаны запчасти (сепараторы) вместо самих компрессоров BERG;"Сепаратор &quot;BERG&quot; C002 (оригинал) | Сепаратор &quot;BERG&quot; C005 (оригинал) | Сепаратор &quot;BERG&quot; C006 (оригинал)"
винтовой компрессор фото;unrealistic;wrong_top;1;webmaster;20;показывает только BERG, нет разнообразия брендов;Винтовой компрессор BERG ВК-11О-500 10 бар | Винтовой компрессор BERG ВК-11О-500 10 бар, I | Винтовой компрессор BERG ВК-11О-500 8 бар
компрессоры для производства;category;wrong_top;1;webmaster;20;показаны устаревшие поршневые модели 22ВФ/23ВФ, не винтовые промышленные;Компрессор 22ВФ-2,5/1,5 СМ2У3 | Компрессор 22ВФ-5,7/1,8 СМ2У3 | Компрессор 22ВФ-6,3/1,5 СМ2У3
осушитель рефрижераторного типа для компрессора;category;wrong_top;0;webmaster;20;показаны компрессоры с осушителем, а не отдельные осушители;Винтовой компрессор Comprag FRD0508-270 (с ос | Винтовой компрессор Comprag FRD0508-500 (с ос | Винтовой компрессор Comprag FRD0510-270 (с ос
винтовой компрессор airman;brand;wrong_top;0;webmaster;15;показаны дизельные вместо винтовых компрессоров;Дизельный компрессор AIRMAN PDSF100S | Дизельный компрессор AIRMAN PDSG1300S | Дизельный компрессор AIRMAN PDSK1200S-W
аирман компрессор;brand;wrong_top;1;webmaster;15;только дизельные, хотя Airman делает и винтовые;Дизельный компрессор AIRMAN PDSE900S-W | Дизельный компрессор AIRMAN PDSF100S | Дизельный компрессор AIRMAN PDSF140S
dalgakiran;brand;wrong_top;0;webmaster;20;показаны только запчасти вместо компрессоров бренда;"Клапан &quot;DALGAKIRAN&quot; 2311211960 (ори | Клапан &quot;DALGAKIRAN&quot; 2311211980 (ори | Сепаратор &quot;DALGAKIRAN&quot; 11000935 (ор"
компрессоры аирман;brand;wrong_top;1;webmaster;15;только дизельные, нет винтовых моделей;Дизельный компрессор AIRMAN PDSE900S-W | Дизельный компрессор AIRMAN PDSF100S | Дизельный компрессор AIRMAN PDSF140S
модульная компрессорная станция сжатого воздуха;category;wrong_top;0;webmaster;20;показаны генераторы азота вместо компрессорных станций;Генератор азота ENGER GN3-59MDL | Генератор азота ENGER GN5-49MDL | Генератор азота ENGER GN5-59MDL
фильтр для компрессора ekomak;category;wrong_top;0;webmaster;20;показывает компрессоры Ekomak вместо фильтров;Винтовой компрессор Ekomak DMD 100 C/10 | Винтовой компрессор Ekomak DMD 100 C/13 | Винтовой компрессор Ekomak DMD 100 C/7
винтовой компрессор 7 бар;spec;wrong_top;1;webmaster;20;в топе много моделей 8 и 10 бар, а не 7;Винтовой компрессор AIRRUS 7 8 бар | Винтовой компрессор AIRRUS 7 10 бар | Винтовой компрессор OZEN EN 7 10 бар
винтовой компрессор на ресивере с осушителем;category;wrong_top;1;webmaster;20;показаны модели с осушителем, но не акцентирован ресивер в топе;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
компрессор 15 бар;spec;wrong_top;1;webmaster;20;в топе модели на 8 и 10 бар, а не 15 бар;Винтовой компрессор MIG К 15 8 бар | Винтовой компрессор MIG 15 8 бар | Винтовой компрессор MIG К 15 10 бар
установка азота;category;category_not_found;0;webmaster;20;показаны дизельные компрессоры вместо генераторов азота;Дизельный компрессор ATLAS COPCO Y 35 | Компрессор дизельный ZEGA SPDB175S-7 | Дизельный передвижной компрессор Enger DC-20/
горизонтальные компрессоры ekomak;spec+brand;wrong_top;1;webmaster;20;не видно признака горизонтального исполнения в названиях;Винтовой компрессор Ekomak DMD 100 C/10 | Винтовой компрессор Ekomak DMD 100 C/13 | Винтовой компрессор Ekomak DMD 100 C/7
дизельные компрессоры remeza;spec+brand;wrong_top;0;webmaster;6;показаны поршневые бустеры, а не дизельные;Компрессор поршневой дожимной (бустер) Remeza | Компрессор поршневой дожимной (бустер) Remeza | Компрессор поршневой дожимной (бустер) Remeza
компрессор винтовой 7 5 квт;spec;wrong_top;1;webmaster;20;топ размыт 5-7 кВт моделями, нет четкой 7.5 кВт;Винтовой компрессор Dalgakiran F 5-7-250 | Винтовой компрессор Dalgakiran F 5-7-250 D (с | Винтовой компрессор Dalgakiran F 5-7
винтовые масляные компрессоры;category;wrong_top;0;webmaster;20;показаны безмасляные вместо масляных;Винтовой безмасляный компрессор ENGER LUF110A | Винтовой безмасляный компрессор ENGER LUF110A | Винтовой безмасляный компрессор ENGER LUF110A
одноступенчатый винтовой компрессор;category;ok;1;webmaster;20;;Винтовой компрессор ALMIG G Drive T 28/10 | Винтовой компрессор ALMIG G Drive T 28/13 | Винтовой компрессор ALMIG G Drive T 28/8
